DOY2,HR2,USTAR,TA,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT
1,0.25,0.021,-25.25,1.035,-1.4947,-44.525,-4,-35.125,-10.58475,-8.82325,60.01,95.35545,0.14,-68.55,0,-3,0,-0.55,152.7,198.8
1,0.75,0.03395,-25.37,0.6345,-1.20095,-45.525,-4,-36.925,-10.50075,-8.7275,61.355,95.3205,0.1445,-65.55,0,-3,0,0,152.6,198.45
1,1.25,0.02925,-25.57,0.717,-1.7089,-45.7,-6.35,-36.925,-10.59525,-8.8365,62.385,95.29755,0.1445,-66.55,0,-3,0,0,152.05,198.1
1,1.75,0.02325,-25.56,0.344,-1.3418,-38.05,-2.525,-37.65,-10.68725,-8.92475,64.6,95.29495,0.1445,-66.55,0,-3,0,-0.55,153.4,199.2
1,2.25,0.057425,-25.86,0.078,-1.3749,-45.975,-6.875,-37.925,-10.744,-9.00675,66.6,95.30505,0.14,-66.55,0,-3,0,-0.55,152.5,196.3
1,2.75,0.06225,-25.97,0.305,-1.06835,-39.5,-5.35,-34.9,-11.32625,-9.5665,66.015,95.34945,0.1345,-65.55,0,-3,0,-0.55,152.85,194.4
1,3.25,0.0629,-25.84,0.2535,-1.239875,-46.15,-3.875,-34.9,-11.1715,-9.36725,66.975,95.3525,0.149,-65.55,0,-3,0,0,154.65,194.95
1,3.75,0.0412,-26.58,0.1945,-1.504375,-45.9,-2.7,-34.2,-11.6875,-9.68275,66.81,95.34555,0.148,-66,0,-3,0,0,154.1,193.85
1,4.25,0.042,-26.81,0.4565,-1.79605,-40.25,-3.35,-37.925,-10.9705,-9.25875,67.525,95.36355,0.148,-65.55,0,-3,0,0,153.55,194.2
1,4.75,0.021,-26.62,0.4245,-1.2628,-27.6,-2.8,-37.475,-10.98075,-9.28075,68.795,95.3685,0.1435,-65.55,0,-3,0,0,154,195.3
1,5.25,0.019575,-27.625,0.4995,-1.7366,-29.825,-2,-36.75,-10.98075,-9.29625,69.35,95.37795,0.129,-65.55,0,-3,0,-1,154,193.3
1,5.75,0.03775,-27.34,0.4645,-1.60095,-33.075,-2,-35.75,-11.008,-9.319,66.895,95.4065,0.1335,-62.75,0,-3,0,0,154.1,192.85
1,6.25,0.032425,-27.315,0.3515,-2.12855,-26.025,-3.525,-36.025,-10.99375,-9.3355,67.4,95.42945,0.1435,-63.55,0,-3,0,0,153.65,193.95
1,6.75,0.00775,-27.475,0.9305,-2.630125,-34.65,-4.175,-36.75,-10.927,-9.304,68.63,95.41595,0.139,-62.75,0,-3,0,0,152.75,194.95
1,7.25,0.01725,-27.175,0.618,-1.587175,-37.975,-2.7,-36.75,-10.86375,-9.27525,70.2,95.43795,0.139,-63.65,0,-3,0,0,153.3,196.15
