DOY2,HR2,FC_1_1_1,SC_1_1_1,USTAR_1_1_1,LE_1_1_1,H_1_1_1,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,SW_IN_1_1_1,SW_OUT_1_1_1,NETRAD_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,WS_1_2_1,WS_1_3_1,WS_2_1_1,PA_1_1_1,NEE_1_1_1
1,0.5,0.22,0,0.1775,1.1,-4.25,404.25,403.855,406.23,407.83,-4.8,-5.47,-5.91,-6.87,82.1,84.2,84.6,89.1,-1.16,-0.83,-0.61,-0.41,-1.17,-0.83,-0.59,-0.595,-0.17,-0.21,0.26,1.02,0,0.3,-32.95,245,279,3,2.525,2.53,97.655,0.2
1,1.5,0.2,0,0.188,1.1,-5.7,404.585,404.96,406.3,407.14,-5.06,-5.5,-6.23,-7.225,82.5,84.3,84.7,89.3,-1.2,-0.84,-0.65,-0.44,-1.26,-0.865,-0.61,-0.61,-0.17,-0.22,0.26,1.02,0,0.3,-31.7,246,277.7,3.095,2.69,2.705,97.62,0.2
1,2.5,0.23,0,0.1885,1.3,-4.8,404.02,404.935,405.78,407.53,-5.3,-5.86,-6.41,-7.42,83.1,84.6,85.4,89.3,-1.27,-0.86,-0.66,-0.45,-1.32,-0.885,-0.64,-0.615,-0.17,-0.22,0.26,1.02,0,0.3,-28.35,246.7,277.6,3.08,2.65,2.685,97.625,0.2
1,3.5,0.21,0,0.192,1.3,-5.1,404.27,404.715,405.61,407.15,-5.64,-6.24,-6.64,-7.33,83.4,84.9,85.5,89.8,-1.33,-0.9,-0.69,-0.46,-1.4,-0.96,-0.68,-0.635,-0.175,-0.22,0.26,1.02,0,0.3,-31.5,247.1,277.4,3.105,2.64,2.645,97.63,0.2
1,4.5,0.2,0,0.1925,1.4,-4.45,403.85,404.66,405.42,406.76,-5.85,-6.46,-6.96,-7.75,83.5,85.1,86.2,89.9,-1.36,-0.96,-0.71,-0.46,-1.44,-1,-0.71,-0.64,-0.18,-0.22,0.26,1.02,0,0.3,-28.2,246.2,275.5,3.025,2.575,2.63,97.635,0.2
1,5.5,0.22,0,0.201,1.6,-4.8,403.395,404.24,405.11,406.57,-6.13,-6.72,-7.39,-7.97,83.6,85.4,86,89.9,-1.41,-1.03,-0.76,-0.48,-1.49,-1.085,-0.72,-0.67,-0.18,-0.22,0.26,1.02,0,0.2,-25.2,247.2,275.2,3.09,2.68,2.685,97.645,0.2
1,6.5,0.24,0,0.2,1.4,-4.9,403.87,404.365,405.405,406.34,-6.27,-6.87,-7.48,-7.85,83.9,85.5,85.9,90,-1.48,-1.05,-0.78,-0.49,-1.53,-1.145,-0.75,-0.67,-0.19,-0.22,0.26,1.02,0,0.3,-25.3,248.5,275.5,3.055,2.595,2.66,97.645,0.21
1,7.5,0.22,0,0.198,1.3,-4.3,404.02,404.83,405.545,406.45,-6.27,-6.875,-7.3,-8.04,84.1,85.9,85.9,90.3,-1.51,-1.08,-0.79,-0.5,-1.55,-1.195,-0.81,-0.68,-0.185,-0.22,0.26,1.01,1.8,1.8,-24.1,247.1,275.4,3.14,2.67,2.71,97.67,0.2
1,8.5,0.295,0,0.215,5.4,0,404.265,404.91,405.4,405.73,-5.85,-6.46,-6.285,-6.47,82.8,84.4,84.45,89.3,-1.49,-1.16,-0.82,-0.51,-1.52,-1.215,-0.83,-0.72,-0.19,-0.22,0.26,1.01,60,28,1.6,247.9,281,3.32,2.92,2.93,97.7,0.3
1,9.5,0.33,-0.1,0.264,13.4,10.5,403.61,403.96,403.93,404.22,-4.48,-4.815,-4.535,-4.4,78.8,80.5,79.8,85.2,-1.36,-1.13,-0.82,-0.52,-1.38,-1.18,-0.83,-0.74,-0.185,-0.22,0.255,1.01,183.2,63.55,50.8,246.9,292.1,4.085,3.64,3.69,97.71,0.2
1,10.5,0.37,-0.1,0.3,17.8,30.75,402.51,402.645,402.575,402.945,-3.13,-3.38,-2.75,-2.37,73.2,75.3,74.05,79.8,-1.16,-1.07,-0.81,-0.55,-1.15,-1.1,-0.82,-0.74,-0.185,-0.21,0.25,1.01,328.7,92.85,100.4,248,302.3,4.665,4.22,4.33,97.71,0.3
1,11.5,0.39,-0.1,0.3115,19.9,37.85,401.12,401.24,401.26,401.62,-1.95,-2.135,-1.615,-0.985,69.4,71.6,69.9,76.15,-1.025,-0.995,-0.76,-0.54,-0.99,-0.98,-0.79,-0.73,-0.18,-0.21,0.25,1.005,418.4,112.4,138.1,248.95,310.4,4.7,4.28,4.335,97.665,0.3
