DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,-10.32355,0.526076,7.3277675,0.391818,0.6181755,0.0462482,-0.016,400.906,1.3963596095,8.70942,0.117513526,1.01938,0.882496,0.365675,3.22427,0.295533,12.5393,0.713001,10.77,63.8175,89,8.60654850075,8.3925,10.9375,10.4675,10.3175,5.68121825,-6.00563125,0,0,-44.85,0,0
1,0.75,-11.1895,0.99178825,6.482705,0.49528925,0.60766275,0.039532825,-0.0135,401.05225,1.64375971825,8.6882125,0.142671891,1.05653,0.93135675,0.35548225,3.214735,0.33817725,12.511,0.81782975,10.55,63.845,89,8.77008583475,8.2225,10.6975,10.325,10.5175,5.539328,-6.39931275,0,0,-47.095,0,0
1,1.25,-9.274045,1.13656,7.2546,0.5384,0.6020985,0.02977175,-0.012825,400.911,1.4068986475,8.6491325,0.127372647,0.998143,0.8877825,0.34856625,3.2664825,0.30870825,12.57165,0.642584,10.68,64.05514263,89,8.5516379415,8.03,10.48,10.1975,10.395,5.0096645,-6.48316375,0,0,-41.495,0,0
1,1.75,-9.63452,1.242655,5.93589,0.4803645,0.5779595,0.02537875,-0.0138,400.783,1.408563114,8.77,0.117090587,1.02033,0.907227,0.330789,3.23667,0.296272,12.5851,0.685587,10.81,63.84668452,89,8.827821983,7.93075,10.3025,10.02,10.15,5.1042545,-7.0874615,0,0,-37.73,0,0
1,2.25,-8.4803825,1.34138,6.6598775,0.622386,0.637413,0.0195745,-0.013125,400.48675,1.390328194,8.7427025,0.128771317,1.1447525,0.95709875,0.3763815,3.29188,0.33281375,12.3373,0.64958475,10.62,64.79,88.995,8.556032964,7.804,10.1375,9.8525,10.005,5.47149475,-7.55099725,0,0,-39.565,0,0
1,2.75,-10.9802,0.96323275,7.172545,0.5148705,0.69430475,0.022758,-0.01835,400.0815,1.3714707085,8.87687,0.1251150395,1.0556925,0.9334195,0.3963065,3.1645275,0.33101,12.40875,0.66146,10.44385325,63.55729252,88.9975,8.74579024075,7.3835,9.9625,9.78,9.7475,5.0663215,-7.76503025,0,0,-43.5,0,0
1,3.25,-11.075825,1.0967725,7.302865,0.32999475,0.68493625,0.02440655,-0.017175,400.08075,1.464941692,8.8805,0.111525424,1.1120775,0.944619,0.368705,3.2159725,0.34301875,12.464325,0.662033,10.25779775,64.24,88.9875,8.46595551975,7.241,9.76,9.6275,9.6525,4.99409,-8.28729125,0,0,-41.91,0,0
1,3.75,-12.4175,1.3555,7.4407525,0.530915,0.621485,0.0235761,-0.01615,400.62425,1.47453602825,8.9644525,0.12555015575,1.01917725,0.9364905,0.35157125,3.1234525,0.30315225,12.4078,0.701082,10.3525,63.7475,88.9875,8.714648821,7.014,9.5225,9.4175,9.47,5.43991,-8.67215875,0,0,-39.41,0,0
1,4.25,-11.19735,1.08629,7.8843,0.273331,0.63440925,0.0310814,-0.017,400.49,1.428132935,8.78014,0.13021448,1.11247,0.857536,0.36074,3.19423,0.306012,12.3711,0.75888,10.555631,63.575,88.955,8.74181063525,6.8975,9.3225,9.2275,9.2225,5.132036,-8.86991775,0,0,-39.075,0,0
1,4.75,-9.266735,1.6125,7.67729,0.54315,0.610061,0.0304548,-0.0126,400.6585,1.41771615025,8.2910875,0.13615679925,1.028335,0.98035325,0.32974775,3.155385,0.315744,12.323575,0.726571,10.1561805,63.4375,88.93,8.21449161075,6.77925,9.13,9.035,9.1375,5.35611025,-8.85826225,0,0,-38.97,0,0
1,5.25,-11.3554,1.3350625,6.9130075,0.6576915,0.5995905,0.02204685,-0.017975,400.3115,1.565395201,8.89861,0.12264838875,0.923453,0.915437,0.33257875,3.24789,0.29582775,12.2657,0.839664,10.09224525,65.9725,88.9275,8.45667228025,6.586,8.9675,9.0225,9.0225,5.331631,-9.23285275,0,0,-42.985,0,0
1,5.75,-11.556125,1.6526525,7.93151,0.3182315,0.5994505,0.0220702,-0.021975,400.392,1.532771785,8.5428275,0.1315601545,1.089195,1.00665,0.36760425,3.3002375,0.3033505,12.22695,0.72705775,10.327236,64.92687379,88.9375,8.33514894975,6.515,8.8625,8.8675,9.025,4.82042825,-9.43908125,0,0,-39.63,0,0
1,6.25,-10.1932,1.92206,7.4509325,0.46364875,0.589948,0.0235001,-0.018775,400.00475,1.4935727535,8.6735625,0.15271699275,1.18732,0.96693775,0.399372,3.414295,0.34505875,12.187775,0.71154625,10.21327925,63.9525,88.995,8.51046809175,6.37875,8.6925,8.785,9.26,4.61361975,-9.503895,0,0,-42.395,0,0
1,6.75,-11.0058,1.3321775,7.2884525,0.477348,0.5776425,0.034159725,-0.01365,400.26125,1.2437423845,8.4473075,0.1168651755,1.1752975,0.99139975,0.3780605,3.281885,0.3404005,12.1316,0.692866,10.375,62.645,89,8.72287110975,6.2375,8.49,8.7475,9.415,4.8018815,-9.5785485,0,0,-41.825,0,0
