DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,G_1_1_1,G_3_1_1,G_5_1_1
1,5.25,421.5295,4.3685,417.0795,4.827,1993.0725,421.674,4.399,416.783,4.84,1991.816,419.506,4.055,416.273,4.4945,1997.161,422.585,4.039,417.266,4.548,1987.757,1.773,-2.4875,0.4665,415.205,4.347,0.15,0.0065,0.2055,-0.31,0.154,0.122,-6.9425,-0.166,0.516,1.67,1.3,0.31,-2.839,-3.397,-3.402,-3.9725,-5.108,83.574,77.255,1.0845,-3.845,-3.085,-3.19,0.4,-2.455,1.2,-1.155,0.37,250.85,293.65,-41.89,274.3,294,-0.01,0.15,0.08,0.07,-0.02,-0.04,0.01,0.12,-1.118,-0.97,-0.144,0.8535,1.77,4.94,8.0045,8.6305,9.0395,-0.76,-0.49,0.0435,0.496,1.6885,5.4,8.726,9.533,10.112,-1.192,-0.012,0.382,0.695,2.1465,5.389,7.943,8.988,9.9665,-1.04,-0.552,-0.122,0.6345,1.603,5.222,8.784,9.598,9.747,-0.8875,-0.3275,0.144,0.6395,1.5535,-3.508,-4.472,-4.158
1,5.75,421.683,4.336,416.924,4.78,1991.697,422.265,4.366,416.766,4.8135,1993.5385,420.806,4.091,415.893,4.58,1994.007,422.797,4.094,417.411,4.514,1987.7785,1.899,-2.429,0.409,415.306,4.1955,0.145,-0.0065,0.1195,0.161,0.024,0.128,-5.8795,0.356,0.521,1.74,1.335,0.33,-2.827,-3.2645,-3.375,-3.816,-5.148,83.588,78.23,1.1145,-3.44,-2.96,-3.11,0.5,-2.435,1.2,-1.14,0.395,250.4,294.5,-41.61,277.2,293.9,-0.02,0.15,0.08,0.07,-0.02,-0.05,0,0.12,-1.1575,-0.993,-0.157,0.844,1.77,4.938,8.0035,8.631,9.0385,-0.765,-0.543,0.038,0.491,1.687,5.399,8.7255,9.534,10.112,-1.2675,-0.012,0.356,0.694,2.141,5.381,7.944,8.985,9.9655,-1.066,-0.648,-0.137,0.6355,1.6035,5.2205,8.784,9.602,9.745,-0.878,-0.365,0.1425,0.632,1.549,-3.532,-4.3865,-4.14
1,6.25,421.571,4.329,417,4.683,1990.818,422.3675,4.319,417.311,4.716,1990.558,420.558,3.866,416.087,4.515,1996.619,422.3445,4.081,417.7345,4.4925,1988.0715,1.94,-2.486,0.477,415.33,4.2185,0.055,-0.017,0.038,0.333,-0.042,0.13,-6.2435,-0.456,0.604,1.64,1.265,0.33,-2.857,-3.147,-3.23,-3.655,-4.8635,83.582,78.01,1.026,-3.47,-3.06,-3.295,0.5,-2.58,1.2,-1.15,0.27,250.6,294.4,-39.625,276.7,294.1,-0.01,0.14,0.08,0.075,-0.01,-0.05,0.01,0.12,-1.1735,-1.046,-0.162,0.84,1.768,4.935,8.003,8.63,9.0375,-0.815,-0.611,0.038,0.491,1.688,5.398,8.7245,9.534,10.1105,-1.3205,-0.013,0.353,0.6905,2.135,5.381,7.943,8.982,9.9645,-1.083,-0.66,-0.147,0.6345,1.6035,5.2205,8.7845,9.601,9.743,-0.93,-0.389,0.144,0.63,1.543,-3.734,-4.447,-4.17
1,6.75,422.329,4.366,416.872,4.799,1991.841,422.564,4.344,417.032,4.912,1989.3355,420.746,4.154,416.11,4.43,1995.349,423.57,4.233,417.272,4.4795,1991.656,2.0445,-2.134,0.3955,413.9975,4.255,0.075,-0.002,0.1575,-0.32,-0.062,0.1285,-8.029,0.4,0.576,1.61,1.27,0.33,-2.818,-3.2845,-3.405,-3.83,-5.043,83.5985,77.8,1.048,-3.68,-3.05,-3.245,0.5,-2.51,1.2,-1.15,0.28,252.3,293.8,-42.37,275.05,293.3,-0.02,0.15,0.08,0.08,-0.02,-0.05,0.01,0.13,-1.169,-1.07,-0.161,0.836,1.768,4.933,8.0025,8.629,9.0365,-0.876,-0.648,0.024,0.49,1.689,5.3925,8.724,9.532,10.11,-1.3745,-0.014,0.349,0.684,2.127,5.381,7.942,8.979,9.964,-1.153,-0.658,-0.146,0.634,1.604,5.22,8.785,9.601,9.742,-1.003,-0.437,0.137,0.626,1.538,-3.6315,-4.1915,-4.184
1,7.25,421.218,4.417,417.08,4.709,1990.14,421.893,4.4535,417.062,4.683,1991.105,419.889,4.199,416.555,4.591,1996.133,422.164,4.257,417.4465,4.596,1987.05,2.1275,-2.056,0.41,414.687,4.131,0.0505,0.03,0.078,0.21,-0.169,0.1285,-8.208,-0.03,0.5015,1.63,1.29,0.31,-2.643,-3.3155,-3.5085,-3.8,-5.251,83.603,78.77,1.0325,-3.885,-3.25,-3.35,0.5,-2.61,1.3,-1.14,0.25,247,292.8,-46.35,274.05,292.9,0.08,0.22,0.15,0.15,0.04,-0.03,0.04,0.15,-1.223,-1.148,-0.155,0.831,1.765,4.9215,8.002,8.628,9.035,-0.936,-0.659,0.019,0.488,1.688,5.391,8.723,9.531,10.1085,-1.4275,-0.022,0.346,0.682,2.119,5.3805,7.941,8.976,9.983,-1.131,-0.687,-0.161,0.633,1.604,5.2195,8.785,9.6,9.74,-1.068,-0.43,0.133,0.624,1.531,-3.641,-4.014,-4.177
1,7.75,422.194,4.405,417.0245,4.812,1992.7095,422.525,4.2875,417.3375,4.7935,1990.781,420.52,4.187,416.667,4.503,1998.444,422.695,4.207,417.556,4.627,1989.554,1.9025,-2.509,0.409,415.8245,4.172,0.077,0.004,0.0805,-0.109,0.054,0.132,-9.859,-0.051,0.504,1.52,1.245,0.3,-3.2255,-3.645,-3.741,-3.9515,-4.93,83.6095,79.34,0.969,-3.9,-3.31,-3.46,3.3,1.22,4.7,2.1,1.73,247.45,292.5,-40.7,272.5,292.9,7.91,7.46,7.335,7.54,2.95,3.05,3.57,3.74,-1.256,-1.1285,-0.155,0.836,1.7575,4.92,8.0015,8.626,9.034,-0.999,-0.615,0.013,0.486,1.6875,5.395,8.722,9.5285,10.108,-1.4795,-0.024,0.344,0.682,2.1095,5.38,7.938,8.9735,9.976,-1.173,-0.7235,-0.148,0.633,1.603,5.2185,8.784,9.594,9.739,-1.0555,-0.431,0.126,0.6245,1.5245,-3.871,-4.294,-4.2565
1,8.25,421.255,4.517,417.124,4.654,1991.244,422.1135,4.427,417.257,4.7885,1991.5,419.851,4.271,416.4575,4.624,1995.062,422.847,4.4,417.09,4.654,1989.875,1.8065,-2.2275,0.4235,415.4715,4.125,0.061,-0.0225,0.0215,0.22,0.908,0.137,-7.7265,2.0665,0.556,1.51,1.15,0.31,-2.806,-3.189,-3.568,-3.743,-4.214,83.624,78.25,0.954,-3.07,-2.715,-2.77,22.1,36.385,30,30.575,11.54,247.65,294.45,-13.65,274.3,294.6,63.545,57.725,57.17,60.91,23.44,23.37,26.03,29.14,-1.193,-1.151,-0.155,0.834,1.7505,4.918,8.001,8.629,9.033,-1.062,-0.616,0.01,0.481,1.686,5.396,8.721,9.5295,10.107,-1.5365,-0.038,0.3445,0.6785,2.102,5.38,7.9375,8.9715,9.9745,-1.171,-0.7195,-0.1475,0.632,1.601,5.217,8.782,9.5935,9.739,-1.0295,-0.488,0.1165,0.6215,1.517,-3.895,-4.521,-4.26
1,8.75,421.857,4.4845,417.114,4.755,1992.1225,422.425,4.484,417.082,4.9935,1988.762,420.556,4.349,415.397,4.834,1991.064,422.621,4.612,417.0055,4.908,1990.797,1.545,-2.268,0.422,414.644,4.372,0.0965,0.0115,0.042,2.5635,1.097,0.129,-3.782,2.977,0.52,1.32,1.02,0.29,-2.784,-3.1595,-2.945,-2.528,-2.993,83.648,79.065,0.9515,-2.05,-1.97,-1.825,45.7,92.25,85.7,84.68,27.9,246.3,299.5,14.93,282.8,298.2,177.52,163.41,164.37,167.13,58.41,56,68.3,68.965,-1.1395,-1.182,-0.156,0.832,1.76,4.924,8,8.632,9.054,-1.075,-0.649,-0.0015,0.4715,1.684,5.4045,8.73,9.528,10.115,-1.424,-0.044,0.338,0.677,2.169,5.385,7.939,9.016,9.97,-1.159,-0.695,-0.158,0.63,1.563,5.217,8.785,9.605,9.7645,-1.018,-0.486,0.112,0.619,1.494,-3.893,-4.355,-4.2405
1,9.25,421.982,4.527,416.774,4.9545,1991.258,422.207,4.5235,416.461,5.072,1991.413,419.586,4.494,415.858,4.826,1994.29,421.829,4.668,416.66,5.21,1990.844,1.4015,-1.978,0.3555,415.211,4.528,0.1795,-0.0065,0.0115,4.892,0.865,0.1445,7.7865,3.225,0.523,1.16,1,0.32,-2.18,-2.362,-2.316,-1.8015,-1.6,83.677,76.48,1.0435,-0.63,-0.855,0.415,71.1,159.02,140.5,141.065,45.085,248.05,305.9,46.935,286.35,308.05,311.095,305.85,286.28,297.15,98.24,98.19,122.9,121.38,-0.856,-1.138,-0.145,0.837,1.7465,4.909,8,8.626,9.053,-0.957,-0.677,0.003,0.47,1.683,5.4045,8.719,9.525,10.113,-1.15,-0.039,0.3435,0.689,2.163,5.384,7.936,8.9665,9.9575,-0.966,-0.662,-0.151,0.631,1.558,5.216,8.7825,9.598,9.738,-0.851,-0.437,0.109,0.621,1.502,-3.924,-4.35,-4.3235
1,9.75,420.837,4.644,417.159,5.1615,1990.436,421.038,4.718,416.888,5.203,1991.517,419.494,4.6595,415.1835,5.186,1998.651,421.0465,4.9275,416.655,5.41,1991.024,1.43,-1.458,0.364,415.2435,4.757,0.119,-0.0345,0.0465,7.4385,0.73,0.169,19.592,3.889,0.533,1.25,1.1,0.39,-1.63,-1.3545,-1.558,-1.1225,-0.742,83.69,71.04,1.37,0.94,0.305,1.55,95.7,233.505,212.65,212.28,62.645,246.65,313.15,86.32,288.8,314.6,470.3,451.42,437.69,464.35,154.63,156.975,177.89,179.345,-0.561,-1.03,-0.128,0.8385,1.7445,4.908,7.999,8.6245,9.0295,-0.826,-0.631,0.009,0.482,1.689,5.393,8.7175,9.522,10.105,-0.794,-0.0195,0.357,0.691,2.0865,5.378,7.933,8.965,9.944,-0.658,-0.551,-0.15,0.631,1.5905,5.2165,8.7825,9.5915,9.737,-0.612,-0.3685,0.116,0.623,1.4945,-3.782,-4.298,-4.164
