DOY2,HR2,CO2,H2O,FC,SC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_2_1_1,TS_3_1_1,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,412.125,3.461375,0.08925,-0.204,-11.6998,-75.0911,-8.849875,0.9939,0.0852,0.2082,0.1816,0.0952,99.6135,42.4675,-6.929,0.1,-5.7907,0.0424,6.7253,7.174175,6.08615,-0.04725,-90.4527,-4.9378,0.0021,210.3655,282.6451
1,0.75,411.8,3.38615,-0.0712,-0.204,-11.888975,-74.11325,-15.3276,0.882375,0.11515,0.329125,0.275875,0.093175,99.6067,42.53875,-6.9195,0.1,-5.85825,0.045,6.72965,7.174175,6.08615,-0.0501,-91.16775,-4.925875,-0.016075,209.44675,282.605975
1,1.25,412.4,3.3782,-1.1562,-0.283,-12.08405,-74.282275,-11.6778,0.871675,0.097075,0.21625,0.255375,0.10265,99.607625,46.60725,-7.4056,0.1,-6.0446,0.0328,6.685575,7.091325,6.0245,-0.046425,-90.742025,-4.970025,-0.041325,212.16825,281.77345
1,1.75,412.4,3.4347,-0.7596,-0.283,-12.274125,-81.79275,-17.9412,0.888225,0.0588,0.246025,0.223975,0.08035,99.62125,46.60725,-7.4056,0.1,-6.40615,0.034725,6.685575,7.091325,6.0245,-0.0542,-89.46085,-4.94355,-0.0619,212.081475,280.46885
1,2.25,412.4,3.4456,-0.7784,-0.2818,-12.4493,-64.030275,-16.1564,1.042625,0.0769,0.238325,0.186875,0.0875,99.613975,42.95325,-7.97075,0.1,-6.650775,0.042175,6.6435,7.0348,5.95295,-0.0651,-90.57315,-4.8608,-0.0762,210.1073,279.2301
1,2.75,412,3.46735,-0.7994,-0.305,-12.599925,-69.673825,-11.2248,0.9611,0.0686,0.2321,0.258275,0.101075,99.604625,42.95325,-7.97075,0.1,-6.73005,0.0409,6.6435,7.0348,5.95295,-0.0681,-90.59115,-4.983725,-0.08865,207.123275,278.99615
1,3.25,412.4,3.43955,0.0526,-0.567,-12.7424,-72.3288,-11.7462,0.966675,0.13615,0.325225,0.240475,0.153375,99.58525,45.734,-8.2335,0.1,-6.86265,0.035175,6.622025,6.97495,5.8936,-0.07135,-89.836175,-4.924,-0.037475,205.953575,278.084725
1,3.75,412.4,3.40065,-0.4232,-0.567,-12.881975,-77.8263,-5.9734,0.678325,0.10215,0.3004,0.2754,0.1406,99.574225,45.734,-8.2335,0.1,-6.989625,0.03745,6.622025,6.97495,5.8936,-0.0821,-92.059475,-4.855175,-0.0588,205.551075,277.79075
1,4.25,412.4,3.4307,-0.2176,-0.157,-13.0037,-72.263975,-5.2402,1.0072,0.0626,0.369,0.2254,0.064,99.558825,42.33575,-8.5515,0.1,-7.209225,0.03745,6.551475,6.96665,5.84415,-0.07235,-93.216025,-5.000175,-0.120775,206.046925,276.866775
1,4.75,413,3.4623,0.0380000000000001,-0.157,-13.112375,-77.946525,-12.1586,1.22015,0.11825,0.3468,0.3016,0.1612,99.5251,42.33575,-8.5515,0.1,-7.220325,0.03835,6.551475,6.96665,5.84415,-0.078125,-93.050775,-4.8078,-0.0922,205.421175,276.46335
1,5.25,413,3.4743,-0.1998,-0.434,-13.206725,-66.351775,-5.6412,1.19575,0.070725,0.24075,0.23425,0.110375,99.494525,45.626,-8.74525,0.1,-7.04055,0.034725,6.483725,6.87875,5.759025,-0.071125,-91.7464,-4.8995,-0.234275,206.218525,276.7932
1,5.75,413.4,3.451,-0.1276,-0.434,-13.2998,-61.9714,-10.3866,1.134825,0.104175,0.306125,0.26475,0.15725,99.3259,45.626,-8.74525,0.1,-7.1121,0.03925,6.483725,6.87875,5.759025,-0.08005,-90.90145,-4.688075,-0.2175,205.737625,276.1958
1,6.25,413.4,3.46125,-0.148,-0.746,-13.389975,-70.47795,-6.472,1.22825,0.0967,0.296625,0.267625,0.16175,99.3653,44.20875,-9.099,0.1,-7.0929,0.0407,6.4415,6.78825,5.69475,-0.072375,-89.9984,-4.69,-0.400475,207.18685,275.511075
1,6.75,414,3.45965,-0.198,-0.746,-13.4747,-63.54435,-13.478,1.12435,0.103525,0.308875,0.26575,0.1535,99.3709,44.20875,-9.099,0.1,-7.18085,0.040875,6.4415,6.78825,5.69475,-0.070425,-89.016,-4.854425,-0.392175,208.4366,275.899075
1,7.25,414,3.34325,0.1282,-3.411,-13.556875,-59.663975,-5.82,1.00135,0.105625,0.3385,0.31375,0.13775,99.374775,47.7305,-9.6135,0.1,-7.311,0.032625,6.4174,6.7618,5.6211,-0.07195,-88.0865,-4.59895,-0.347775,208.0855,275.548375
1,7.75,414,3.137375,0.2362,-3.411,-13.6415,-68.513325,-8.7554,0.9539,0.0877,0.362375,0.27625,0.113375,99.397725,47.7305,-9.6135,0.1,-7.426,0.031175,6.4174,6.7618,5.6211,0.15335,-86.36785,-4.2346,-0.066875,208.511325,274.8477
