DOY2,HR2,CO2,H2O,FC,SC,H,SH,LE,SLE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,SW_IN,SW_OUT,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WS
1,0.25,503.337,3.86676,0.2353197,-0.00516554,-3.127101,-0.232931,2.618975,-0.0263507,99.111,83.846,-3.30799999999999,-4.50199999999995,0.741064,269.54,290.97,-11.207,0.013217,-1.3322,0.15487,-0.0278592,0.3267745,0.146495,0.0357908,0.2418995,1.51379
1,0.75,503.561,3.900665,0.29691605,0.01064838,-1.66052965,-0.108465,3.7978554,-0.0732233,99.19485,83.795,-2.88499999999999,-4.62499999999997,0.75205,259.375,289.565,-22.129,0.0120725,-1.34325,0.038357,-0.0264057,0.400126,0.1443155,0.03544,0.271077,1.449005
1,1.25,502.5545,3.842705,0.3253016,0.0176484,-3.32522,-0.1766775,5.809704,0.0314502,99.15005,86.384,-3.68699999999995,-4.82149999999999,0.6588535,262.715,290.405,-21.84,0.0108645,-1.34595,0.171245,-0.0294036,0.399463,0.1519855,0.03797,0.2160875,1.52592
1,1.75,502.469,3.48768,0.3269471,0.00193172,-1.82249,-0.274427,4.5076247,0.024139535,99.1294,84.4665,-3.59349999999997,-4.78699999999998,0.62753,265.94,288.9,-22.409,0.0129715,-1.11935,0.299685,-0.0140039,0.234896,0.116124,0.0340239,0.210986,1.40811
1,2.25,502.8615,3.83184,0.135207,0.00358656,-2.070429,-0.0829793,5.27873822,0.105483,99.12305,84.66,-4.05799999999999,-4.92349999999999,0.6219915,261.105,288.2,-24.281,0.0127515,-1.7273,0.265285,-0.026623,0.3108665,0.143879,0.03127765,0.2055715,1.538535
1,2.75,503.2925,3.791965,0.3037239,0.015211,-2.011833,-0.0757239,1.9240281,-0.0726134,99.11025,85.5235,-4.21099999999996,-4.72499999999999,0.5695545,257.56,289.87,-21.84,0.0134145,-1.45395,0.3138,-0.0131802,0.2117115,0.1027673,0.0241565,0.1855145,1.288705
1,3.25,503.504,3.77756,0.3550651,0.0127712,-5.1600235,-0.0884395,1.4139543,0.00964508,99.1709,85.401,-3.67899999999998,-4.64899999999998,0.610139,258.22,287.865,-31.1195,0.0130205,-1.71155,0.199676,-0.0218763,0.212425,0.129952,0.0315682,0.137334,1.20962
1,3.75,503.329,3.729085,0.4652558,-0.000912403,-5.513846,-0.0114703,2.668348,0.00564626,99.22345,86.265,-4.06199999999995,-4.81599999999997,0.5643665,253.36,286.13,-33.515,0.015596,-1.80525,-0.001685,-0.01711615,0.2578,0.1152515,0.02333105,0.155749,1.083995
1,4.25,503.741,3.79958,0.383072,0.0216904,-4.415341,-0.294724,2.5108831,-0.0298132,99.1514,89.5535,-4.02749999999997,-4.95049999999998,0.424913,250.455,283.84,-26.103,0.0123085,-1.3621,0.084302,-0.0180627,0.191066,0.118168,0.0196485,0.135328,1.08628
1,4.75,504.01,3.66533,0.3053121,0.009325275,-4.39563205,-0.114089,1.761507,-0.04634575,99.0884,90.148,-4.12399999999997,-4.64299999999997,0.42018,254.725,283.33,-19.909,0.013282,-1.18795,0.151105,-0.0149417,0.268621,0.109816,0.019446,0.186602,0.914096
