DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
2,19.75,0.485,3.3915,3.008,0.928,0.861,0.18525,-3.8485,-1.0975,2.86,1.3015,-2.659,0.4755,0.7235,67.295,78.0875,388.2565,4.695,-72.71,0.47025,-2.9565,2.5535,243.275,319.225,6.113,0.485
2,20.25,0.5195,2.9765,2.942,0.976,0.937,0.203,-4.627,-1.012,2.588,1.109,-2.679,0.439,0.7105,69.065,78.101,388.5985,4.455,-66.11,0.4585,-2.5115,2.555,250.8,317.425,6.136,0.3925
2,20.75,0.5265,2.7775,3.18475,1.079,1.029,0.162,-5.722,-0.198,4.872,0.904,-2.7145,0.4365,0.7065,70.33,78.11,388.669,4.4425,-68.995,0.458,-2.11525,2.752,251.35,316.3,6.05,0.39225
2,21.25,0.50075,2.3685,3.04225,0.9795,0.95925,0.15625,-4.244,-0.012,3.794,1.1,-2.725,0.4255,0.702,70.09,78.11,388.56075,4.26,-68.775,0.45925,-2.64,2.6775,250.95,315.325,6.062,0.39025
2,21.75,0.53175,2.34,3.0205,0.971,1.038,0.15,-3.638,0.296,3.24975,0.56575,-2.7265,0.4255,0.703,70.345,78.1225,388.8205,4.145,-69.78,0.463,-2.90925,2.77625,249.225,314.3,6.045,0.391
2,22.25,0.52675,2.2155,3.143,0.987,0.99775,0.105,-4.022,0.33,3.367,0.61475,-2.721,0.4265,0.7045,75.8425,78.1,388.773,4.0425,-61.205,0.4605,-2.4295,2.6655,253.5,313.65,5.9,0.411
2,22.75,0.50875,2.089,3.042,1.014,0.996,0.13475,-3.16325,0.55725,2.601,0.385,-2.714,0.4255,0.704,80.455,78.1,388.907,3.9475,-62.33,0.4605,-2.654,2.6,249.45,313.1,5.912,0.475
2,23.25,0.50975,2.20875,3.09,1.01625,0.97075,0.17075,-3.35775,2.085,3.165,0.88,-2.7355,0.4235,0.704,78.2975,78.12,389.0555,3.91,-67.045,0.452,-2.161,2.7585,239.75,312.25,5.969,0.475
2,23.75,0.52525,2.05925,3.123,0.95475,0.889,0.103,-2.5265,0.928,2.132,0.7,-2.736,0.423,0.7045,77.7525,78.12,389.13525,3.815,-69.995,0.4605,-2.6495,2.7075,239.15,311.9,6.001,0.5
3,0.25,0.42575,3.6185,2.8915,1.129,0.98575,0.205,-4.203,0.02875,4.873,1.103,-1.77,1.074,2.334,70.635,78.0825,391.67125,4.775,-79.82,0.4795,-2.2825,3.5575,245,317.9,5.413,0.385
3,0.75,0.4605,3.311,2.918,1.1885,1.0695,0.24225,-2.275,0.4805,4.501,0.877,-1.787,1.029,2.233,72.68,78.08,391.77,4.855,-71.595,0.474,-2.1385,3.563,247.45,317,5.495,0.385
3,1.25,0.4715,2.896,2.9015,1.06125,0.9985,0.157,-1.088,0.739,4.07,1.02275,-1.76,0.953,2.142,73.315,78.0675,391.83275,4.71,-76.63,0.474,-2.2505,3.587,246.1,315.95,5.398,0.385
3,1.75,0.45625,2.974,2.83,1.20325,1.05725,0.213,-1.2135,0.381,5.983,1.4245,-1.744,0.928,2.059,75.08,78.065,391.9295,4.62,-77.855,0.48,-1.9135,3.6205,241.55,314.9,5.245,0.385
3,2.25,0.445,2.69,2.815,1.227,1.073,0.229,-2.25,1.601,4.959,1.48325,-1.738,0.897,1.982,75.875,78.0625,391.80425,4.47,-74.335,0.48,-2.048,3.6355,246.95,315.15,4.956,0.385
3,2.75,0.4595,2.59925,2.89325,1.134,1,0.173,-1.178,1.0085,5.39925,1.329,-1.738,0.838,1.913,73.52,78.0375,391.8085,4.3525,-74.11,0.48,-1.841,3.6445,242.6,315.25,5.33525,0.385
3,3.25,0.4655,2.77525,2.9205,1.107,1.0325,0.082,-2.4225,2.52575,4.6375,0.891,-1.73,0.777,1.85,70.77,78.0325,391.8235,4.5325,-67.48,0.48,-1.7445,3.8205,245,314.25,5.17575,0.385
3,3.75,0.4625,2.70475,2.9615,1.242,1.0875,0.161,-2.791,1.247,5.3935,1.186,-1.723,0.75,1.779,73.3,78.02,391.825,4.2825,-65.07,0.469,-2.203,3.5245,244.9,314.1,5.079,0.385
3,4.25,0.493,2.34275,2.917,1.16,1.103,0.20475,-2.086,0.954,4.617,0.96,-1.707,0.709,1.678,73.945,78.0125,391.931,4.3775,-61.73,0.4765,-1.938,3.6395,245.05,313.35,5.078,0.385
3,4.75,0.512,2.1695,2.97425,1.07,1.1565,0.141,-2.591,1.52,4.1555,1.56225,-1.703,0.616,1.581,74.86,78.025,391.853,4.22,-59.39,0.474,-1.7255,3.5705,251.15,311.4,5.17,0.3795
3,5.25,0.5315,1.99075,2.9255,1.07675,1.002,0.126,-1.668,2.05975,3.433,1.50975,-1.688,0.582,1.494,77.31,78.025,391.9065,4.2025,-57.81,0.4715,-1.6985,3.616,248.1,312.05,5.25425,0.385
3,5.75,0.531,1.91975,3.06925,1.091,0.985,0.158,-1.74525,1.93725,4.9815,1.57,-1.686,0.564,1.463,80.45,78.0275,392.0515,4.175,-55.995,0.4745,-1.7895,3.605,256.7505,311.85,5.24475,0.3825
3,6.25,0.538,1.65075,2.997,1.094,1.073,0.158,-1.3995,1.27375,4.49625,1.1425,-1.695,0.549,1.45,77.37,78.05025,392.1115,4.11,-55.275,3.2705,0.233,3.6885,250.95,311.3,5.207,3.0325
3,6.75,0.547,1.955,2.896,0.936,0.901,0.065,-1.6685,4.0305,4.943,1.063,-1.699,0.527,1.445,77.295,78.0575,391.936,4.01,-42.945,57.975,29.795,8.53,247.55,311.3,5.0645,49.04
3,7.25,0.57175,2.9615,3.002,0.743,0.755,0.01,-0.7035,18.678,7.8935,2.5735,-1.697,0.494,1.388,73.67,78.0725,391.7975,4.2275,23.23,243.9,141.3,21.25,251.3,313.6,5.20125,105.3
3,7.75,0.6895,4.777,3.2165,0.734,0.822,-0.014,13.238,36.3245,16.171,4.996,-1.687,0.481,1.367,68.415,78.105,391.3975,4.9775,122.8,486.75,259.2,28.7,251.35,320.85,5.40075,170.05
3,8.25,0.7765,5.993,3.674,0.623,0.75575,-0.043,60.5975,28.834,32.431,5.962,-1.668,0.481,1.346,63.695,78.1225,391.078,5.525,229.75,731.05,382.5,36.355,249.7,327.55,5.6025,216.95
3,8.75,0.8535,7.02225,3.95525,0.2705,0.4925,-0.02425,131.021,27.2245,55.097,2.341,-1.632,0.486,1.327,62.8,78.125,390.655,6.6975,329.85,941,496.75,49.02,245,338.1,5.50875,271.45
3,9.25,0.91,7.4465,4.3015,-0.45,0.088,-0.038,180.653,19.569,66.54075,2.3975,-1.628,0.595,1.309,58.965,78.1425,390.222,7.1525,407.25,1128,605.65,68.84,249.6,345.45,5.314,308.25
3,9.75,0.958,8.02,4.38025,-1.083,-0.675,-0.007,232.8,16.653,79.57525,2.0795,-1.024,0.9155,1.31475,56.635,78.1525,389.843,7.6925,496.95,1326.5,716.8,88.2,251.4,351.65,5.414,365.15
3,10.25,0.994,9,4.288,-1.313,-0.987,-0.004,272.754,12.06,89.188,1.0055,-0.827,1.096,1.379,54.1625,78.1625,389.62,8.11,562.3,1465.25,789.475,112.2,253.8,358.375,5.525,395.125
3,10.75,1.047,9.555,4.3005,-1.4335,-1.224,0.00725,325.162,10.9895,111.49,0.8285,2.1635,2.14425,1.4165,52.49,78.18,389.482,8.53,615.05,1614,862,122.775,264.8,366.3,5.348,448.1
3,11.25,1.024,10.0925,4.35025,-1.64675,-1.486,-0.01125,341.588,12.039,115.01375,1.55725,9.07,3.47925,1.63875,47.63,78.17,389.22,8.94,656.65,1719,928,133.075,267,374.925,5.2475,460.3
3,11.75,1.02475,10.3875,4.327,-1.907,-1.7185,0.0385,350.07175,8.1255,122.146,1.534,19.47,4.718,1.99,46.58,78.14,388.95175,9.26,688.125,1786,963,146.4,265.8,379.175,5.19375,511.4
3,12.25,1.0295,10.6425,4.42925,-1.986,-1.938,0.0605,359.99425,7.57075,124.9755,1.825,22.89,5.198,2.224,44.83,78.13,388.8775,9.49,701.65,1825,979,156.2,269.5,382.425,5.053,565.8
3,12.75,1.012,10.87,4.4385,-2.204,-2.24,0.063,372.5265,7.8055,124.638,2.095,24.0125,5.43,2.66275,43.2,78.12,388.778,9.785,710,1825,987,153.3,274.5,383.95,5.057,567.6
3,13.25,1.062,11.3925,4.673,-2.08,-1.99975,0.0615,360.62925,6.027,125.6825,2.2655,26.3525,5.52225,2.908,43.45,78.07,388.427,10.015,701.15,1810,974,144.2,274.3,386.8,5.393,516.4
3,13.75,1.03375,11.51,4.4975,-2.333,-2.254,0.057,351.409,4.85675,119.8435,2.14175,26.1,5.382,3.09875,42.9,78.04,388.45575,10.2,671.9,1755,934,136.4,274,387.3,5.307,582.6
3,14.25,1.041,11.7075,4.627,-2.338,-2.226,0.067,343.392,4.379,125.326,2.351,23.6625,5.12,3.2715,39.8375,78.015,388.266,10.22,630.6,1637,882,119.3,273.9,384.7,5.2995,558.6
3,14.75,1.0215,11.825,4.638,-1.843,-1.872,0.056,312.102,4.646,124.5705,1.848,20.8,5.1305,3.4645,39.88,77.991,388.242,10.36,574.6,1509,809,109.3,269.3,381.8,5.1095,522.8
3,15.25,1.0075,12.0575,4.79725,-1.94675,-1.88975,0.05725,293.38325,3.58725,117.988,1.5835,19.305,5.147,3.552,39.59,77.99,387.96425,10.59,504.675,1344,727.4,87.1,272.3,377.6,4.9895,456.8
3,15.75,1.03,11.89,4.66925,-1.77,-1.77825,0.0895,249.44775,0.88,101.23875,2.2285,16.02,5.099,3.6375,39.73,77.99,387.883,10.5975,428.2,1187,633.1,75.2,270.9,370.9,5.032,383.6
3,16.25,1.005,11.75,4.737,-1.5265,-1.4145,0.0795,196.154,-2.0225,86.793,2.805,14,5.005,3.712,41.06,77.99,387.89075,10.48,337.125,989,521.1,53.87,266.7,364.5,5.08575,305.4
3,16.75,0.993,11.6075,4.453,-0.8245,-0.741,0.09,138.424,-2.718,75.81975,2.5175,11.775,4.857,3.758,39.7,77.991,387.949,10.13,234.025,771.2,401.9,40.26,266.9,360.6,5.352,262.9
