DOY2,HR2,CO2,H2O,G_1_2_1,G_2_2_1,G_3_2_1,G_1_1_1,G_4_2_1,SG,USTAR,LE,H,FC,SLE,SH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,TA_1_1_1,TA_1_1_2,TA_1_2_1,RH_1_1_1,RH_1_2_1,WS,PA,TS_1_2_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_1_1,TS_1_3_1,TS_2_4_1,TS_2_2_1,TS_3_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_3_2_1,TS_4_4_1,TS_3_5_1,TS_4_2_1,TS_5_4_1,TS_4_5_1,TS_2_1_1,TS_2_3_1,TS_6_4_1
1,0.25,397.06,4.712825,-1.4077,-0.746042500000001,-0.896595000000001,-0.0138115000000011,-0.79627,-0.864495,0.39756,2.5086,7.6259,0.08929,0.3891,0.71568,13.0285,1.5278735,1.1519805,298.69575,298.90525,0.33520515,0.1020903625,-1.28316499999999,-2.027525,-2.2726625,96.429885,97.267455,7.1370725,97.0391375,-2.1512625,-2.0342975,-1.9582975,-1.7199,-0.42580625,0.8057135,-2.0043475,-1.76113,-1.11609,-1.548145,-1.35275,-1.701725,-0.8426875,0.0774249999999996,0.980093,-1.572665,-1.5143675,-1.3388925,-6.3221,-5.78233,-5.53716,-1.780275,-1.784815,-5.78233
1,0.75,397.2475,4.505,-1.4384,-0.761612500000002,-0.913107500000001,0.00482249999999883,-0.89647,-0.845257499999999,0.407619999999999,1.561675,8.65224999999999,0.10168025,0.500984999999999,1.084125,13.5,1.75350475,1.5083725,297.227575,296.4878,0.488178250000001,0.068166445,-1.90026,-2.188315,-2.5981625,96.4667375,97.2113175,6.7511775,97.058025,-2.1513,-2.029795,-1.9674825,-1.73408,-0.38990075,0.82947825,-1.9887525,-1.9214275,-1.12331,-1.557865,-1.370075,-1.7050725,-0.8416875,0.0740944999999994,0.9734435,-1.5669075,-1.4966625,-1.2956625,-6.31378,-5.78322,-5.52641,-1.809915,-1.78575,-5.78322
1,1.25,398.24,4.5732,-1.515,-0.771452500000002,-0.916462500000002,0.0215799999999992,-0.92599,-0.825712499999999,0.35736,0.96206,9.5325,0.1198,0.511505,1.164,14.19875,1.523861,1.21869625,298.75475,295.6742,0.594703225,0.0631989975,-2.4656575,-2.71765,-2.9439425,96.43032,97.4172525,7.0821025,97.0377625,-2.1651925,-2.0229725,-1.9748075,-1.728235,-0.376902,0.793123,-1.92375,-1.94991,-1.130205,-1.546115,-1.358665,-1.710745,-0.841118,0.0913519999999997,0.979317,-1.575885,-1.497315,-1.2854025,-6.29319,-5.78093,-5.51581,-1.79489,-1.77749,-5.78093
1,1.75,398.1725,4.51725,-1.697025,-0.788860000000002,-0.907862500000002,0.0252859999999985,-0.823210000000001,-0.799112499999999,0.38087,1.470825,9.75589999999998,0.09896675,0.477235000000001,1.9138,13.45875,1.44169675,1.09760475,298.675125,295.23575,0.855697300000001,0.0748554975,-2.56174,-2.84285,-3.1673,96.350825,97.8063025,6.7557825,97.0365,-2.14551,-2.0233125,-1.96991,-1.7261825,-0.396897,0.82570475,-2.0108325,-1.821655,-1.1311475,-1.55327,-1.3696425,-1.688135,-0.8419085,0.0973115000000001,0.97643,-1.5778925,-1.50054,-1.286935,-6.2838,-5.76826,-5.51222,-1.848895,-1.7752875,-5.76826
1,2.25,398.08,4.2898,-1.65325,-0.805922500000002,-0.913392500000002,-0.383374000000003,-0.992677500000002,-0.779242499999999,0.40378,1.7922,8.4236,0.11864,0.51216,1.6287,13.55875,1.919075,1.22359425,300.281325,294.916975,0.653739475,0.1181896,-2.3235475,-2.81838,-3.050375,96.331095,97.5690425,6.37938,97.0378,-2.101035,-2.02266,-1.9664375,-1.7122825,-0.41261125,0.79592125,-1.8507925,-1.94212,-1.102905,-1.53916,-1.3735325,-1.6825475,-0.856928500000001,0.0561474999999999,0.958556499999999,-1.59488,-1.4941075,-1.366985,-6.2811,-5.76257,-5.50866,-1.7979425,-1.7818625,-5.76257
1,2.75,398.485,4.5042,-1.6235,-0.825722500000002,-0.917097500000001,0.0126519999999978,-1.0273125,-0.857047499999999,0.40903,1.2962225,9.1805,0.1325675,0.68567,1.24155,13.34275,1.53193375,1.10305425,298.39835,294.98955,1.10113185000001,0.06838454,-2.924825,-3.1176,-3.5261825,96.3887075,97.2481875,6.49452,97.03775,-2.154405,-2.026995,-1.972865,-1.72401,-0.44525975,0.80881025,-2.059645,-2.0569075,-1.0802775,-1.5487,-1.3929775,-1.7091275,-0.867845000000001,0.0564987500000001,0.939554250000001,-1.59897,-1.5066625,-1.3692575,-6.27599,-5.74736,-5.49545,-1.8294225,-1.7921375,-5.74736
1,3.25,398.585,4.4706,-1.556775,-0.831335000000001,-0.958232500000001,-0.0789722500000005,-1.060245,-0.896882499999999,0.36985,2.1984,13.21825,0.16376,0.555440000000001,1.70295,11.696,2.247882,1.2879475,296.2094,295.175925,1.05198675,0.0753811900000001,-3.2176975,-3.36615,-3.58382,96.222485,97.30217,6.1415825,97.0119,-2.14032,-2.0316725,-1.9859025,-1.7511875,-0.44574125,0.81574175,-2.165695,-1.9647975,-1.0612675,-1.543345,-1.3785925,-1.6354325,-0.857122000000001,0.0528562500000001,0.95401175,-1.6007225,-1.5371075,-1.3075925,-6.29507,-5.74953,-5.49023,-1.84801,-1.7768675,-5.74953
1,3.75,398.6625,4.3968,-1.34705,-0.849055000000001,-1.0028375,-0.357840750000003,-0.931145000000001,-0.879587499999999,0.36514,1.675375,7.80139999999999,0.1262075,0.581180000000001,1.4417,13.14375,1.90021675,1.3074475,294.055275,294.069225,0.55833405,0.0752496325000001,-3.20349,-3.23225,-3.5678825,96.211925,97.03651,6.39321,97.017825,-2.0867125,-2.0422125,-1.989055,-1.7167475,-0.454913,0.81699375,-2.0047675,-1.7689775,-1.0433625,-1.5536025,-1.36879,-1.709315,-0.850648000000001,0.0545145,0.9566105,-1.600325,-1.5219725,-1.3472925,-6.2815375,-5.73972,-5.493645,-1.8748625,-1.7873675,-5.73972
1,4.25,398.375,4.494225,-1.374475,-0.863412500000001,-1.0488925,0.0123119999999989,-0.97762,-0.866742499999998,0.39441,0.9953,8.83862499999999,0.15152,0.5093325,1.91954999999999,12.86175,1.595001,1.1231175,292.893375,294.265325,0.769941825000002,0.0750264500000001,-2.9027975,-3.08095,-3.501025,96.212925,97.08854,6.588825,97.0424,-2.131,-2.04003,-2.0110525,-1.76221,-0.396279,0.80092125,-1.964805,-1.893375,-1.0615825,-1.5575825,-1.315,-1.7146275,-0.84634,0.0594135000000001,0.98082675,-1.6318525,-1.5531225,-1.2892025,-6.26927,-5.72691,-5.487655,-1.8590125,-1.7366325,-5.72691
1,4.75,398.3,4.5132,-1.63635,-0.848922500000001,-1.0900325,-0.727124000000007,-0.9844425,-0.850682499999997,0.3912475,2.8966,14.93475,0.1159425,0.689934999999999,2.00134999999999,14.306,1.512726,1.2061395,293.133475,294.5727,0.814533850000002,0.07825049,-3.0166825,-3.20625,-3.402455,96.089075,97.18939,6.5496175,97.0336,-2.0908875,-2.0369975,-2.0120525,-1.7715325,-0.455234,0.80287125,-2.026165,-1.884715,-1.003991,-1.4507,-1.257955,-1.7085275,-0.845779000000001,0.0623820000000002,0.972039,-1.625815,-1.55762,-1.28818,-6.2665625,-5.70269,-5.4709975,-1.8661625,-1.750595,-5.70269
