DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,RH,VPD,WS,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PA,T_CANOPY,TS
1,0.25,0.141589,0.0830375,0.086983,0.000717508,-6.361399,-0.093664,0.508982,-0.0001025,381.2372696,2.976827,-9.4033,-5.0352185195,-2.3163725,-2.1859576665,-1.8731285,-0.44178135,-22.17478,84.4525,0.374222979,2.811620626,-0.17105,-0.09547,243.63,269.28,0,98.3381,-10.6515,-2.549666667
1,0.75,0.141,0.094431,0.09856469,-0.002374867,-5.8135595,-0.081597,0.71988,0.0001205,381.7241648,2.91049,-9.4602,-4.90156679,-2.326471,-2.1917591665,-1.887996,-0.44687545,-20.29408,84.724035,0.36339846,2.784875,-0.16834,-0.06405,246.1,269.63,0,98.258,-10.447777065,-2.543133333
1,1.25,0.152164,0.078732,0.0877102975,0.00069,-5.7948,-0.1031405,0.79349,-0.0052615,382.0292527,2.9708855,-9.59515,-5.178114667,-2.30555,-2.06874,-1.575459,-0.44754965,-19.9290937,85.17,0.3505641935,2.799897,-0.16484,-0.058025,245.8,269.91,0,98.271,-10.335,-2.584966667
1,1.75,0.149616875,0.053951,0.065979,0.000962,-5.3911575,-0.1086985,0.4787555,-0.0176195,382.0337572,2.9336655,-9.6083,-4.9494829155,-2.327466,-2.09105,-1.591414,-0.439564,-19.649,85.41,0.3391400865,2.864,-0.17351,-0.064595,247.21,268.48,0,98.229,-10.337,-2.611655556
1,2.25,0.1478725,0.079733,0.088171489,0.000266,-5.611668,-0.109035,0.367655,-0.017161,381.81177,2.971653,-9.7178,-5.2296225,-2.364496,-2.124317,-1.616255,-0.44442775,-19.20802267,85.63,0.3382251385,2.68025,-0.17071,-0.060945,247.42,268.74,0,98.24612,-10.73,-2.680144444
1,2.75,0.150208168,0.06559,0.0812571615,-0.0022872265,-5.695955,-0.086624,0.6351535,-0.017697,381.543683,3.040101,-9.7921,-5.2792129335,-2.414361,-2.168042,-1.654038,-0.44886225,-19.132,85.63,0.331462603,2.644375,-0.15013,-0.06121,247.38,268.905,0,98.302005,-10.547,-2.673566667
1,3.25,0.1378605,0.063064,0.057468993,0.003364,-5.0243115,-0.147501,0.524455,-0.0175685,381.75788675,3.082366,-9.8156,-5.4309330885,-2.457004,-2.205518,-1.68728,-0.4470519,-19.93037,85.37,0.335789617,2.631125,-0.16476,-0.091747113,245.205,268.055,0,98.29483,-10.964,-2.692966667
1,3.75,0.137173,0.0843305,0.0615595,0.001425,-6.113512,-0.152797,0.4247785,-0.0195865,381.8572888,2.8501885,-9.8733,-5.566700263,-2.499666,-2.242373,-1.716692,-0.4441163,-19.844,85.523,0.32092885,2.583305859,-0.16778,-0.061185,243.785,267.515,0,98.2515,-10.977,-2.697393333
1,4.25,0.136852,0.038175,0.052743,0.003241,-5.3102,-0.16431,0.474739,-0.0142895,382.3935172,2.773023,-9.8501,-6.145290382,-2.543233,-2.2387,-1.749412,-0.47599965,-18.2986,85.625,0.309,2.502624471,-0.169595,-0.055825,244.5,267.7753,0,98.257,-10.839,-2.729133333
1,4.75,0.1415935,0.047575,0.032813,0.0036255,-5.234344,-0.130442,0.636722,-0.022136,382.1943802,2.8636825,-9.912,-5.937499594,-2.5193,-2.2268,-1.761393,-0.4832232,-18.991,85.3355,0.321,2.471,-0.16504,-0.059197009,243.77,266.5,0,98.3225,-10.877,-2.74738
1,5.25,0.138781,0.0760275,0.0787345,0.002489782,-4.8249685,-0.054378,0.828834,-0.024987,382.19868845,2.985252,-10.189,-5.7416747435,-2.526004,-2.211933333,-1.787901,-0.47242385,-20.13553058,85.17,0.3103939185,2.467142,-0.159115,-0.07066,242.08,266.06,0,98.3215,-10.957,-2.795555556
