DOY2,HR2,CO2,FC,H2O,SC,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,H,LE,PA,T_SONIC_1_1_1,T_SONIC_1_2_1,T_SONIC_1_3_1,T_SONIC_1_4_1,T_SONIC_1_5_1,T_SONIC_1_6_1,T_SONIC_SIGMA_1_1_1,APAR,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT,TAU_1_1_1,USTAR_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1
1,0.5,709.3136425,1.40411102840909,6.97183960941269,0.230667095265865,-1.44735175,-1.637799,-2.416301,-5.42102325,-0.78989695,3.34838999850515,93.70812125,5.192883725,5.0040787,4.6620687,5.0190631,4.6958577,4.7405739,0.4401149375,0,322.25195,332.6013,-12.48686875,0,2.211940375,-0.013094939,0.4196937125,0.808474228667871,0.54457508995164,0.443509844015748,0.416402737944797,0.360714803069755
1,1.5,712.074875,1.5087065,6.64091945244724,0.28843298401063,-1.69103,-1.698737,-2.891584,-5.74616375,-0.3180277875,2.62391093393368,93.701599,5.2148021,4.92843645,4.688626,4.97368515,4.875446,4.56210925,0.41165535,0,321.096575,331.873875,-11.4764425,0,2.261622125,-0.0139162065,0.3681345,0.837256064593615,0.541365374988376,0.470374211914152,0.401984328860745,0.34741972044212
1,2.5,714.3778,1.79691075568182,6.47622350745162,0.334861617974543,-1.887954,-1.62029775,-2.86859175,-5.43914525,-0.6971373125,3.5882337612591,93.724473,4.7383188,4.81199415,4.68256,4.786553825,4.5403425,4.36982815,0.46111755,0,317.4740625,330.6616875,-11.6778225,0,2.223138375,-0.0123519725,0.410072,0.770546876665972,0.53008917262068,0.427236205468211,0.413826615355275,0.327169813045837
1,3.5,713.348795,1.58978881818182,6.40600162647674,0.331179741283949,-1.93087725,-1.55131325,-3.16083175,-5.89553625,-2.153226875,3.63674754648345,93.677362,4.7340141,4.36782455,4.080751075,4.27058945,4.153209,4.0501062,0.4364126,0,313.9881625,329.661075,-13.508488,0,2.1674405,-0.0115578595,0.38281745,0.817879218556584,0.556817842829099,0.465812352328414,0.419590255088805,0.329639347816359
1,4.5,713.38883,1.84650122727273,6.33592467582509,0.209775650721498,-2.1670495,-1.66313675,-3.2446345,-6.10503125,-0.3058321475,4.91568816842449,93.644178,4.2331616,4.150360625,3.454564375,3.45733675,3.5399253,3.46562375,0.4073168,0,312.7324375,327.52815,-9.023821875,0,2.266884625,-0.012293381,0.38754415,0.892215165748311,0.57187842154375,0.39957733434128,0.36685926306315,0.303805670524434
1,5.5,714.973055,1.43563559090909,6.39548302930171,0.217443543429682,-2.32156175,-1.74395775,-3.39754025,-6.8011875,-1.862266625,4.96416857342936,93.727626,4.1366644,3.901806125,3.2471389,3.46871145,3.27905765,3.3336303,0.4353259,0,315.3766,325.0350625,-6.92609575,0,2.151606,-0.01282151475,0.3598116,0.760725534551505,0.507359370160272,0.42218031899378,0.414133578960651,0.342833333530175
1,6.5,718.488305,1.47991351136364,6.70845092063989,0.228878737308596,-2.295810875,-1.869401,-3.632657,-7.136611,-0.3965835625,2.70089699232627,93.747401,3.9533025,3.604286225,3.1038132,3.3413694,3.44568975,3.386675175,0.40336945,0,317.2054625,324.4520125,-7.428713375,0,2.233540375,-0.012641461,0.35773225,0.67743158736178,0.458707170018422,0.393605579747824,0.357112560004245,0.288286940423148
1,7.5,719.52591,1.29011393181818,6.87250545129407,0.162015950240119,-2.42757925,-2.066664,-3.78418525,-7.248915,-0.9630998,2.85258785529838,93.760622,4.0311566,3.90529925,3.177741025,2.9773246,2.6747955,3.2167021,0.4183385,10.2442655,313.4898,324.5758875,-4.890784,1.907381225,2.7702505,-0.01201298625,0.32506365,0.706780306930382,0.451476591717368,0.364959140823023,0.340346587183416,0.282065333599645
1,8.5,719.267455,1.02630573863637,6.57115654359384,-0.0906017702296816,-2.5972255,-2.13675625,-4.0529145,-6.75171475,-0.3190408125,4.35014012217677,93.789902,3.7763638,4.12424945,3.582731825,3.66542625,3.6524555,3.889222,0.4316561,67.249416,308.4195,325.6713625,10.082365,35.286045,5.8882105,-0.014009625,0.359269,0.61041982389829,0.398122100585691,0.34845203096309,0.324662616515182,0.286373911500438
1,9.5,716.083985,0.779665085227273,6.87434341665515,-0.106710947021554,-2.46282225,-2.2276305,-4.0027015,-5.41552975,11.069282,34.533606389806,93.77957375,4.980616225,4.414744625,4.178211925,4.39980645,4.4266981,4.5261756,0.5222715,423.223015,315.7611125,330.9762875,130.7369375,216.427095,24.88289375,-0.02238426,0.4298352125,0.844678609511113,0.61964267744628,0.491921519726432,0.484586736973665,0.403572793868282
1,10.5,708.2379,1.10180747727273,6.78097809264436,-0.0374945771461809,-1.776513,-2.3407285,-3.3465685,-3.349809,68.09881,36.3158146054831,93.8156145,6.702031275,6.17783495,6.001853375,6.2032565,6.3339762,6.4876574,0.5898747875,903.543625,313.13945,344.3626625,333.5245625,465.5119625,53.28811625,-0.050742775,0.529756775,1.04903796121698,0.754783423896215,0.599182215793534,0.698810093153639,0.616342243960481
1,11.5,696.04352,0.756124244318182,6.79545222560163,0.0349596584636956,-1.4347386,-2.301772,-3.180041,0.42566325,107.873495,56.2582897708627,93.7679955,8.044495525,8.0447254,7.708961475,7.915729125,7.9652004,8.0701795,0.46758535,1134.75265,309.0464375,354.4731375,432.025725,581.4988625,66.113415,-0.106749945,0.57217305,1.2672354626693,0.894640137189584,0.692381885052232,0.626526468604203,0.541119712756688
1,12.5,688.916295,1.82668702272727,7.00036802249898,-0.0198505518351156,-0.498874175,-2.21677375,-1.92458525,4.8044865,136.64769,46.2575596796923,93.714318,10.0974795,9.315310625,9.3115508,9.7038598,9.0482341,9.3006803,0.458353175,1242.6469,312.5449,363.1623375,477.1418,639.0399875,72.47370875,-0.12205874,0.60174895,1.26456693006835,0.841913051378687,0.693968759387589,0.593264817974386,0.473435144449423
1,13.5,682.706295,0.762056727272727,7.11277989839641,-0.00672033798405026,0.18914985,-2.090367,-0.8645099,7.2605735,157.71344,41.9062094613517,93.6406735,10.90185725,9.9393948,9.8724496,10.134124,10.267342,10.497835,0.4247752375,1218.4157,318.3021625,367.702575,463.798025,620.690025,71.43185875,-0.1455128125,0.6517316625,1.30965634234576,0.934942347494204,0.739126420102788,0.586190124746431,0.451727104536425
