DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,TA,PA,RH,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,PPFD_IN
11,22.25,-0.02515,-19.54025,12.69395,5.47859,2.65851,0.1724,17.77665,16.5783,100.2655,84.3593,3.9876,420.945,14.1944,0.5776625,0.45935,0.2342125,0.3142215,0.0024,0.2038,0
11,22.75,-0.03585,-18.3512,10.92285,4.8584,2.703445,0.1966345,17.24255,16.21705,100.262,88.0705,3.93035,420.828,14.03685,0.595068,0.51715,0.2720755,0.313152,0.0021,0.2259,0
11,23.25,-0.0324,-18.36425,10.4992,5.0812,2.76626,0.183087,16.8803,15.6367,100.27,88.35,3.6224,420.004,13.8626,0.6082,0.4834,0.247927,0.314,0.0028,0.1834,0
11,23.75,-0.0338,-17.90715,10.569,5.39269,2.5929,0.180956,16.4831,15.3772,100.3,89.01205,3.18446,427.3295,13.7563,0.6,0.486572,0.25975,0.305,0.00305,0.194,0
12,0.25,-0.02855,-19.5772,9.29594,5.8042,2.40067,0.1884495,18.81595,17.51045,100.2,81.2034,4.181095,432.086,14.67535,0.5778585,0.47845,0.24695,0.2959685,0.00275,0.16255,0
12,0.75,-0.0262,-18.9115,8.030525,5.65561,2.4557,0.182001,18.4768,17.2376,100.157,83.083,3.84935,433.109,14.4176,0.58804,0.490368,0.243382,0.27672,0.00355,0.1666,0
12,1.25,-0.0273,-17.9339,8.58091,5.29282,2.4347,0.186017,18.0377,16.8801,100.147,85.9743,3.572615,431.579,14.14275,0.5939,0.495432,0.2506,0.283403,0.0029,0.168,0
12,1.75,-0.03,-15.9518,5.46319,5.146015,2.45351,0.179914,18.0474,16.7338,100.1315,88.12355,3.47894,432.934,14.5377,0.5515,0.4984,0.251876,0.2671,0.0027,0.1477,0
12,2.25,-0.0286,-14.7886,7.05688,5.179365,2.48168,0.182769,17.5557,16.5211,100.14,91.5719,3.48018,430.983,13.9867,0.592802,0.484581,0.249672,0.268298,0.0027,0.1775,0
12,2.75,-0.0416,-15.8202,4.807115,5.16279,2.3421,0.199474,17.3881,16.4139,100.115,88.9792,3.2524,432.876,13.862,0.603704,0.5036,0.2667,0.261093,0.0028,0.1649,0
12,3.25,-0.0306,-16.1278,4.819,5.24538,2.39889,0.1844865,17.12355,16.08565,100.111,89.80655,2.97077,434.844,14.0813,0.567923,0.460151,0.239801,0.243014,0.0024,0.1684,0
12,3.75,-0.02985,-13.6511,4.38346,4.85357,2.36585,0.1765545,16.81615,15.76665,100.096,92.6136,2.91799,435.473,13.1305,0.5453935,0.46625,0.2493425,0.244601,0.0033,0.1506,0
12,4.25,-0.02825,-12.7883,4.56088,5.0205,2.306335,0.179455,16.7194,15.5836,100.0955,92.2116,3.05845,435.821,13.3726,0.528345,0.4636795,0.235804,0.2482755,0.003,0.12845,0
12,4.75,-0.0275,-11.5684,4.42536,5.4745,2.41797,0.1594,16.5003,15.4138,100.1,96.66,3.15332,436.149,13.3436,0.5604,0.455315,0.227182,0.23846,0.00195,0.10995,0
12,5.25,-0.0305,-11.8191,3.9816,5.579615,2.424,0.160562,16.3191,15.2548,100.103,98.45665,3.14772,433.99,13.27795,0.557726,0.447282,0.2395,0.228668,0.00225,0.1005,0
12,5.75,-0.03155,-12.0486,6.26747,5.138265,2.454815,0.183872,16.0877,15.12515,100.109,99.15315,2.95601,434.805,12.9475,0.564552,0.4750785,0.2477695,0.213502,0.00225,0.1229,0
12,6.25,-0.03785,-8.963335,9.493115,3.751,2.537935,0.1825875,16.03655,15.1077,100.134,97.64375,2.94403,437.043,13.47065,0.5735575,0.47905,0.2500995,0.2274935,0.0021,0.17245,14
12,6.75,-0.0487,-2.13548,25.3704,1.14791,2.5596,0.2047,16.2862,15.3548,100.259,97.13165,2.91041,430.256,13.4472,0.651398,0.528587,0.27187,0.29851,0.0028,0.23055,108
12,7.25,-0.06935,9.605165,49.0532,-1.350495,2.889985,0.2454875,17.3323,16.15935,100.279,89.0775,3.317795,422.714,13.8642,0.756157,0.63075,0.312997,0.380634,0.00235,0.2353,228
12,7.75,-0.09805,21.0761,71.8859,-2.569745,3.551395,0.2849425,18.32225,17.0285,100.28,82.1459,4.3973,411.261,13.8314,0.864709,0.746832,0.355477,0.3859465,0.0021,0.30975,394
12,8.25,-0.116313,39.94715,97.97755,-4.64094,3.8894,0.3167,19.3624,18.0013,100.273,80.1009,5.1953,405.9565,14.2133,0.9628,0.833289,0.39258,0.437597,0.0018,0.355,620
12,8.75,-0.1297595,63.2379,128.335,-6.8444,4.066405,0.3259,20.0675,18.82135,100.299,72.4613,7.072035,400.844,14.09195,1.01696,0.888848,0.400546,0.507739,0.0018,0.4318,869
12,9.25,-0.146615,72.643,156.865,-8.01931,4.13669,0.3526575,20.839,19.5703,100.2805,67.2464,8.37182,397.479,14.0303,1.032685,0.9555875,0.4216905,0.556736,0.002,0.4683,1077
12,9.75,-0.142966,87.1076,180.4815,-9.1378,3.96687,0.354448,21.6223,20.4364,100.2795,63.1491,9.172865,395.402,14.6278,1.1016,1.03238,0.4219,0.571701,0.0019,0.5122,1216
12,10.25,-0.133402,96.867,198.651,-9.2613,4.02065,0.337731,22.4386,21.1917,100.224,60.28085,9.993335,394.8285,14.42885,1.12831,1.0826,0.426585,0.587652,0.0019,0.5344,1406
12,10.75,-0.13214,104.308,230.79,-9.53001,4.02299,0.333955,23.1688,21.7738,100.223,57.9499,10.8536,393.831,14.8643,1.12483,1.12521,0.429615,0.6222,0.002,0.5926,1445.5
12,11.25,-0.136191,117.412,249.82,-10.13575,3.89981,0.342973,23.736,22.4251,100.206,55.8956,11.384,393.131,14.9635,1.188,1.18571,0.430385,0.639177,0.0021,0.62425,1767
12,11.75,-0.125701,118.619,272.07,-9.82586,3.90596,0.3332,24.264,22.9885,100.2,54.293,11.9783,392.957,14.3113,1.2184,1.15714,0.4338,0.6626,0.0022,0.7503,1896.5
12,12.25,-0.1255105,116.156,287.675,-9.744275,3.728535,0.3314895,24.8939,23.4294,100.2,50.81265,13.0553,393.226,14.6214,1.21922,1.21892,0.4415235,0.64855,0.0021,0.7643,1967
12,12.75,-0.129104,117.804,303.38,-9.5845,3.67449,0.3431,25.4168,24.0652,100.184,47.2917,14.389,393.077,14.51595,1.2531,1.2722,0.4466,0.67772,0.0021,0.7937,1984.375
12,13.25,-0.120784,115.948,318.3825,-9.26472,3.7402,0.3376,25.9799,24.4985,100.135,44.2681,14.9772,393.4095,14.274,1.28127,1.28241,0.44167,0.6514,0.002,0.7481,2018
12,13.75,-0.131631,118.977,321.157,-8.6163,3.7017,0.344185,26.3094,24.5978,100.107,42.4583,15.34055,393.1005,14.2612,1.25611,1.26819,0.4339,0.65187,0.0019,0.7835,2014.25
12,14.25,-0.1198,105.997,306.699,-9.6719,3.68651,0.3361,26.7163,25.0815,100.1,41.39325,16.2332,392.868,13.8151,1.2541,1.29682,0.43794,0.635744,0.0019,0.79235,1991
12,14.75,-0.1253505,105.538,309.707,-9.4721,3.81432,0.3403275,26.62205,25.24655,100.045,40.9064,16.5481,392.724,14.1483,1.31024,1.27936,0.44615,0.618887,0.0018,0.82315,1918
12,15.25,-0.128364,95.5573,271.034,-8.3929,4.02016,0.335,26.5809,25.7548,100.0015,40.9954,16.81575,392.5135,13.9531,1.29037,1.24974,0.4378,0.579516,0.0018,0.7524,1798
12,15.75,-0.12135,76.7647,265.688,-7.886955,3.94723,0.3390625,26.7783,25.8291,99.99935,40.53655,16.755,392.148,14.1699,1.278105,1.245215,0.4303775,0.5138045,0.0017,0.7332,1687
12,16.25,-0.136979,70.18795,245.469,-7.2445,4.10695,0.3514185,26.81545,25.99185,99.9968,39.38195,17.5453,392.645,13.822,1.24095,1.181085,0.4401555,0.4906675,0.0015,0.7026,1538
12,16.75,-0.1303625,48.04045,219.749,-5.26557,3.951585,0.340494,26.7046,25.6166,99.95165,39.3949,17.71475,392.36,13.8435,1.24949,1.130055,0.4225725,0.4157815,0.0013,0.63425,1356.375
12,17.25,-0.122045,32.2047,195.449,-4.9382,4.05855,0.3288,26.7124,25.735,99.92785,40.1043,17.87395,392.0885,13.5861,1.1731,1.04983,0.4196,0.357716,0.0011,0.668,1146
12,17.75,-0.1082235,17.4523,154.8245,-2.855,3.911195,0.3110805,26.64725,25.55795,99.93475,40.5281,17.774,391.7935,13.84225,1.07199,0.991783,0.3968,0.2985,9e-04,0.55145,957.625
