DOY2,HR2,CO2,FC,G,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SW_IN,SW_OUT,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,USTAR,VPD,WS
1,0.25,432.30375,1.2816275,-5.71122916656665,4.423035,5.89498226256745,21.028325,302.5,314.2,-7.241,99.9076,-0.014,-0.003,93.6382941236594,0,1.8705,0.433383875,2.18725,3.1,5.4585,5.70825,1.62925,3.46675,4.9,5.3,0.4605,1.347,2.67075,3.45375,4.124,4.603,5.046,5.618,6.616,0.81125,1.594,3.19175,3.835,4.11825,4.69325,5.0555,5.511,6.41,0.33123716029175,0.955561102315203,5.10953412389918
1,0.75,431.897,0.78763,-7.33143465283297,6.71963,5.84693537444585,21.95025,304.1,314.85,-6.623,99.9076066170247,-0.01825,-0.002,94.2706845024729,0,1.89525,0.36088895,2.10825,3.1625,5.4295,5.70425,1.61675,3.43725,4.9,5.3,0.508,1.381,2.63175,3.434,4.12875,4.613,5.021,5.62825,6.637,0.893,1.61825,3.0785,3.78575,4.079,4.6735,5.026,5.491,6.42,0.31408175,0.924422849350064,5.06527828417996
1,1.25,433.78225,0.612749,-6.77926851904036,7.6444325,5.98368298003057,19.3275,304.15,314.45,-6.53875,99.8698053417426,-0.016,-0.003,94.6437244448506,0,1.916,0.57642635,2.067,3.12075,5.42525,5.64975,1.61225,3.3835,4.9,5.3,0.451,1.3565,2.603,3.399,4.148,4.64325,5.031,5.62825,6.616,0.8645,1.5795,3.054,3.8055,4.1235,4.6735,5.036,5.511,6.4305,0.32250345452833,0.895997327161371,4.8794
1,1.75,433.998,0.947881,-6.52368645825177,7.79946,5.77062182577134,20.733,303.6,314.35,-6.0555,99.9081,-0.014,-0.003,94.8510688304676,0,2.08175,0.425340525,2,3.10425,5.42525,5.63775,1.5585,3.39975,4.9,5.3,0.451,1.3135,2.6075,3.37975,4.124,4.609,5.03025,5.618,6.595,0.70525,1.54075,2.97025,3.78575,4.08875,4.674,5.036,5.501,6.4005,0.2890905,0.897096562444914,4.86125
1,2.25,435.931389067705,0.5898215,-7.42777222227559,6.51511,6.03498640321268,20.00735,302.7,314.25,-5.5095,99.8715310141181,-0.017,-0.003,95.2049839025616,0,2.0715,0.3979906,1.9415,3.025,5.40825,5.625,1.54175,3.3455,4.91675,5.3,0.35975,1.28875,2.59275,3.37975,4.124,4.583,5.031,5.638,6.637,0.701,1.5215,2.995,3.8055,4.1335,4.664,5.016,5.501,6.41,0.3097055,0.840095214547126,4.7856875
1,2.75,436.91018155941,1.11507,-6.47274824084797,10.06002541723,6.04350887159416,19.725225,304.45,314.35,-5.66875,99.868604672309,-0.01425,-0.002,94.6901919812223,0,1.7545,0.285542,1.9,3.0125,5.40425,5.63775,1.54575,3.30425,4.925,5.3,0.28275,1.22125,2.583,3.37975,4.08375,4.583,5.051,5.64325,6.6055,0.566,1.531,2.946,3.7855,4.1435,4.6535,5.0255,5.521,6.4405,0.30970775,0.817521088081274,4.610455
1,3.25,435.134,0.64918625,-7.11627416663602,6.33219,5.96610396409702,19.6236,305.9,314.15,-5.60325,99.85295,-0.017,-0.003,94.6946807772272,0,2.00875,0.1941016,1.90825,3,5.43725,5.62525,1.52925,3.28775,4.925,5.3,0.26375,1.207,2.53875,3.37475,4.064,4.598,5.046,5.66325,6.62125,0.47,1.60825,2.98525,3.7655,4.1335,4.644,5.026,5.521,6.441,0.3270925,0.78929239902041,4.65948764702624
1,3.75,434.8395,0.685236,-6.98694000005821,9.200445,5.99621143558328,18.7133,305.5,314.15,-5.531,99.8516,-0.017,-0.001,94.8719032422143,0,2.215,0.2251531,1.83775,2.958,5.42525,5.58725,1.51225,3.2915,4.925,5.3,0.22575,1.18775,2.50975,3.37475,4.084,4.593,5.066,5.623,6.60025,0.374,1.7005,2.956,3.78025,4.18825,4.62875,5.026,5.491,6.451,0.32189725,0.779253610463051,4.67698735326312
1,4.25,435.57775,0.6672635,-6.57167250008891,8.92056,6.00534493936274,19.9763,306.425,314.45,-4.605,99.824125,-0.0155,-0.001,94.8735727944032,0,2.179,0.190353,1.825,2.95,5.421,5.571,1.46275,3.25,4.9335,5.3,0.22575,1.163,2.485,3.335,4.08875,4.60325,5.071,5.633,6.616,0.30175,1.6475,2.8675,3.726,4.1335,4.628,5.036,5.511,6.42575,0.31429275,0.776404948519657,4.777655
1,4.75,435.211,0.6594935,-5.90728624996875,7.7807875,5.987581358035,20.4759,305.375,314.35,-4.87725,99.83665,-0.01425,-0.001,94.4773390731136,0,2.34075,0.1468689,1.825,2.93325,5.42525,5.571,1.46275,3.23725,4.93775,5.3,0.22575,1.1925,2.475,3.33,4.049,4.598,5.041,5.653,6.60025,0.40775,1.51675,2.7395,3.686,4.03375,4.623,5.0355,5.511,6.441,0.316818455135256,0.76377498412543,4.86439
