DOY2,HR2,CO2,H2O,FC,SC,G_1_1_1,G_1_1_2,G_1_1_4,H,LE,WS,USTAR,TA,PA,RH,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_3_1,TS_1_4_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
1,0.25,389.2099,0.8800234,-1.479116,-0.4003754,-4.1492,-2.041175,-10.276,-56.1561,-7.646003,0.238516,0.02384186,-27.17653,90.648895,50.8365,0,-27.3039675,0.03083725,-1.28615,-0.725925,-0.0613,-88.6380925,0,0,0,0,138.8967,194.3456,0.2935417
1,0.75,389.8062,0.921227825,-1.6752385,-0.38372155,-4.1356,-2.0474,-10.18,-50.64808,-2.8462855,0.30455515,0.025898565,-27.544425,90.6503,52.0415,0.01209709,-27.43826,0.035906355,-1.2801,-0.7261,-0.0571,-88.670325,0,0,0,0,141.418,193.024,0.290699875
1,1.25,389.88235,0.88662535,-1.65637275,-0.5230477,-4.1267,-2.049375,-10.107,-59.96265,-4.881141,0.252588975,0.0253909,-27.48352,90.642895,51.589,0.01253846,-27.4670375,0.036176325,-1.26825,-0.7338,-0.0521,-88.0126,0,0,0,0,138.0917,193.498,0.2911117
1,1.75,388.7353,0.8723931,-1.42475,-0.6105832,-4.121925,-2.052,-10.275,-52.60352,-3.5598775,0.27789965,0.02670632,-27.98881,90.6478225,52.123,0.016879605,-27.90534,0.031970105,-1.26425,-0.74145,-0.056375,-91.4465,0,0,0,0,138.3664,192.2209,0.298147
1,2.25,388.4703,0.87347435,-1.22,-0.445043,-4.1169,-2.04225,-10.338,-58.944945,-7.54867925,0.303712,0.02743052,-28.01078,90.663815,51.8265,0.00385622250000001,-28.042675,0.0348442725,-1.264025,-0.7425,-0.062125,-89.806075,0,0,0,0,138.4079,192.1776,0.289879125
1,2.75,389.32765,0.880631075,-1.17,-1.35122,-4.1177,-2.039275,-10.305,-64.943075,-4.659883,0.23755115,0.02335388,-28.344,90.654385,52.3,0.00256032000000001,-27.288305,0.034294735,-1.264075,-0.741475,-0.04415,-89.379625,0,0,0,0,141.8637,192.2117,0.29240765
1,3.25,391.684,0.957497,-1.555716,-1.0767738,-4.12515,-2.0514,-10.457,-48.2203,-7.88774,0.193871275,0.02545074,-28.2618,90.6440875,52.363,0,-28.2543675,0.035235705,-1.2711,-0.74475,-0.0513,-88.210075,0,0,0,0,140.2221,191.9689,0.2818669
1,3.75,390.699275,0.95173525,-2.12733875,-1.306578,-4.1306,-2.0446,-10.385,-54.5519875,-4.95366725,0.2833806,0.01773404,-28.741905,90.643985,52.3865,0,-28.68307,0.03028863,-1.26905,-0.7506,-0.0458249999999999,-85.842625,0,0,0,0,143.9267,192.679,0.19735585
1,4.25,391.61645,0.650990875,-1.29872,-2.278156,-4.1351,-2.04125,-10.384,-54.9606125,-10.18453925,0.2037446,0.02804388,-28.78311,90.63777,51.6715,0,-28.4706725,0.0349990575,-1.2693,-0.748675,-0.054125,-86.969975,0,0,0,0,138.7698,191.3566,0.291867525
1,4.75,391.069,0.83672125,-2.79,-3.32391325,-4.1438,-2.043125,-10.312,-52.79756,-5.45118925,0.2477124,0.0228906,-28.54506,90.62536,52.119,0.00270981900000001,-28.8487,0.03793186,-1.272475,-0.750625,-0.070075,-88.471725,0,0,0,0,143.984,189.9724,0.2967532
