DOY2,HR2,WS,T_SONIC,H2O_1_1_1,LE_1_1_1,FC_1_1_1,CO2_1_1_1,TAU,USTAR,SC,H,NETRAD,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_DIF,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TS_1_1_A,TS_2_1_1,TS_3_1_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_6_1_1,TS_6_1_2,TS_6_2_1,TS_6_3_1,PA,FC_1_1_2,CO2_1_1_2,H2O_1_1_2,LE_1_1_2
1,11.5,5.40825,9.88,11.757,77.5357392969,5.665,430.3,-0.066513,1.479725,0.997500000000002,335.2375,355.55,1155.75,615.5,460.5,99.6975,100,99.6,100,100,9.36090909090909,10.31,10.19,10.195,9.7,4,4.51545454545455,4.955,2.345,4,3.8,5,2.345,3.8,5.2,2.5,2.3,4.1,5,100.64525,2.34562499999999,436.5525,9.99245,67.91654080182
1,12.5,5.5,10.585,11.232,98.9968978956499,5.84499999999999,429.4,-0.0719500000000003,1.4836,1.2,344.25,344,1104.55,667.45,464.475,99.7375,100,99.6,100,100,9.8775,10.5625,10.895,10.2418749999999,9.85999999999995,4,4.4,4.965,2.345,4.08,3.8,4.945,2.3,3.8,5.145,2.5,2.3,4.1,5,100.63665,1.818175,435.1675,10.6925,83.09929405544
1,13.5,5.3875,11.24,11.2175,102.16655347585,5.9225,429.75,-0.0940385000000003,1.47,1.2,304.39,294,960.4,504.5375,415.5,99.6,100,99.6,100,100,10.85,10.9075,11.26,10.62,10.4275,4,4.495,4.97,2.4,3.985,3.8,4.95,2.3,3.8,5.15,2.5,2.36,4.1,5,100.57955,1.7794,433.23,10.316,76.929514898925
1,14.5,5.6675,11.22,11.6465,84.7877926266249,5.295,429.51,-0.0753229999999999,1.4879,1.4,225.0375,209,685.45,401.26,310.05,99.82,100,99.6,100,100,11.3977272727273,10.69,10.9025,10.4375,10,4,4.41681818181818,4.965,2.35,3.9,3.8,4.95,2.3,3.8,5.15,2.5,2.36,4.1,5,100.524425,1.749,433.7325,10.518,60.9193487464
1,15.5,5.3425,11.0975,12.005,70.804917184,4.92,429.25,-0.049934,1.3724,1.5,108.825,86.3249999999999,377.24,165.785,171.05,99.91,100,99.6,100,100,9.95000000000002,10.8225,10.8675,10.305,9.7225,4,4.4,4.9475,2.3475,3.9,3.8,4.9475,2.3475,3.8,5.1,2.5,2.3575,4.1,5,100.5196,2.0167,433.98,10.585,46.4471781395125
1,16.5,5.2,9.86000000000002,11.6575,49.7859034963264,5.005,428.2875,-0.0189770000000001,1.37865,1.7,37.26,41.1999999999999,87.695,44.67,54.475,99.93,100,99.6,100,100,9.26923076923076,10.1076923076923,10.1353846153846,9.5282692307692,9,4,4.345,4.97461538461538,2.345,3.9,3.8,4.945,2.345,3.8,5.1,2.4475,2.3525,4.1,5,100.52615,2.035,436.08,10.742,32.592310261957
1,17.5,5.1,9.995,11.39,38.3011030661871,4.51250000000001,428.6,-0.00679565000000002,1.3236,1.5025,14.015,35,1.74575,15.67,11,99.72,100,99.6,100,100,8.24272727272728,9.575,10.3927272727273,9.24000000000001,8.3225,3.90749999999999,4.33681818181818,4.955,2.345,4.06,3.8,4.945,2.345,3.8,5.1,2.4475,2.3,4.1,5,100.549813671875,2.005125,437.65,10.6275,22.842852962382
1,18.5,5.1,9.20999999999999,11.021,33.90713734698,4.54000000000001,430.44,-0.0046388,1.333,1.71,16.75,35.175,1.3281,15.23,11,100,100,99.6,100,100,7.92458333333334,9.3375,10.095,9.22,8.13499999999999,3.90749999999999,4.3,4.945,2.34,4.175,3.8,5,2.34,3.8,5.1,2.4425,2.3,4.1,5,100.5125,1.89182499999999,437.59,10.43075,16.88265328488
1,19.5,5.0805,9.13,10.74,33.1244530937981,4.3,431.0725,-0.00517332500000002,1.38755,1.7275,13.3599999999999,37.125,1.647,14.8,11,100,100,99.6,100,100,7.52307692307692,8.93249999999999,9.7,8.8,8,3.9125,4.3,4.98846153846154,2.34,4.175,3.8,4.94,2.34,3.8,5.1,2.445,2.3,4.1,5,100.58225,1.9585,438.625,10.0645,24.583306216116
1,20.5,5.037,8.6,10.545,31.1045326217911,4.455,431.4675,-0.00577140000000001,1.3142,1.4,16.68,34.125,1.7632,15.2375,11,100,100,99.6,100,100,7.07681818181819,8.44,8.81999999999999,8.175,6.75249999999999,3.91999999999999,4.4,5.065,2.34,4.175,3.8,4.94,2.34,3.8,5.1,2.445,2.3,4.1,5,100.60155,1.96574999999999,440.87,9.867125,21.0382239567617
1,21.5,4.965,8.8625,10.458,36.3912796938862,3.9,431.98,-0.00875327500000001,1.27975,1.2,14.25,35.1999999999999,1.988,15.05,11,100,100,99.6,100,100,7.19708333333333,8.21249999999998,8.65999999999998,8,6.83499999999999,3.925,4.435,5.0625,2.34,4.175,3.8,4.94,2.34,3.8,5.14,2.445,2.3,4.1,5,100.5715,3.52954999999999,441.68,9.86074999999999,23.147468411561
1,22.5,4.9165,8.555,11.062,25.311008774544,4.6025,434.655,-0.00833875000000002,1.2149,1.6,15.285,39,1.4668,14.815,11,100,100,99.6,100,100,7.04076923076923,7.5475,8.34999999999998,7.25999999999999,6.73499999999999,3.9,4.51,4.965,2.48,4.175,3.8,4.94,2.3,3.8,5.1,2.345,2.3,4.04,5,100.54055,2.610775,440.9275,9.1824,14.87913786972
1,23.5,4.68725,8.56,10.9475,26.2808114744363,4.33999999999996,432.495,-0.00538849999999999,1.2551,1.2975,20.2599999999998,41,1.5101,12.525,11,100,100,99.6,100,100,6.68954545454546,7.95,8.35,7.1,6.38749999999998,3.9,4.48999999999999,4.97,2.5,4.175,3.8,4.94,2.24,3.8,5.1,2.345,2.3,4.04,5,100.53305,2.187375,439.92,8.78289999999999,12.916185697962
2,0.5,5.1,8.1,9.51175,40.2422596785277,4.525,431.7025,-0.00702545,1.327725,1.4,23.95,31.975,11.0400000000001,24.55,11,99.6,100,99.6,100,100,9.79083333333331,6.72333333333334,6.496875,6.08499999999999,4.73000000000001,2.5,3.3,3.5375,1.5,2.305,2.6,3.8,1.43,2.83,4,2.50999999999999,1.5,2.855,3.7,100.467,1.0925,441.275,11.24425,16.2087165959432
2,1.5,5.20675,7.755,8.9,31.5300214594302,4.6625,431.64,-0.00509575,1.280725,1.4,17,35,20.6199999999998,23.525,11,99.7,100,99.6,100,100,9.63076923076923,6.51,6.22499999999999,5.70749999999999,4.7625,2.6,3.3,3.43846153846154,1.5325,2.3075,2.6,3.8,1.4325,2.8325,4.0325,2.33,1.5,2.8575,3.7,100.467,2.1448,440.75,10.266,21.086354486855
2,2.5,5.1,6.98999999999999,8.959,28.152410618752,4.625,431.025,-0.00409724999999998,1.2621,1.24,14.57,38.0999999999999,25.2399999999998,22.675,11,99.8,100,99.6,100,100,10.0725,6.50795454545454,6.47795454545453,6.11636363636364,4.8,2.6,3.3,3.52909090909091,1.5325,2.3,2.6,3.8,1.4,2.8325,4,2.2325,1.44,2.9,3.7,100.4407,2.25555,438.94,10.7225,17.960790090558
2,3.5,5,6.9,8.997,29.651147602,4.0975,432.02,-0.002960125,1.249875,1.4375,12.635,39.05,27.4999999999998,23,11,99.9825,100,99.6,100,100,9.95520833333333,6.5,6.21666666666667,6.25729166666667,4.834375,2.6,3.3,3.58458333333333,1.5325,2.3075,2.6,3.7325,1.4,2.8325,4,2.23,1.44,2.9,3.7,100.472875,1.89965,438.91,10.798,30.870344780975
2,4.5,4.903,6.4,8.90425,26.3236531333615,4.5,431.975,-0.003163375,1.315,1,11.5175,38,28.0999999999998,22,11,100,100,99.6,100,100,9.78365384615386,6.7,5.48846153846154,6.0375,4.64326923076923,2.6,3.3,3.47115384615384,1.5,2.3075,2.6,3.7325,1.4,2.8325,4,2.0975,1.44,2.9,3.7,100.4713,2.3215,436.99,10.711,24.013596703834
2,5.5,5.3,6.45249999999999,9.1028,23.1124181794469,4.4,431.8875,-0.00382807500000001,1.27165,1,13.59,35.05,26.6199999999998,22,11,100,100,99.6,100,100,9.53909090909091,6.70136363636364,5.65272727272727,5.75818181818183,4.7125,2.575,3.3,3.67409090909091,1.5,2.3075,2.6,3.7325,1.4,2.8325,4,2.0325,1.44,2.915,3.6325,100.503096957237,2.10245,433.99,10.43785,17.3385854473275
2,6.5,5.1,6.525,9.366,22.1243651046432,4.78999999999999,432.145,-0.00336780000000001,1.26235,1.2,25.5450000000001,36.05,37.42,42.9399999999997,26.6,99.9,100,99.6,100,100,9.72291666666666,6.73,5.68,5.7,4.2625,2.575,3.3,3.54291666666667,1.5,2.3075,2.6,3.7325,1.4,2.8325,4,1.9325,1.44,2.915,3.6325,100.514991763664,2.1692,435.8625,10.555,18.4254969380522
2,7.5,5.4,6.46499999999999,9.1039,28.6953725469535,5.33,431.5875,-0.00838232499999999,1.288725,1,68.3999999999999,80.0749999999999,326.72,153.5,150.6,99.9825,100,99.6,100,100,9.3101923076923,6.23384615384614,6.09076923076923,5.39326923076923,4.2125,2.585,3.3,3.51653846153846,1.5,2.3075,2.6,3.7325,1.4,2.8325,4,1.9,1.44,2.915,3.6325,100.544832386364,2.2751,436.24,10.06725,18.710512469808
2,8.5,5.4175,6.3125,9.206,49.39579929325,7.65,431.05,-0.022398,1.4232,1.2975,190.375,209.8975,750.18,372.2475,296.6,100,100,99.6,100,100,10.1338636363637,7.03000000000001,7.13295454545454,6.4572727272727,5.93545454545454,2.5,3.3,3.6475,1.5,2.3075,2.6,3.735,1.4,2.8325,4,2,1.44,2.915,3.6325,100.5885,2.738,435.185,9.20325,43.8538781336024
2,9.5,5.59499999999999,8.15999999999999,9.17165,64.9135660334113,7.08499999999998,430.1875,-0.0633787500000003,1.445575,0.9,307.5225,345.95,1090.475,649.0775,421.3,99.775,100,99.6,100,100,10.705,7.995,7.98499999999999,8.16999999999998,7.53,2.5,3.3,3.70333333333333,1.5,2.3075,2.6,3.735,1.4,2.8325,4,2.23,1.4,2.915,3.6325,100.5946,3.4586,435.645,9.6368,66.6072273669
2,10.5,5.5,8.875,9.11904999999998,82.101277083465,8.56749999999994,428.845,-0.0743095000000001,1.5044,0.9,407.639999999999,434.5,1310,712.06,579.575,99.6,100,99.6,100,100,12.3469230769231,8.3,8.66057692307693,8.58788461538461,8.11,2.56,3.3,4.00923076923077,1.5,2.305,2.6,3.7325,1.43,2.83,4,2.54999999999999,1.4,2.91,3.63,100.547475,2.009175,435.96,10.464,87.4611438157125
2,11.5,5.5,9.9,8.97225,98.44088977499,9,428.2,-0.07703,1.581,0.9,464.9,482.9,1476.2,878.59,603.85,99.6,100,99.6,100,100,13.0931818181818,9.39272727272727,9.72090909090909,9.85,9.10181818181818,2.55749999999999,3.3,3.82840909090909,1.53,2.305,2.63,3.7325,1.46,2.83,4,3,1.44,2.91,3.63,100.51975,2.815675,435.245,11.05525,125.171303764612
2,12.5,5.5,10.845,9.20495,107.77994433335,8.15,427.485,-0.0700770000000001,1.58215,1.1,478.58,476.423,1471,1018.2,612.6,99.6,100,99.6,100,100,12.8566666666667,10.3935416666667,10.6666666666666,10.8989583333333,10.05625,2.56999999999999,3.3,3.824375,1.665,2.305,2.6,3.735,1.8325,2.8,4,3.4975,1.5,2.91,3.6325,100.455275,2.5842,435.405,11.204,91.7995121716499
2,13.5,5.45749999999999,11.2525,9.21219999999999,109.227732647925,7.72999999999997,427.27,-0.0661355,1.54835,1.1,418.0425,416.18425,1316.4,757.2,564.025,99.6,100,99.6,100,100,13.8107692307692,10.9,11.525,11.5,10.54,2.6,3.3,3.80288461538462,1.81,2.305,2.6,3.7375,2.27,2.8,3.935,4.27,1.645,2.91,3.635,100.387525,2.124,437.54,11.6325,77.1755835499
2,14.5,5.7,11.9,9.349125,90.5828524560643,7.635,427.4,-0.0830327500000003,1.522575,1.2,309.5,326.3,1067.2,743.145,430.6,99.6,100,99.6,100,100,14.5925,11.69,11.9,11.6875,10.7,2.6,3.3,3.82818181818182,1.89249999999999,2.305,2.6,3.73,2.51999999999999,2.8,3.93,4.61999999999999,1.9425,2.91,3.63,100.3399,1.53929999999999,438.3525,11.5005,71.90731077273
2,15.5,5.40749999999999,12,9.2913,83.6593400241966,6.78499999999998,427.45,-0.0660787499999999,1.48145,1.3,213.215,201.75,738.2325,373.35,269,99.6,100,99.6,100,100,14.795,11.6,11.68,11.3,10.015,2.5425,3.3,3.62666666666667,1.98499999999999,2.305,2.6,3.7325,2.56249999999999,2.8,3.9325,4.72749999999999,2.09,2.91,3.6325,100.30617472166,1.613125,437.62,11.985,50.07160637955
2,16.5,5.2875,11.8525,9.15905,59.4433964296085,5.56249999999999,427.715,-0.0401255,1.4117,1.48,95.215,65.75,297.675,127.115,130.5,99.6,100,99.6,100,100,14.8042307692307,10.9830769230769,10.7921153846153,10.3282692307693,9.15153846153847,2.6,3.3,3.7375,1.98999999999998,2.405,2.6,3.73,2.43999999999999,2.8,4,4.70999999999999,2.11249999999999,2.91,3.63,100.276575,2.705875,436.975,12.40375,33.308510409994
2,17.5,5.1,11.16,9.0664,39.0349773769708,5.02999999999997,429.34,-0.008784,1.343,1.7,27.0599999999998,31.725,45.1999999999999,44,27,99.6,100,99.6,100,100,13.6922727272727,10.0986363636363,9.9,8.86363636363635,7.44886363636364,2.6,3.3,3.71227272727273,2.05499999999998,2.6,2.6,3.7325,2.39249999999999,2.8,4,4.55999999999999,2.16999999999999,2.915,3.6325,100.3348,2.9987,435.88,12.61625,19.861625926935
2,18.5,5.13249999999999,10.3025,9.4883,31.6556282457118,4.5,429.9,-0.0064795,1.352,1.4,24.525,29.5999999999999,30.7799999999998,32.51,11,99.6,100,99.6,100,100,13.68375,9.11999999999998,8.6,7.78958333333333,6.8,2.6,3.3,3.79,2.08749999999998,2.7075,2.6,3.7325,2.29249999999999,2.8325,4,4.29249999999999,2.11499999999999,2.8575,3.6325,100.3402,2.369725,437.2875,11.652,16.731050720504
2,19.5,5.2,9,9.53785,29.1402650227363,4.9225,429.1425,-0.00846675,1.346875,1.74,20.8,31,30.2999999999998,29.5999999999999,11,99.8475,100,99.6,100,100,13.6411538461538,8.27480769230768,8.11499999999999,7.18,6.22,2.6,3.3,3.70076923076923,2.11999999999998,2.8075,2.6,3.7325,2.25999999999999,2.8325,4,4.05999999999999,2.01499999999999,2.8575,3.635,100.4037,2.90525,437.5975,11.7,17.1983709211201
2,20.5,5,9.035,9.81879999999999,29.4386623264798,5.3,431.1125,-0.00361215000000003,1.322225,1.5,17.6,32.875,29.1999999999998,29.75,11,99.6,100,99.6,100,100,12.3422727272727,7.8,7.80568181818182,7.09363636363636,5.92000000000001,2.6,3.3,3.6690909090909,2.11999999999998,2.9,2.6,3.7325,2.465,2.8325,4,3.82749999999999,2.01499999999999,2.8575,3.635,100.436413733552,2.490225,438.79,10.4525,16.4809961595171
2,21.5,5.26,8.91999999999998,9.93862499999997,23.678860740125,5.7425,431.2375,-0.00757760000000001,1.320275,1.4,32.13,35,24.4399999999998,24.495,11,100,100,99.6,100,100,11.575625,7.26500000000001,7.1875,6.43062499999999,5.31,2.6,3.3,3.70208333333333,2.19499999999999,2.9075,2.6,3.7325,2.73,2.8325,4,3.69499999999999,2.12499999999999,2.8575,3.6325,100.387464296559,2.20325,439.4375,10.202,22.34055720405
2,22.5,5.38249999999999,8.55,9.72999999999997,22.9892079153585,5.31999999999999,431.7,-0.005775775,1.263775,1.4,27.0125,33.85,25.9799999999998,25.6174999999999,11,99.7,100,99.6,100,100,11.3932692307692,6.85615384615384,6.78846153846154,6.07846153846154,5.47980769230769,2.6,3.3,3.70153846153846,2.2375,3.0075,2.6325,3.7325,2.73,2.9,4,3.56249999999999,2.18,2.815,3.6325,100.3885,2.623125,435.7,10.3,19.327792405235
2,23.5,5.05,8.1,9.770475,26.86762336104,5,432.035,-0.00551205000000003,1.327325,1,23.425,32,33.7,24.675,11,99.6,100,99.6,100,100,11.8181818181818,6.60454545454545,6.43499999999998,5.8,4.8175,2.55749999999999,3.3,3.70681818181818,2.19499999999999,3.0075,2.635,3.735,2.54,2.9,4.035,3.375,2.19,2.8575,3.635,100.41495,1.924325,437.05,10.26475,19.0160685354646
3,0.5,4.7,11.2175,11.5,39.4338135517493,5.2,430.2,-0.00714420000000002,1.2391,1.2625,15.9575,35,38.9875,49.349999999999,11,99.6,100,99.6,100,100,12.090625,10.18,10.215,9.56999999999999,9.2,5.11999999999999,5.0975,6.00833333333333,6.13,4.4025,5.3,4.53,5.865,5.465,4.93,5.89499999999999,5.8575,3.605,4.065,100.4143,2.500975,436.2625,11.35025,16.85605958985
3,1.5,4.8,11.01,11.5725,24.9640255468825,5.13999999999999,430.085,-0.00491190000000001,1.2379,1.1175,11.835,37.15,40.035,59.625,11,99.6,100,99.6,100,100,12.0892307692307,10.06,10,9.43019230769231,8.825,5.05298076923077,5.1,5.81538461538462,6.0975,4.3025,5.3,4.53,5.8325,5.465,4.93,5.83,5.8575,3.6525,4.065,100.3785,2.684625,436.7,11.330275,20.8780784256537
3,2.5,5.0375,10.7,11.7195,28.72240880236,5.255,429.4425,-0.003214375,1.2985,1.05,15.7949999999999,36.1999999999999,36.72,55.9250000000001,11,99.6,100,99.6,100,100,11.5745454545455,9.785,9.76727272727272,9.32681818181818,8.59227272727273,4.915,5.1,5.705,6.105,4.3,5.3,4.53,5.7325,5.465,4.93,5.66249999999999,5.7575,3.6,4.0975,100.3747,2.72875,436.39,10.818725,18.9596889143507
