DOY2,HR2,CO2,H2O,T_SONIC,TA,PA,RH,VPD,WS,USTAR,TAU,H,LE,FC,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,SW_IN
1,0.25,444.500825375,6.864728,3.927373,1.761459525,99.233304975,100,2.18378695,6.636427,0.429436,-0.000775450000000002,6.4561521,31.2280045,1.15277765,1.291026,1.112294,0.476744,0.531615,0.263363125,3.25096075,0.6871035
1,0.75,442.696494575,6.8041087,4.092804,2.71056847499999,99.229798725,100,2.921139875,6.666785,0.430358,-0.000774850000000001,6.12340240000001,35.87268935,1.01896335,1.305699,1.040534,0.487208,0.582699,0.329402049999999,3.75402345,0.74592525
1,1.25,436.9543652,6.9164662,4.4061991,2.527153975,99.22202085,100,2.367437875,7.04480865,0.41979435,-0.00097545,10.23542395,39.4261668,0.910624125,1.40890915,1.10056795,0.48078215,0.63653475,0.27871885,4.90690024999999,0.728353875
1,1.75,433.509046,7.094079125,4.02743909999999,2.3030202,99.1580446,100,1.6103786,7.27819347499999,0.459070075,-0.0008217,6.33812419999999,52.8329795,1.03878985,1.448964825,1.15978575,0.5492553,0.47841405,0.16119635,4.047974,0.51161025
1,2.25,568.344053275,7.103201,5.587102375,2.123123925,99.161462225,100,1.338127275,7.304706875,0.437974,-0.00067725,7.23378034999999,48.903605,1.498934525,1.333195125,1.10980475,0.5022815,0.597085875,0.2230405,2.2428405,0.5417675
1,2.75,566.966525749999,7.058029375,5.26616495,4.22209799999999,99.1276305,100,1.9618499,6.578853,0.4673082,-0.0009031,6.167024525,44.552331375,1.24517545,1.32291905,1.05649255,0.50311905,0.55437325,0.572477099999998,2.315000475,0.65707225
1,3.25,430.270907325,6.81767225,4.06978132499999,1.261438025,99.116855025,100,1.60518539999999,7.3064631,0.474307025,-0.000708000000000001,9.167686375,50.4312984,1.070928525,1.43449535,1.21000355,0.515865599999999,0.547369125,0.15204105,1.7286882,0.488878375
1,3.75,441.8882046,7.32199475,4.7408958,3.95849825,99.07389995,100,2.95024195,6.8537022,0.4378314,-0.00107575,8.03550655,44.7433415,1.93655865,1.37191055,1.09519735,0.49317415,0.59151835,0.1927472,3.569628125,0.29751625
1,4.25,443.108724,7.255569,4.54239775,3.59818949999999,99.0356357,100,1.841842725,6.550175375,0.46171175,-0.000969375,6.268806875,38.48964545,2.5992788,1.351683875,1.176735875,0.5090665,0.618322875,0.1919954,3.53966554999999,0.320098
1,4.75,438.20941955,7.292179,4.4429564,3.46234305,99.02861665,100,1.95458725,6.5353258,0.4229392,-0.0010002,7.94085990000001,33.343251,1.46557845,1.3770372,1.0479538,0.49271,0.7903072,0.35300715,2.2394975,0.3246735
1,5.25,435.9330641,6.90487509999999,2.9182951,2.13607172499999,99.00458845,100,1.4728379,6.5966206,0.40909,-0.0006306,8.77375275,29.6166743,1.8914336,1.3014847,0.9691312,0.4456827,0.6313093,0.239871975,4.181503,0.438214625
1,5.75,441.23629435,6.822324,3.7788333,3.41117620000001,98.9879665,100,1.308522825,6.4284395,0.4213229,-0.0009687,18.82908775,33.630754,2.1690245,1.4195267,1.0256191,0.4878031,0.5925223,0.33913885,3.297241125,0.333098375
1,6.25,439.32361025,6.890396,3.8601317,3.11730835000001,98.991700275,100,1.09863,6.36367425,0.39832865,-0.000829150000000001,10.77778015,27.0672025999999,1.29755165,1.30367745,0.99890595,0.45801165,0.67992045,0.15094215,0.9452206,0.289078375
1,6.75,438.8226954,6.93981335,3.896682,3.22814589999998,99.0514331,100,1.13342735,6.234499,0.4140484,-0.001548,6.322175875,23.1125599,1.4539049,1.3979252,1.054253,0.5022646,0.7283612,0.21767695,1.037167875,0.474510125
1,7.25,439.5141659,6.960881775,3.58115095,3.007165,99.077680875,100,2.7548605,6.425565675,0.4276921,-0.0009697,13.948002125,25.356792925,0.9623518,1.44495985,1.0684385,0.50610385,0.570898874999997,0.211988,3.076987725,0.25783475
1,7.75,441.2674851,6.95748,3.511412,2.5663877,99.1368274,100,1.75334899999999,6.509967775,0.4133066,-0.00111815,8.888934625,22.4547645,1.3778961,1.390664,1.04336465,0.5118063,0.704312725,0.2056788,2.9736924,7.010945
1,8.25,439.36813375,6.9762724,3.3917922,1.8318066,99.20066505,100,1.463479825,6.6163196,0.4455702,-0.0011988,10.40916365,26.4430319,1.851151625,1.409218,1.152757,0.50345,0.3971378,0.179005,3.87909395,74.117113875
1,8.75,441.0286724,7.275339975,2.81066045,1.75382352499999,99.321565775,100,1.9597218,6.38575655,0.37862465,-0.001119575,12.75923475,37.197190375,2.4179726,1.3292605,1.06008995,0.48399825,0.62452805,0.2413719,3.255668075,167.316881125
