DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,T_CANOPY,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF,PPFD_IN,PPFD_OUT,NETRAD,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_A,TS_1_2_1,TS_1_2_2,TS_1_2_A
1,0.25,2.13,0.3823,0.3126,0.1573,-0.25,0.096,72.39,96.7713,0.7584,0.1856,409.6406,5.4321,-0.330875,-0.330875,-31.0003,1.1853,0.14015,1.4935,0.544,247.6,299.8,1.078,0,0,-69.9545,-20.18,-28.57,-23.06,-28.75,-25.415,2.5975,2.125,2.36125,4.232,4.129,4.1995
1,0.75,2.0656,0.408,0.3813,0.1536,-0.289,-0.802,72.84,96.7805,1.5941,0.2474,408.9355,5.4573,0.361625,0.361625,-40.2175,0.5247,0.1842,1.4935,0.68575,247.2,299.1,0.979,0,0,-66.3585,-20.09,-28.99,-23.13,-28.08,-24.32,2.5395,2.0675,2.3035,4.246,4.102,4.18275
1,1.25,2.3318,0.4708,0.435,0.1646,-0.493,-1.108,73.33,96.8253,1.1279,0.1263,406.519925,5.41315,0.207225,0.207225,-29.1287,2.534775,0.1349,1.4935,0.461,247.3,298.6,1.159,0,0,-64.734,-19.04,-30.65,-22.12,-25.93,-22.8,2.4815,2.014,2.24775,4.254,4.075,4.1645
1,1.75,2.1772,0.4036,0.4256,0.1652,-0.434,-1,73.52,96.8692,1.603775,0.14015,405.29215,5.38375,0.30795,0.30795,-41.433225,1.2332,0.1471,1.4935,0.564,247.1,298.4,1.136,0,0,-64.431,-19.11,-30.49,-22.34,-27.36,-24.1625,2.4325,1.9675,2.2,4.2395,4.0465,4.143
1,2.25,2.1843,0.407,0.3962,0.1396,-0.659,-1.29,75.24,96.8829,1.981475,0.17485,407.40455,5.5774,-0.0222,-0.0222,-25.743675,-0.1552,0.1037,1.4935,0.5935,247.1,298.2,1.052,0,0,-59.476,-18.82,-28.9,-22.33,-28.59,-24.5925,2.3845,1.9245,2.1545,4.227,4.017,4.122
1,2.75,2.0833,0.5141,0.3717,0.1015,-1.157,-1.599,74.7,96.9016,0.7919,0.1598,406.41265,5.0408,-0.6843,-0.6843,-31.36175,0.9095,0.1581,1.4935,0.402,245.3,298.6,1.175,0,0,-62.1545,-19.8,-29.59,-22.18,-30.03,-26.1075,2.341,1.8845,2.11275,4.212,3.983,4.0975
1,3.25,2.317,0.4805,0.4001,0.0882,-1.498,-1.538,78.15,96.8796,0.6246,0.1827,406.08735,4.7179,0.005,0.005,-27.26965,2.8396,0.1291,1.4935,0.53825,244.9,298.1,1.118,0,0,-59.5275,-20.27,-29.1,-22.07,-31.44,-26.5925,2.2955,1.8435,2.0695,4.1945,3.953,4.07375
1,3.75,1.8635,0.4345,0.4063,0.1617,-0.747,-1.383,77.68,96.8516,0.6218,0.19515,405.29375,4.603075,0.4236,0.4236,-27.2221,2.7365,0.15975,1.4935,0.672,244.4,297.4,1.022,0,0,-60.4305,-20.73,-29.09,-21.75,-30.35,-25.9975,2.2555,1.8075,2.0315,4.1775,3.922,4.04975
1,4.25,2.2415,0.388,0.378,0.1324,-0.559,-1.046,80.2,96.9486,0.6638,0.1428,407.1868,4.8558,0.2176,0.2176,-23.04265,-0.1235,0.1359,1.4935,0.8435,242.9,297,1.125,0,0,-59.244,-20.22,-29.15,-21.82,-29.32,-25.3725,2.2155,1.767,1.99125,4.1585,3.892,4.02525
1,4.75,2.3527,0.3849,0.3915,0.1473,-0.787,-1.344,81.7,96.9482,0.59505,0.191375,406.1174,5.0437,0.1729,0.1729,-19.92455,0.0436,0.164225,1.4935,0.675,242.2,297.1,1.243,0,0,-61.9935,-19.84,-30,-21.84,-28.4,-24.845,2.177,1.7315,1.95425,4.1395,3.8615,4.0005
1,5.25,2.2143,0.4769,0.3684,0.133,-1.39,-1.351,82.6,96.9052,0.171,0.1742,406.84575,5.0979,-0.013225,-0.013225,-24.0852,-1.401625,0.150575,1.4935,0.65025,241,296.5,1.173,0,0,-61.7955,-19.51,-29.57,-21.24,-27.53,-24.305,2.137,1.7145,1.921,4.1205,3.8335,3.977
1,5.75,2.0678,0.443075,0.3635,0.155,-2.031,-1.922,82.5,96.8824,-0.23445,0.21985,406.597975,4.9475,-0.0232,-0.0232,-20.85105,0.2989,0.1631,1.4935,0.5055,240.2,295.6,1.164,0,0,-62.1925,-19.2,-28.4,-21.05,-26.73,-23.7625,2.0915,1.714,1.88775,4.1005,3.804,3.95225
1,6.25,1.96375,0.3916,0.39415,0.163175,-1.853,-2.008,83.4,96.8589,-0.2083,0.174,405.3816,4.4312,-0.8077,-0.8077,-19.43995,1.7327,0.152,1.4935,0.45175,241.8,294.8,1.158,0,0,-62.2325,-18.92,-28.64,-20.45,-25.99,-23.2425,2.0475,1.712,1.85725,4.0825,3.7945,3.93025
