DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,CH4,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
1,0.25,4.9312321,49.62597,62.1435999999999,1.70632999999998,0.003026177968,26.5785,21.036,99.51486,14.02062575,0.481285,5.44036633065,1.4291867657,0.0054100475,24.04526,466.9918,25.30956,3340.015,1.55894,0.6546486,101.791,376.516175071361,287.064102564102,-0.426202571791037,-2.05615384615385,1.32724137931034
1,0.75,5.24523400000001,47.7531875,45.02088,4.1578,0.0027649292,26.7965,21.0145,95.5402975,13.851998,0.477325,5.24511498225,1.2174051237,-0.000888913599999995,24.27214,466.1906,26.422745,3299.93,1.4837236,0.577282,101.7842,378.043292102759,289.877849002849,-0.128597611771056,0.547234162895928,3.57023988005997
1,1.25,3.80353349999999,49.4254375,44.0478,1.97052499999997,0.003261602168,26.8885,20.984,99.8956,14.33806625,0.44209015,4.95211349015,1.0546704476,0.00349038800000001,24.41536,443.6688,27.5047575,4131.66725,1.2041594,0.5160582,101.802,378.768791627022,291.668091168091,-0.165657233035034,0.734922322775263,3.58197901049475
1,1.75,3.50883049999999,43.72405,55.438725,8.402,0.003220821824,26.8145,20.9435,100.05512,13.8318225,0.376905,4.77311535465,0.97676475675,0.007599722,24.38962,586.9918,27.7110225,3608.045,1.161978,0.4582238,101.8226,371.24262607041,291.396723646724,-0.342342507479288,1.07181561085973,6.21482008995502
1,2.25,3.228022,57.2242725,48.6899599999999,2.89516400000002,0.00300497736,26.801,20.9325,100.109125,13.73866,0.38215385,4.76640465815,0.71727470225,0.00187573625,24.42634,647.4992,28.1779175,11787.718,1.130682,0.4854538,101.817,369.172692673645,291.498575498576,-0.438668610660727,0.324423076923077,5.14414542728636
1,2.75,3.0284322,41.97276,48.337665,-1.92685000000001,0.0026280888216,26.94375,20.91625,100.1103,13.737177,0.404933375,5.3719248536,1.01138985,0.00150985925,24.45,686.4778,28.2638425,2652.857,1.280158125,0.5040862,101.8098,373.241698382493,292.087001424501,-0.291208987276748,0.0409434577677216,3.68441547976012
1,3.25,3.1910096,62.238125,46.9233199999999,15.277855,0.002335358344,26.97375,20.88575,100.1025,13.711279,0.410975,4.9510265442,0.93436522855,0.00951705600000001,24.51986,674.9726,28.3181625,3103.879,1.51325,0.6336854,101.8162,377.795432921027,292.663817663818,-0.269370260401473,-0.341122926093514,4.23430284857572
1,3.75,4.77140845,55.8644125,57.7749600000001,11.38110075,0.002123919072,26.609,20.85,99.28936,14.096741,0.477152,5.8825482288,1.1330773579,0.001247725,24.54882,694.0256,28.32254,2615.3765,1.590794,0.5812204,101.8412,381.304947668887,292.719729344729,-0.378539586880776,-0.258720965309201,4.6281784107946
1,4.25,2.9161932,49.9281325,36.0232,-0.608407230000001,0.001631452416,26.156,20.8405,99.1781625,16.104627,0.4008954,4.7599645018,0.97051408355,0.007321918,24.434,701.7258,28.41652,2798.8825,1.064126,0.4119704,101.8316,379.172216936251,292.305555555555,-0.344978469475677,-0.170097285067873,4.02577211394303
1,4.75,5.52808902499996,95.4857625,35.96886,0.998749999999995,0.001424169736,25.9105,20.821,99.9609375,13.741477,0.3933721,4.87508284165,0.91920763855,0.00734082,24.39472,739.7304,28.5363,4100.801,1.15617,0.4478568,101.869,377.099429115128,292.018874643875,-0.213702939819683,0.678493966817497,4.4042916041979
1,5.25,5.0007605,141.0433925,32.71908,-0.138273850000003,0.0008327374088,25.7415,20.8115,100.08435,13.76718025,0.40880905,4.871357756,1.0922311201,0.002823561625,24.50742,753.0702,29.05308,10208.5205,1.162198,0.475063,101.9234,377.595147478591,292.938746438747,-0.45655685189081,0.162217194570136,4.26806971514242
1,5.75,3.4053984,86.292025,41.6850375,4.51429999999999,0.0008878033032,25.475,20.79675,98.20185,13.452462,0.431075,5.04940284575,0.94585160905,0.011982708,24.45964,502.54555,28.84588,7685.208,1.1794962,0.4996386,101.9476,366.459562321598,292.47792022792,6.40295819228394,9.43071606334841,5.45405172413794
1,6.25,4.91542400000001,60.5657075,30.0194524999999,1.59225,0.01384692056,25.305,20.792,98.9556375,15.08414,0.56151,4.81923728445,1.3481320352,0.017669877,24.58448,784.9698,29.20462,6021.0605,1.1403354,0.4658838,101.9764,368.878686964796,292.873575498576,-0.876698905072345,0.0140686274509805,4.19093703148426
1,6.75,5.22653600000001,201.87662,29.2238200000001,1.0024,5.2547484418,25.61875,20.77725,100.1087,15.507158,0.4004865,5.239410288,0.91214646525,0.024597401,24.673995,781.1066,29.5099375,4391.0725,1.176833125,0.459358375,102.023225,370.621669838249,293.548842592592,-0.120889631004674,2.07551960784313,4.90893984257871
1,7.25,4.55769199999999,2112.9665025,39.506555,-1.28888300000001,66.5068591879999,25.78,20.78775,100.0864,13.72602,0.409475,4.8391625,1.025052611,0.0124324031666667,24.74954,780.40375,29.539525,4088.61075,1.2493175,0.4874642,102.0874,374.918292102759,294.748682336182,49.193982511007,74.9415837104072,25.7476011994003
1,7.75,6.32783669999996,634.084925,53.27936,31.323925,226.5621072,26.296,20.7935,100.07995,13.01066375,0.4556725,5.055705507,1.3249201704,0.000267405333333342,25.02092625,741.5464,29.73186125,10042.696,1.22302375,0.504983225,102.115925,381.570171265462,296.790064102564,109.148941270315,149.835331825038,42.0893853073463
1,8.25,3.73386875,60.94,70.174625,32.7214,405.29322636,26.413,20.69775,100.01484,13.05133,0.42448125,5.33345375,1.175359257375,-0.0118975925,25.2923125,702.68905,29.9241975,3789.702,1.19673,0.52250225,102.14445,380.877426260704,300.325908119658,204.51907169153,267.538329562594,63.0330659670165
