DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,G,SG
1,15.75,-37.15975,100,3.4905,100.315,1.418875,1.37518,-42.41425,-0.0261025,0.4922025,128.56,168.3925,0.003819175,-36.88375,-18.63975,-16.3565,-15.28475,-13.631,-28.57975,-0.40396
1,16.25,-31.5595,98.3195,1.8205,100.315,8.12605,9.707,-22.0045,3.6162,4.808,169.705,188.56,0.0032697,-31.44,-18.0715,-17.647,-17.38,-16.6985,-9.75415,-0.457165
1,16.75,-32.0185,98.8485,2.1093,100.325,2.18105,2.35315,-26.829,0,1.04905,169.115,188.24,0.002497075,-31.3975,-18.0515,-17.638,-17.3665,-16.69,-10.791,-0.43984
1,17.25,-31.549,99.019,2.18775,100.3325,0.331395,0.36692,-27.661,0,0,168.81,187.48,0.001386,-31.3915,-18.0285,-17.63,-17.3615,-16.68,-10.932,-0.317765
1,17.75,-31.725,99.0515,1.92635,100.3125,0,0,-28.427,0,0,167.615,187.575,0.001367375,-31.4835,-18.015,-17.6235,-17.35,-16.6715,-10.909,-0.44439
1,18.25,-31.584,99.15,1.7905,100.3025,0,0,-26.926,0,0,167.79,187.87,0.0013925,-31.5385,-18.085,-17.6315,-17.3465,-16.6715,-10.9795,-0.435125
1,18.75,-31.7735,99.203,2.10915,100.32,0,0,-27.75,-0.020869,0,168.8,185.25,0.0018441,-31.658,-18.067,-17.6485,-17.325,-16.6585,-11.1685,-0.44439
1,19.25,-31.9625,99.1735,2.09125,100.315,0,0,-27.734,-0.43742,0,168.28,184.62,0.0013785,-31.8315,-18.055,-17.66,-17.312,-16.6435,-11.6395,-0.538835
1,19.75,-31.9865,99.1915,2.0229,100.3175,0,0,-24.5495,-0.0415665,0,170.99,184.76,0.0013285,-31.8725,-18.0415,-17.67,-17.298,-16.635,-11.71,-0.43984
1,20.25,-32.3355,99.1475,2.19895,100.3125,0,0,-20.981,-0.12492,0,170.395,184.015,0.0015649,-32.033,-18.065,-17.68,-17.2915,-16.638,-11.7335,-0.366525
1,20.75,-31.971,99.2315,2.2136,100.295,0,0,-19.05,-0.093881,0,169.47,186.035,0.00084632,-31.3335,-18.097,-17.695,-17.3015,-16.635,-11.333,-0.32594
1,21.25,-31.7465,99.285,2.18375,100.3025,0,0,-16.2315,0,0,166.3,185.66,0.0016326,-31.49,-18.158,-17.685,-17.31,-16.6315,-10.72,-0.29322
1,21.75,-31.929,99.2425,1.9355,100.3425,0,0,-18.1295,-0.05196,0,167.73,186.595,0.001206305,-31.73,-18.1815,-17.6815,-17.32,-16.6285,-10.6025,-0.251805
1,22.25,-31.8055,99.22225,2.070075,100.31,0,0,-16.86725,-0.01558725,0,166.0475,185.09,0.00114625,-31.79975,-18.21225,-17.69275,-17.3935,-16.62925,-10.34325,-0.3075075
1,22.75,-32.03225,99.12925,2.194675,100.29,0,0,-18.6585,-0.29232,0,166.275,184.61,0.0012897,-32.04,-18.21425,-17.6815,-17.42175,-16.63825,-10.16625,-0.3359375
1,23.25,-32.573,99.3125,2.21035,100.29,0,0,-16.854,-0.19782,0,168.655,185.505,0.0013527,-32.60825,-18.2055,-17.6835,-17.433,-16.64425,-10.155125,-0.31995
1,23.75,-32.58025,99.313,2.18685,100.29,0,0,-15.0115,-0.0156585,0,171.925,183.8725,0.0009397225,-32.1865,-18.2115,-17.64825,-17.4235,-16.65175,-10.260975,-0.35775
2,0.25,-32.347,99.3315,2.683225,100.32,0,0,-17.523,0,0,174.8825,184.2475,0.0012009,-32.1315,-18.1235,-17.61725,-17.4565,-16.72975,-9.825,-0.4250175
2,0.75,-32.4695,99.261,2.42015,100.29,0,0,-20.5455,0,0,172.655,183.425,0.0012354,-32.085,-18.1785,-17.6115,-17.428,-16.7835,-9.18885,-0.35169
2,1.25,-32.321,99.2415,2.2195,100.23,0,0,-15.856,0,0,172.47,182.99,0.0013508,-32.115,-18.1815,-17.625,-17.405,-16.7915,-9.613,-0.3954
2,1.75,-32.643,99.276,1.7428,100.21,0,0,-20.134,-0.020839,0,172.44,181.935,0.0007837175,-32.394,-18.185,-17.632,-17.377,-16.805,-9.98975,-0.34364
2,2.25,-32.974,99.3895,1.6954,100.18,0,0,-20.959,-0.0835185,0,169.87,181,0.0009017175,-32.7255,-18.183,-17.638,-17.353,-16.818,-9.82505,-0.366525
2,2.75,-32.923,99.383,1.7892,100.2,0,0,-21.259,-0.37575,0,169.555,182.05,0.00098532,-32.3455,-18.1885,-17.643,-17.3415,-16.8265,-9.66015,-0.29322
2,3.25,-32.3855,99.261,1.57375,100.24,0,0,-18.0145,-0.12516,0,171.025,181.2,0.00151585,-32.7025,-18.1865,-17.6465,-17.3365,-16.835,-9.51875,-0.328805
2,3.75,-33.085,99.3285,1.61545,100.21,0,0,-20.064,-0.0313175,0,169.965,182.83,0.00093653,-33.079,-18.1865,-17.655,-17.3335,-16.83,-9.4952,-0.42253
2,4.25,-33.52,99.15475,1.430375,100.1425,0,0,-24.35575,-0.015648,0,172.085,181.7375,0.0011986,-33.4415,-18.18325,-17.679,-17.32925,-16.8435,-9.3185,-0.435075
2,4.75,-33.2345,99.1945,1.6817,100.1025,0,0,-20.79375,-0.3490325,0,169.16,180.705,0.0011321,-33.07125,-18.19225,-17.68725,-17.3325,-16.81825,-9.813275,-0.37144
2,5.25,-33.13625,99.28625,1.7884,100.05525,0,0,-22.95725,-0.6310375,0,169.29,181.3725,0.0014675,-33.2085,-18.2045,-17.6955,-17.341,-16.793,-9.907425,-0.403545
2,5.75,-33.13525,99.2625,1.60505,100.0505,0,0,-18.48,-0.3551025,0,170.225,182.6025,0.001052925,-33.103,-18.18,-17.70475,-17.35025,-16.787,-9.612975,-0.3628125
