DOY2,HR2,TA_1_3_1,RH,TA_1_6_1,TA_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,T_BOLE_1_1_1,T_BOLE_1_1_2,T_BOLE_1_1_3,CO2_1_1_1,H2O,CO2_1_2_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_3_2,TA_1_4_1,TA_1_3_3,TA_1_2_1,TA_1_1_1,WS_1_1_1,NETRAD_1_1_1,NETRAD_1_1_2,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,SW_IN_1_1_3,SW_OUT_1_1_2,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_DIF,PPFD_OUT,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,PA,T_SONIC,WS_1_1_2,LW_IN,LW_OUT,RH_1_2_1,CO2_1_3_1,SG,WS_1_2_1,U_SIGMA,V_SIGMA,W_SIGMA,VPD,T_SONIC_SIGMA,NETRAD_1_2_1,PPFD_IN_1_2_1,SW_IN_1_2_1,SW_OUT_1_2_1,G_1_2_1,G_1_2_2,TA_1_6_2
1,0.25,-0.2178875,86.59,-1.0765,-1.7715,0.90269,1.0961,1.656,1.1346,-2.85635,-5.152,-7.0205,-5.0302,-4.9974,-5.97415,-0.765,-0.2367,-0.1915,385.125,5.517,395.125,0.05995415,-0.4220315,-20.565725,0.091032625,-0.140979,-5.913,-0.654516,-3.97773,1.13925,-0.893675,-0.72585,1.9045,-1.039,1.7725,0.87085,-29.6125,-47.255,0,2.242,0,0,0.18895,0,0.41085,14.9025,0,2.1752,2.4659,3.0324,4.2237,5.2614,99.1866,3.1289375,0.997175,279.466,313.546,89.923,403.185,-5.8391,0.833364,0.2500045,0.301504,0.1171355,0,0.158649,-31.1055,0,0,0.225966,-5.286365,-2.922315,-1.72581
1,0.75,-0.14065,86.43,-1.1384,-1.818,0.8892,1.1023,1.646,1.1308,-2.88165,-5.18,-7.16365,-5.07025,-5.013275,-6.1676,-0.8134,-0.2462,-0.1983,385.1,5.49705,394.85,0.05447875,-0.664072,-19.688025,0.19294025,-0.169209,-6.332,-0.752638,-4.249025,1.19125,-0.738125,-0.86225,1.712,-1.1065,1.81125,0.9341,-38.985,-46.68,0,2.233,0,0,0.1984,0,0.4075,14.9025,0,2.1786,2.464,3.032,4.225,5.2583,99.1883,3.14725,0.987175,280.873,313.3995,90.59935,402.751,-5.69348,0.777886,0.2528025,0.3072355,0.11720075,0,0.16603075,-26.406875,0,0,0.24305275,-5.40114,-2.99365,-1.9728825
1,1.25,-0.2474075,86.84,-0.7406,-1.825,0.89737,1.0961,1.652,1.1354,-2.8407,-5.191425,-7.21165,-5.1263,-5.06075,-6.16875,-0.7473,-0.2524,-0.2048,385,5.48,394.05,0.06054145,-0.5029585,-20.61935,0.14483675,-0.1628585,-6.016,-0.718675,-4.3260275,1.1305,-0.720325,-0.695775,1.819,-0.921,1.704,0.8974,-34.185,-48.175,0,2.241,0,0,0.1662,0,0.4065,14.9025,0,2.179,2.4634,3.0374,4.2237,5.2603,99.1837,3.08875,1.02875,282.50725,313.3565,90.9377493,402.6105,-5.6386075,0.783914,0.2626165,0.317368,0.120997,0,0.1674235,-26.4196,0,0,0.2505065,-5.56183,-2.9234175,-1.8026425
1,1.75,-0.3173,87.36,-0.708825,-1.75,0.90455,1.0937,1.65,1.135,-2.8465,-5.197125,-7.20385,-5.1473,-5.035625,-6.1884,-0.7552,-0.255,-0.2062,385.225,5.48474,392.125,0.06328815,-0.4618345,-19.09695,0.216755,-0.197221,-6.043,-0.51260475,-3.93154,1.039,-0.7135,-0.9151,1.7425,-0.9143,1.345,0.887525,-42.6025,-52.465,0,2.24,0,0,0.186725,0,0.4046,14.9025,0,2.175,2.4738,3.0333,4.2206,5.263,99.19685,3.06034,1.0105,280.089,313.38075,91.51985,402.933,-5.68078,0.820325,0.27267525,0.307877,0.120672,0,0.15788725,-28.20695,0,0,0.2403285,-5.5189625,-2.9946925,-1.906765
1,2.25,-0.4258,87.37,-0.827675,-1.7125,0.90076,1.089,1.643,1.131,-2.907,-5.1919,-7.189,-5.15825,-5.08895,-6.265525,-0.8029,-0.2736,-0.2149,385.15,5.5739,393.325,0.057608225,-0.75569975,-20.2586,0.1436855,-0.147733,-6.187,-0.56458525,-3.8736375,1.1215,-0.9987,-1.061,1.674,-1.0459,1.39275,0.90565,-43.95,-49.66,0,2.243,0,0,0.1898,0,0.4051,14.9025,0,2.177,2.467,3.0352,4.2221,5.261,99.2105,3.019685,1.014,281.266,313.2895,91.602,402.895,-5.71475,0.808251,0.26192925,0.304206,0.116913,0,0.16150875,-25.469325,0,0,0.2520715,-5.72273,-2.92344,-1.920915
1,2.75,-0.4364225,87.26,-0.856525,-1.8755,0.89932,1.0859,1.641,1.1286,-2.966,-5.223,-7.2071,-5.16885,-5.1663,-6.308625,-0.727,-0.2559,-0.2309,385.6,5.523745,391.1,0.0599775,-0.50443925,-18.795,0.1381,-0.12805475,-6.233,-0.8815,-4.0385125,1.057,-0.90345,-1.011,1.482,-0.7143,1.4645,0.94665,-46.26,-47.16,0,2.254,0,0,0.1572,0,0.40635,14.9025,0,2.178,2.4768,3.04,4.2253,5.2639,99.2184,2.9255625,0.9824,282.0025,313.5,91.2103,402.863,-5.65767,0.80869775,0.274787,0.3076985,0.12149725,0,0.1594525,-26.4866,0,0,0.226403,-5.471765,-2.9235375,-1.8416775
1,3.25,-0.4610725,87.86,-0.91985,-1.994,0.8894,1.072,1.633,1.113,-3.01845,-5.2472,-7.24445,-5.222,-5.16725,-6.28695,-0.7867,-0.2688,-0.2122,377.4,5.8968475,391.725,0.05647285,-0.9155,-20.5799,0.096640325,-0.07824815,-6.187,-0.721788,-4.01354,1.06825,-0.8826,-1.038,1.602,-0.7999,1.58475,0.928,-34.1525,-47.145,0,2.235,0,0,0.1544,0,0.40305,14.9025,0,2.178,2.479,3.0445,4.2257,5.2648,99.1965,2.95434,0.9495,282.8,313.1045,91.3384,404.6465,-5.73942,0.7529485,0.267746,0.3157395,0.1214115,0,0.1653305,-23.7472,0,0,0.2304775,-5.51952,-3.01859,-1.8266
1,3.75,-0.490975,87.4,-1.06975,-2.04,0.8831,1.087,1.631,1.12,-3.032625,-5.2824,-7.25775,-5.1875,-5.17965,-6.2371,-0.7614,-0.2837,-0.2135,385.8,5.533,393.5,0.0576375,-0.74829875,-17.69575,0.15855675,-0.14596125,-6.357,-1.31038,-4.18485,1.1895,-1.0151,-0.9929,1.684,-0.95825,1.5215,0.924225,-25.9525,-46.19,0,2.235,0,0,0.1873,0,0.40555,14.9025,0,2.17,2.48,3.046,4.2211,5.2616,99.18155,3.084,0.9476,283.35975,312.486,91.858525,403.3205,-5.7589,0.76027525,0.25511775,0.30783925,0.1150375,0,0.155148,-23.50325,0,0,0.23171,-5.6308375,-2.92395,-1.792575
1,4.25,-0.5088775,87.25,-1.24225,-2.114,0.88038,1.0715,1.621,1.1293,-3.088425,-5.3066,-7.2585,-5.191175,-5.21025,-6.16135,-0.8169,-0.2908,-0.2332,385.575,5.543965,392.375,0.054104,-0.519012,-18.8011,0.141507,-0.1240685,-6.127,-0.762994,-4.457345,1.002875,-1.04325,-0.93335,1.3795,-0.9421,1.48025,0.83735,-24.4475,-45.415,0,2.256,0,0,0.1593,0,0.40205,14.9025,0,2.1673,2.4687,3.0427,4.23,5.2659,99.1815,3.01392,0.9255,282.05,312.405,91.18245,403.39825,-5.698435,0.7920635,0.249952,0.298178,0.111932,0,0.1578805,-24.88475,0,0,0.24034,-5.5151625,-2.9477375,-1.7295525
1,4.75,-0.4639,87.59,-1.329,-2.24,0.87958,1.0727,1.626,1.124,-3.04435,-5.33025,-7.28745,-5.24925,-5.26945,-6.209,-0.8959,-0.2734,-0.2293,385.5,5.55303,392.05,0.0568829,-0.8312435,-17.4125,0.17031,-0.132405,-6.393,-0.720075,-4.5109775,1.18775,-0.96765,-0.9256,1.449,-0.80635,1.485,0.8274,-33.8475,-44.68,0,2.258,0,0,0.16715,0,0.40425,14.9025,0,2.17,2.4755,3.04,4.2225,5.2634,99.1693,2.960425,0.90515,284.268,312.45475,91.195925,403.19925,-5.67306,0.743112,0.255242,0.3137525,0.115096,0,0.1613215,-23.911625,0,0,0.244108,-5.5653525,-3.0904,-1.82207
