DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
1,0.25,0.064125,-13.95475,0.492675,-1.406,-0.875375,-0.766,-56.85275,-4.939,-9.62385,0.869,44.1425,100,381.6939,0.27975,-84.4375,-0.917125,-4.763075
1,0.75,0.05075,-13.98975,0.436475,-1.204225,-0.34725,-1.26735,-62.07605,-9.2845,-9.603125,0.83975,45.62125,100.0125,381.264625,0.27975,-84.325,-0.926,-4.60655
1,1.25,0.07965,-14.21825,0.558975,-0.295,-0.23505,-1.06215,-60.1162,-5.1605,-9.5606,0.83925,45.526,99.925,381.275425,0.28,-84.4175,-0.9211,-4.823725
1,1.75,0.063375,-14.4865,0.580175,-0.0474,-0.410625,-0.850375,-60.612375,-2.6535,-9.546525,0.83875,46.9635,99.838375,381.2134,0.27975,-84.005,-0.92305,-5.043875
1,2.25,0.07245,-15.02,0.654125,-0.338425,-0.18815,-1.1109,-69.5059,-8.421325,-9.5509,0.838,47.60925,99.838375,380.649,0.27975,-82.4175,-0.9211,-4.9015
1,2.75,0.0828,-15.1295,0.745825,0.107125,-0.2428,-0.7084,-66.5575,-4.663525,-9.55485,0.80825,48,99.838375,380.501475,0.27,-83.6025,-0.926,-4.433525
1,3.25,0.051625,-15.33125,0.525425,-0.051625,-0.424125,-0.9985,-56.3605,-7.885,-9.570075,0.7785,47.57725,99.7375,380.40825,0.26,-83.325,-0.9221,-4.719575
1,3.75,0.0452,-15.096,0.304575,0.21725,-0.057,-0.7442,-67.8325,-1.737,-9.555,0.759,48.5895,99.7375,380.24485,0.26,-82.215,-0.926,-5.253275
1,4.25,0.05175,-15.1865,0.352,0.19025,-0.358125,-1.1468,-65.9288,-6.615,-9.524975,0.73925,49.50275,99.650875,380.33365,0.26,-82.24,-0.92205,-5.19225
1,4.75,0.0526,-15.081,0.482325,-0.512875,-0.3982,-2.1544,-70.35,-3.605225,-9.5658,0.738,50.398,99.650875,380.40485,0.2685,-81.695,-0.8174,-5.3923
