DOY2,HR2,LE,H,FC,G,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,PPFD_IN,SW_IN
1,0.25,-47.2304258383595,-112.103302996461,-3.17543022940357,-61.71362,-132.36714,-22.1400435,-22.428276,8.66030996471928,0.0439713174212827,64.593274,0.163568675,1.45684975,361.72496068699,0.790422759697749,-11.15814375,-0.0016334858,0
1,0.75,-33.8437682941286,-120.731000926914,-3.03198781456042,-61.335799,-131.4901925,-22.233529,-22.57736125,11.961061211673,0.0289665218778011,64.5738975,0.1521252,1.3771872,361.578163456015,0.804352816264942,-11.21305,-0.000268654975,0
1,1.25,-41.9227812466304,-123.455964119225,-2.98773855676777,-58.587452,-134.36732,-22.0129405,-22.6704795,12.4714821228114,0.0320299375695354,64.5861635,0.14551017,1.2381145,361.826248473585,0.842163963948468,-11.260405,-0.001091706795,0
1,1.75,-32.8552425696974,-110.918822875964,-4.63289100566985,-55.6152865,-137.74821,-21.95454,-23.0550465,11.9789921685247,0.0287250743438727,64.59988,0.1611423375,1.0015041125,361.620146430053,0.83091075862311,-11.3261085,-0.00064684851,0
1,2.25,-60.8513089711385,-127.551216421189,-4.7771793547238,-56.262102,-136.1936,-22.092307,-23.0602795,10.5744981064729,0.0341203058141819,64.59921475,0.1298315775,1.212632675,361.380162990731,0.827083111979156,-11.3850845,-0.00113612373,0
1,2.75,-34.2528461694172,-131.517794569198,-1.61210264278393,-57.1280275,-135.2444525,-22.6462425,-22.87927675,12.876332473579,0.0309352414450862,64.570111,0.18106428,1.040630025,361.8468114159,0.790082263209345,-11.424301,-0.00209457738,0
1,3.25,-47.6142684704057,-132.945760692385,-2.74012803543706,-55.926165,-137.413135,-21.820946,-22.4254725,10.6667696959145,0.0290368029365069,64.57349,0.153241155,1.3853344,361.478377449304,0.799247978427284,-11.4269175,-0.002275650125,0
1,3.75,-44.3625701307723,-124.689814102173,-2.59693158486583,-55.1509235,-137.46216,-22.11802625,-22.594709,9.44541556548473,0.0173842889458223,64.56702675,0.1457715175,1.226485375,361.528090506945,0.83021671769559,-11.4378205,-0.0023894273,0
1,4.25,-57.4089666345581,-136.070271484016,-1.71733553028891,-53.995212,-138.94833,-22.161651,-22.769407,9.30359551987895,0.0161451745097878,64.53178,0.136429865,1.6466732,361.612483214983,0.841696446083302,-11.41702,-0.00173477688,0
1,4.75,-90.4364992578906,-134.713764594385,-4.40034010570502,-54.7619365,-139.564255,-21.8954,-23.02522,9.15279621765991,0.0169512239980717,64.53028575,0.1430716625,1.54678525,361.475872247849,0.799498806279793,-11.3793695,-0.0024638915,0
1,5.25,-63.2357177198378,-129.491334787083,-3.06452393563805,-55.444441,-138.625315,-21.97291125,-22.9984755,8.3669394970798,0.0216478430464076,64.53806,0.12778946,1.48471875,361.61236212789,0.841966585945985,-11.382268,-0.00199449505,0
1,5.75,-54.595826919803,-113.183045805993,-3.72422528707224,-55.393811,-137.55903,-21.98583,-23.054301,8.76623822961247,0.035335311516264,64.535148,0.155014,1.474973,361.549971120052,0.813764494875874,-11.4005375,-0.00205580415,0
