DOY2,HR2,G_2_1_1,G_3_1_1,G_4_1_1,USTAR,FC,LE,H,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_2_1,PPFD_OUT,TA_1_2_1,TA_1_2_2,TA_1_3_1,TA_1_3_2,RH_1_2_1,RH_1_3_1,WS_1_2_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_6_1_1,TS_6_2_1,TS_6_3_1,PPFD_IN_1_1_1,TA_1_1_1,TA_1_1_2,RH_1_1_1,WS_1_1_1
1,0.25,-4.21655,-2.65505,-4.31355,0.031132834,0.065068182,-0.46255,-5.226,-17.24055,0.1541315,0.09182665,214.8085,234.96,-0.01048705,0.00372871,-18.1435,-17.8235,-17.5715,-18.1125,84.1665,83.08345,1.71925,-5.02365,-4.9068,-4.70165,-4.21845,-2.7016,-0.24811,-6.11895,-5.76885,-5.4351,-4.87565,-3.17605,-0.54022,-5.09255,-4.8464,-4.6277,-5.14965,-4.77755,-4.43045,-5.43245,-5.16845,-5.0581,-5.7989,-5.7005,-5.12325,0.9648705,-14.3845,-19.2515,82.69325,2.03605
1,0.75,-4.2833,-2.69165,-4.18085,0.066738295,0.036886364,-0.22941,-13.8455,-19.3013,0.0964423,0.04856675,215.52,234.5935,-0.00790125,0.001650135,-18.28,-18.0275,-17.8725,-18.07,84.1076,83.2255,1.84335,-5.0149,-4.91505,-4.7131,-4.22545,-2.7061,-0.24664,-6.1553,-5.77205,-5.4373,-4.90315,-3.1791,-0.546895,-5.0985,-4.84945,-4.62925,-5.159,-4.774,-4.4318,-5.43215,-5.1551,-5.0619,-5.8091,-5.7061,-5.1404,0.227959,-14.5905,-19.508,82.5409,2.0064
1,1.25,-4.207,-2.73435,-4.16515,0.045581953,0.032590909,0.05965,-13.136,-17.0445,0.176742,0.0822804,216.2795,234.5805,-0.0002065515,0.0001549845,-18.2745,-18.027,-17.9655,-18.23,84.20655,82.99455,1.9248,-5.02925,-4.92105,-4.7128,-4.2304,-2.7095,-0.25374,-6.1589,-5.77975,-5.44845,-4.916,-3.1823,-0.54527,-5.1091,-4.84175,-4.6255,-5.17365,-4.7713,-4.4313,-5.4292,-5.16035,-5.0617,-5.8014,-5.71475,-5.1596,-0.25094,-14.837,-19.3185,82.4655,1.98875
1,1.75,-4.2105,-2.64905,-4.19985,0.0371260305,0.060034091,-0.05055,-8.9385,-13.7664,0.192911,0.07404515,216.6135,234.537,-0.00300315,0.001737125,-18.259,-18.244,-17.648,-18.113,84.1139,82.94425,1.8148,-5.0314,-4.92705,-4.71615,-4.23065,-2.71685,-0.25294,-6.15795,-5.80245,-5.4622,-4.9051,-3.18415,-0.55868,-5.11015,-4.84835,-4.6267,-5.1976,-4.77035,-4.437,-5.4461,-5.15305,-5.05945,-5.80505,-5.73065,-5.1729,0.145325,-14.983,-19.022,82.2851,2.00585
1,2.25,-4.32495,-2.78625,-4.1236,0.036180105,0.041431818,0.07931,-3.563,-13.3141,0.168097,0.0780527,217.1345,235.219,-0.00453065,0.000754497,-18.042,-17.735,-17.4025,-18.011,83.6832,82.8657,1.84915,-5.02485,-4.91945,-4.71835,-4.2335,-2.71755,-0.24824,-6.1752,-5.80275,-5.47945,-4.9156,-3.1882,-0.571445,-5.1314,-4.8513,-4.62735,-5.21425,-4.76425,-4.4494,-5.46605,-5.1707,-5.05985,-5.81745,-5.7398,-5.17505,0.5191605,-15.04,-18.7175,82.1822,1.9831
1,2.75,-4.29675,-2.74345,-4.15355,0.0446943765,0.068409091,-0.1128,-10.99,-15.2031,0.174948,0.0655117,216.8885,237.012,-0.0028209,4.076075e-05,-17.8565,-18.062,-17.355,-17.724,83.9591,83.04505,1.797,-5.0065,-4.9151,-4.72055,-4.2414,-2.71745,-0.2463,-6.2104,-5.80355,-5.47755,-4.9095,-3.19115,-0.56578,-5.14835,-4.8552,-4.6193,-5.2224,-4.75915,-4.45895,-5.46375,-5.14695,-5.0604,-5.8295,-5.74005,-5.18485,-0.1108794,-15.054,-18.659,82.3873,2.06665
1,3.25,-4.4532,-2.808,-4.2324,0.052151363,0.033693182,-0.2105,-6.905215,-15.0368,0.176247,0.0355107,216.911,236.419,-0.01553195,9.042375e-05,-17.8255,-18.016,-17.4395,-18.016,84.0436,82.9028,1.8734,-4.99155,-4.90065,-4.7227,-4.24815,-2.72,-0.246555,-6.24555,-5.83105,-5.4739,-4.91135,-3.19835,-0.57311,-5.1671,-4.87135,-4.64465,-5.21875,-4.7525,-4.45315,-5.48445,-5.16465,-5.06235,-5.8507,-5.7359,-5.1901,-0.01404945,-14.9895,-18.458,82.8892,1.80835
1,3.75,-4.4426,-2.7373,-4.2805,0.0438844465,0.0365909095,-0.07225,-7.244,-14.9512,0.177986,0.06482355,217.844,236.9475,0.01129625,0.000212469,-17.7815,-17.578,-17.311,-17.7615,84.12975,83.0667,1.90815,-4.99435,-4.896,-4.7144,-4.254,-2.7198,-0.25412,-6.25405,-5.8682,-5.46845,-4.9232,-3.20425,-0.58195,-5.16855,-4.8624,-4.66785,-5.20895,-4.74935,-4.4566,-5.5072,-5.18015,-5.0901,-5.8996,-5.7374,-5.1868,0.6515195,-15.022,-18.024,83.0255,1.81025
1,4.25,-4.5792,-2.7921,-4.2141,0.062953274,0.061568182,-0.11049,-11.253,-11.9457,0.0999767,0.0333319,219.2225,234.6485,0.0110131,0.0005417225,-17.9085,-18.2125,-17.4195,-17.8435,84.0163,82.82855,1.81285,-4.9915,-4.8949,-4.6977,-4.26455,-2.71915,-0.259845,-6.2346,-5.8655,-5.47525,-4.93635,-3.20445,-0.57367,-5.1787,-4.863,-4.6795,-5.21055,-4.7445,-4.4607,-5.52685,-5.19575,-5.11665,-5.9466,-5.75565,-5.1869,0.4078695,-15.308,-17.8955,83.03185,1.9598
1,4.75,-4.6024,-2.8572,-4.26295,0.0457375445,0.0462613635,-0.05382,-4.057,-13.5331,0.135297,0.0442704,216.685,235.027,0.00706395,0.000625776,-17.9255,-18.085,-17.272,-17.7055,83.9987,83.21555,1.67455,-4.99815,-4.88205,-4.70395,-4.2696,-2.7187,-0.26373,-6.2487,-5.86335,-5.4934,-4.93725,-3.2104,-0.574095,-5.17535,-4.85815,-4.67475,-5.22315,-4.7392,-4.4634,-5.54575,-5.1918,-5.11925,-5.97915,-5.79305,-5.1951,0.2139225,-15.499,-17.8265,82.91205,1.946
