DOY2,HR2,CO2,H2O,FC,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,379.39,4.575,0.055,-27.722,2.9305,1.21,0.274,0.5145,0.5705,0.326,100.02,69.163,2.0375,2.08,3.672,0.2785,7.265,8.827,0,-1.759,2.144,274.41,322.3
1,0.75,378.35,4.513,0.027,-28.274,3.1,1.098,0.259,0.4855,0.5495,0.332,100.01,68.798,1.902,2.055,3.368,0.269,7.275,8.797,0,-1.786,2.127,270.9,322.46
1,1.25,379.42,4.332,5e-04,-25.0055,2.683,1.092,0.267,0.4675,0.5525,0.331,100,69.146,1.874,2.04,3.363,0.272,7.273,8.774,0,-1.867,2.309,271.8,322.85
1,1.75,380.47,4.4795,0.0485,-24.603,2.342,1.051,0.236,0.4505,0.512,0.3005,100,70.497,1.8435,1.99,3.229,0.2685,7.281,8.774,0,-1.595,2.31,276.04,322.12
1,2.25,380.84,4.64,0.072,-25.972,2.627,1.037,0.248,0.44,0.515,0.307,100,70.996,1.4945,1.94,2.6715,0.279,7.289,8.777,0,-1.799,2.262,276.79,322.66
1,2.75,380.485,4.734,-0.0185,-23.409,1.444,1.053,0.252,0.447,0.5165,0.3095,100.01,71.244,1.3,1.86,2.6085,0.271,7.27,8.767,0,-1.494,2.33,278.07,322.11
1,3.25,381.11,4.539,-0.074,-23.626,2.0455,1.067,0.244,0.479,0.5265,0.3075,100.01,74.131,1.0345,1.7,2.541,0.2655,7.246,8.767,0,-1.633,2.296,280.27,322.35
1,3.75,380.895,4.579,0.077,-21.868,2.542,1.059,0.24,0.481,0.5295,0.3195,100.02,76.007,1.014,1.61,2.755,0.2625,7.23,8.76,0,-1.615,2.246,282.22,321.94
1,4.25,380.08,4.609,-0.001,-20.799,2.235,1.059,0.2385,0.44,0.537,0.285,100.01,75.556,1.1215,1.57,2.605,0.255,7.22,8.76,0,-1.444,2.129,287.1,320.75
1,4.75,380.555,4.603,0.102,-20.497,2.017,1.0225,0.23,0.4575,0.4855,0.28,99.9995,75.847,0.9165,1.48,2.714,0.2505,7.2,8.74,0,-1.468,2.2,286.11,320.4
1,5.25,381.175,4.4505,-0.114,-18.836,2.169,1.043,0.2315,0.4485,0.498,0.294,100.01,76.979,0.886,1.53,2.743,0.247,7.18,8.744,0,-1.388,2.14,286.41,318.47
1,5.75,380.81,4.65,-0.052,-20.316,2.497,1.043,0.24,0.4625,0.5075,0.3065,100.02,77.415,0.782,1.43,2.521,0.2475,7.17,8.747,0,-1.353,1.996,286.39,318.84
1,6.25,382.38,4.588,-0.0265,-19.293,2.1175,1.027,0.247,0.461,0.501,0.288,100.02,77.4965,0.649,1.4,2.515,0.243,7.15,8.724,0,-1.482,2.009,285.36,318.67
1,6.75,382.585,4.75,-0.057,-17.8185,1.729,1.041,0.2245,0.424,0.482,0.2765,100.025,78.041,0.487,1.335,2.386,0.2475,7.18,8.684,0,-1.398,2.146,284.12,318.59
1,7.25,382.225,4.412,0.183,-17.8625,2.194,0.99,0.238,0.443,0.4985,0.2835,100.06,79.806,0.19,1.27,2.389,0.243,7.17,8.707,1,0.576,2.28,288.56,316.84
1,7.75,382.835,4.533,0.04,-16.385,2.205,1.043,0.241,0.4325,0.516,0.2905,100.09,79.728,0.1875,1.23,2.3025,0.2285,7.16,8.707,42,21.659,5.472,293.49,318.04
1,8.25,382.45,4.3715,-0.407,-10.2145,5.7725,1.127,0.2795,0.488,0.527,0.319,100.11,75.925,0.906,1.45,2.799,0.241,7.14,8.687,142.9,67.427,10.436,291.02,320.78
1,8.75,382.33,4.2525,-1.1985,-0.461,10.735,1.168,0.306,0.604,0.62,0.3965,100.135,70.476,1.535,1.855,3.619,0.28,7.13,8.694,278,124.78,17.177,283.38,325.95
1,9.25,381.41,4.425,-2.1175,20.287,19.431,1.248,0.385,0.689,0.733,0.452,100.145,65.5555,2.787,2.37,4.384,0.313,7.13,8.677,418,221.11,29.022,278.92,332.77
1,9.75,381.54,4.3165,-3.327,47.735,25.847,1.488,0.475,0.793,0.879,0.538,100.17,60.266,3.9595,2.91,5.8105,0.3305,7.116,8.677,542.1,291.32,35.908,279.88,340.21
1,10.25,381.19,4.304,-4.584,71.975,33.5905,1.6135,0.489,0.8445,0.92,0.5655,100.185,56.407,5.009,3.48,6.34,0.377,7.117,8.647,661.09,351.1,38.408,277.71,345.76
1,10.75,380.61,4.274,-5.002,104.41,38.015,1.542,0.511,0.905,1.003,0.601,100.18,52.302,5.9925,4.02,7.111,0.421,7.11,8.637,781.1,420.26,42.646,280.22,350.77
1,11.25,379.44,4.27,-5.797,111.83,43.529,1.725,0.528,0.9665,1.0615,0.6255,100.15,49.8135,6.555,4.38,7.632,0.425,7.107,8.64,851,432.56,45.387,286.01,354.83
1,11.75,377.8,4.538,-5.742,128.68,50.892,1.7405,0.5495,0.926,1.0505,0.6275,100.095,48.495,6.802,4.64,7.892,0.468,7.11,8.667,888,457.92,46.11,285.28,359.89
1,12.25,377.345,4.638,-5.401,134.87,59.6385,1.729,0.5595,0.9495,1.091,0.6315,100.035,46.874,7.36,5.04,8.163,0.4565,7.155,8.6935,905.73,487.99,48.973,287.09,362.26
1,12.75,377.325,4.451,-5.15,137.11,56.645,1.722,0.558,0.991,1.1085,0.6405,99.9535,44.574,7.895,5.4,8.545,0.4625,7.17,8.6835,917.845,493.74,50.141,277.22,367.41
1,13.25,377.81,4.231,-4.936,126.63,58.7955,1.768,0.554,0.991,1.134,0.639,99.915,42.521,8.175,5.76,8.896,0.438,7.11,8.617,879,481.99,48.846,276.29,369.22
1,13.75,376.82,4.2975,-5.883,116.125,57.728,1.728,0.559,0.97,1.119,0.6475,99.888,41.7195,8.5245,6.035,9.381,0.4055,7.112,8.677,820.5,410.05,44.82,286.76,366.34
1,14.25,377.65,4.376,-4.903,86.147,53.654,1.7545,0.5315,0.946,1.071,0.597,99.881,40.4575,8.882,6.225,9.6585,0.353,7.142,8.714,741,379.28,41.045,279.95,365.87
1,14.75,377.19,4.198,-4.775,68.712,52.5815,1.688,0.537,0.919,1.098,0.614,99.866,40.697,9.081,6.445,9.545,0.301,7.15,8.72,631,319.89,37.232,285.11,365.21
1,15.25,377.51,4.1545,-3.5755,38.165,48.828,1.712,0.5115,0.8635,1.036,0.591,99.8485,40.578,8.895,6.33,9.7665,0.2485,7.195,8.724,508,272.02,33.162,275.08,363.67
1,15.75,377.055,4.251,-3.5945,9.72,41.2355,1.656,0.4925,0.8425,0.972,0.566,99.854,40.775,8.69,6.2,9.525,0.2095,7.21,8.747,336,177.53,24.33,274.545,358.45
1,16.25,377.78,4.275,-2.118,-7.9935,31.197,1.542,0.45,0.774,0.869,0.4945,99.868,41.6795,8.417,5.945,9.4005,0.1925,7.21,8.77,212,106.01,15.145,273.87,352.18
1,16.75,377.04,4.487,-0.751,-21.844,19.811,1.298,0.38,0.657,0.728,0.4455,99.87,43.592,8.2205,5.6,8.9845,0.2265,7.22,8.764,89.37,39.2965,7.851,273.71,347.205
1,17.25,378.12,4.382,0.2965,-23.656,8.1795,1.095,0.281,0.496,0.571,0.334,99.875,46,7.4305,5,8.419,0.3,7.25,8.764,9,7.476,3.2065,266.295,340.19
1,17.75,377.095,4.556,0.2775,-18.929,3.25,0.979,0.1955,0.3885,0.439,0.259,99.887,50.5775,6.4835,4.33,7.735,0.3235,7.26,8.764,0,-1.627,2.363,264.01,334.705
1,18.25,377.075,4.577,0.067,-18.219,2.875,0.895,0.169,0.333,0.4095,0.2255,99.953,52.75,5.671,3.81,7.198,0.3295,7.28,8.764,0,-2.6145,2.3235,267.65,332.545
