DOY2,HR2,CO2,CO2_SIGMA,FC,H2O,H2O_SIGMA,SC,H,LE,SH,SLE,PA,RH_1_2_1,RH_1_1_1,RH_1_3_1,T_SONIC,T_SONIC_SIGMA,TA_1_2_1,TA_1_1_1,TA_1_3_1,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,TS_1_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS,CH4,FCH4
1,0.25,445.828425,47.5937224992819,7.34216825,20.4934,4.17504623004904,2.984339,11.4300145,65.715535,2.3164505,10.809875,103.4637,87.2405025,100,100,23.2762225,0.887878675,20.809345,20.4592212,20.26063915,5.90074739408384,409.280320666667,418.7608595,0,0,18.8160665166667,18.4014913916667,0.00195506575,1.7352455,0.585049925,1.616828,0.74854055,5.99909075,2099.0635,19.899545
1,0.75,447.29985,43.9660310327788,9.9304545,20.1060125,3.16091970018188,1.09418645,12.62416,50.4970824999999,1.6796205,2.06806325,103.45995,86.996105,100,100,23.26922,0.97919215,20.6652425,20.77833065,20.6977155833333,5.51330855921729,411.630158166667,419.2077835,0,0,18.8220492666667,18.3841907333333,-0.000703415675000007,1.66603525,0.5676088,1.457244,0.7065141,5.84266775,2088.53,8.35807999999998
1,1.25,455.063275,12.77528619821,8.614668,20.4698,1.5746899021911,0.775789,13.4938125,53.526025,0.93128275,2.310204,103.458725,85.736225,100,100,23.4523325,0.93363185,20.667235,20.8845353,20.7839467833333,5.20118444307815,408.230828333333,419.251150833333,0,0,18.8276095166667,18.3642960333334,-0.0015014295,1.79267725,0.570044,1.4214515,0.747900975,6.3562015,2122.3915,14.191335
1,1.75,466.523175,18.0091437890356,13.377585,20.541825,2.45184904735865,1.087872925,12.4278425,60.5422225,1.71422175,9.551285,103.470275,88.7487375,100,100,23.470515,0.856413224999999,20.707885,21.0122862333333,20.7743671666667,5.29021377843008,409.149334,418.8370745,0,0,18.7738512666667,18.3406059916667,-0.001787779,1.8134215,0.6142925,1.625469,0.7340575,6.70797425,2123.213,7.80427400000001
1,2.25,439.9167,20.2886649894853,9.69903500000001,20.24825,2.89317710986814,1.46696,17.9573,61.3562,1.87239925,3.50391499999997,103.4604,85.1364425,100,100,23.30384,0.9090143,20.62195,21.1761027166667,21.0500327666667,6.08002679725901,409.241062833333,417.584710166667,0,0,18.7371359,18.313183275,-0.000757566199999997,1.625801,0.5716393,1.463151,0.6765825,6.245952,2096.99375,8.20462074999999
1,2.75,462.060425,23.2315887002873,8.28049624999999,20.5431525,3.02773856085481,2.4708605,19.69626,56.4666224999999,3.2318945,11.169735,103.441775,85.2422825,100,100,23.424695,0.91483665,20.5276675,20.6277454,20.44805665,5.34552781098549,411.868642333333,417.250065333333,0,0,18.6818021833333,18.2829747583333,-0.001574696,1.603599,0.510976275,1.4509325,0.6092392,5.52283725,2099.35775,8.26277074999999
1,3.25,490.849925,48.5893965751762,8.5829175,24.251425,4.00765156036391,5.68608,20.362575,75.1988399999999,1.922415,20.7845965,103.4269,99.2594575,100,100,23.3464625,1.113962275,20.508375,20.9186081666667,20.8698412666667,5.44181778612495,412.474037166666,417.890181083333,0,0,18.6119858333333,18.2635495,-0.0022613125,1.64487525,0.51566895,1.41878425,0.6796032,6.1319345,2111.329,10.17897
1,3.75,508.178675,21.826133323634,10.96474925,23.72835,3.67493222655977,0.934946124999999,25.319075,67.18174,1.5663095,7.29595124999998,103.4224,100,100,100,23.3493975,0.991592599999999,20.67279,20.9242296083334,20.894176175,5.26724644526639,412.866026083333,416.702072833333,0,0,18.5325184416666,18.22894575,-0.00234680625,1.72238225,0.55185485,1.55270175,0.65616515,5.6395035,2102.0415,19.3354149999999
1,4.25,558.739974999999,43.4072009198201,11.59206,21.42745,4.65476405817819,3.02094899999999,22.26252,100.1662525,1.66208525,4.0384075,103.42545,99.24544,100,100,23.2613775,1.318015425,20.7999375,21.0446962166667,21.01266685,5.31888837721183,409.352448,415.876309916667,0,0,18.4396180833333,18.1936548333333,-0.00339709775,1.67285025,0.54082865,1.50397825,0.695625475,5.666213,2161.432,6.322766
1,4.75,594.51575,20.9067205363536,6.7527075,20.5192,2.4361227034743,0.9553315,32.79745,67.932055,1.2828925,1.2615924,103.4125,86.575155,100,100,23.5946,0.71723375,21.111375,21.0067344333333,20.8212243416667,5.49623990691034,412.158523916667,418.425889583334,0,0,18.354849075,18.1679237166667,-0.00253452,1.59604,0.5491365,1.74931,0.66691375,5.31915,2174.948,4.131872
