DOY2,HR2,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,-4.1115,-3.978,-3.6985,-4.3215,102.564575,84.725,-17.9875,-5.23525,7.24025,6.75225,-6.07125,-4.9435,217.2,220.625
1,0.75,-4.304,-3.9395,-3.74125,-4.344,102.56505,84.725,-17.9975,-5.9195,7.07475,6.75175,-6.066,-4.97225,217.775,220.45
1,1.25,-4.2625,-3.91,-3.7665,-4.351,102.573375,84.65,-18.2925,-6.0165,7.13875,6.74825,-5.877,-4.802,214.85,220.675
1,1.75,-4.182,-3.85625,-3.77325,-4.39625,102.56285,84.825,-18.3875,-6.04825,6.98225,6.755,-5.97775,-4.6785,218.05,221.55
1,2.25,-4.12375,-3.85625,-3.77325,-4.4315,102.539,84.95,-18.1075,-6.2705,6.92925,6.76175,-6.0295,-4.9605,219.9,222.25
1,2.75,-4.05075,-3.84825,-3.74375,-4.47725,102.524125,84.85,-18.0925,-6.42975,6.9115,6.77875,-5.98075,-4.92625,215.375,222.5
1,3.25,-3.97875,-3.86175,-3.762,-4.533,102.514925,84.9,-18.33,-5.35775,6.9095,6.77225,-6.02425,-4.90925,219.25,222.425
1,3.75,-3.95325,-3.87325,-3.75725,-4.58025,102.519575,85.3,-18.065,-6.288,6.94075,6.814,-5.8475,-4.986,216.325,223.15
1,4.25,-3.942,-3.8395,-3.683,-4.64575,102.51245,85.325,-18.0275,-5.77075,6.912,6.879,-6.10325,-4.97775,215.45,223.625
1,4.75,-3.942,-3.7715,-3.65,-4.68925,102.5303,85.25,-17.8575,-4.7995,6.92025,6.8205,-6.00375,-5.0085,218.575,223.775
1,5.25,-3.96175,-3.74,-3.63275,-4.735,102.521375,85.4,-17.6425,-3.6955,6.915,6.76175,-5.81,-4.972,218.425,225.025
1,5.75,-4.046,-3.64825,-3.6325,-4.7835,102.524725,85.325,-17.7375,-3.28875,6.952,6.749,-6.01,-4.9455,220.2,224.725
1,6.25,-4.11425,-3.80125,-3.631,-4.779,102.5418,85.225,-17.9525,-3.6545,7.31225,6.75275,-5.987,-4.99575,220.525,224.125
1,6.75,-4.0475,-3.862,-3.5755,-4.772,102.537875,85.225,-18.0475,-4.157,6.955,6.7565,-6.1445,-4.96875,217.925,224.05
1,7.25,-3.9725,-3.75675,-3.53475,-4.645,102.5498,85.225,-18.025,-5.39025,6.97175,6.7525,-6.252,-4.92025,216,223.45
1,7.75,-3.951,-3.6225,-3.442,-4.70725,102.55465,85.125,-18.045,-6.437,6.926,6.7475,-6.21125,-4.9465,215.175,223.925
1,8.25,-3.92525,-3.479,-3.43525,-4.72825,102.545575,85.35,-18.0375,-5.891,6.92625,6.74625,-6.28225,-5.086,214.55,224.275
1,8.75,-3.895,-3.52975,-3.345,-4.68925,102.559625,85.225,-17.8875,-5.5535,7.0035,6.748,-6.26325,-5.043,215,224.375
1,9.25,-3.87775,-3.683,-3.50975,-4.65025,102.557525,85.4,-17.79,-5.5145,7.118,6.74625,-6.276,-5.06525,217.975,224.125
1,9.75,-3.8445,-3.66325,-3.491,-4.671,102.550825,85.4,-17.9675,-6.93175,7.083,6.746,-6.24875,-4.91175,216,224.925
1,10.25,-4.15875,-3.69475,-3.49575,-4.63925,102.550675,85.425,-17.9125,-6.7875,6.9665,6.746,-6.3,-4.87525,215.65,225
1,10.75,-4.2015,-3.74875,-3.51925,-4.6225,102.563875,85.25,-17.95,-5.31425,6.91025,6.746,-6.14325,-4.923,215.225,224.5
1,11.25,-4.06125,-3.7675,-3.533,-4.6195,102.55715,85.275,-17.7775,-5.76875,7.0965,6.74625,-5.80225,-4.5945,216.225,224.775
1,11.75,-3.923,-3.68875,-3.5555,-4.54825,102.537175,85.425,-17.5375,-4.31425,10.505,8.2025,-4.96825,-3.588,219.05,224.7
1,12.25,-3.9845,-3.65125,-3.565,-4.53775,102.552775,85.4,-17.43,-5.99925,13.8,13.4725,-3.404,-2.83125,219.975,225.125
1,12.75,-4.14075,-3.383,-3.582,-4.481,102.59195,85.225,-17.4875,-6.1015,13.8125,16.965,-2.19325,-1.92,216.6,225.95
1,13.25,-4.2095,-3.3835,-3.58225,-4.48625,102.599825,85.3,-17.51,-6.1805,13.83,20.185,-1.92475,-1.42325,215.2,225.525
1,13.75,-3.9695,-3.3835,-3.5205,-4.4365,102.588175,84.95,-17.5625,-6.37925,13.83,20.2025,-1.638,-1.13675,213.975,224.1
1,14.25,-3.9165,-3.38275,-3.4295,-4.754,102.60515,84.8,-17.47,-6.217,13.82,20.11,-2.291,-1.71625,211.525,223.85
1,14.75,-4.045,-3.371,-3.346,-4.409,102.3887,84.4,-17.45,-5.835,13.81,14.71,-3,-2.409,214.4,224.8
1,15.25,-4.156,-4.20375,-3.57575,-5.1385,102.588275,84.25,-17.865,-6.41025,12.8875,12.5275,-4.337,-3.285,211.7,220.725
1,15.75,-4.148,-4.3995,-3.57575,-5.0955,102.550875,84.3,-18.25,-6.51225,7.6355,6.806,-5.19,-3.98275,209.15,221.1
1,16.25,-4.15775,-4.51975,-3.57575,-5.071,102.51535,84.4,-18,-7.051,6.90875,6.74725,-5.75625,-4.655,207.55,221.5
1,16.75,-4.141,-4.49275,-3.56825,-5.085,102.5063,84.425,-18.055,-7.6325,6.88,6.74625,-5.87475,-4.791,209.75,221.7
1,17.25,-4.075,-4.49325,-3.494,-5.114,102.52325,84.45,-17.945,-5.6875,6.89375,6.747,-6.119,-4.85875,207.625,221.025
1,17.75,-4.0555,-4.44125,-3.49325,-5.14125,102.52735,84.35,-17.945,-5.72675,6.90425,6.74625,-6.1295,-4.73175,208.875,220.525
1,18.25,-4.13,-4.4375,-3.405,-5.007,102.4971,84.35,-17.825,-3.2295,6.9075,6.749,-6.119,-4.8915,210.95,220
1,18.75,-4.128,-4.4125,-3.382,-5.005,102.52165,84.25,-18.085,-2.598,6.9095,6.75,-5.999,-4.768,215.8,221.1
1,19.25,-4.1275,-4.3815,-3.329,-5.0265,102.52995,84.35,-18.1,-2.682,6.9075,6.7485,-5.923,-4.915,214.8,221
1,19.75,-4.0395,-4.4065,-3.238,-5.0395,102.5351,84.5,-17.975,-4.812,6.9095,6.7475,-5.9315,-5.033,216.35,220.75
1,20.25,-4.021,-4.383,-3.2175,-5.047,102.53485,84.5,-18.065,-2.8215,6.927,6.7475,-5.833,-4.9885,214.75,220.1
1,20.75,-3.986,-4.383,-3.25,-5.0345,102.5317,84.25,-17.97,-2.4675,7.116,6.7475,-5.8845,-4.957,215.3,219.9
1,21.25,-3.9675,-4.367,-3.317,-4.868,102.5237,84.4,-17.975,-2.4735,7.494,6.749,-5.793,-5.0215,217.1,220.5
1,21.75,-4.016,-4.218,-3.271,-4.3905,102.52325,84.45,-18.1,-3.749,6.949,6.7475,-6.023,-5.0895,214.85,220.55
1,22.25,-4.152,-4.0655,-3.2715,-4.166,102.53435,84.6,-18.35,-4.427,7.082,6.748,-6.0405,-5.068,219.05,219.5
1,22.75,-4.13,-3.957,-3.3215,-4.1855,102.5382,84.8,-18.05,-4.056,6.911,6.747,-5.8095,-5.14,220.4,221.05
1,23.25,-3.984,-3.872,-3.342,-4.1965,102.53525,84.75,-17.915,-4.0665,6.916,6.7505,-5.9715,-4.999,219.15,221.8
1,23.75,-3.974,-3.8245,-3.3835,-4.1775,102.53835,84.85,-17.965,-4.304,6.915,6.751,-5.9615,-4.9795,218.65,221.55
2,0.25,-2.459,-2.443,-2.133,-2.797,102.618,85.3,-16.82,-3.494,6.909,6.745,-5.681,-4.882,220.5,227.8
2,0.75,-2.453,-2.442,-2.215,-2.719,102.6191,84.7,-17.12,-3.78,6.909,6.741,-5.748,-4.733,219.3,227.5
2,1.25,-2.469,-2.417,-2.113,-2.629,102.6118,84.7,-17.16,-5.836,6.909,6.744,-5.753,-4.653,218.3,226.9
