DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD,PPFD_DIF,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,368.456451,4.960212,-1.883994575,-35.485835725,-49.5587734,-8.985342425,0.2648982,0.0251054,-0.2566922,0.1326828,0.0171964,100.6777,66.6215,1.7877,0.04881855,9.8391838,0.0791186,3.767275,4.08264145,4.81295,6.558833275,7.656775,-79.613118,-0.528169,-0.222222,-0.209644,-3.81282785,-0.466667,248.19130745,297.203146125
1,0.75,365.5814093,5.4706482,-2.6407424,-35.3865392,-53.8889568,-11.5615867,0.2966488,0.0142616,-0.2836236,0.147675,0.016658,100.63795,66.49,1.698325,0.06852945,10.0815242,0.0904358,3.704333,4.028,4.6972664,6.504667,7.6661998,-80.8772345,-0.528169,-0.222222,-0.209644,-3.72468135,-0.655000275,248.6539521,295.972831175
1,1.25,380.0956045,5.6411226,-2.35393875,-35.3413272,-44.194284,-13.1880259,0.1903314,0.0166512,-0.2854314,0.1398898,0.0176368,100.61205,66.43225,1.648675,0.0415218,10.0036492,0.0897826,3.614867,3.9646666,4.5990666,6.4427998,7.6622664,-80.5172651,-0.5853872,-0.222222,-0.209644,-3.737809675,-0.44333355,248.5516688,295.78652445
1,1.75,377.3739582,5.4245328,-1.115909675,-35.1226814,-39.6924928,-22.8393763,0.2676322,0.0215688,-0.306886,0.133623,0.0187446,100.58775,70.22675,1.920075,-0.001439375,9.884021,0.0723064,3.495333,3.8886664,4.5244666,6.376533,7.6575334,-80.73376075,-0.5853872,-0.222222,-0.209644,-4.051013,-0.588333275,245.36416435,296.852618225
1,2.25,373.1352409,5.14870225,-1.7245751,-33.9223588,-41.633364525,-14.012423375,0.2840042,0.0216902,-0.3477456,0.1414454,0.0171282,100.55205,68.8435,1.79195,0,10.0516938,0.073062725,3.3684666,3.8156666,4.473867,6.3083336,7.6707998,-79.30428105,-0.5853872,-0.222222,-0.209644,-3.675919,-0.631667,246.12988165,297.991127875
1,2.75,385.781653125,4.013900925,-2.3359446,-34.216757925,-40.6777266,-11.207199575,0.2289943,0.022619125,-0.3687115,0.155717275,0.019364975,100.52375,70.078,0.95385,-0.0087708,9.156404075,0.07433955,3.25181645,3.735408,4.434991725,6.238117,7.67613355,-77.485296925,-0.82746455,-0.222222,-0.209644,-3.8147033,-0.333333,245.548199975,296.51064035
1,3.25,381.38388175,5.104089375,-0.9207873,-34.02849325,-39.74035755,-7.3827475,0.170052975,0.01832395,-0.3523691,0.139956725,0.018855825,100.486125,72.028,1.11145,-0.0091374,9.52267755,0.085238225,3.1385169,3.65276695,4.3515331,6.1758831,7.673417,-73.53158815,-0.82746455,-0.222222,-0.209644,-4.00600175,-0.25666695,245.2149022,297.03801045
1,3.75,381.480187,4.619344,-1.0810952,-34.49242975,-34.67124845,-7.994081,0.32767915,0.01943775,-0.35814915,0.12024905,0.0179714,100.490625,69.83,0.67325,-0.0089046,9.47789915,0.07151535,3.02195,3.58866695,4.295633,6.1111831,7.6692669,-69.872986,-0.704225,-0.222222,-0.209644,-3.675919,-0.258333625,244.521506,295.747238
1,4.25,383.72163445,5.00982665,-0.72336625,-35.568892,-26.6897777,-28.70633735,0.319161375,0.02303025,-0.3560485,0.147700875,0.0191235,100.456625,71.948,0.2909,-0.0089446,8.800870125,0.0686812,2.92275,3.347354125,4.219917,6.046208375,7.658666375,-71.91118785,-0.704225,-0.222222,-0.209644,-3.3683421,-0.4,243.900915225,294.0549989
1,4.75,381.84293275,5.009338225,-1.3750915,-35.246591925,-35.4491577,-15.139991325,0.2078462,0.0226769,-0.374171,0.1617504,0.0239019,100.466875,75.8845,0.147425,-0.00889135,8.5671035,0.0758769,2.820625025,3.234737525,4.127783025,5.998225025,7.664275,-73.73210535,-0.880282,-0.222222,-0.209644,-3.82032965,-0.45666695,243.9484503,294.661323075
