DOY2,HR2,LE,USTAR,TA_1_1_1,WS,FC,H,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
1,0.25,-1.01805,0.023775,-36.432525,0.08255,-0.1245,-46.057725,61.047875,371.429775,0.1,-46.362775,-9.707275,-3.498675,-0.3487,-0.3865,0.15275
1,0.75,-0.895225,0.03055,-36.4329,0.0812,-0.36035,-53.305875,60.33955,371.414975,0.1,-45.51685,-8.948725,-3.112325,-0.294525,-0.466175,0.1515
1,1.25,-1.2133,0.0261,-36.572125,0.205125,-0.076225,-46.78165,59.832375,371.325175,0.1,-45.395425,-9.0029,-2.87315,-0.350025,-0.234125,0.1507
1,1.75,-3.0724,0.03055,-36.7922,0.0955,-0.213775,-46.076775,62.5208,371.288475,0.1,-44.565675,-9.2429,-2.973225,-0.3082,-0.1159,0.148
1,2.25,-1.220475,0.031775,-37.229175,0.1315,-0.05235,-52.58905,61.057175,371.285575,0.09775,-44.576125,-9.3035,-2.72525,-0.36175,-0.3055,0.1464
1,2.75,-0.814325,0.034775,-37.350625,0.098525,-0.079875,-54.396625,60.469725,371.282325,0.09775,-44.07975,-9.55295,-3.153675,-0.352275,-0.46585,0.1464
1,3.25,-0.790075,0.0304,-37.4963,0.08945,-0.126025,-45.347975,59.38615,371.289025,0.09,-44.77995,-19.7278,-3.1479,-0.369175,-0.466525,0.1445
1,3.75,-0.582725,0.020425,-37.547775,0.063575,-0.31595,-35.94575,59.266675,371.326875,0.09,-43.970975,-19.6569,-2.76865,-0.261925,-0.462675,0.148625
1,4.25,-1.3677,0.03525,-37.8044,0.06825,-0.26505,-25.9094,58.701875,372.60935,0.09,-42.769325,-19.708325,-2.809575,-0.39835,-0.28725,0.1448
1,4.75,-0.71505,0.028125,-37.70935,0.174125,-0.16085,-23.743375,58.501625,372.62705,0.09,-43.642975,-19.7726,-2.891525,-0.23895,-0.24715,0.14435
1,5.25,-0.4965,0.028375,-37.967275,0.172875,-0.283,-44.6935,57.98125,372.6375,0.09,-43.048675,-19.81495,-2.88625,-0.346,-0.176725,0.14295
1,5.75,-0.5032,0.031625,-38.1614,0.051625,-0.103475,-34.68245,57.245875,372.617,0.08625,-43.171675,-19.544475,-2.582675,-0.23655,-0.1535,0.144625
1,6.25,-1.6791,0.027625,-38.3084,0.098625,-0.0244,-28.5081,58.419375,372.65005,0.08,-42.45845,-19.56655,-2.786975,-0.3222,-0.438125,0.145
1,6.75,-5.089025,0.033,-38.280075,0.085875,-0.3845,-25.0756,57.976625,372.7212,0.08625,-43.06625,-19.6466,-2.844075,-0.309825,-0.40525,0.14465
1,7.25,-0.726,0.035125,-38.116525,0.212,-0.2324,-26.564,57.73925,372.9416,0.09,-42.343575,-19.812025,-2.5154,-0.360975,-0.60565,0.147875
1,7.75,-8.981625,0.0364,-38.1063,0.107,-0.068125,-42.136625,57.011375,373.12605,0.09,-41.79025,-19.5616,-2.940375,-0.2481,-0.4625,0.1761
1,8.25,-0.5453,0.043125,-38.06915,0.07825,-0.2283,-30.296,57.64875,372.815,0.09,-41.18,-19.79945,-2.540075,-0.22785,-0.48595,0.148625
1,8.75,-1.712,0.0468,-38.220125,0.0928,-0.056025,-30.284025,57.6285,372.7645,0.09,-41.71845,-18.405525,-2.249675,0.19575,0.0424,0.160375
1,9.25,-11.3262,0.04075,-38.23135,0.08725,-0.3993,-29.7715,58.51675,372.8395,0.09,-37.2544,-15.259125,0.1782,4.105575,1.738075,0.15725
1,9.75,-8.668175,0.038875,-38.1795,0.094875,-0.08175,-26.94775,57.428375,372.885775,0.09,-29.549925,-7.327675,5.091125,13.307775,4.98735,0.1733
1,10.25,-6.8718,0.0371,-37.26905,0.1051,-0.695,-22.751,56.2571,372.886,0.1,-12.906275,6.809525,10.664325,31.1491,11.49195,0.2045
1,10.75,-1.64325,0.07295,-35.92215,0.17195,-0.04275,-26.188,54.9968,372.69675,0.1065,-10.978525,12.59055,17.0541,44.3192,15.18365,0.24505
1,11.25,-6.629,0.100175,-34.698075,0.3063,0.019,-12.8855,54.2099,372.27225,0.12,-15.263775,17.763525,25.1382,66.7552,25.63255,0.28115
1,11.75,-2.452475,0.09825,-33.832425,0.2725,-0.06975,-4.82025,53.27125,372.25075,0.13,-18.407775,25.174375,29.115575,87.8544,34.76255,0.3104
1,12.25,-1.016625,0.12475,-33.236,0.33825,-0.1008,8.4044,52.935,372.22005,0.1475,-20.14585,32.711575,33.821075,96.265475,38.24095,0.317
1,12.75,-1.4628,0.108,-32.5909,0.50075,-0.062125,5.70275,52.1135,372.182775,0.1575,-15.3357,38.256425,34.575325,108.987025,41.407875,0.355675
1,13.25,-2.418075,0.09575,-32.124725,0.38425,-0.09625,9.4747,50.7005,372.15875,0.17,-17.319925,33.4891,33.4912,96.2072,34.87835,0.355025
1,13.75,-1.148375,0.144,-31.9035,0.34025,-0.059575,14.9844,49.955,372.028775,0.1775,-16.25745,26.35975,30.24955,86.80075,25.42485,0.32785
1,14.25,-1.8726,0.117,-31.665475,0.36125,0.000400000000000002,9.297,49.29375,371.8672,0.18,-12.692625,22.48295,25.5339,73.61775,28.3421,0.3188
1,14.75,-3.1488,0.11625,-31.41065,0.42725,-0.0186,-1.179,47.23575,371.7226,0.18,-8.08485,15.668675,21.274375,55.9517,21.927,0.3174
1,15.25,-5.2208,0.106,-31.351575,0.4635,0.0288,-17.192925,44.5475,371.8062,0.18,-10.8841,8.27945,13.859425,35.942075,13.108,0.3042
1,15.75,-2.201625,0.07375,-31.4205,0.378,-0.1081,-31.110025,43.95875,371.962125,0.17,-34.2422,-0.234075,6.954375,18.848875,6.361,0.2903
