DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_2_1_1,WS,USTAR,PA_1_1_1,RH_1_1_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
1,0.25,0.11094,411.195,-0.00593,-11.58295,0.40032,2.0255,-0.08897,0.01173,-4.6738,-5.75185,0.2302755,0.093,98.33579,66.798575,0.896215,-20.48224,-17.97478,-19.129,-2.6775975,-2.29855,-1.75545,-1.528309,-0.61571005,0.213205,1.132068,3.132066,-0.4810485,0.547008,222.4176,231.18235,0.22625
1,0.75,0.0902,412.74,0.041,-3.34775,0.685615,1.85,-0.66954,-0.05045,-4.684,-5.75275,0.2842,0.07005,98.33951,66.62346,0.712005,-20.513065,-18.22011,-18.951,-2.6499985,-2.2919,-1.73955,-1.532423,-0.5897246,0.21985,1.1348515,3.186529,-0.4385927,0.4930618,222.72785,231.04095,0.16061
1,1.25,0.0142,414.995,0.048785,-3.6277,0.24939,1.8201,-0.500695,-0.0368,-4.7112,-5.8384,0.25051,0.0497,98.211,66.38301,0.608655,-18.758,-17.9597,-19.174215,-2.605864,-2.2715,-1.69689,-1.546106,-0.56077,0.22607,1.139188,3.217679,-0.4795757,0.4076406,225.264,231.2585,0.11836
1,1.75,0.123625,416.005,0.00077,-4.0278,0.224125,1.7162,-0.12278,-0.02415,-4.7879,-5.86,0.48132,0.04525,98.213,66.82685,0.55665,-18.92676,-18.14919,-19.559205,-2.537166,-2.171077,-1.687423,-1.5101005,-0.561595,0.2275835,1.131562,3.1961655,-0.16000475,0.4228793,227.4926,231.5748,0.133435
1,2.25,0.0476,417.93,0.0357,-0.7607,0.12129,1.63415,-0.173995,-0.03615,-4.8183,-5.8871,0.314689,0.04295,98.232,67.9691,0.505745,-20.41092,-18.38082,-19.582,-2.575642,-2.2321,-1.67704,-1.5343495,-0.59092,0.22323,1.1014,3.1125,-0.2052858,0.5727713,227.9624,230.1787,0.15815
1,2.75,0.169425,417.305,-0.01019,0.54205,0.0782,0.994705,-0.09812,-0.010065,-4.7864,-5.8808,0.3113295,0.0698,98.364635,67.61869,0.35156,-21.99307,-18.58798,-19.586,-2.5929,-2.2189,-1.6756,-1.5296975,-0.57642,0.22879,1.11995,3.099339,-0.3020617,0.5988089,229.1236,230.7595,0.173615
1,3.25,0.12394,417.32,0.005625,-0.08985,0.0021,1.50245,-0.00555,0.011264,-4.7593,-5.8768,0.467242,0.0489,98.215,67.94242,0.43044,-20.70751,-6.722314,-19.48335,-2.5696,-2.172655,-1.639,-1.5081355,-0.5607363,0.23061,1.1787,3.164,-0.218051,0.3362746,228.8184,229.0961,0.130645
1,3.75,0.12962,416.61,0.024,-0.14605,-0.048115,1.46865,0.009365,0.00855,-4.7866945,-5.8353,0.47045,0.0506,98.183,68.679145,0.40457,-19.23,-7.027877,-19.451,-2.5033,-2.10955,-1.601763,-1.467847,-0.555975,0.234635,1.2013385,3.1835905,-0.20974915,0.263774,227.5968,228.1405,0.238615
1,4.25,0.098145,415.165,0.00249069,-4.14495,0.1514,1.4314,-0.07085,0.03805,-4.7934,-5.7958,0.4279335,0.0667,98.149,68.65,0.40696,-18.255,-7.105967,-19.342,-2.4578,-2.0742,-1.58675,-1.5074255,-0.555195,0.23371,1.1734,3.1784,-0.27661425,0.5518318,227.7628,228.7252,0.16574
1,4.75,0.14419,415.92,0.05285,-3.71455,0.0304,1.405,-0.11984,0.00502,-4.8101,-5.8152,0.212333,0.06355,98.136,68.20807,0.39604,-19.12,-12.4894185,-19.4545,-2.5322,-2.1703,-1.623135,-1.50545,-0.56105745,0.23228,1.1598,3.168355,-0.4031428,0.5499155,229.2146,230.3508,0.291375
1,5.25,0.140235,416.075,0.0303,-2.02995,0.151675,1.37535,-0.238045,-0.011705,-4.8268,-5.833,0.378933,0.077595,98.144,67.74677,0.40227,-19.07,-12.369953,-19.292,-2.5195,-2.1596,-1.631527,-1.474409,-0.58548365,0.23079,1.170499,3.155674,-0.1888794,0.474204,230.1079,230.462,0.190815
1,5.75,0.07479,414.59,-0.011835,-0.6883,0.02055,1.3949,-0.245715,-0.02035,-4.8366,-5.821568,0.420311,0.05895,98.123,68.0344,0.40615,-19.21,-12.8260255,-19.331,-2.5004,-2.1434,-1.6028,-1.4276495,-0.5815878,0.23228,1.148398,3.117321,-0.23226935,0.4609446,229.4838,230.3782,0.090255
1,6.25,0.11654,417.235,0.0196,0.5236,0.492795,1.36005,0.07299,-0.0151155,-4.844817,-5.839734,0.38227,0.05795,98.087,68.97595,0.41515,-19.06,-7.912035,-19.354,-2.48725,-2.132934,-1.620633,-1.467837,-0.569,0.2326358,1.1300175,3.1133405,-0.15071505,0.4493372,228.882,230.5185,0.2799
