DOY2,HR2,USTAR,SH,V_SIGMA,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_8_1,TS_2_1_1,TS_2_2_1,TS_2_4_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_8_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_7_1,TS_4_8_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_7_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.0765123876449623,-1.63803067577417,0.287724869660222,503.183111941006,25.2647742985229,499.213579321945,530.536133616449,24.8474455399554,524.656612473634,567.669123983102,24.6124663241063,543.875994155229,642.661354250564,23.1493152419698,643.45561813913,0.699744148045834,23.221653759014,0.304534671593791,0.425,0.34,0.07,20.81325,20.964,20.349,19.98335,17.967,101.45987,94.215,1.4243,18.32,18.745,18.28,0.4,-2.3,1.35,0.605,382.4,428.35,391.95,412.6,-0.09,-0.01,-0.085,-0.05,-0.36,-0.2,0.045,0.05,23.136,23.326,23.942,23.902,24.906,25.142,26.126,21.7265,22.3635,23.1815,22.859,24.032,24.543,28.209,22.257,23.063,23.3225,24.477,25.5905,26.1575,26.414,22.8385,23.6695,24.42,24.6405,24.8935,26.032,26.8625,-14.527,-5.59,-6.475,-48.79
1,0.75,0.0862554076512994,-0.343224951876109,0.28127869040195,505.215518241831,25.099992504433,506.742658042735,543.455552779815,24.4375235780259,531.530132578159,570.264571881331,24.1370456843593,577.224776611087,670.148169039542,22.7100975638511,637.26871908278,0.66569949865548,23.0970550219545,0.287041009673523,0.435,0.355,0.07,20.5319,20.6495,19.97165,19.6776,17.8016,101.45336,94.64,1.358,18.125,18.51,17.86,0.2,-2.245,1.15,0.61,385.25,426.1,391.4,410.35,-0.09,-0.01,-0.09,-0.05,-0.35,-0.2,0.04,0.055,23.0175,23.2275,23.925,23.8995,24.9045,25.1445,26.126,21.5815,22.261,23.177,22.8305,23.994,24.542,28.2025,22.0975,22.8425,23.2315,24.446,25.5925,26.157,26.4135,22.729,23.5765,24.373,24.624,24.893,26.032,26.862,-15.847,-6.1045,-7.1305,-45.505
1,1.25,0.0747939277326285,-1.61972362750731,0.310836968413899,507.789800957071,24.8387100172,506.945374340659,544.900448041358,24.4267813366445,536.114915035262,570.771339126807,24.0891414462786,562.463902646689,661.917687871111,22.6648418915873,650.474285419872,0.668352368478329,22.750995132888,0.327148469491576,0.46,0.33,0.07,20.41715,20.436,19.8876,19.5007,17.5693,101.430985,95,1.2221,18.17,18.62,17.715,0.2,-2.14,1.1,0.66,388.2,425.1,392.8,409.55,-0.09,-0.01,-0.09,-0.05,-0.35,-0.2,0.04,0.05,22.8835,23.1425,23.899,23.896,24.904,25.1465,26.125,21.457,22.147,23.1715,22.8035,23.975,24.5425,28.201,21.9445,22.6755,23.1385,24.4125,25.595,26.157,26.413,22.6695,23.445,24.3205,24.6115,24.893,26.032,26.8595,-16.102,-6.86,-7.78,-39.525
1,1.75,0.0764109367962575,-0.201763734156179,0.258312515059321,507.800519090376,24.6301924986222,511.61779584918,543.360025492832,24.3573205823895,550.032411851974,576.885525210211,23.9535032474221,597.09718131418,655.907871439714,22.5294263792129,666.602918329073,0.689429712023177,22.4294663400533,0.324326030041257,0.435,0.34,0.08,20.18165,20.3465,19.6542,19.2148,17.4279,101.4057,94.75,1.24935,18.095,18.56,17.695,0.25,-2.14,1.15,0.61,391.45,424.35,394.05,410.55,-0.09,-0.02,-0.08,-0.05,-0.34,-0.21,0.04,0.05,22.78,23.0625,23.861,23.888,24.903,25.149,26.125,21.3145,22.06,23.1655,22.7735,23.962,24.5425,28.1995,21.799,22.5395,23.091,24.382,25.595,26.157,26.4125,22.581,23.333,24.2695,24.5955,24.892,26.032,26.859,-16.502,-7.7165,-8.1945,-36.66
1,2.25,0.0850468958739255,-0.601586930235265,0.309618005043173,517.193988145498,24.3620564912341,511.319110924194,553.593628640715,23.9260872627355,554.754278499012,580.842187174704,23.5990677088776,592.783555634615,679.400556840113,22.0068007035055,675.153696759868,0.698567043440995,22.1869297200657,0.296418685210385,0.43,0.34,0.08,19.9925,20.0105,19.35985,19.0594,17.2936,101.37373,94.98,1.2386,18.21,18.59,17.6,0.2,-2.14,1.1,0.65,392.1,423.6,392.8,409.1,-0.09,-0.02,-0.08,-0.05,-0.345,-0.21,0.04,0.05,22.694,23.0015,23.8295,23.879,24.902,25.15,26.1245,21.2605,21.981,23.1585,22.7395,23.9085,24.5425,28.1985,21.6625,22.453,23.0355,24.352,25.5945,26.157,26.412,22.493,23.2325,24.2235,24.5765,24.8915,26.032,26.858,-16.702,-8.2,-8.7165,-34.72
1,2.75,0.0744112363832343,-0.449904791248011,0.294369026278818,515.312487119072,24.0734749261105,528.06554830614,556.18568843036,23.8103852132391,538.345541871795,580.848003224358,23.5584609254123,575.346782031631,662.487997375587,22.0469457960917,632.54880927707,0.743151858382406,21.9576725964611,0.334352760629628,0.44,0.325,0.08,19.8361,19.812,19.1354,18.7877,17.1355,101.35304,94.6,1.2169,17.635,18.085,17.435,0.2,-2.095,1.1,0.65,392.6,423.95,393.1,408.25,-0.09,-0.02,-0.08,-0.05,-0.37,-0.21,0.035,0.05,22.64,22.9675,23.802,23.869,24.901,25.151,26.124,21.1295,21.915,23.148,22.7075,23.9415,24.543,28.1965,21.5055,22.3605,22.926,24.3345,25.5945,26.154,26.4115,22.4475,23.2055,24.185,24.5565,24.8915,26.031,26.856,-16.373,-8.714,-8.908,-31.8
1,3.25,0.094486221222239,0.151055052595571,0.33505570781171,523.769372770972,23.8493423565583,523.227984282051,558.259191786591,23.3457208890713,547.272494574257,597.787195158116,22.9269326780347,581.212378935484,659.753738042943,21.9401794737167,635.997619226837,0.741033852802193,21.7688632510256,0.289344591762611,0.49,0.38,0.08,19.6543,19.591,19.1304,18.7343,17.0615,101.32856,94,1.3346,17.38,17.89,17.25,0.3,-2.145,1.2,0.63,391,421.8,391.3,408.3,-0.09,-0.02,-0.08,-0.05,-0.33,-0.21,0.03,0.05,22.55,22.865,23.778,23.855,24.891,25.152,26.1235,21.015,21.833,23.132,22.676,23.911,24.539,28.1935,21.375,22.223,22.829,24.309,25.595,26.155,26.408,22.305,23.146,24.148,24.535,24.873,26.031,26.845,-15.8475,-8.914,-8.945,-31.015
1,3.75,0.0854703048737114,-0.851825178316626,0.305659993411441,525.356428460505,23.6224582800834,523.010225054839,562.477953397437,23.3643557983846,553.425088282722,596.579314909918,22.852378991548,585.398289467533,684.357593735479,21.6446977042698,675.692005521519,0.698856716227411,21.5043607624701,0.30038476732552,0.45,0.34,0.07,19.5446,19.403,18.8798,18.53925,16.80105,101.3206,94.81,1.07365,17.23,17.72,16.945,0.2,-2.09,1.1,0.62,391,420.9,390.4,406.4,-0.09,-0.02,-0.09,-0.05,-0.35,-0.21,0.03,0.05,22.439,22.807,23.757,23.845,24.889,25.1515,26.1235,20.868,21.726,23.105,22.645,23.865,24.539,28.192,21.213,22.089,22.784,24.271,25.594,26.155,26.407,22.236,23.049,24.094,24.511,24.872,26.03,26.8445,-16.9445,-9.735,-9.316,-30.08
1,4.25,0.0802887623737818,-0.512066285222914,0.323647008603683,526.082638249135,23.5143874959207,535.172694232258,562.322269471863,22.9320813219814,565.3398109125,608.224439601504,22.7271187863533,601.619102901288,696.297946095872,21.3598201197542,671.073118393365,0.677293623617147,21.2381014146272,0.284571463649701,0.44,0.35,0.08,19.1634,19.249,18.5835,18.4123,16.58745,101.315645,94.92,1.1411,17.02,17.42,16.725,0.2,-2.16,1,0.61,389.4,420.6,389.75,405.9,-0.09,-0.02,-0.09,-0.05,-0.33,-0.21,0.03,0.05,22.402,22.761,23.7175,23.834,24.843,25.1505,26.123,20.84,21.653,23.075,22.593,23.857,24.539,28.1895,21.227,21.989,22.711,24.249,25.594,26.155,26.406,22.143,22.998,24.043,24.487,24.872,26.03,26.844,-17.2275,-10.21,-9.777,-29.41
1,4.75,0.0837023383069003,-1.4153601107084,0.320613201954339,518.572780342775,23.2229860513582,526.702085998556,571.938669473012,22.5574829543552,564.236610517228,597.528076611731,22.3894905257652,595.195169565495,671.829140521578,21.5162882559781,683.408775444089,0.755464982901207,21.0808964231175,0.326103451395703,0.49,0.36,0.08,18.9664,19.074,18.4105,18.0019,16.43635,101.31578,94.97,1.1431,17,17.43,16.65,0.4,-2.205,1.4,0.56,388.2,419.2,388.7,405.7,-0.09,-0.02,-0.09,-0.05,-0.31,-0.21,0.03,0.05,22.366,22.718,23.676,23.823,24.885,25.149,26.1225,20.757,21.574,23.071,22.539,23.828,24.538,28.188,21.097,21.924,22.657,24.228,25.593,26.155,26.406,22.107,23.006,24.013,24.474,24.872,26.029,26.8435,-17.0785,-10.1375,-10.09,-30.75
