DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,G,RH,PA,NETRAD,PPFD_IN,SW_IN,CO2,VPD,TS_1_1_1,TS_1_2_1,NEE
1,0.25,0.231,-1.576,0.7415,0.536,0.053,-15.64,0.93,-2.2905,88.85,88.2,-14.155,0,0,364.925,0.67,0.123,1.105,0.397
1,0.75,0.248,-1.7705,0.932,0.301,0.069,-17.38,0.26,-2.3995,88.3,88.2,-13.36,0,0,365.11,0.625,0.137,1.138,0.401
1,1.25,0.2795,-1.897,0.893,0.4365,0.009,-12.925,1.66,-2.4875,87.1,88.2,-12.06,0,0,364.88,0.595,0.175,1.135,0.3955
1,1.75,0.321,-2.186,0.82,0.514,0,-17.545,0.95,-2.475,87.85,88.2,-8.79,0,0,365.62,0.56,0.1345,1.097,0.327
1,2.25,0.277,-2.185,0.758,0.472,-0.002,-18.37,1.065,-2.5445,89.4,88.2,-9.825,0,0,365.45,0.54,0.1155,1.0855,0.418
1,2.75,0.176,-2.276,0.7405,0.38,0.0055,-17.59,1.77,-2.5725,88.55,88.2,-9.175,0,0,365.65,0.5,0.1155,1.095,0.39
1,3.25,0.155,-2.3555,0.6665,0.3465,5e-04,-13.575,2.16,-2.5695,90.1,88.2,-8.845,0,0,366.44,0.515,0.137,1.11,0.3255
1,3.75,0.204,-2.331,0.787,0.453,0.005,-6.99,1.45,-2.5805,90.8,88.2,-8.495,0,0,365.845,0.5,0.121,1.1115,0.398
1,4.25,0.149,-2.4425,0.6525,0.415,0.018,-6.94,1.485,-2.5845,90.5,88.2,-7.825,0,0,366.26,0.47,0.139,1.145,0.328
1,4.75,0.1315,-2.5135,0.8045,0.204,0.056,-8.13,1.15,-2.586,90.25,88.2,-6.3315,0,0,365.87,0.53,0.132,1.146,0.327
1,5.25,0.124,-2.5325,0.7155,0.4285,0,-12.32,0.625,-2.585,90.15,88.2,-8.16,0,0,366.225,0.515,0.114,1.151,0.39
1,5.75,0.147,-2.507,0.577,0.3715,0.074,-10.185,1.775,-2.5855,90.2,88.2,-7.278,0,0,366.745,0.5,0.1295,1.1295,0.37
1,6.25,0.162,-2.5265,0.9105,0.5,0.008,-13.47,1.54,-2.5855,90.65,88.2,-6.69,0,0,366,0.455,0.112,1.116,0.374
1,6.75,0.141,-2.5805,0.783,0.509,0.0085,-12.6,1.665,-2.584,91.35,88.2,-7.765,0,0,365.1,0.46,0.115,1.092,0.396
1,7.25,0.157,-2.7485,0.6375,0.318,0.1355,-10.545,1.43,-2.5975,90.25,88.2,-7.61,0,0,366.15,0.48,0.1505,1.0785,0.3885
1,7.75,0.161,-2.4355,0.562,0.0935,0.007,-11.78,0.355,-2.596,89.45,88.2505,-3.2135,9.825,3.439,366.3,0.485,0.13,1.107,0.214
1,8.25,0.206,-2.16,0.617,0.0885,-0.013,-6.25,1.89,-2.59,87.85,88.2,2.324,41.325,19.055,365.34,0.59,-0.0185,0.955,-0.093
1,8.75,0.221,-1.97,0.6135,0.032,-0.151,-6.02,5.265,-2.587,86.05,88.2505,14.19,85.15,40.165,365.58,0.775,-0.183,0.722,-0.144
1,9.25,0.323,-1.3865,0.5375,-0.336,-0.343,3.095,9.575,-2.606,82.85,88.301,29.515,122.25,73.7,365.2,0.84,-0.309,0.596,-0.59
1,9.75,0.238,-0.533,0.5725,-0.508,-0.29,13.23,12.69,-2.5845,81.3,88.301,48.07,206.65,104.5,364.61,1.05,-0.2765,0.6245,-0.643
1,10.25,0.3885,-0.4435,0.726,-0.858,-0.215,24.08,18.71,-2.483,79.45,88.301,64.13,271.05,134.2,364.67,1.215,-0.1745,0.767,-1.133
1,10.75,0.305,-0.1965,0.852,-0.987,-0.07,25.59,17.27,-2.3205,79.55,88.3505,68.825,330.45,163.6,364.29,1.345,-0.1965,0.76,-1.1725
1,11.25,0.368,0.306,0.8775,-1.0975,-0.111,33.43,19.025,-2.253,76.25,88.4,74.65,361.3,171.9,363.99,1.535,-0.11,0.8875,-1.204
1,11.75,0.409,0.189,0.951,-1.109,-0.078,43.36,19.12,-2.1795,74.25,88.4,93.55,397.85,190.7,363.82,1.695,-0.135,0.818,-1.196
1,12.25,0.366,0.6615,0.9525,-1.201,-0.087,47.89,18.72,-2.0925,73.55,88.301,87,394.8,190.75,363.725,1.73,0.0105,0.96,-1.313
1,12.75,0.357,0.7015,1.049,-1.133,-0.038,36.855,18.985,-1.9755,72.75,88.301,89.4,402.9,201.75,363.56,1.815,-0.055,0.831,-1.244
1,13.25,0.3165,0.7725,0.879,-0.961,-0.006,42.56,16.855,-1.79,73.95,88.301,80.05,382.9,181.4,364.46,1.84,0.1275,1.0745,-1.068
1,13.75,0.391,1.0095,0.8065,-1.1915,0.003,30.72,17.335,-1.7615,76.35,88.301,67.085,310.1,153,363.49,1.685,0.1475,1.122,-1.1885
1,14.25,0.388,1.2885,1.02,-0.846,-0.0105,26.83,14.085,-1.672,75.95,88.301,57.47,287.75,115.8,363.32,1.575,0.312,1.265,-0.912
1,14.75,0.4125,1.0995,1.012,-0.72,0.002,19.885,10.85,-1.7025,75.15,88.301,39.945,235.5,71.8,363.47,1.58,0.3425,1.2715,-0.632
1,15.25,0.384,0.7245,1.034,-0.603,0.032,8.34,10.44,-1.749,75.2,88.301,29.635,170,64.4455,363.215,1.605,0.513,1.4515,-0.562
1,15.75,0.3765,0.6895,0.881,-0.25,0.07,3.165,8.395,-1.779,75.7,88.301,10.03,99.2,39.14,363.39,1.56,0.463,1.434,-0.092
1,16.25,0.3995,0.1315,0.9105,-0.121,0.135,-5.21,5.435,-1.855,78.55,88.301,-3.236,42.895,15.445,363.32,1.355,0.5055,1.4295,0.067
1,16.75,0.3245,-0.142,0.778,-0.033,0.144,-10.88,3.455,-1.9215,80.8,88.301,-12.085,9.305,3.637,364.145,1.175,0.498,1.473,0.21
1,17.25,0.3285,-0.454,0.8985,0.1775,0.199,-15.07,2.62,-1.9135,82.15,88.301,-12.925,0,0,363.645,1.025,0.511,1.442,0.4075
1,17.75,0.294,-0.4695,0.8085,0.276,0.123,-16.29,2.01,-1.9085,83.05,88.301,-13.74,0,0,363.72,0.96,0.3985,1.386,0.359
1,18.25,0.3305,-0.635,0.7905,0.3915,0.1085,-17.86,1.56,-2.024,84.5,88.301,-14.865,0,0,364.39,0.83,0.2905,1.268,0.3785
1,18.75,0.334,-0.7755,0.765,0.421,0.164,-16.65,1.875,-2.0795,84.15,88.301,-14.07,0,0,364.27,0.8,0.235,1.23,0.4465
1,19.25,0.243,-0.983,0.684,0.378,0.1265,-14.465,1.08,-2.0695,85.25,88.301,-14.71,0,0,364.39,0.775,0.2,1.191,0.4515
1,19.75,0.187,-0.969,0.6465,0.386,0.1025,-13.16,0.84,-2.0855,86.05,88.301,-14.82,0,0,364.435,0.755,0.2355,1.213,0.45
1,20.25,0.226,-1.369,0.829,0.411,0.0475,-15.44,1.16,-2.115,86.95,88.301,-13.065,0,0,365.27,0.715,0.1845,1.194,0.3925
1,20.75,0.2425,-1.5085,0.6355,0.721,0.004,-14.39,0.385,-2.146,86.7,88.301,-13.305,0,0,365.03,0.72,0.184,1.166,0.444
1,21.25,0.235,-1.577,0.763,0.2955,0.144,-14.495,1.12,-2.198,86.85,88.301,-14.365,0,0,364.88,0.725,0.181,1.195,0.3955
1,21.75,0.2365,-1.3255,0.677,0.309,0.001,-16.03,0.58,-2.207,85.65,88.301,-13.29,0,0,364.45,0.735,0.191,1.1775,0.355
1,22.25,0.2215,-1.2565,0.849,0.279,0.045,-16.695,-0.02,-2.239,85.15,88.301,-12.8,0,0,364.85,0.78,0.1805,1.169,0.383
1,22.75,0.22,-1.424,0.7325,0.559,5e-04,-14.44,1.365,-2.191,86.1,88.301,-10.82,0,0,364.845,0.78,0.136,1.155,0.462
1,23.25,0.2165,-1.481,0.644,0.248,0.105,-16.66,0.505,-2.256,86.85,88.301,-13.545,0,0,366,0.665,0.12,1.122,0.398
1,23.75,0.1765,-1.626,0.59,0.2395,0.1775,-14.735,0.37,-2.219,87.5,88.301,-14.52,0,0,365.19,0.7,0.1375,1.1345,0.332
2,0.25,0.124,-1.233,0.523,0.377,0.038,-9.905,0.06,-1.878,85.55,88.101,-15.915,0,0,367.95,0.725,0.44,1.2375,0.519
2,0.75,0.1265,-1.2185,0.5115,0.439,0.1,-10.585,0.52,-1.878,85.95,88.101,-14.005,0,0,368.07,0.765,0.3835,1.221,0.474
2,1.25,0.1115,-1.299,0.6655,0.371,0.007,-10.13,0.525,-2.038,86.55,88.101,-13.065,0,0,368.175,0.695,0.3935,1.2015,0.399
2,1.75,0.1365,-1.4445,0.5695,0.459,0.109,-13.95,0.67,-2.056,87.4,88.101,-11.6,0,0,368.21,0.77,0.371,1.215,0.406
2,2.25,0.1345,-1.332,0.8045,0.4385,0.0655,-10.13,0.09,-1.9195,86.95,88.101,-15,0,0,368.1,0.64,0.3795,1.186,0.4065
2,2.75,0.1655,-1.4805,0.6665,0.394,0.101,-8.93,0.46,-1.9115,88.05,88.101,-12.54,0,0,368.435,0.695,0.3615,1.196,0.4145
2,3.25,0.118,-1.439,0.5985,0.351,0.014,-8.735,0.44,-2.0315,87.95,88.101,-12.575,0,0,368.37,0.7,0.356,1.1775,0.394
2,3.75,0.192,-1.282,0.563,0.328,0.048,-11.34,0.155,-2.113,87.75,88.101,-13.065,0,0,368.5,0.655,0.3625,1.1875,0.37
2,4.25,0.1215,-1.5255,0.567,0.3205,0.0155,-11.19,0.54,-2.113,87.8,88.101,-12.325,0,0,368.855,0.66,0.353,1.189,0.3935
