DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
7,20.75,7.2675,15.205,-20.08,-5.744,-1.0215,1.8915,1.268,2.497,0.70475,2.0045,2.1279,395.155,13.46375,87.37,22.166,0.2942,21.069,20.83975,20.8215,60.131835,0,0,0,0,314.6750025,406.7775,-84.1,19.47,20.1,20.44,18.835,15.88,12.955,0.79537,1.685815,1.42305,0.987635,4.53025
7,21.25,6.80375,14.06,-19.567,-6.328,-1.306,1.0295,0.687,1.528,-0.530745,1.3837,1.384,395.54,13.451,87.376,21.56897,0.30175,20.685,20.37225,20.3945,61.902,0,0,0,0,312.3775,403.21,-82.7625,18.95,19.665,20.21,18.785,15.88,12.94,0.726,1.63415,1.38265,0.90137,4.235625
7,21.75,6.45575,12.78675,-17.388065,-6.506,-1.53575,0.3075,0.196,0.79,-1.4965,0.55879,0.59685,395.9,13.393895,87.39025,21.2445,0.30162,20.295,19.968,20.013335,63.3285,0,0,0,0,311.0675,400.03,-81.2,18.45,19.24,19.94,18.71,15.9,12.92,0.67118,1.56402,1.3467,0.85742,4.1570075
7,22.25,6.6955,10.43775,-14.686,-6.79125,-1.745,-0.48475,-0.245,0.151,-2.4623,-8.05e-07,0.07785,395.76,13.3905,87.387,21.0705,0.310165,20.05,19.66125,19.719835,64.296665,0,0,0,0,310.14,397.265,-80.26,17.995,18.865,19.7,18.64,15.89,12.9,0.68,1.5309,1.2857575,0.86743,4.18005
7,22.75,6.187,9.32835,-12.9545,-7.37,-1.84175,-0.83325,-0.634,-0.436,-3.01915,-0.53218,-0.519,396.18,13.3245,87.394,20.8924625,0.295535,19.925,19.6755,19.665,65.5215,0,0,0,0,309.71,394.9475,-79.595,17.49,18.48,19.49,18.56,15.9,12.89,0.6715,1.5202,1.292525,0.84958,4.1233
7,23.25,6.0395,9.30875,-11.01,-7.595,-2.01325,-1.44825,-0.935,-0.929,-3.65435,-0.66529,-0.64031,395.81554,13.46475,87.4,20.649,0.31265,19.656715,19.4344175,19.4655,67.008,0,0,0,0,308.8775,393.8375,-77.5735,17.11,18.17,19.22,18.47,15.91,12.89,0.6405,1.4312,1.2597,0.813725,4.1462
7,23.75,5.84345,9.754,-8.5795,-7.8375,-2.0955,-1.97525,-1.19025,-1.22225,-3.907625,-1.20214,-1.32375,395.785,13.3765,87.4,20.407,0.29663,19.31439,19.14825,19.229,67.955,0,0,0,0,308.3425,391.2075,-76.03275,16.7375,17.8625,18.99,18.36,15.9125,12.8825,0.62,1.3605,1.25489,0.799115,4.0625
8,0.25,4.154,4.9558,-4.56764,-9.6125,-2.004,-2.1465,-1.209,-1.424,-3.39441,-0.26617,-0.51912,391.8,13.14725,87.314,21.04825,0.290725,19.7311125,20.02225,19.68,68.2025,0,0,0,0,312.99,391.9,-73.5785,16.95,17.94,18.97,18.57,16.52,13.9375,0.504,1.18855,1.0768,0.66644,3.614975
8,0.75,4.002,5.95225,-3.7,-9.655,-2.014,-2.3625,-1.35325,-1.6955,-3.8122,-0.58559,-0.95182,392.005,13.17175,87.31575,20.96625,0.2924,19.80025,19.994,19.558,68.1655,0,0,0,0,312.17,390.52,-73.1715,16.63,17.67,18.755,18.49,16.52,13.92,0.4995,1.165975,1.07475,0.6674925,3.653
8,1.25,3.8625,4.404075,-2.95775,-9.785,-2.029,-2.62625,-1.55525,-1.99075,-4.68255,-1.2776,-1.5575,391.8575,13.08941,87.30075,20.765,0.3003125,19.705,19.722,19.52,67.496665,0,0,0,0,311.8,390.1,-72.0315,16.38,17.37,18.565,18.41,16.52,13.91,0.4825325,1.166275,1.0334,0.63234,3.5678
8,1.75,3.5386,3.864025,-2.709125,-9.5625,-2.063,-2.833,-1.748,-2.2115,-4.8566,-1.5971,-1.67867,391.825,13.0445,87.304,20.52,0.295205,19.5875,19.39025,19.21,68.12,0,0,0,0,312.6,388.8,-70.5,16.1,17.16,18.39,18.31,16.54,13.8975,0.456,1.11025,1.00115,0.594885,3.4544575
