DOY2,HR2,CO2,H2O,FC,NEE,LE,H,USTAR,TA_1_1_2,TA_1_1_1,RH,PA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_1,PPFD_OUT,PPFD_IN_1_1_2,PPFD_DIF,TS_1_1_1,TS_2_1_1,TS_1_2_1,TS_2_2_1,TS_1_3_1,TS_2_3_1,TS_1_4_1,TS_2_4_1,TS_1_5_1,TS_2_5_1,TS_1_6_1,TS_2_6_1,WS
6,17.75,378.64,11.8,-2.26,-2.27,91.81,72.8,0.53,22.1225,21.7975,66.5275,95.2,373.175,53.2525,359.25,424.525,215.05,770.25,45.48,883.25,348.55,18.205,31.17,18.075,28.765,14.935,24.6925,14.79,19.21,1.09475,7.245,8.85,4.48875,3.35
6,18.25,379.11,11.99,-1.53,-1.43,75.58,44.87,0.5,21.8175,21.5775,68.1625,95.2,297.25,45.13,354.625,419.725,148.45,615.1,41.8775,724.5,289.125,18.1525,30.67,17.5125,28.5175,14.775,24.175,14.755,19.345,1.09625,7.285,8.85,4.488,3.065
6,18.75,379.13,12.23,-0.7175,-0.76,59.69,21.73,0.48,21.5275,21.2275,69.5525,95.2,224.3,36.58,354.425,414.075,91.675,476.625,26.005,543,237.875,17.74,28.1775,17.24,26.925,14.5525,23.465,14.775,19.02,1.1,7.3175,8.85,4.487,2.9025
6,19.25,379.135,12.365,0.045,0.175,42.87,5.4775,0.43,21.025,20.7425,71.2,95.2,160.55,28.1,352.7,407.4,41.5325,341.5,16.3725,386.475,184.95,15.9425,25.14,16.3725,24.1825,14.2175,22.1,14.8375,18.745,1.10325,7.3625,8.85,4.486,2.535
6,19.75,380.06,12.6,0.6525,0.9,25.23,-2.94,0.34,20.115,19.8575,75.575,95.2,98.625,20.01,351.425,401.425,2.555,212.225,10.2,237.85,138.725,14.885,20.51,15.6,20.53,13.81,19.665,14.8225,18.0575,1.108,7.4025,8.85,4.48575,2.255
6,20.25,381.06,12.74,1.47,2,12.58,-4.15,0.28,19.3325,19.0675,79.075,95.225,48.365,12.1525,351.3,390.95,-11.925,105.4,4.9875,124.975,90.425,13.7525,17.8225,14.7775,18.5075,13.2275,18.29,14.43,17.6825,1.113,7.425,8.85,4.48475,1.895
6,20.75,383.14,12.8,1.91,2.77,4.46,-1.29,0.22,17.9125,17.75,79.975,95.3,13.99,3.945,346.675,381.85,-21.895,37.6325,1.7,51.9925,47.76,12.4675,15.685,13.8125,16.67,12.6225,17.3175,14.0025,16.865,1.119,7.4325,8.85,4.4845,1.8
6,21.25,386.45,12.86,2.06,3.16,1.61,-0.77,0.17,15.88,15.855,84.1,95.3,0.345,1.29,345.025,372.4,-26.5675,7.74,0.34,13.755,12.9975,11.54,14.295,12.7425,15.62,12.1025,16.1575,13.79,16.2825,1.125,7.44,8.85,4.4835,1.655
6,21.75,391.33,12.65,1.97,3.44,1.21,-0.09,0.16,14.505,14.2725,88.025,95.3,-1.1925,1.1925,342.95,368.35,-24.6725,0.7,0,4.9975,4.105,10.73,13.0875,11.8575,14.6,11.53,15.39,13.5425,15.5,1.1335,7.4425,8.85,4.4825,1.64
6,22.25,397.06,12.61,2.5075,3.77,0.94,-0.5,0.16,13.765,13.2175,90.15,95.3,-1.0325,1.2425,344.15,364.6,-20.3325,0,0,3.99,3.3725,10.0025,12.15,11.2575,13.67,10.8025,14.685,13.5075,14.985,1.13975,7.4325,8.85,4.48175,1.6525
6,22.75,404.8,12.38,2.5,3.88,0.52,-0.71,0.17,13.2575,12.5525,92.25,95.3,-0.63,1.4025,345.375,362.75,-17.33,0,0,3.94,3.33,9.41,11.39,10.7475,12.9125,10.3425,13.99,13.48,14.615,1.14925,7.4125,8.85,4.4805,1.7125
6,23.25,407.48,12.15,2.73,3.37,0.75,-0.06,0.18,12.72,11.995,93.95,95.3,-0.67,1.555,346.45,360.95,-14.1225,0,0,3.915,3.31,8.8025,10.9075,10.0525,12.23,9.95,13.35,13.4525,14.14,1.158,7.4025,8.85,4.47975,1.7
6,23.75,413.15,12.08,2.84,3.48,0.9,-0.51,0.18,12.4375,11.5075,94.275,95.3,-0.47,1.52,345.525,360.85,-11.18,0,0,3.8825,3.245,8.4425,10.6825,9.625,11.535,9.6425,12.71,13.4175,13.83,1.16725,7.3875,8.85,4.47875,1.705
7,0.25,432.0175,15.665,3.345,4.93,0.6925,-0.55,0.13,15.1175,14.495,97.4,95.3,-0.425,1.45,357.325,375.575,-13.695,0,0.17,3.99,3.3825,11.43,13.09,12.955,14.18,13.4825,15.255,16.1625,16.8325,6.362,11.49,8.87,6.56875,1.56
7,0.75,439.145,15.3775,3.155,4.59,0.9425,-0.4625,0.1425,14.71,14.115,97.75,95.3,-0.5075,1.3875,357.675,374,-10.2775,0,0.17,3.97,3.38,11.0875,12.6225,12.73,13.7025,13.0375,14.825,16.01,16.5025,6.36625,11.49,8.87,6.57225,1.56
7,1.25,445.16,15.325,3.02,3.905,0.9625,-0.53,0.1,14.66,13.685,98.1,95.3,-0.4375,1.5225,357.55,373.4,-9.0725,0.01,0.235,3.9625,3.37,10.87,12.24,12.3125,13.335,12.78,14.5025,15.94,16.2375,6.3705,11.4925,8.8675,6.57525,1.4825
7,1.75,450.345,15.2725,3.1475,4.395,0.7375,-0.405,0.1225,14.5475,13.395,98.4,95.3,-0.29,1.4825,359.975,371.65,-7.11,0.05,0.3,3.94,3.34,10.5375,12.0725,11.8875,12.93,12.505,14.075,15.9,15.9425,6.375,11.5,8.87,6.57725,1.5275
7,2.25,451.28,15.0625,3.6675,4.2275,0.81,-0.535,0.14,14.495,13.21,98.6,95.4,-0.265,1.33,360.825,370.3,-6.2825,0.075,0.355,3.94,3.3225,10.4375,11.94,11.6,12.765,12.25,13.74,15.8825,15.71,6.3795,11.5025,8.8775,6.5805,1.4875
7,2.75,451.7875,14.925,3.46,3.765,0.67,-0.505,0.1125,14.09,13.225,98.8,95.4,-0.32,1.305,361.6,370.15,-5.0375,0.1925,0.38,3.94,3.31,10.205,11.82,11.29,12.4325,11.9175,13.3675,15.87,15.58,6.38325,11.5025,8.8775,6.58275,1.5
7,3.25,456.7175,14.7625,3.4,4.245,0.8675,-0.6375,0.14,13.97,13.115,98.95,95.4,-0.3775,1.4125,361.125,369.875,-4.845,0.34,0.39,3.9425,3.35,10.1,11.5075,11.295,12.155,11.8275,13.165,15.8475,15.33,6.387,11.5025,8.8775,6.5875,1.445
7,3.75,465.755,14.74,2.885,4.14,0.785,-0.7675,0.12,14.02,12.885,99,95.4,0.52,1.505,360.825,369.2,-4.1625,2.425,0.41,6.885,5.7075,9.8575,11.1725,11.1975,11.8225,11.615,12.9825,15.815,15.085,6.39075,11.505,8.88,6.58975,1.5025
7,4.25,469.025,14.5725,3.5975,4.175,1.1675,-0.5475,0.14,14.015,12.72,99.1,95.4,7.8775,2.8325,359.8,367.3,-1.1775,16.9925,0.9925,23.5575,22.4575,9.65,10.9675,10.735,11.5475,11.405,12.7525,15.7275,14.915,6.39425,11.505,8.8775,6.59275,1.5725
7,4.75,479.865,14.425,3.0825,3.5675,0.6,-0.48,0.14,14.1675,12.825,99.55,95.4,30.55,9.015,359.675,371.825,11.3075,61.38,3.0425,70.25,61.5725,9.7275,11.435,10.61,11.8775,11.1625,12.7575,15.6425,14.715,6.39675,11.5,8.8775,6.59575,1.4825
7,5.25,480.15,14.395,2.9875,3.1525,1.6725,-0.22,0.15,14.38,12.83,99.6,95.4,68.3225,16.9,362.525,372.925,35.035,148.275,6.8225,162.2,109,10.02,11.7375,10.62,12.225,10.8275,12.865,15.5425,14.5275,6.40075,11.5,8.88,6.59975,1.4075
7,5.75,482.62,14.7175,3.095,2.59,7.2,1.6425,0.19,14.7825,13.405,99.2,95.4,124.475,26.6275,366.05,377.075,65.5575,253.625,12.21,291.65,161.425,10.235,12.165,11.01,12.4725,10.73,12.855,15.435,14.345,6.4035,11.5025,8.88,6.60375,1.3925
7,6.25,473.0725,15.2375,3.19,2.11,23.2225,13.4875,0.2625,15.245,14.295,98.45,95.4,187.525,35.02,369,384.625,109.7,397.6,18.7525,464.575,228.475,10.73,13.5125,11.285,13.3625,10.75,13.19,15.355,14.1525,6.40625,11.5,8.8875,6.60725,1.5025
7,6.75,443.4425,15.36,1.0375,-0.63,36.8375,32.495,0.3125,16.0425,15.34,96.9,95.4,260.7,43.205,369.575,390.025,160.025,528.525,25.1,647.725,284.65,11.455,14.4275,11.745,14.34,11.1425,13.875,15.295,14.12,6.4105,11.49,8.8875,6.6105,1.7975
7,7.25,416.83,15.3025,-0.62,-2.1525,60.475,56.9375,0.35,17.0875,16.405,94.05,95.4,337.375,50.0325,370.025,398.75,213.875,674.575,31.6025,821,351.975,12.6775,15.55,12.5425,15.2525,11.5775,14.5475,15.2375,14.1825,6.41175,11.46,8.8875,6.6135,2.04
7,7.75,402.47,15.465,-2.5525,-4.645,79.21,85.775,0.4,18.1275,17.72,90.7,95.4,419.25,60.72,371.925,406.65,274.225,840.25,39.49,989.75,399.975,13.5525,16.985,13.4825,16.23,11.9725,15.44,15.1875,14.505,6.41425,11.43,8.89,6.61675,2.235
7,8.25,391.86,15.64,-4.57,-6.1325,110.68,105.91,0.43,19.2375,18.66,86.15,95.4,484.775,69.14,367,415.55,322.075,983.25,45.2825,1133.25,456.45,14.7125,18.2725,14.42,17.445,12.38,16.2725,15.18,14.915,6.41575,11.4075,8.8975,6.62075,2.335
7,8.75,386.37,15.77,-6.3525,-7.305,126.8675,122.2875,0.46,20.4475,20.025,81.15,95.4,562.9,78.75,365.425,424.225,388.425,1120.25,50.67,1301.25,517.075,15.7425,19.785,15.235,19.1725,13.1175,17.5125,15.2,15.3475,6.41825,11.385,8.89,6.624,2.57
7,9.25,382.5975,15.645,-7.2775,-8.1625,149.74,147.1825,0.4725,21.32,20.925,78.2,95.4,622.775,85.2,365.625,430.85,438.25,1245.5,55.6075,1430.25,540,16.9625,21.415,16.235,20.6675,13.7125,18.8325,15.25,15.9025,6.41975,11.375,8.8975,6.628,2.85
7,9.75,379.78,15.48,-8.5,-8.945,171.255,161.645,0.495,21.905,21.48,74.45,95.4,682,92.6,367.075,436.025,491.85,1362,60.615,1567.25,557.075,18.0525,22.9575,17.4225,22,14.2075,19.64,15.23,16.2875,6.421,11.38,8.89,6.631,2.665
7,10.25,376.525,15.5575,-9.035,-9.64,200.3475,176.175,0.52,22.585,21.99,73.3,95.325,736,98.3,368.7,441.125,532.575,1465,64.27,1675.25,627,18.99,24.0625,18.4675,23.0875,15.155,20.6325,15.3,17.0025,6.42375,11.39,8.8975,6.63525,2.8
7,10.75,375.455,15.495,-9.08,-9.4625,208.5475,178.2975,0.54,23.14,22.615,70.2,95.3,768.5,102.35,369.15,445.95,563.875,1542.25,66.135,1726,633.675,19.985,24.595,19.39,23.6475,15.8275,21.47,15.39,17.4775,6.431,11.4,8.8975,6.6385,2.97
7,11.25,374.015,15.375,-9.185,-9.43,222.155,190.71,0.55,23.615,23.05,67.47,95.3,812.5,109.15,371.4,449.45,595.7,1628,69.0775,1795,642.325,20.9175,25.33,20.0475,24.4175,16.56,22.46,15.5625,18.215,6.44575,11.4025,8.895,6.6425,3.0225
7,11.75,373.52,15.24,-9.93,-10.17,240.595,193.14,0.585,24.105,23.605,64.37,95.3,833.25,111.675,372.8,452.575,614.325,1662.5,70.4,1823,691.15,23.1975,26.605,21.5825,25.8375,17.4175,23.265,15.68,18.965,6.45275,11.4025,8.8975,6.647,3.16
7,12.25,372.96,15.055,-9,-9.145,251.135,197.835,0.58,24.71,24.215,63.265,95.3,847.25,114.6,373.525,454.875,626.425,1695.25,71.125,1854.25,699.75,24.94,27.045,23.5525,26.445,18.6525,23.67,15.9625,19.605,6.46325,11.3975,8.8975,6.6505,3.3975
7,12.75,372.335,14.915,-9.23,-9.2425,248.45,208.3225,0.61,24.9775,24.5625,62.6675,95.3,837.25,113.15,373.575,459.325,624.525,1683.25,70.725,1855.5,672.1,25.81,27,24.4475,26.1375,19.6575,23.7375,16.065,19.7675,6.465,11.4,8.895,6.653,3.3125
7,13.25,372.64,14.655,-8.2675,-8.305,251.105,196.52,0.62,25.2975,24.8025,61.3575,95.3,835,113.55,374.6,458.15,614.5,1688,69.7725,1850.25,675.5,25.7875,27.215,24.535,26.255,20.2375,24.4125,16.425,20.0425,6.46675,11.41,8.8925,6.65775,3.47
7,13.75,372.26,14.5,-7.65,-7.61,251.38,189.93,0.6,25.2975,24.8275,60.26,95.3,809,111,376.55,459.15,597.85,1641,68.665,1794.75,648.2,25.0975,26.8025,24.0475,25.9375,20.3275,24.11,16.74,20.31,6.46575,11.42,8.8925,6.66,3.5225
7,14.25,372.335,14.505,-7.6675,-7.625,232.1925,167.15,0.61,25.2625,24.8575,60.27,95.3,767.5,105.6,379.15,458.25,559.775,1560.25,67.2275,1688.25,645.05,24.0325,27.41,23.59,26.36,20.175,24.68,17.135,20.585,6.46375,11.435,8.8925,6.664,3.57
7,14.75,372.01,14.9,-6.93,-6.8325,226.84,176.79,0.6,25.52,25.0925,60.0775,95.3,741,103.5,379.7,458.75,534.85,1514.25,67.4925,1635,635.575,24.9025,29.975,23.6875,28.615,20.215,26.605,17.375,21.5225,6.462,11.4525,8.895,6.667,3.4625
7,15.25,371.665,14.7925,-6.0125,-6.05,210.78,151.8425,0.5875,25.43,25.0825,61.2475,95.3,679.325,96.05,380.175,454.375,480.65,1374.5,63.68,1506.25,607.3,25.9925,32.56,25.08,30.5925,20.25,28.515,17.525,22.2,6.461,11.4525,8.9025,6.6705,3.495
