DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,-6.902855,-2.174891,0.1827275,0.056065,0.14863,0,-0.795145,-0.7488375,424.9729,-0.13642,228.2345,238.90945,-12.202,-16.97767,83.07001,0.88012,2050.541,1.56328,-0.0236825,-0.071745,-0.3104575,-0.18948,95.225515,0.23924,0.213805,0.079335
1,0.75,-6.631895,-1.41899875,0.166955,0.06139,0.14903,0,-0.76736,-0.76943,425.1086,-0.09158,228.41775,243.52225,-10.9335,-17.4525,83.40501,0.87517,2047.53025,1.4114125,-0.01004,-0.12125,-0.423855,-0.164,95.242305,0.229365,0.2548175,0.093425
1,1.25,-4.4368275,-1.90833,0.18717,0.05403,0.141612675,0,-0.7077025,-0.7138825,425.37075,-0.08967,233.331475,244.15575,-12.09896,-16.7875025,84.0350025,0.894675,2048.788,0.2557,-0.02479,-0.08509753,-0.41397,-0.174965,95.32081,0.1824375,0.214645,0.0671104375
1,1.75,-7.63778,-0.88629,0.1944,0.059055,0.14502,0,-0.568785,-0.610045,425.732425,-0.08842,235.6079,242.2436,-12.348335,-16.442335,83.440005,0.96195,2048.282,2.14769,-0.00516,-0.07490124,-0.25284,-0.099665,95.344795,0.1979225,0.2060525,0.0563025
1,2.25,-5.65534,-1.338045,0.1816225,0.0561625,0.1448325,0,-0.5774775,-0.58516,425.932225,-0.06703,229.12345,242.67105,-10.527555,-16.396875,83.4125,0.942655,2045.80825,0.9502375,-0.01588,-0.05835,-0.18478,-0.096385,95.3696075,0.226065,0.192125,0.08054
1,2.75,-5.224055,-1.8864,0.17776,0.0512575,0.148595,0,-0.6623525,-0.6582025,425.8869,-0.06575,231.3475,243.74375,-12.086,-16.654585,83.5812525,0.92194,2047.958,1.129985,-0.021655,-0.1136025,-0.21672,-0.114115,95.334595,0.229125,0.2598246,0.094425
1,3.25,-5.5636125,-2.279025,0.16251,0.0596375,0.1537025,0,-0.66805,-0.64967,426.03255,-0.056435,231.52025,242.9245,-12.06983,-16.8525025,84.4299975,0.939065,2046.0965,1.4918675,-0.0393025,-0.0349425,-0.2408475,-0.133165,95.28665,0.24280755,0.24916835,0.10912
1,3.75,-4.935015,-1.245995,0.18408,0.0632275,0.15153,0,-0.7768,-0.84,425.9551,-0.04456,238.2228,241.219,-11.3345025,-16.2333325,84.973335,0.9198725,2045.17875,0.9798775,-0.0113775,-0.08093,-0.27594,-0.086595,95.27439,0.23903,0.2346838,0.1041372
1,4.25,-6.213075,-1.58069,0.248995,0.0606,0.15281,0,-0.79357,-0.80653,425.8588,-0.05775,237.525,240.858,-10.16379,-16.524125,84.470835,0.91149,2043.65125,2.18292,-0.0081175,-0.06676,-0.34899,-0.121265,95.250775,0.26287,0.21822,0.11249
1,4.75,-6.34349,-0.36813,0.28590365,0.0659,0.145405,0,-0.79502,-0.8007325,426.56595,-0.06773,231.15995,238.96115,-11.9069775,-16.8366275,85.23666,0.9354,2044.93275,-1.77195,-0.01043,-0.094005,-0.218515,-0.16844,95.24247,0.2841701,0.2989375,0.117045
