DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
10,15.75,-3.696945,139.254,98.30505,29.6115,463.0045728,27.67,25.745,57.503,17.908995,0.286335,2.460385,0.6352341875,-0.0939311,28.8458,398.678,20.7224,0.755073,0.315313,101.7345,375.551855375833,326.13603988604,250.288884403952,302.358974358974,51.3587706146927
10,16.25,-2.453355,130.526,75.619,6.442515,310.0403608,27.2876,25.75,60.4725,16.625865,0.271,2.4239010685,0.5468062845,-0.0796588,28.6421,398.654,20.3703,0.720117,0.293631,101.736,374.981921979067,322.599002849002,161.60124191298,194.607088989442,34.1113943028486
10,16.75,-1.15562,129.228,46.8672,-6.89273,152.83,26.76355,25.695,61.3965,15.387545,0.231983,2.10713,0.448842,-0.0456008,28.2145,398.616,20.19075,0.593541,0.236263,101.713,372.276403425309,317.313034188035,78.0489117432234,96.2560331825038,18.2071214392803
10,17.25,0.457106,126.7725,24.2549,-8.747,45.52500384,26.33895,25.695,63.80195,14.176945,0.181098,1.8214770925,0.3592188745,-0.0294775,27.8163,398.7555,20.43715,0.5027555,0.173297,101.733,370.022359657469,313.097222222223,17.9007130880262,22.8045625942685,5.48105322338831
10,17.75,1.5485635,119.182,12.64095,-13.534,4.750388016,25.2549,25.72,66.688,11.90808,0.166358,1.71513,0.294599,-0.0224929,27.2438,402.708,20.1529,0.406174,0.155791,101.763,371.616555661275,309.187321937322,-0.874728771360935,0.0637370286576169,1.36061469265367
10,18.25,2.2942075,119.516,5.4232,-15.61855,0,24.2525,25.64,72.781,8.82604,0.1422,1.560479371,0.251124309,-0.0164477,27.04195,406.9525,21.25785,0.386564,0.137907,101.7565,368.149381541389,307.918091168091,-3.52868654473667,-1.9026508295626,1.63239130434783
10,18.75,2.683122,107.714,3.429,-17.923,0,23.49,25.555,75.23535,7.83673,0.127535,1.541235,0.2510105,-0.0164224,26.7892,409.633,20.21925,0.4217715,0.1333115,101.7895,365.268315889629,306.35933048433,-3.58365537819327,-1.61495852187028,1.74296101949025
10,19.25,2.86836,126.464,1.445,-17.1134,0,23.3219,25.44,77.56955,6.730865,0.118186,1.50352,0.2271305,-0.0135913,26.812,411.308,21.64175,0.350328,0.125976,101.7985,366.272121788773,305.618589743589,-3.3565875998652,-1.40682126696833,1.81450149925037
10,19.75,3.087347,127.3115,1.304475,-16.80195,0,22.94675,25.285,80.431,5.981325,0.110985,1.540779217,0.204881,-0.01295225,26.32645,416.18,22.0771,0.3486145,0.1321845,101.8405,364.527117031399,303.326923076923,-2.99991350704741,-1.30279034690799,1.64354572713643
10,20.25,3.160474,124.373,1.2714,-14.76455,0,22.794,25.2,80.58975,5.898435,0.1164005,1.4209408285,0.2207596225,-0.0153844,26.2223,415.218,22.2338,0.358949,0.135063,101.8435,364.470504281637,303.623931623932,-3.50570094194987,-1.5790346907994,1.80013118440779
