DOY2,HR2,RH,TA,PPFD_IN,PPFD_OUT
1,0.25,82.2625,-6.79565,-0.00293015000000006,1.0036201275
1,0.75,83.9525,-6.55005,0.0195243159999999,1.01106712
1,1.25,83.48,-4.70715,0.00323359049999996,0.9991653575
1,1.75,84.6225,-4.27955,0.00130388524999992,1.05782205
1,2.25,81.545,-3.289175,-0.012120068375,1.01393652
1,2.75,82.465,-3.84235,-0.00736687572500001,0.9615355925
1,3.25,85.8275,-3.8974,-0.00640712332500002,1.055199875
1,3.75,86.1925,-3.806025,-0.00165229825000005,1.1236783
1,4.25,85.38,-4.083575,-0.00164787375000006,1.1258334
1,4.75,84.345,-4.22295,-0.00757703057500001,1.130294875
1,5.25,81.7,-3.64355,-0.01586700725,1.096835025
1,5.75,82.2225,-4.134875,-0.010007079625,1.04219067
1,6.25,83.55,-4.214,-0.00691122927500001,1.03387138
1,6.75,83.7325,-4.89785,-0.00960090917500001,1.08433241
1,7.25,84,-5.118,-0.00486846900000003,1.08886711
1,7.75,81.6075,-4.036275,-0.000108088500000054,1.0466628275
1,8.25,81.08,-4.12045,-0.00160472157500003,0.95645962
1,8.75,83.0625,-4.124425,-0.0102933819,0.912509445
1,9.25,82.2725,-4.130225,-0.00834702625,0.8977734025
1,9.75,81.505,-3.790825,0.03452526375,0.86505332
1,10.25,82.245,-3.47605,0.734322805,1.12387955
1,10.75,82.4575,-3.764525,4.185466975,4.7788652
1,11.25,83.0275,-2.894975,12.11321925,13.8159325
1,11.75,83.6475,-2.896,24.22502875,27.6469995
1,12.25,83.34,-5.103775,39.69003675,44.19937475
1,12.75,83.43,-6.172575,58.899019,62.97910175
1,13.25,83.365,-5.6108,69.8837095,74.29197875
1,13.75,84.78,-5.77855,63.35079925,66.62659675
1,14.25,85.46,-4.56015,55.21188675,60.23444
1,14.75,85.555,-4.18495,52.12302975,55.493151
1,15.25,85.335,-4.961725,39.70623125,43.07817525
1,15.75,85.305,-4.37805,28.909277,30.75026275
1,16.25,83.8725,-3.903725,12.94403625,14.92410725
1,16.75,84.1625,-3.956425,4.36307,5.043438025
1,17.25,83.695,-4.9915,0.753238612499999,1.200002275
1,17.75,83.1825,-5.577725,0.0345434547499999,0.901374435
1,18.25,82.2,-3.675575,-0.00129313900000005,0.9053149325
1,18.75,84.195,-4.385725,-0.000244528250000056,0.9587808325
1,19.25,84.61,-4.4698,-0.00874475877500001,0.94653347
1,19.75,87.6275,-4.87407500000001,0.0156876274249999,0.9838126575
1,20.25,87.075,-4.59802500000001,0.0126851569499999,0.96179154
1,20.75,86.545,-6.65022500000001,0.0121827159999999,0.89540237
1,21.25,86.4875,-5.58030000000001,0.0073759569999999,0.97472237
1,21.75,86.0125,-6.08027500000001,-0.004882101825,1.0366988925
1,22.25,83.3475,-6.70422500000001,0.000886179499999916,1.008154525
1,22.75,81.6075,-5.8044,0.00790175594999992,0.9237373125
1,23.25,81.8875,-5.021125,-0.00153583600000006,0.9759278975
1,23.75,81.1975,-6.922825,-0.00560319300000003,0.975194685
2,0.25,82.4925,-17.8125,-0.01091308375,0.9042477725
2,0.75,81.0075,-17.77175,-0.00732292622500002,0.90696364
2,1.25,80.035,-18.273,-0.010426438275,0.893567274999999
2,1.75,80.65,-19.76575,-0.01431935275,0.899132099999999
2,2.25,80.7975,-18.268,-0.012586316475,0.897218695
2,2.75,81.5925,-19.013,-0.01039160015,0.898808535
2,3.25,79.27,-19.366,-0.0124154334,0.9066745475
2,3.75,81.285,-18.987,-0.0139943375,0.95564496
2,4.25,80.6025,-18.69575,-0.014000624075,1.0222850175
2,4.75,80.43,-18.75625,-0.01959067575,1.02851595
