DOY2,HR2,FC,H,LE,CO2,USTAR,TA,RH,PA,WS,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
1,18.25,0.1921335955,-3.727098432,11.84211964,373.6606939,0.15728,25.05,85.95,98.862,1.451,-28.41,3.272,1.702,416.9,446.6
1,18.75,0.345253447,-4.721421733,10.487258015,374.0579189,0.148608671,24.82,87.4,98.876,1.494,-31.42,0,0,416,444.9
1,19.25,0.465625295,-3.932822421,5.791867634,375.61,0.142140341,24.57,87.7,98.913720345,1.443,-29.745,0,0,415.8,443.4
1,19.75,0.935034038,-4.8223,5.2901,375.56747825,0.145412948,24.29,88.85,98.9465,1.442,-29.705,0,0,415.4,442.6
1,20.25,0.86683246,-3.9269,4.8489022015,375.84,0.138834563,24.03,89.2,98.983,1.426,-28.965,0,0,415.6,441.4
1,20.75,1.3165306105,-3.8097,3.775305113,375.53,0.13446,23.89,90.1,99.029,1.425,-28.2,0,0,417.2,440.8
1,21.25,1.1658,-3.8403,2.867488089,375.57,0.13117,23.8,90.5,99.06077884,1.351,-27.29,0,0,417,439.9
1,21.75,1.15255,-3.282799519,2.1292224905,375.18,0.1231,23.78,90.6,99.089,1.374,-27.68,0,0,416.8,439.3
1,22.25,1.32424142,-3.0451,2.2334,376.45,0.1147,23.61,91.05,99.1056116,1.351,-26.26,0,0,417.1,438.8
1,22.75,1.293792642,-2.8414232545,0.4020450485,375.13,0.11435956,23.57,91.4,99.12257294,1.369,-25.335,0,0,418.9,438.6
1,23.25,1.82,-3.5372744805,0.7618280085,376.38,0.114010123,23.44,91.8,99.123068285,1.365,-23.93,0,0,419.5,437.8
1,23.75,1.5830133785,-2.7081,0.803534352,377.435,0.113361321,23.36,91.5,99.11,1.395,-22.57,0,0,419.7,437.3
2,0.25,1.7150879,-3.461558873,0.8089,388.9382608,0.1151900825,23.13,92,99.102,1.2525,-21.005,0,0,420.95,436.4
2,0.75,1.1659553405,-3.3032,0.35136,390.8259945,0.11205,23.135,92.1,99.079307775,1.266,-21.314166665,0,0,421.4,435.8
2,1.25,1.82985,-3.5745,1.302252853,392.3489509,0.12188,22.99,92.65,99.0577525,1.312,-19.825,0,0,422.1,435.45
2,1.75,2.5189,-3.460378035,1.1776,393.17552135,0.11685,22.86,92.95,99.03661135,1.2655,-19.34,0,0,421.95,434.8
2,2.25,3.1271129185,-4.107064265,0.982376604,392.6,0.120680198,22.83,93.2,99.025,1.292,-18.19,0,0,422.2,434.45
2,2.75,2.9278,-2.9386,0.646800308,392.80430235,0.116977325,22.69,93.3,99.014,1.26,-18.375,0,0,422.3,434
2,3.25,3.2072,-2.7466,1.475576424,397.0150521,0.115665,22.63,93.3,99.005,1.268,-17.56,0,0,422.85,433.6
2,3.75,4.153,-3.6673,0.9345129865,399.58508855,0.12037,22.57,93.5,99.00737376,1.206,-17.81,0,0,423.25,433.35
2,4.25,3.829220085,-2.536943189,0.49182865,397.5218,0.11567,22.52,93.6,99.011,1.244,-16.36,0,0,423.7,433.15
2,4.75,4.34775,-3.217907291,0.7366,402.481371,0.118865843,22.46,93.6,99.021,1.285,-15.174333335,0,0,424.31333335,432.65
2,5.25,3.187225476,-2.7188,0.41822,402.1,0.1229008095,22.41,93.6,99.036,1.244,-15.9805,0,0.5325,424.1,432.3
2,5.75,4.0777,-3.0323,0.828133876,403.105,0.11848,22.38,93.75,99.052,1.255,-15.14,0,0.762,424.6,432.2
2,6.25,4.216871494,-2.6755,2.141897997,406.4572149,0.121140931,22.325,93.7,99.07504269,1.2335,-9.8,7.5935,1.894,425.20666665,432.25
2,6.75,4.156220837,-1.856934614,3.238098092,408.8959704,0.13315,22.37,93.7,99.11350765,1.22,10.36,41.393333335,6.721,425.64666665,433.35
2,7.25,5.612302653,-0.544362906,27.4585,408.1951882,0.182729922,22.49,93.6,99.15920408,1.163,46.445,86.3,12.73,426.5,435.65
2,7.75,4.5475665175,5.1023,56.078,407.0533758,0.2300817485,22.875,93.4,99.1985,1.3295,90.3,150.8,20.32,426.35,438.8
2,8.25,-1.02860251,14.355641065,103.5904904,402.3052147,0.297035,23.21,92.7,99.2325,1.486,136.85,214.85,29.045,427.7,443.3
