DOY2,HR2,FC_1_1_1,FC_1_1_2,CO2_1_1_1,CO2_1_1_2,H_1_1_1,H_1_1_2,LE_1_1_1,LE_1_1_2,H2O_1_1_1,H2O_1_1_2,NEE_1_1_1,NEE_1_1_2,FCH4_1_1_1,CH4_1_1_1,RH_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,WS_2_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,NETRAD_2_1_1,PPFD_IN_1_1_1,TS_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,SW_IN_2_1_1,SW_OUT_2_1_1,LW_IN_2_1_1,LW_OUT_2_1_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1
1,0.25,0.3496068615,0.26744415,394.8885,417.9995,-19.41497752,-14.91107,0.08906676,-0.1815683,2.7506725,2.2740485,0.3873056,0.1943189,-0.106,1955.3379115,80.4,-9.46895,-0.118914426,0.29208855,2.3063583465,2.362999916,100.5,-8.148873712,-15.76848,-30.575,0,-0.018,-5.091654,-2.3538405,260.7676,285.82075,-2.374,-0.2975,243.35,274.35,0.1,0.74,1.66,2.6,3,0.6,1.1,1.8515,3.28,4.0915
1,0.75,0.3198183635,0.1463174,394.80515,418.70475,-19.524965,-18.66578,0.024242688,0.2199072,2.725999381,2.476428,0.4631368,0.3272782,-0.303503279,1955.280895,81.2,-10.02955,-0.121782748,0.289438564,2.291573,2.379,100.51,-8.235,-18.407755,-29.235,0,-0.013,-4.8095875,-2.4413185,260.7466,284.5454,-2.422,-0.285,242.9,273.45,0.09,0.74,1.66,2.59,2.99,0.6,1.1,1.85,3.275,4.0835
1,1.25,0.367180301,0.4088316,394.7681,418.0985,-18.45675668,-17.84285,0.044585829,0.06760263,2.7237197685,2.6564095,0.420101,0.3471494,-0.3615,1954.2289485,81.1,-10.14003614,-0.106529543,0.2756827,2.2846950245,2.316999912,100.54,-8.365,-16.59561,-28.285,0,-0.019,-5.027672,-2.34251,261.89585,284.16355,-2.4005,-0.221,241.4,272.9,0.08,0.735,1.66,2.595,3.005,0.6,1.1,1.845,3.277,4.0915
1,1.75,0.317337,0.41163905,394.7216,418.7702,-18.974325,-14.35323,-0.0534576,-0.1573636,2.638107863,2.4818595,0.41037835,0.60627215,-0.3207593525,1955.858776,80.9,-10.0969,-0.09373907,0.2588115,2.190683,2.311000109,100.55,-8.489999771,-18.82113,-28.79,0,-0.013,-4.9290555,-2.433937,264.19955,284.34105,-2.3025,-0.239,247.55,272.75,0.07,0.74,1.66,2.6,3.01,0.6,1.1,1.8615,3.275,4.0985
1,2.25,0.27808215,0.3113919,394.8663,418.7595,-20.01861,-17.12613,-0.1391033,-0.2279083,2.592785,2.2532555,0.4036837,0.4631177,-0.512719997,1956.109654,80.4,-10.01469932,-0.088203938,0.2490232,2.245178,2.298000097,100.51,-8.405,-14.97669,-31.715,0,-0.021,-5.1232775,-2.42966,260.5616,283.74125,-2.315,-0.246,248.65,272.35,0.08,0.735,1.66,2.595,3,0.6,1.1,1.8535,3.2735,4.0885
1,2.75,0.3746716,0.14717805,394.9554,418.7674,-18.759753095,-16.62476,0.134869792,0.0155944145,2.5323285,2.4842325,0.48453028,0.2102017,-0.413367325,1956.3191575,79.9,-10.3064,-0.0956915885,0.2660002,2.199394,2.259,100.53,-8.704999771,-14.24966,-29.88,0,-0.017,-4.7344785,-2.4404895,264.21355,282.63275,-2.314,-0.269,247.25,272.05,0.09,0.75,1.65,2.6,2.99,0.6,1.1,1.865,3.2715,4.0865
1,3.25,0.3653049,0.4949402,395.093,418.6355,-18.36620673,-15.40376,0.1529194,-0.015491165,2.5669855,2.191156,0.435180664,0.5006597,-0.6264661665,1955.221121,79.77,-10.56421616,-0.1001221,0.265493412,2.172424,2.263,100.52,-8.57,-12.35484,-28.31,0,-0.02,-5.0620435,-2.3518775,267.31615,283.01945,-2.303,-0.2395,242.35,271.6,0.09,0.73,1.66,2.595,2.995,0.6,1.1015,1.8665,3.28,4.0815
1,3.75,0.3752957,0.279256,395.40635,418.9054,-19.403945,-12.13634,-0.05073768,0.029179075,2.638798,2.174893,0.4069941,0.26100115,-0.47,1955.373,79.72,-10.4097,-0.1001107,0.2670802,2.242505,2.187999964,100.51,-8.67,-11.44335,-25.65,0,-0.023,-4.8778745,-2.298736,266.98235,282.19845,-2.3435,-0.1615,245.5,270.95,0.11,0.72,1.66,2.6,3,0.6,1.1,1.885,3.2635,4.0865
1,4.25,0.3264162,0.406655,395.29675,417.8864,-19.177536005,-15.61228,0.055498948,-0.1222667,2.5433632875,2.260256,0.42828245,0.4376033,-0.6250754565,1955.675347,79.98,-10.490582695,-0.11022,0.2719199645,2.272385295,2.295000076,100.5,-9.25,-11.3146,-27.47,0,-0.019,-4.689857,-2.4275475,267.1862,282.2343,-2.338,-0.2425,242.4,270.2,0.085,0.73,1.655,2.595,2.995,0.6,1.1015,1.8735,3.273,4.09
1,4.75,0.3936447335,0.2926213,395.3386,418.3664,-18.55799,-12.965025,0.05137335,0.00564,2.521036,2.25465,0.430065,0.35737,-0.394857128,1956.566519,79.71,-10.51595,-0.0988581425,0.26703325,2.239953,2.196,100.5,-9.32,-12.425285,-27.32,0,-0.02,-4.7658605,-2.338035,267.4096,280.70215,-2.419,-0.209,240.9,269.7,0.08,0.73,1.65,2.59,2.99,0.6,1.1,1.8715,3.273,4.08
