DOY2,HR2,LE,H,FC,USTAR,TA,WS,CO2,VPD,H2O,RH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,G,APAR
1,0.25,18.67535,-7.94463,0.6636965,0.806199,-2.14165,3.97915,428.04275,0.8493268,5.5056225,89.19305,-2.3930855,-0.391009625,1.206822,294.8716,303.984625,-3.688,0.04153851
1,0.75,15.92835,-7.47966,1.08494,0.78316975,-1.7435,3.9834525,426.35825,0.8903753,5.3797875,89.4108,-3.17527,-0.3680467,1.309056,299.3122,307.1642,-3.4665,0.0415463925
1,1.25,16.7859,-7.508015,1.16548,0.658418,-2.117225,3.60898,426.87825,0.889814675,5.5013075,89.1103475,-3.58189425,-0.4671482,1.26526275,295.307375,304.728725,-3.5775,0.0415400775
1,1.75,14.4641,-10.5236,1.4392,0.73803175,-1.969275,3.9005175,426.28325,0.9365432,5.34045,89.98409,-3.085752,-0.370876,1.287488,299.6554,306.5739,-3.6025,0.04153582
1,2.25,13.14155,-12.7134,0.88203425,0.738645,-2.159325,3.53918,426.806,0.834889675,5.468605,88.7538225,-3.28231625,-0.293951825,1.28640725,292.589325,304.454775,-3.623,0.0415418425
1,2.75,12.4461,-14.58865,0.58665,0.682145,-1.9336,3.52909,425.9785,0.84979,5.491295,89.5663,-3.397675,-0.4077332,1.431785,299.9031,305.6284,-3.637,0.0415417425
1,3.25,11.45165,-12.4256,0.674364,0.709074,-2.50365,3.321975,427.55825,0.77887615,5.516735,88.86295,-3.09682325,-0.386504425,1.3936845,293.287525,303.176,-3.6525,0.0415437875
1,3.75,12.1247,-12.76895,0.6649875,0.674693,-2.0695,3.56732,426.28675,0.7839774,5.3844325,89.5077,-2.771852,-0.3734719,1.415841,300.1738,303.8449,-3.659,0.0415400975
1,4.25,13.51235,-10.428725,0.892756,0.7583975,-2.427325,3.825455,426.892,0.747867425,5.15744,89.7127725,-1.97869475,-0.228765175,1.32943575,295.601425,303.25005,-3.662,0.0415457775
1,4.75,12.798,-11.3584,0.81512975,0.7201175,-2.0809,3.7783575,426.03475,0.7804238,5.6273075,91.40587,-2.057751,-0.2179939,1.351689,300.5262,305.1584,-3.6725,0.0415558575
1,5.25,15.7666,-9.20813,0.75664475,0.738686,-2.61185,3.566685,427.098,0.734163025,5.5977125,91.0435,-1.9801775,-0.232902075,1.265942,296.634675,302.048725,-3.673,0.041536735
1,5.75,14.696,-6.45835,0.8571875,0.690309,-2.3024,3.472945,427.1725,0.712628,5.61677,92.0068,-2.072604,-0.2803201,1.43687,299.4557,304.4074,-3.68,0.04154444
1,6.25,13.158675,-8.5728125,0.8775,0.73101875,-2.681475,3.72142,427.3995,0.680192525,5.551495,90.4185725,-1.65490925,-0.1147302025,1.3652935,293.73695,301.77585,-3.6875,0.0415508825
1,6.75,14.6812,-12.8315,1.0546,0.7103945,-2.362975,3.756675,427.39625,0.7186163,5.269725,91.37268,-2.163772,0.01415844,1.540741,297.4406,303.4963,-3.461,1.15235775
1,7.25,16.269075,-11.7921,1.08348,0.7137065,-2.8061,3.512665,427.91325,0.769713975,5.35816,89.884,0.4623602,11.9348275,5.16263575,293.794825,300.64555,-3.5765,25.78476
1,7.75,14.303775,-7.32238,0.97156425,0.6854455,-2.2046,3.472185,426.465,0.8602487,5.1808575,90.7276,18.83188,61.62407,17.03095,297.2419,305.2426,-3.629,119.91995
1,8.25,17.49185,12.69675,0.960245,0.774411,-2.2427,3.31675,424.841,0.9481681,5.17641,88.996375,73.06096,139.058225,29.44953,294.446125,304.550475,-3.654,240.668625
1,8.75,18.36315,41.8956,0.94461525,0.789234,-1.766317,3.68374,424.183,1.037112,5.23465,89.8588,122.837,187.5162,37.93446,298.4327,306.8008,-3.651,355.460525
1,9.25,26.4261,60.0194,-0.19095,0.766116,-1.995425,3.53422,425.05325,1.16221825,5.2525,89.0437475,187.904625,280.182525,48.094065,295.910725,306.638575,-3.65425,468.0178
1,9.75,31.149,81.9061,-0.210376,0.85410125,-1.2372,3.6342225,424.386,1.200056,5.376965,87.832,237.8754,338.9548,57.27658,300.5662,310.2579,-3.653125,590.508025
1,10.25,30.8408,93.41515,0.0238487,0.865055,-1.65595,3.4874475,423.756,1.2167845,5.35874,86.47215,286.471475,400.2874,68.3080225,300.156425,309.196475,-3.6745,658.896775
1,10.75,32.9571,121.94275,0.093947175,0.908766,-0.9202,3.89934,422.85,1.461909,5.4058775,85.4626,312.6141,430.1845,74.73106,302.3637,313.5113,-3.672,725.697775
1,11.25,29.1071,135.845,0.594013,0.83703025,-1.213725,3.818425,422.61675,1.5878165,5.3124325,84.706775,336.939025,457.694275,74.11832,299.63925,310.7965,-3.685375,757.3041
1,11.75,31.5798,138.8535,-0.3544475,0.851813,-0.4299,3.8616325,422.89425,1.74033,5.280705,85.65152,331.8621,458.0683,70.31258,304.3065,315.6428,-3.690125,757.4605
1,12.25,34.2552,139.95225,0.422607,0.876264,-0.748474975,4.08623,424.399,1.74714875,5.61652,84.7554925,351.2065,468.915125,70.4590375,300.614875,313.223375,-3.6945,734.9653
1,12.75,43.162475,143.251,-0.658894,0.843301,-0.2271,4.06028,423.55,1.838999,5.45036,84.2479,327.3432,440.2557,64.01122,306.4303,315.8397,-3.43425,674.1068
1,13.25,35.0169,115.014,-0.111755,0.841314,-0.750549975,3.92869,423.28,1.96307425,5.2859675,82.8826425,298.3825,391.002875,56.28249,303.617875,312.516425,-3.589,395.841375
1,13.75,33.02305,107.894,-0.38745125,0.86824325,-0.2910166,4.036415,423.4445,2.07256,5.502035,82.50909,259.5613,357.5523,50.65592,303.9851,315.9523,-3.609,371.11665
1,14.25,34.5987,83.8011,-0.29727575,0.848518,-0.783499975,4.07662,424.348,1.9604295,5.4020325,82.051625,203.54615,287.577,38.03899,299.60225,311.67775,-3.635875,395.90395
1,14.75,26.083725,74.97415,-0.0076479475,0.8048915,-0.1724,3.761775,424.198,2.022813,5.255655,82.88799,140.631,214.4573,28.45928,302.6546,314.3181,-3.64475,283.1071
1,15.25,24.57365,57.0772,0.64955425,0.74754,-0.81975,3.69771,425.73,1.849483,5.2721,82.029025,56.340585,112.898775,19.14266,300.460325,310.416925,-3.662125,101.50565
1,15.75,22.3634,21.6449,-0.0896386,0.76382375,-0.4449,3.9797,427.282,1.739751,5.1565225,85.3941,11.21448,35.33429,7.945338,300.6664,311.9592,-3.67425,62.45516
1,16.25,20.6679,-2.459175,0.2484005,0.765491,-1.259925,3.68561,428.3195,1.415351,5.27219,84.6738975,-1.87105275,7.1745365,3.15613475,298.3619,308.508675,-3.68775,19.1513175
1,16.75,19.7736,-3.90309,0.78569,0.79736625,-1.144258,3.7245025,428.3165,1.379534,5.40804,85.3798,-3.511079,0.1133293,1.725231,298.7449,309.1397,-3.69625,0.903094225
1,17.25,26.4115,-4.9753,0.5097635,0.82577925,-1.7605,3.9464475,428.28875,1.2066605,5.37731,85.525375,-3.86373325,-0.571952425,1.41989725,295.927675,306.308775,-3.693,0.041536925
1,17.75,23.6996,-7.43112,0.632931,0.7868145,-1.4325,3.9314025,428.79975,1.202025,5.3348425,85.21052,-4.45036,-0.5606699,1.32885,298.1094,308.082,-3.705,0.0415269675
1,18.25,19.7161,-7.83895,0.473989,0.695051,-2.0838,3.80823,428.366,1.143697,5.31708,85.047815,-3.95806575,-0.547647675,1.2501495,295.2337,304.288175,-3.691875,0.0415148875
1,18.75,17.93435,-6.83192,0.749037,0.78634475,-1.6432,4.0135575,427.7835,1.139181,5.46483,85.7714,-4.555323,-0.4248974,1.356454,298.3012,307.2842,-3.447625,0.0415205
1,19.25,18.630625,-5.046915,0.707481,0.83933,-2.243875,4.0115,428.00175,1.046932,5.3027,86.6271225,-3.150406,-0.4678344,1.274976,297.0287,302.34395,-3.549625,0.0415289525
1,19.75,21.61825,-5.98469,0.77827325,0.848044,-1.6129,4.08531,428.09675,1.111863,5.363235,87.5163,-4.56154,-0.4699728,1.248648,298.7492,308.1699,-3.599,0.0415223575
1,20.25,20.0447,-10.60205,0.996595,0.7581865,-2.18755,3.9083625,427.2015,1.009885475,5.421195,87.140025,-3.507889,-0.471395675,1.31223175,296.100675,304.0508,-3.622,0.0415302025
1,20.75,19.49925,-9.32314,1.264415,0.8093135,-1.520575,3.9908975,427.564,1.052152,5.6410025,88.1722,-4.210368,-0.4756946,1.255151,297.5457,308.367,-3.63875,0.0415316825
1,21.25,16.50845,-7.56772,1.0133815,0.8129595,-2.3318,3.80116,428.037,0.9857986,5.7733275,87.8719225,-3.0768675,-0.50256745,1.2168815,296.526,303.514625,-3.649,0.0415341
1,21.75,21.206725,-9.327835,1.0193475,0.82797325,-2.0533,3.9608375,428.155,0.9854914,5.37348,87.5758,-4.558799,-0.490215,1.276643,298.6209,306.1402,-3.67275,0.041528605
1,22.25,20.838525,-6.814505,1.19386,0.852542,-2.397675,3.65084,428.02625,0.978425625,5.4115725,87.819025,-4.60466625,-0.425025175,1.2834205,295.221075,302.731875,-3.66925,0.04152935
1,22.75,20.69065,-8.011405,0.6505635,0.8157835,-1.762,3.83559,427.529,0.9823425,5.788785,87.7142,-4.027028,-0.4077443,1.320385,298.6558,306.5529,-3.6755,0.041532335
1,23.25,22.952425,-7.194745,0.71992575,0.7812585,-2.293525,4.18193,428.336,0.909523975,5.61533,87.98744,-3.166872,-0.42070975,1.220878,293.723825,303.234425,-3.68,0.04154137
1,23.75,21.3177,-8.2377525,0.9226,0.83569425,-1.814792,3.8983375,428.31575,0.9437395,5.5401625,88.7399,-3.496386,-0.4162166,1.275175,296.5475,306.4137,-3.686,0.0415376275
2,0.25,13.58745,-15.041275,1.201455,0.6341725,-1.13355,3.7493,428.46725,1.162719,5.58742,86.2167175,-3.224674,-0.41756355,1.3877005,298.757575,308.2773,-3.24275,0.0415439625
2,0.75,13.5593,-9.01902,1.369265,0.65493,-0.803024975,3.936615,428.423,1.185458,5.6298775,87.2767,-3.229092,-0.330540525,1.4779775,302.430925,310.886375,-2.94375,0.0415325925
2,1.25,14.1571,-12.0628,1.36434,0.600621,-1.34345,3.614135,428.675,1.13991775,5.624895,88.01715,-2.96934525,-0.395049975,1.49987625,300.38435,307.536675,-3.09925,0.0415411375
2,1.75,14.8463,-7.03473,1.34967,0.55656775,-1.057425,3.558995,428.0235,1.164072,5.6635225,87.8954,-2.9688795,-0.34548695,1.39955675,301.35505,310.867875,-3.1235,0.0415282425
