DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,LW_IN,LW_OUT,VPD,CO2
1,0.25,0,-8.05842325,-62.00069198,0,-39.728655,-2.886188,57.16995,0.02976,96.42705,0,-47.86648,0,-3.126693,0.2643031,-15.786225,-21.381455,-23.446645,-22.2400475,-22.0547625,-21.08753625,160.01375,154.106,0,395.57912
1,0.75,0,-7.88306,-60.893429834,0,-39.7288125,-2.869894,55.352375,0.0297025,96.44816,0,-48.263315,0,-3.13892225,0.266520875,-15.9258175,-21.547085,-23.1314375,-24.16483,-21.89379875,-23.44603125,159.87,154.13425,0,395.1223575
1,1.25,0,-14.11108988375,-74.118061513,0,-39.72881,-2.876829,54.3096125,0.0325,96.453475,0,-47.1841,0,-3.16944125,0.269411175,-16.119255,-21.6835025,-22.879135,-24.5939,-21.65921625,-24.39351625,159.4995,154.156,0,393.69206
1,1.75,0,-16.4640108155,-58.99705,0,-39.728355,-2.885438,54.52281,0.02865,96.44814,0,-43.98557,0,-3.17880025,0.223562,-16.208695,-21.8292425,-22.647925,-24.6878425,-21.4316025,-24.609255,160.4835,153.666,0,395.28454
1,2.25,0,-9.3132,-57.1688475,0,-39.7287,-2.90615325,54.24764,0.026015,96.462,0,-44.05082,0,-3.20421225,0.265222,-16.3011925,-21.970555,-22.42526,-24.665205,-21.21066375,-24.584775,160.23825,153.5375,0,396.02917
1,2.75,0,-12.63844097,-65.662061848,0,-39.7286625,-2.90678825,54.3342625,0.03082,96.472445,0,-43.767345,0,-3.2178535,0.2661209,-16.36002,-22.112315,-22.2208425,-24.600365,-21.05494375,-24.56316875,160.625,153.6815,0,397.644175
1,3.25,0,-13.283607391,-58.437739347,0,-39.728,-2.9258485,55.171425,0.02461,96.4888175,0,-42.72602,0,-3.23835325,0.274155,-16.4268975,-22.24465,-22.07923,-24.532315,-20.92857625,-24.5126025,160.8635,153.043,0,396.7399875
1,3.75,0,-13.2746,-74.0632575,0,-39.72753,-2.90078275,54.75802,0.03263,96.5022875,0,-45.110745,0,-3.24429975,0.258469825,-16.47323,-22.39005,-22.173045,-24.4961225,-20.81920625,-24.4656675,160.841,152.911,0,397.80365
1,4.25,0,-11.07607039265,-52.547869131,0,-39.72681,-2.86451175,54.599625,0.0215525,96.518075,0,-44.34976,0,-3.25571125,0.2346972,-16.527295,-22.526745,-22.2540925,-24.4217875,-20.70381,-24.40044625,160.646,153.1505,0,396.696115
1,4.75,0,-7.0342695556,-53.82375220025,0,-39.72786,-2.84941975,55.1724625,0.030585,96.5235625,0,-43.141815,0,-3.27279225,0.2379647,-16.5599525,-22.664475,-22.3441375,-24.388695,-20.6018925,-24.33343875,160.614,153.13875,0,398.6602825
1,5.25,0,-7.002119533375,-62.018152749,0,-39.72689,-2.85572475,54.56175,0.033225,96.52126,0,-42.849405,0,-3.2969735,0.2778922,-16.59794,-22.78654,-22.46459,-24.4162625,-20.493395,-24.25308875,160.371,153.519,0,399.7068
1,5.75,0,-9.3172975,-48.1947430465,0,-39.7220225,-2.8510925,54.7489,0.031515,96.5295875,0,-42.30167,0,-3.29267725,0.2306364,-16.6268825,-22.9176975,-22.57013,-24.4753075,-20.45076375,-24.17856,160.274,153.133,0,398.4578875
1,6.25,0,-10.6908097455,-59.4035085425,0,-39.7290675,-2.865372,55.2403625,0.02454,96.51555,0,-41.03721,0,-3.3101315,0.225691,-16.663965,-23.027265,-22.66181,-24.39823,-20.66734625,-24.086085,160.292,153.122,0,399.082565
1,6.75,0,-14.6694000745,-75.5400581175,0,-39.7289525,-2.8379425,54.617725,0.03065,96.4841025,0,-44.3774,0,-3.3460095,0.207731775,-16.6897475,-23.1303775,-22.737605,-24.317405,-20.88297875,-23.99363375,160.812,154.38925,0,398.2094
1,7.25,0,-6.888295,-59.82374,0,-39.72981,-2.8425245,54.2584,0.0277875,96.48265,0,-43.49988,0,-3.3452275,0.2457692,-16.7049475,-23.0718,-22.8007325,-24.2246225,-21.07361125,-23.88588625,160.00075,154.37575,0,396.44093
1,7.75,0,-7.8787060563,-74.41152884425,0,-39.73001,-2.9013345,54.5504875,0.0271575,96.48856,0,-47.2935275,0,-3.3431845,0.239018,-16.7001675,-22.8675275,-22.854755,-24.2337125,-21.28316125,-23.78009375,159.6565,154.66975,0,395.59546
1,8.25,0,-5.9492232611,-58.686567213,0,-39.7310725,-2.86717175,53.91287,0.03,96.5084925,0,-45.92884,0,-3.36387675,0.2598113,-16.7489075,-22.654355,-22.873415,-24.39087,-21.53466875,-23.6631325,160.5035,155.137,0,396.94146
1,8.75,0,-5.051059010575,-56.9384115545,0,-39.730215,-2.844851,53.778175,0.032015,96.54337,0,-46.985,0,-3.35876725,0.2517464,-16.812615,-22.4479625,-22.905835,-24.5584675,-21.78897,-23.54554,159.757,155.8925,0,397.2899125
1,9.25,0,-9.69320475,-63.137845,0,-39.7313775,-2.856785,53.7882775,0.0302,96.5636625,0,-47.54916,0.00257515,-3.35824075,0.225576,-16.8806975,-22.244065,-22.943325,-24.57175,-21.8026475,-23.4641275,159.25175,156.23225,0,397.44666
1,9.75,0,-7.97882128695,-67.7458,0,-39.7298125,-2.87390275,54.075045,0.028925,96.5712625,0,-47.11368,0.179484025,-3.33655475,0.2287855,-16.9399025,-22.05127,-22.952985,-24.5387525,-21.69018875,-23.6217675,158.7245,156.8935,0,398.0050075
1,10.25,0,-6.3058,-69.62387041775,0,-39.7292775,-2.8210675,54.744025,0.027945,96.5626075,0.76363745,-47.40644,1.513626,-3.351403,0.221245625,-16.970525,-21.8477525,-22.811035,-24.4726975,-21.54498375,-23.77451875,159.1145,155.86925,0,396.827995
1,10.75,0,-4.8425825,-58.6656,0.5995382,-39.7260025,-2.83523125,54.17464,0.02955,96.5366425,1.9617725,-47.1894,4.253485,-3.38535775,0.227577,-16.9173775,-21.6711,-22.67754,-24.4678975,-21.4148025,-23.941345,162.432,157.03775,0,397.7455
