DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_2,NEE,FC,SC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.255,25.5175,2.8225,10.24,6.27,6.655,-1.1125,5.85,-3.315,25.595,25.575,83.346,98.64,410.65,8.59,-9.56,-1.65,-0.79,0.71,0.02,425.3,445.6025,26.2825
1,0.75,0.31,25.3275,2.8025,9.575,7.905,5.24,-1.69,8.175,-3.515,25.59,25.565,85.2935,98.61,412.57,7.685,-7.59,-1.44,-0.69,0.755,0.02,425.7725,445.3675,25.42
1,1.25,0.31,24.9975,2.845,9.8075,7.88,4.95,-2.3125,7.31,-3.66,25.58,25.565,85.739,98.5875,415.0225,7.25,-7.16,-1.375,-0.66,0.99,0.0525,425.1425,444.07,25.44
1,1.75,0.3,24.8175,2.85,11.1825,8.14,5.55,-2.42,7.75,-3.65,25.58,25.56,85.784,98.57,417.965,6.84,-7.5925,-1.32,-0.63,1.0325,0.05,424.7975,443.2725,25.4
1,2.25,0.3,24.6225,2.765,10.3,8.43,5.925,-2.36,7.59,-3.745,25.57,25.55,86.79875,98.55,417.5025,6.3475,-7.0975,-1.33,-0.64,1.2525,0.03,425.2875,442.5025,25.32
1,2.75,0.3,24.3425,2.92,11.71,9.66,5.23,-3.95,11.965,-3.805,25.55,25.54,88.32875,98.53,418.48,5.975,-6.69,-1.39,-0.665,1.4375,0.01,424.27,441.37,25.2
1,3.25,0.28,24.265,2.785,11.135,9.135,6.005,-3.665,9.25,-3.7875,25.535,25.53,88.2755,98.54,423.5775,5.955,-7.28,-1.4225,-0.6825,1.62,0.025,423.7175,441.0125,25.1
1,3.75,0.275,24.05,2.8,12.33,8.15,5.98,-3.9325,8.685,-3.84,25.515,25.525,88.379,98.54,427.63,5.595,-7,-1.33,-0.64,1.64,0.01,424.5625,440.4775,25.0775
1,4.25,0.3025,23.91,2.74,12.495,8.9325,5.585,-5.17,8.44,-3.9025,25.5075,25.5175,88.1055,98.57,427.255,5.43,-5.97,-1.03,-0.495,1.625,0.0325,424.4525,439.4975,25.0225
1,4.75,0.3175,23.79,2.79,11.17,9.5,5.53,-3.49,7.405,-3.845,25.48,25.4975,88.94775,98.59,428.695,5.2975,-5.315,-1.04,-0.495,1.61,0.0275,422.3625,439.03,25.085
1,5.25,0.31,23.66,2.8725,12.3925,9.985,5.3675,-5.3125,9.18,-3.845,25.46,25.48,89.509,98.62,429.91,5.135,-5.355,-0.7525,-0.36,1.765,0.06,423.42,438.545,25.1375
1,5.75,0.325,23.53,2.8325,11.73,10.12,6.79,-4.5,8.2,-3.78,25.4475,25.4775,90.301,98.65,433.54,4.89,-2.56,14.4425,6.92,2.175,1.37,423.975,438.085,24.985
1,6.25,0.32,23.49,2.775,7.4775,9.91,0.5525,-4.49,13.8,-3.8625,25.43,25.4675,90.465,98.68,432.595,4.9,20.78,112.58,53.9625,5.19,8.4425,425.2525,438.6975,24.9125
1,6.75,0.3925,23.71,2.6375,5.1425,12.51,-3.14,-0.06,36.0075,-3.735,25.42,25.45,89.57275,98.73,434.265,4.98,78.755,294.6275,141.22,11.425,19.185,427.605,441.8525,25.125
1,7.25,0.48,24.03,2.8075,-3.41,10.88,-6.695,14.42,73.4275,-3.4625,25.4075,25.43,89.724,98.775,429.525,5.485,162.405,488.79,234.285,16.09,28.675,431.125,445.1725,25.265
1,7.75,0.585,24.46,2.8825,-6.54,6.1825,-7.6075,52.57,130.76,-2.8375,25.39,25.4175,88.852,98.81,427.965,6.34,216.965,733.375,351.52,20.91,41.56,431.135,449.1875,25.42
1,8.25,0.68,24.99,3.13,-10.21,2.34,-7.61,85.595,215.6875,-1.815,25.37,25.4,86.8905,98.8375,423.6725,7.4325,305.185,947.5925,454.1975,23.9975,55.25,434.2925,455.255,25.365
1,8.75,0.67,25.61,3.29,-9.235,-2.25,-4.945,88.7175,224.1975,-0.62,25.3575,25.37,83.4795,98.86,418.34,8.7925,357.7725,1094.29,524.51,26.63,61.5125,434.6025,459.3575,25.2875
1,9.25,0.73,26.055,3.5125,-14.035,-5.86,-5.695,130.65,283.67,0.7,25.3375,25.3475,79.992,98.8675,412.76,10.07,440.14,1212.13,580.995,30.2975,70.95,435.9725,462.65,25.08
1,9.75,0.71,26.68,3.455,-14.3575,-8.175,-3.8,132.67,314.54,1.995,25.3275,25.3275,77.28,98.8775,408.75,10.955,486.75,1329.7875,637.3925,31.065,78.35,440.345,466.505,24.905
1,10.25,0.6675,27.1775,3.24,-14.2125,-10.0475,-2.0975,137.3025,340.9,3.655,25.31,25.31,76.7575,98.87,402.425,11.92,505.02,1396.96,669.585,31.7625,79.6375,442.38,469.775,24.7875
1,10.75,0.68,27.445,3.1125,-13.8775,-10.345,-1.4175,124.04,327.32,4.66,25.3,25.29,75.06575,98.8475,398.2275,13.3575,507.01,1441.2025,690.7925,31.205,79.67,445.88,471.9425,24.27
1,11.25,0.655,27.99,3.16,-12.98,-11.24,-0.84,143.78,382.7275,5.785,25.29,25.28,74.5295,98.8275,395.66,14.9675,533.385,1542.52,739.36,33.935,86.3475,447.0275,475.5725,24.415
1,11.75,0.68,28.155,3.0225,-12.48,-10.74,-0.7,142.85,394.905,6.3525,25.29,25.2775,67.34375,98.79,392.715,14.3125,532.2,1487.995,713.225,34.2125,84.535,449.23,476.88,25.77
1,12.25,0.67,28.455,3.05,-13.33,-11.3525,0.275,147.64,405.725,6.655,25.29,25.26,65.31125,98.75,391.0475,15.335,414.0775,1353.04,648.53,32.105,84.275,448.78,478.6,25.7675
1,12.75,0.65,28.75,2.82,-6.67,-7.3,0.8075,145.09,407.7325,6.9975,25.29,25.26,68.294,98.695,389.49,16.7,417.07,886.53,424.93,33.88,86.815,448.4425,480.92,24.75
1,13.25,0.62,28.955,2.8525,-6.65,-7.595,1.065,123.7325,421.1475,7.3825,25.29,25.26,68.44975,98.64,386.6575,17.3175,495.33,826.67,396.24,32.381,85.515,446.725,482.595,24.83
1,13.75,0.6125,28.97,2.78,-6.495,-6.8175,1.66,141.11,378.05,7.53,25.3,25.2575,71.285,98.575,386.665,17.6125,487.32,1157.8825,554.995,31.01,81.61,445.735,481.99,25.07
