DOY2,HR2,FC,FCH4,H,LE,WS,USTAR,PA,RH,TA,VPD,T_SONIC,TS_8,TS_7,TS_6,TS_5,TS_4,TS_3,TS_2,TS_1,NETRAD,SW_IN,LW_IN,SW_OUT,LW_OUT,PPFD_IN,G,CH4,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,1.47118,-0.0946,-4.59645,2.78439,1.26681,0.104371,101.857,88.8,9.94,0.985689618189338,14.858,10.4144,9.98006666666667,8.9534,9.15873333333333,8.57673333333334,11.3166666666667,11.8866666666667,11.6133333333333,-45.0458387348125,-2.65026029342168,314.190227062152,0.92756183745583,350.979776259978,0,-17.0613940241242,2274.270547,462.481,10.4654,0.491784505652628,0.420557962711444,0.064730209330729
1,0.75,1.07552,-2.32047,-4.21443,2.358935,1.15796,0.113138,101.851,89.4,9.88,1.09415117228397,14.91,10.4157333333333,9.93673333333333,8.6334,8.99573333333333,8.4334,11.05,11.6033333333333,11.6666666666667,-44.1008927989552,-2.60293421675343,311.726108115616,1.01590106007067,351.086522273362,0,-15.2012516745888,2364.4057275,457.835,10.4585,0.495542127371629,0.412689956262568,0.0808702664766229
1,1.25,0.7426555,0.83513,-2.94926,3.06401,1.05699,0.0994,101.851,89.6,9.69,1.15460890791511,14.829,10.4284,9.90006666666667,8.82673333333334,8.82106666666667,8.2734,10.87,11.1533333333333,11.0766666666667,-42.3195983946463,-2.69758637008992,316.49719962789,0.92756183745583,351.711089198092,0,-15.35241116863,2249.105492,452.67,10.2842,0.401317829157888,0.438802917036795,0.068264192663504
1,1.75,1.09328,-5.92,-4.76483,2.68042,1.1034,0.102217,101.846,89.8,9.78,1.06118257413457,14.69,10.4374,9.82573333333333,8.67273333333333,8.7934,8.34673333333333,10.48,10.93,10.7633333333333,-41.6679736739843,-2.4609559867487,316.055622397764,0.971731448763251,350.806017781865,0,-16.3293605190486,2254.538426,452.866,10.0909,0.461530064026169,0.425802771245092,0.0700713921654194
1,2.25,1.27239,-7.255,-4.34455,2.070455,1.15349,0.1058845,101.847,90,9.7,1.09936588719163,14.504,10.3984,9.77756666666667,8.54506666666667,8.67098333333334,8.46006666666667,10.3683333333333,10.62,10.7933333333334,-38.9180119210069,-2.55560814008519,319.413933351245,0.971731448763251,350.89354181248,0,-14.8891182852422,2289.78,458.35,10.0029,0.415594801433142,0.40555054220237,0.0674907299403484
1,2.75,0.692781,3.25372,-4.57473,2.87792,1.071735,0.1003135,101.8325,90.35,9.61,1.07571293118009,14.708,10.4212333333333,9.73173333333333,8.49506666666666,8.59473333333334,8.3309,10.5233333333334,10.7633333333333,10.77,-37.86257023798,-2.27165168007572,318.155227483116,0.971731448763251,350.53678616628,0,-13.8599334233533,2316.909876,458.811,10.1653,0.407672186041042,0.410606803011964,0.0624896790421098
1,3.25,1.035925,-6.31471,-5.21736,2.2845,1.12217,0.0967,101.8295,91.15,9.595,1.0230996298088,14.5245,10.4270666666667,9.70173333333334,8.37423333333334,8.5284,8.3179,10.64,10.7783333333333,10.6983333333333,-40.0790771184947,-2.43729294841458,320.854298974466,0.92756183745583,350.364786758043,0,-12.6231767508891,2298.283279,462.823,10.04056,0.442497779563683,0.418204335346486,0.0709538760209538
1,3.75,0.876203,-2.11287,-5.10869,2.25172,1.207815,0.09215,101.8305,91.05,9.49,0.992934778328114,14.538,10.4329,9.66173333333333,8.51673333333333,8.62340000000001,8.32506666666666,10.6366666666666,10.86,10.7733333333333,-37.2528944707627,-2.48461902508282,323.203661008472,0.99381625441696,350.86249949519,0,-11.983348250148,2327.812767,465.7775,10.2338,0.378827358149058,0.363514943756555,0.0697131099154196
1,4.25,1.23615,1.67,-4.24871,4.15526,1.27123,0.0862,101.818,90.85,9.21,0.965422888054619,14.4965,10.4445666666667,9.60456666666666,8.6009,8.63006666666666,8.4084,10.595,10.8483333333334,10.615,-38.1876184824604,-2.29531471840984,321.658229441744,0.971731448763251,351.374131434368,0,-10.6041036306649,2229.39,460.219,10.19445,0.3904560459641,0.330573822221358,0.0740250499063621
1,4.75,1.17725,-1.63755,-3.77049,2.508195,1.07203,0.09895,101.823,90.85,9.255,1.00612767776555,14.5135,10.4365666666666,9.53373333333333,8.59006666666667,8.60906666666667,8.3234,10.535,10.6266666666667,10.5683333333333,-37.5759305911166,-2.22432560340748,323.517923578328,0.971731448763251,350.919764633077,0,-9.95300654743772,2355.655434,466.265,9.9673,0.379340381867307,0.392313978931601,0.0717276307181138
