DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,TA,PA,RH,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,PPFD_IN
1,0.25,-0.0287,-21.156,4.2705,6.075,1.70298,0.158549,23.0578,21.3366,100.165,84.4647,3.89118,430.206,20.0662,0.495743,0.421536,0.209702,0.322547,0.004011661,0.166025888,0
1,0.75,-0.0318,-21.1165,5.6325,6.097,1.672785,0.1711655,22.5367,20.73675,100.1905,84.57565,3.7437,431.082,19.8055,0.5203455,0.4402535,0.227075,0.3287355,0.003872378,0.159271056,0
1,1.25,-0.0308,-20.976,5.61,5.849,1.64074,0.167957,22.2999,20.4857,100.206,86.39005,3.250875,429.748,19.9524,0.489398,0.437222,0.22531,0.302946,0.0035389315,0.13773984,0
1,1.75,-0.03195,-19.425,5.062,5.5565,1.684705,0.174851,21.90645,20.2689,100.2055,86.7942,3.090325,431.503,19.6068,0.510103,0.460651,0.2171375,0.3004645,0.0035151985,0.14064736,0
1,2.25,-0.0293,-20.951,5.738,5.6165,1.7554,0.157489,21.57195,20.02985,100.2155,88.2327,2.52443,431.031,19.3662,0.523764,0.4541225,0.2220175,0.289679,0.003524976,0.14185136,0
1,2.75,-0.031,-19.33,3.665,5.4725,1.79885,0.169787,21.4125,19.8398,100.209,89.5542,2.36133,434.4425,19.2363,0.503453,0.432011,0.222996,0.285561,0.0036269745,0.130253872,0
1,3.25,-0.0328,-18.3905,3.539,5.4485,1.710665,0.167898,21.2191,19.4646,100.1985,90.6871,2.14647,433.8695,19.513,0.5046205,0.458279,0.2198585,0.2849075,0.003285744,0.124788608,0
1,3.75,-0.02885,-16.9015,2.582,5.512,1.69508,0.1579295,21.1133,19.4986,100.185,91.2789,1.97341,435.539,19.382,0.50688,0.4442545,0.2250425,0.2925795,0.003346874,0.123138848,0
1,4.25,-0.03,-16.1345,2.2085,5.4665,1.689235,0.160864,21.17535,19.31165,100.204,92.11015,1.78032,431.949,19.342,0.5062515,0.4252785,0.2213365,0.276874,0.003328349,0.11949168,0
1,4.75,-0.0315,-16.758,2.712,5.565,1.63124,0.165028,20.7328,18.9615,100.201,92.002,1.582705,432.438,19.1405,0.513994,0.437027,0.223624,0.26237,0.0032779485,0.129090864,0
1,5.25,-0.0306,-17.421,1.0935,5.717,1.67483,0.16552,20.5229,18.7589,100.203,92.91655,1.4935,434.885,18.99525,0.475126,0.424461,0.215469,0.267742,0.003570291,0.11257792,0
1,5.75,-0.0249,-15.7145,1.901,5.551,1.659935,0.149777,20.35015,18.6422,100.2125,93.4938,1.39688,434.9645,18.91755,0.4766415,0.439061,0.19781,0.2512275,0.0033265565,0.114471504,0
1,6.25,-0.026,-14.002,3.967,4.617,1.60501,0.155165,20.411,18.61,100.218,92.9049,1.38971,435.372,18.9775,0.488978,0.406612,0.205666,0.231063,0.0033012,0.122536288,0
1,6.75,-0.0321,-9.268,9.4255,2.4115,1.59015,0.168965,20.4867,18.6714,100.238,93.79675,1.21608,431.596,19.27335,0.51351,0.45951,0.224642,0.227378,0.003055203,0.169316784,0
1,7.25,-0.0545,-3.687,32.749,-0.822,1.873935,0.2153855,21.2556,19.41015,100.262,91.9994,1.73731,426.585,19.7643,0.6320395,0.5206345,0.2736365,0.304369,0.003323656,0.27347712,28
1,7.75,-0.08395,5.926,65.1235,-4.762,2.43058,0.2674755,21.84615,20.1826,100.287,88.7793,2.460545,419.393,19.9516,0.7426305,0.628318,0.344238,0.338552,0.003092902,0.31625328,98.5
1,8.25,-0.0963,19.8495,95.106,-7.903,2.584615,0.2864665,22.6704,20.8747,100.272,85.6377,3.51123,415.6305,20.3882,0.8079025,0.7306405,0.349811,0.3543785,0.003175245,0.40619488,216.5
