DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,H2O_1_1_1,H2O_1_2_1,H2O_1_3_1,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,FC_1_1_1,FC_1_2_1,FC_1_3_1,FCH4_1_1_1,SC_1_1_1,SC_1_2_1,SC_1_3_1,SCH4_1_1_1,H,H_1_1_1,H_1_2_1,H_1_3_1,LE,LE_1_1_1,LE_1_2_1,LE_1_3_1,SH_1_1_1,SH_1_2_1,SH_1_3_1,SLE_1_1_1,SLE_1_2_1,SLE_1_3_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,USTAR_1_1_1,USTAR_1_2_1,USTAR_1_3_1,PA_1_1_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,PPFD_IN_1_1_1,NEE,NEE_1_1_1,NEE_1_2_1,NEE_1_3_1,RH_1_3_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1
1,0.5,395.49825,396.10115,396.65255,0.8715221,0.9754919,0.9754919,1960.611,1974.691,1969.37,-0.008985824,0.09372999,0.1672141,0.3240449,0.079302925,0.10988645,0.02938569,0.4028799,-10.3576,-0.6913875,-5.370695,-7.5858,-0.37456995,-0.1071526,-0.025531,-0.0822965,-11.628,-7.1263375,-1.9764955,-1.314222,-0.6253055,-0.1703494,11.22485,6.7,2.8705285,0.1336207,0.286805,0.3270852,95.82843,-10.76886,-9.979843,-9.847321,0,0.247679,-0.07473656,0.283549,0.2261991,88.33963,0.778,1.009,1.221,1.434,1.686,2.036,2.231,2.64675,3.172
1,1.5,395.7455,396.3187,396.79605,0.8742146,0.9727994,0.97606135,1962.108,1973.873,1971.48,-0.03106635,0.085984975,0.179366,0.3346104,0.047286,0.11835275,0.03448008,0.3320025,-9.693567,-0.3344299,-5.047808,-7.43733,-0.40426685,-0.07548472,-0.006294465,-0.1407625,-8.068707,-5.893666,-1.546779,-1.6307035,-0.8604804,-0.2307307,11.03091,6.588396,2.822956,0.122434,0.2803115,0.3266366,95.830175,-10.77917,-10.01242,-10.15466,0,0.2592176,0.059492465,0.24760535,0.2398894,89.11907,0.778,1.009,1.221,1.434,1.686,2.036,2.231,2.64675,3.16725
1,2.5,396.1413,396.46265,397.2057,0.8636521,0.9754919,0.9857438,1962.371,1974.56,1970.958,-0.0088041095,0.09316459,0.1334037,0.1869211,0.068481665,0.092677,0.028158,0.4677386,-8.935396,-1.1046445,-4.197806,-7.089547,-0.425569,0.07418307,-0.07535452,-0.09985817,-7.8481495,-4.794725,-1.155349,-1.250369,-0.7079395,-0.1697438,10.9,6.385,2.839816,0.1337699,0.26410945,0.32655895,95.83,-10.9,-10.04076,-10.322175,0,0.2287626,0.21123505,0.2757411,0.19143515,90.06594,0.778,1.01375,1.221,1.434,1.686,2.036,2.231,2.6515,3.153
1,3.5,396.0178,396.8342,397.5592,0.8698654,0.97885725,0.97859855,1959.563,1973.795,1970.562,-0.006456449,0.1138158,0.1754083,0.2449306,0.047286,0.090929395,0.03005897,0.2516482,-9.037913,-0.1350094,-3.781583,-7.3597575,-0.405899,-0.08577336,-0.054709845,-0.1095757,-7.151727,-4.9855855,-1.195216,-1.578531,-0.6958895,-0.17692185,10.92,6.3574615,2.821133,0.1330232,0.284122,0.3367375,95.81668,-10.70468,-10.09283,-10.28683,0,0.25752585,0.1360408,0.31754875,0.2275469,90.47044,0.778,1.009,1.221,1.434,1.686,2.036,2.231,2.642,3.1625
1,4.5,395.7443,396.56355,397.7181,0.88400055,0.96901965,0.9762168,1959.481,1973.389,1972.271,0.0012789785,0.09472797,0.17081815,0.2578661,0.1638099,0.12428485,0.03747261,0.19719765,-9.009549,-0.04981349,-3.915753,-7.484741,-0.3478429,0.0243003,-0.09051482,-0.102,-10.07946,-4.358522,-1.0535635,-2.177502,-0.8198742,-0.1583091,10.60839,6.301443,2.9,0.130345,0.2695852,0.342202,95.82,-10.7005,-10.199005,-10.41632,0,0.27063665,0.4672505,0.26272,0.253625,90.74072,0.778,1.009,1.221,1.434,1.686,2.036,2.231,2.642,3.153
1,5.5,395.5914,396.8004,397.98175,0.88198145,0.9617186,0.96912305,1960.345,1975.597,1973.54,-0.0127615,0.1104017,0.1403339,0.314597,0.0816252,0.08221985,0.0278455,0.14920445,-8.739374,-0.059346655,-3.9139625,-7.04962,-0.4292694,-0.03457198,-0.10567785,-0.174682,-6.7388305,-3.505037,-1.007616,-1.866294,-0.5972739,-0.1755723,10.47324,6.2979355,2.9,0.1202394,0.2749423,0.342482,95.82,-10.8605,-10.2,-10.69568,0,0.22432505,0.13175,0.3075906,0.2211749,90.81881,0.778,1.009,1.221,1.434,1.686,2.036,2.231,2.642,3.153
1,6.5,395.55395,396.9865,398.1385,0.87436985,0.96472195,0.9745597,1960.3525,1974.4665,1972.098,-0.006486264,0.1114703,0.18731285,0.5477665,0.066484185,0.071726535,0.02294814,0.1727899,-8.113093,-0.8075495,-4.3643705,-6.58332,-0.407079,-0.08058466,-0.011795265,-0.08983416,-6.106646,-2.906058,-0.69644305,-1.745553,-0.592603,-0.140378,10.0397765,6.3845,2.973802,0.1250326,0.2857568,0.338245,95.84,-11,-10.26382,-10.65067,0,0.25528265,0.213132,0.266785,0.22995095,90.82825,0.778,1.009,1.221,1.434,1.686,2.036,2.231,2.642,3.153
1,7.5,395.73865,396.934,398.3436,0.8901626,0.9683465,0.9630652,1958.687,1976.0145,1972.9465,0.032298175,0.09723169,0.2250877,0.1154879,0.001259481,0.07806781,0.017316,0,-6.763075,-0.1215915,-4.2081965,-6.752789,0.069665435,-0.07406702,-0.02895942,-0.05179,-0.7820053,0,0.1172919,-0.2204797,0,0.006572293,10.28435,6.384256,2.8892865,0.1254412,0.269814,0.353601,95.88,-11.09767,-10.310415,-10.70259,0,0.2603694,0.1106582,0.2243081,0.262111,90.941545,0.778,1.009,1.21625,1.434,1.686,2.036,2.231,2.642,3.153
1,8.5,395.8348,396.899,398.14865,0.8751468,0.9687089,0.9823268,1958.679,1973.321,1972.917,-0.02015308,0.1494722,0.239605,0.46222475,0.04235924,0.007214519,-0.0077063865,-0.0073765045,1.875249,-0.01193612,-2.50987,-2.7405855,2.0173695,0.029141,0.12274065,0.623138,14.47166,12.65061,3.653122,2.766422,2.57937,0.74608345,9.654393,6.2739255,2.9,0.12291025,0.326733,0.3827321,95.88,-11.08899,-10.33282,-10.45682,77,0.2353288,0.254247,0.2230307,0.24699565,90.5,0.778,1.009,1.20675,1.434,1.686,2.036,2.22625,2.642,3.153
1,9.5,395.9037,396.71575,397.8993,0.8760787,0.98201585,1.006248,1959.7735,1970.8,1971.1705,-0.0069330835,0.3155384,0.3250186,1.0032549,0,-0.192543,-0.06324542,-0.5836806,20.05803,-0.928795,-0.084696,10.13249,4.961681,-0.1604055,0.7647186,2.710131,40.055245,27.309385,7.399749,8.928703,5.2023165,1.3629415,9.733104,5.802196,3.09,0.1902028,0.4220341,0.4680502,95.882555,-10.798575,-10.33618,-10.039,219,0.26898335,0.25498035,0.1542298,0.290578,88.98276,0.7825,1.0185,1.21625,1.434,1.6885,2.046,2.236,2.6515,3.1625
1,10.5,395.99765,396.72365,397.6023,0.8927508,1.012772,1.0410425,1961.041,1969.293,1968.549,0.001140192,0.5055681,0.3088245,1.836739,-0.21192625,-0.297169,-0.087128,-1.277979,39.13036,-2.159007,15.54417,27.30769,7.238622,-0.2719809,2.9561345,4.8528485,56.11525,34.48838,9.067605,12.29244,4.4654875,1.053801,9.542324,4.823381,3.264271,0.2028935,0.4899497,0.52010275,95.9,-10.58118,-9.8996615,-9.002838,354,0.2453878,-0.1591359,0.1741336,0.2351146,86.126575,0.7775,1.0185,1.213875,1.434,1.6885,2.046,2.236,2.6515,3.1625
1,11.5,396.0456,396.40455,397.2144,0.90088015,1.044408,1.0685365,1960.793,1968.342,1965.216,0.146065,0.568974,0.3547598,1.01628,-0.2681965,-0.25831665,-0.06272604,-1.265755,54.0085,-2.498527,32.52991,42.23092,7.878572,0.2153822,4.857254,6.407901,60.578195,30.33187,7.721043,8.978642,2.333767,0.533886,8.74052,4.578677,3.489588,0.3041623,0.5153608,0.5263316,95.87083,-10.253415,-9.2,-8.131012,417,0.282636,-0.03632438,0.3054708,0.2934686,81.53991,0.7775,1.01375,1.2115,1.434,1.6885,2.046,2.241,2.6515,3.1625
1,12.5,396.27825,396.2522,396.7941,0.9257853,1.053055,1.062478,1960.841,1966.559,1964.592,0.2466566,0.5963931,0.3363316,1.385367,-0.2405,-0.1622044,-0.03386191,-0.8236207,55.50259,-1.555527,46.7816,48.7492,8.132101,0.68956145,5.871596,6.130281,53.41045,23.661685,5.942637,6.055521,1.568899,0.358613,8.6365865,4.7,3.445041,0.3632842,0.5172737,0.54971165,95.84,-10.12183,-8.675842,-7.594177,450,0.3420172,0.162338,0.4496311,0.31983775,78.0446,0.7775,1.011375,1.2115,1.434,1.686,2.0435,2.2385,2.6515,3.1625
1,13.5,396.3189,395.68585,396.3434,0.94328615,1.033172,1.065585,1959.643,1966.202,1963.348,0.2461213,0.45812295,0.2919316,0.412088,-0.19896685,-0.093655,-0.0195,-0.5579206,46.71602,-0.63908355,44.58559,42.76637,6.829101,0.8039258,6.578595,5.864454,41.523065,15.344695,3.729989,3.622227,0.88628715,0.2016229,7.996643,4.801852,3.495615,0.356477,0.5248781,0.5480543,95.80516,-9.79068,-8.487335,-7.115173,357.2172,0.30527285,0.216335,0.3610825,0.26501895,75.37206,0.7775,1.006625,1.2115,1.42925,1.686,2.0385,2.23375,2.6515,3.1625
