DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,PPFD_OUT,APAR,FAPAR,WS,USTAR,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1
1,0.25,0.5,-4.6,2,-0.04577,-5.2,83,-17.25,0,0,0,0,0,0,3.65,0.2,98.72,-6.6,-0.3,0,0.8,2.4
1,0.75,0.5,-4,2.1,-0.04665,-5.15,83.6,-15.5,0,0,0,0,0,0,3.62,0.2,98.68,-6.5,-0.35,0,0.8,2.4
1,1.25,0.5,-3.8,1.8,-0.04419,-5.4,83.95,-14.8,0,0,0,0,0,0,3.555,0.19,98.69,-6.7,-0.35,0,0.8,2.4
1,1.75,0.5,-5,1.55,-0.045315,-5.4,84.15,-15.1,0,0,0,0,0,0,3.58,0.19,98.66,-6.9,-0.4,0,0.8,2.4
1,2.25,0.5,-4.85,1.9,-0.04049,-5.2,84.8,-15,0,0,0,0,0,0,3.425,0.18,98.66,-6.95,-0.4,0,0.8,2.4
1,2.75,0.5,-4.9,2.05,-0.0413,-5.3,85,-14.7,0,0,0,0,0,0,3.44,0.19,98.65,-6.95,-0.4,0,0.7,2.4
1,3.25,0.5,-4.5,1.9,-0.04018,-5.5,85,-15.45,0,0,0,0,0,0,3.4,0.18,98.63,-7.2,-0.4,0,0.7,2.4
1,3.75,0.5,-3.55,1.8,-0.03666,-5.5,85.1,-14.3,0,0,0,0,0,0,3.35,0.17,98.66,-7,-0.4,0,0.7,2.4
1,4.25,0.5,-3.9,1.95,-0.0375,-5.6,85.35,-13.8,0,0,0,0,0,0,3.295,0.18,98.64,-7,-0.4,0,0.8,2.4
1,4.75,0.5,-4.05,2.25,-0.03858,-5.6,85.8,-13.3,0,0,0,0,0,0,3.39,0.18,98.65,-7.1,-0.4,0,0.75,2.4
1,5.25,0.5,-4.6,1.8,-0.04152,-5.7,85.3,-12.8,0,0,0,0,0,0,3.32,0.19,98.635,-6.8,-0.4,0,0.8,2.4
1,5.75,0.4,-3.6,2.15,-0.04132,-5.9,85.5,-13.45,0,0,0,0,0,0,3.335,0.19,98.64,-7.35,-0.4,0,0.8,2.4
1,6.25,0.5,-3.9,2,-0.037895,-6.05,85.1,-13.3,0,0,0,0,0,0,3.33,0.18,98.65,-6.85,-0.45,0,0.75,2.35
1,6.75,0.5,-3.5,2.3,-0.04004,-6.1,85.5,-13.15,0,0,0,0,0,0,3.26,0.18,98.63,-7.1,-0.5,0,0.75,2.3
1,7.25,0.5,-3.5,2.4,-0.0432,-6.1,85.6,-9.7,3.9,1.5,0,0.8,0,0,3.435,0.19,98.69,-6.9,-0.5,0,0.8,2.3
1,7.75,0.5,-3.1,3.5,-0.045395,-6,85.3,-3.4,27.1,13.6,45.8,19.7,5.8,11.17,3.5,0.19,98.73,-6.8,-0.5,0,0.8,2.35
1,8.25,0.5,0.2,6.4,-0.05203,-5.8,84.15,4.7,65.9,31.05,123.6,42.5,28,28.07,3.675,0.21,98.78,-5.9,-0.5,0,0.8,2.35
1,8.75,0.6,3.6,8.7,-0.06469,-5.5,83.15,15.6,117.25,49,230.8,68,50.8,42.585,3.96,0.23,98.83,-4.6,-0.5,0,0.75,2.35
1,9.25,0.5,6.1,11.9,-0.06924,-5.3,80.9,23.4,164,64.95,331.2,87.4,69.9,36,4.225,0.24,98.85,-3.85,-0.5,0,0.7,2.3
1,9.75,0.5,9.6,15.2,-0.08063,-4.8,79.9,31.8,218,77.1,423.9,115.7,95.6,40.355,4.41,0.26,98.89,-2.9,-0.5,0,0.8,2.3
1,10.25,0.4,13.75,17.4,-0.08333,-4.5,77.2,40,265.9,94.7,520.6,129.6,117.9,36.385,4.54,0.26,98.9,-2.2,-0.4,0,0.75,2.35
1,10.75,0.4,16.6,21.8,-0.084865,-4.1,75.7,46,326.65,109.05,616.6,145,135.9,34.975,4.57,0.27,98.935,-2.3,-0.3,0,0.7,2.3
1,11.25,0.4,21.8,21.9,-0.088985,-3.7,74.7,49.85,351.1,108,676.15,149.35,153.25,38.355,4.765,0.27,98.93,-1.8,-0.2,0,0.65,2.4
1,11.75,0.3,19.1,23.75,-0.090695,-3.5,74,55,340.7,111.9,657.5,155,157.3,40.26,4.9,0.275,98.89,-1.4,-0.2,0,0.6,2.4
1,12.25,0.4,19.3,24.95,-0.098335,-3.1,73,50.95,337.8,108.4,649.8,150.2,140.2,40.08,5.045,0.29,98.865,-1.1,-0.2,0,0.6,2.4
1,12.75,0.5,19.05,25.05,-0.0952,-2.9,72.5,49.1,325.55,104.4,639.7,146,136.4,41.65,5.01,0.28,98.84,-0.65,-0.1,0,0.6,2.4
1,13.25,0.4,15.3,24.8,-0.10059,-2.7,72.35,44.5,299.8,90.6,601,131,119.3,39.33,5.05,0.29,98.81,-0.8,-0.1,0,0.6,2.35
1,13.75,0.4,13.55,23.1,-0.09333,-2.5,71.8,37.7,251.2,80.7,486,118,106.5,42.14,4.95,0.28,98.82,-0.3,-0.1,0,0.6,2.35
1,14.25,0.5,11.05,22,-0.08962,-2.5,72,32.3,209.9,72.9,402,101.4,96.6,44.92,4.895,0.27,98.84,-1.2,-0.1,0,0.6,2.4
1,14.75,0.5,7.5,19.35,-0.09045,-2.5,72.2,23.2,167.9,59.2,327.5,83.4,75.3,48.47,4.91,0.27,98.82,-1.2,-0.1,0,0.6,2.4
1,15.25,0.5,2.4,17.1,-0.08429,-2.6,72.5,13.35,119.7,44.5,220.8,59.4,52,40.09,4.76,0.265,98.84,-1.7,-0.1,0,0.6,2.3
1,15.75,0.5,-1.75,13.8,-0.07781,-2.65,73.25,2.15,72.15,27.45,129.35,37.4,31.7,31.74,4.65,0.25,98.845,-2.4,-0.1,0,0.6,2.35
1,16.25,0.5,-4,9.65,-0.0761,-2.9,73.85,-8.2,31,10.8,45.5,17.5,9.8,15.28,4.475,0.25,98.845,-3.1,-0.1,0,0.6,2.3
1,16.75,0.4,-6.6,6.35,-0.06011,-3,75.1,-20.5,3.4,1.5,0,0,0,0,4.12,0.22,98.82,-3.8,-0.1,0,0.6,2.3
1,17.25,0.5,-7.6,5.2,-0.0531,-3.1,76.2,-21.85,0,0,0,0,0,0,3.76,0.21,98.82,-4.5,-0.1,0,0.6,2.3
1,17.75,0.5,-7.15,4,-0.051445,-3.3,77.45,-21,0,0,0,0,0,0,3.8,0.21,98.82,-4.6,-0.1,0,0.6,2.3
