DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
1,5.25,0.119893,2.158275,-36.6285,0,-18.675,-1.1885,72.22,0.245663,91.9,0.202254,-18.82015,0,-0.7325,0.902,-1.308,-2.239,-0.176,-4.456,-1.7575,-2.685,410.3
1,5.75,0.1737225,3.792025,-37.9762,0,-19.76,-1.203,71.54,0.246407,91.9,0.345364,-14.9411,0,-0.757,1.02,-1.345,-2.214,-0.17,-4.641,-1.7475,-2.5515,410.35
1,6.25,0.1602125,2.28204,-39.44355,0,-19.04,-1.202,71.75,0.223969,91.9,0.342789,-15.16995,0,-0.7435,1.079,-1.325,-2.211,-0.178,-4.4875,-1.732,-2.4935,410.6
1,6.75,0.1714565,1.75571,-36.4277,0,-18.34,-1.21,71.64,0.214678,91.9,0.428602,-16.7569,0,-0.737,0.966,-1.332,-2.249,-0.19,-4.378,-1.72,-2.595,410.1
1,7.25,0.118905,2.72663,-35.8473,0,-18.425,-1.2025,72.04,0.220032,91.9,0.5770685,-17.4724,0,-0.711,1.008,-1.329,-2.216,-0.222,-4.634,-1.795,-2.5995,410.5
1,7.75,0.0625,2.534505,-32.2119,0.6924595,-18.78,-1.213,71.545,0.2213885,91.85,2.52325,-16.980245,0,-0.702,0.913,-1.372,-2.235,-0.2075,-4.683,-1.79575,-2.5935,410.7
1,8.25,0,2.95941,-14.6773,6.06663,-18.7,-1.2045,71.61,0.249525,91.85,7.09968,-16.244,0,-0.658,1.1905,-1.349,-2.256,-0.1915,-4.864,-1.791,-2.54225,410.1
1,8.75,0.1120075,1.03714,-23.8341,20.2516,-18.2,-1.2035,71.315,0.201596,91.9,19.39775,-16.9212,0,-0.6225,1.2765,-1.321,-2.2515,-0.2105,-5.1305,-1.73075,-2.6965,409.9
1,9.25,0.1204445,1.073915,-33.66625,25.0653,-19.17,-1.2,71.31,0.24398,91.9,24.07105,-16.3992,0,-0.5985,1.1165,-1.303,-2.302,-0.1965,-5.012,-1.757,-2.724,410
1,9.75,0.072,1.026645,-37.7242,32.5707,-18.37,-1.2065,70.76,0.238487,91.8,36.8108,-17.9285,0.12342,-0.59,1.1125,-1.298,-2.3,-0.216,-5.083,-1.782,-2.6985,409.85
1,10.25,0.2054885,1.52732,-42.0651,47.959025,-18.665,-1.195,71.11,0.232888,91.9,51.578955,-14.22405,1.08581,-0.5775,1.2355,-1.268,-2.306,-0.2105,-5.0805,-1.80575,-2.511,409.7
1,10.75,0.195097,0.4984835,-33.6339,55.66812,-18.9,-1.201,72.13,0.26727,91.9,64.8226,-15.0545,4.30711,-0.5705,1.1715,-1.256,-2.2595,-0.2245,-5.218,-1.749,-2.43525,409.8
1,11.25,0.0615,1.389315,-31.9695,0,-18.87,-1.1895,71.7,0.232771,91.9,1.28117,-18.1085,9.71571,-0.539,1.104,-1.258,-2.311,-0.252,-5.145,-1.782,-2.346,410.5
1,11.75,0,1.657305,-34.9308,2.319,-18.83,-1.188,71.04,0.238139,91.9,3.409315,-19.0836,13.3853,-0.5125,1.181,-1.2,-2.218,-0.26,-5.134,-1.636,-2.3225,410.7
1,12.25,0.0166,2.02609,-29.0197,2.9115,-19.13,-1.17,70.695,0.23198,91.9,7.290997,-25.0866,15.94705,-0.474,1.434,-1.1885,-2.207,-0.363,-5.125,-1.71175,-2.441,410.7
1,12.75,0.0455,3.27787,-29.6227,2.52492,-19.3,-1.163,71.09,0.2202135,91.9,6.77521,-22.6523,17.8738,-0.4305,1.184,-1.169,-2.242,-0.594,-5.3005,-1.802,-2.766,410.45
1,13.25,0.1996075,0.592719,-36.1514,1.61536,-18.81,-1.147,71.925,0.211854,91.9,5.86375,-29.2416,18.306,-0.44,1.423,-1.1685,-2.281,-0.2425,-5.123,-1.7985,-2.5178409105,410.7
1,13.75,0.0970165,1.88069,-31.8132,2.372905,-18.39,-1.143,71.175,0.2081685,91.9,4.867505,-29.3667,15.29915,-0.449,1.202,-1.1095,-2.2705,-0.389,-5.052,-1.7525,-2.54325,411
1,14.25,0.045,1.0891505,-37.3106,0.0141005,-18.77,-1.116,71.04,0.224976,92,2.99888,-29.3659,9.88969,-0.438,1.229,-1.128,-2.245,-0.404,-5.32,-1.8465,-2.5705,410.8
1,14.75,0.0447,0.934845,-31.4349,0,-20.115,-1.1185,71.385,0.220417,91.9,2.39042,-24.8073,5.18945,-0.438,1.247,-1.2895,-2.4275,-0.448,-5.1455,-1.95475,-2.7315,410.8
1,15.25,0.0224,2.053865,-33.2775,68.1317,-19.26,-1.1155,72.01,0.188595,91.9,0.272105,-22.6626,1.64535,-0.4295,1.1205,-1.2225,-2.2715,-0.424,-5.426,-1.89425,-2.72125,410.55
1,15.75,0.123129,1.34142,-38.2109,45.5965,-19.75,-1.1095,71.2,0.190715,91.9,55.03947,-21.0139,0.222828,-0.438,1.134,-1.3185,-2.3365,-0.403,-5.261,-1.87025,-2.91725,410.6
1,16.25,0.1603595,0.5656645,-36.754,29.579,-19.35,-1.095,71.2,0.1834675,91.9,35.882155,-20.3557,0,-0.443,1.171,-1.367,-2.291,-0.318,-5.3265,-1.911,-2.701,410.8
1,16.75,0.161012,0.5338,-33.9103,14.5323,-19.17,-1.0915,71.475,0.208064,91.9,18.700995,-16.8013,0,-0.4575,1.211,-1.3855,-2.204,-0.2865,-5.137,-1.89875,-2.42875,410.9
1,17.25,0.0853,1.08435,-37.32915,2.88129,-19.1,-1.111,71.25,0.196662,91.9,3.26849,-14.296,0,-0.463,1.1405,-1.3675,-2.2925,-0.3105,-5.1645,-1.91275,-2.60025,410.8
1,17.75,0.07985,1.0473185,-36.9715,0.3251585,-19.07,-1.1365,71.225,0.2070715,92,1.57298,-12.5103,0,-0.4755,0.8995,-1.312,-2.23,-0.325,-5.189,-1.922,-2.3885,410.6
1,18.25,0.291377,1.5665,-42.6387,0,-19.13,-1.143,71.63,0.189542,92,0.3783045,-21.0174,0,-0.4845,1.006,-1.3415,-2.208,-0.325,-5.363,-1.9225,-2.59125,410.3
1,18.75,0.234132,1.14232,-29.96125,0,-19.75,-1.163,71.695,0.188513,91.9,0.302756,-15.9035,0,-0.493,1.0815,-1.3515,-2.2115,-0.35,-5.327,-1.91475,-2.59625,409.5
1,19.25,0.089401,1.62164,-32.73895,0,-19.75,-1.181,72.15,0.194902,91.9,0.3580775,-13.9808,0,-0.495,1.235,-1.3345,-2.198,-0.299,-5.47,-1.92075,-2.60025,410.4
1,19.75,0.0277,0.616036,-34.6719,0,-20.14,-1.187,72.23,0.191271,91.9,0.339007,-15.5838,0,-0.531,1.142,-1.321,-2.261,-0.266,-5.584,-1.827,-2.793,410.7
1,20.25,0.072,0.7554245,-34.0621,0,-19.19,-1.18,71.42,0.2071015,91.9,0.656069,-19.2217,0,-0.55,1.135,-1.346,-2.261,-0.27,-5.4535,-1.9555,-2.7925,410.4
1,20.75,0,1.36636,-31.6795,0,-19.93,-1.1825,71.32,0.2043935,91.9,0.6356745,-24.8767,0,-0.567,1.112,-1.352,-2.253,-0.274,-5.143,-1.9505,-2.928,410.15
1,21.25,0.0952,0.354724,-29.6259,0,-19.5,-1.1805,71.57,0.203283,91.9,0.399369,-27.3678,0,-0.581,0.972,-1.25,-2.248,-0.305,-5.091,-1.9375,-2.97,410.3
