DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_5_1,CH4_1_6_1
1,0.25,4.2962059769494,23.5544496848929,0.743757615153127,2.7480498200528,5.63404623559762,53.0467037221869,9.69427609809835,0.815674859735913,8.68233532360859,9.85718587818987,1.30789564450806,4.41,3.3745,2.17225,1.041,0.7895,20.56481,19.498475,20.53157,20.6565975,18.78853,20.91252,19.695555,103.16581325,98.7935,6.32846499999999,20.3355,19.56025,21.04025,19.76075,19.054,2.5275,-0.0189999999999998,3.8275,1.67475,415.04,426.1425,410.285,425.705,0.4085,0.11,0.25,0.0302499999999999,0.03,-0.0795000000000002,1.034,0.45,21.7100000000001,0.16,16.1435,15.9508,16.0925,15.98325,15.831725,14.853175,16.8456,17.166825,17.520975,15.990875,15.8932,16.196475,15.598525,15.386425,15.737975,15.434825,16.4113,17.013,16.821475,16.275925,16.4112,16.3539,15.9046,15.77615,16.7691,16.9789,17.370375,16.226175,16.457575,16.06715,15.77475,15.6027,16.684525,17.01415,17.08825,16.092125,15.783125,16.02025,16.038125,16.159125,17.026475,17.2842,17.6249,14.602225,13.1655,9.56000000000001,3.22750000000001,25.3139965534691,21.9511962697242,21.885535715444,21.8311906489224,20.9651939801751,21.9905626298177,21.8036727288898,441.625730011188,451.833782033841,448.39115580046,451.567182960167,444.477461738105,454.018165508778,442.065547738058,464.561882544611,496.030028085732,484.534913032196,506.035397448913,509.692735670017,2247.79195617967,2235.39643553731,2266.68071079112,2126.15819307683,2140.04676994809
1,0.75,4.58386632111185,22.6280078365954,0.761934238964849,2.82310798517922,6.51794943875883,43.9979881649736,20.4768998621994,0.884186804217407,11.4958291403057,15.7602565749858,1.38110765041103,4.772,3.34975,2.20325,1.1895,0.840749999999999,20.7203925,19.448375,20.74885,20.837415,18.68,20.87226,19.66794,103.171665,98.08675,6.1167475,20.4475,19.39075,21.021,19.68475,19.076,2.5275,0.05,3.8275,2.014,412.4175,427.4575,408.94,424.725,0.4,0.11275,0.25275,0.03,0.03,-0.0497500000000001,0.985,0.45,21.3980000000001,0.16,16.106975,15.918175,16.0747,15.98735,15.82185,14.853175,16.8463,17.16715,17.5206,15.932925,15.838925,16.1642,15.5757,15.378,15.73355,15.4367,16.411975,17.013,16.791475,16.22535,16.392325,16.366275,15.891275,15.773275,16.7683,16.97735,17.36965,16.178,16.392,16.024425,15.7667,15.59345,16.685775,17.01585,17.088575,16.084125,15.78325,16.022,16.030375,16.146625,17.0254,17.2842,17.6242,12.42105,11.7454,7.7535,1.93975,23.2603482838424,21.8899439277789,21.8206004515205,21.3056263988837,20.8473087540972,21.5185306407418,21.4297728034632,443.280014573527,451.199200957967,452.387984580766,454.711116557299,455.423691751831,457.245659403584,449.284213144597,468.658167325125,496.769784774578,469.268517863178,502.667859129692,501.696273796626,2218.89796287492,2369.68050615645,2295.25488995665,2176.61628757044,2376.78222723158
1,1.25,4.52333258771189,22.2889256519283,0.787335410734407,3.37716572853256,5.75940091298317,49.6868235606042,13.4379025417453,0.890869993151405,13.4077623979593,12.8591167225942,1.61884870035511,4.75,3.3725,2.1985,1.19225,0.85325,20.7396975,19.5057,20.7781975,20.81885,18.6059,20.55134,19.726455,103.15539625,98.51875,5.9555775,20.57325,19.5555,20.971,19.69775,19.034,2.5275,0.0527500000000001,3.9275,1.951,416.46,428.7,408.635,423.3,0.402,0.11,0.25275,0.0402499999999999,0.03,-0.0397500000000001,0.985,0.46,21.1440000000001,0.16,16.132025,15.8993,16.0753,15.99145,15.821125,14.853175,16.847325,17.167475,17.522275,15.887925,15.7957,16.144675,15.576975,15.3693,15.7284,15.437,16.4123,17.013675,16.7732,16.1842,16.372825,16.375475,15.8676,15.7694,16.7675,16.977625,17.36965,16.139075,16.3372,15.9717,15.75865,15.583925,16.684775,17.024975,17.092625,16.092375,15.77825,16.02125,16.0225,16.132875,17.0246,17.2839,17.6232,13.69895,12.047625,10.739775,2.27275,25.0121813526829,21.7714517055998,21.7922863088487,21.7587079295136,21.1493266324918,21.7353962407916,21.5725687348908,445.866889095557,456.286047344063,450.649067197757,456.181192203785,450.054160545536,463.395028775649,452.481987360929,464.280445357165,493.025012448822,490.264615453575,509.010214406564,504.864550606312,2226.587087243,2590.5084182613,2302.70406451069,2271.78725957873,2153.05409481045
1,1.75,4.9992087222074,21.5485787504707,0.68018538770871,5.37928168457819,4.88476400379635,62.1819499724358,14.8459519883783,0.909158978720175,17.9871198790949,15.3179638441036,1.60257249210977,4.838,3.49,2.24,1.145,0.836499999999999,19.9620125,19.424375,20.17189,20.196115,18.44134,20.11444,19.94577,103.126924,98.78625,6.061575,19.68025,19.5025,20.9785,19.802,19.106,2.555,0.0455000000000001,3.9275,1.94475,413.02,419.565,409.045,422.99,0.394,0.11275,0.24275,0.0304999999999998,0.03,-0.04,0.94,0.45,21.0820000000001,0.16,16.147525,15.873325,16.068825,15.99345,15.806175,14.852175,16.846975,17.1668,17.521275,15.826,15.7494,16.12085,15.570775,15.36015,15.72425,15.437275,16.41195,17.01335,16.773025,16.1404,16.346975,16.37235,15.860325,15.7636,16.765975,16.9769,17.36965,16.0822,16.297025,15.925,15.749325,15.562775,16.68345,17.0243,17.091275,16.0945,15.778,16.02,16.01225,16.118125,17.0238,17.2846,17.6232,14.3796,14.086,10.5264,2.69675,24.9407716097936,20.5062789812357,20.4280692738409,20.070886301358,17.8387550463382,19.0243202080258,18.7312605851406,447.433130433331,456.696861191309,451.986046724268,455.112573138253,451.982303099742,460.683343599208,449.540072875089,470.717153890868,496.483705598829,472.441892100619,500.32882819657,476.485850731349,2142.78982345979,2380.58134352921,2275.28388590218,2240.37683337249,2189.61631740641
1,2.25,4.90078703744912,21.6154407121598,0.663959222253264,4.64089106374349,8.06115941937204,47.6220175226211,8.57634506633377,0.872742428595726,9.74940275934769,22.0821629120228,1.45652971829694,4.548,3.21625,2.41825,1.23025,0.8295,20.15845,19.43585,20.31479,20.35103,18.47279,20.273,20.1284875,103.15143625,99.682,6.09322,19.62275,19.41625,21.03,19.86,19.0115,2.5,0.0647500000000005,3.8,2.02275,410.4825,419.655,408.435,424.265,0.384,0.11275,0.24,0.0402499999999999,0.03,-0.03,0.935,0.45,21.3009999999998,0.16,16.137275,15.838825,16.06605,15.991225,15.8011,14.851125,16.84695,17.167125,17.521625,15.748325,15.694775,16.095375,15.563275,15.351,15.7191,15.437825,16.411275,17.013675,16.741975,16.0899,16.3185,16.358975,15.8525,15.759725,16.7658,16.977175,17.36965,16.01,16.25785,15.884125,15.738825,15.539575,16.682125,17.01655,17.088925,16.07875,15.773625,16.017625,16.00725,16.104625,17.0237,17.2846,17.6236,13.9472,12.726125,8.1388,4.34475,24.8119150994772,21.4097106124448,21.4445699412327,21.3807438882167,21.0316784574336,20.9219020552156,20.7227190793383,449.09793470221,456.23719394065,450.96869354745,460.553492144543,450.811062485389,463.427687263835,453.374963014547,470.182797446471,497.731169346612,482.533513355292,508.577914700639,527.812668505406,2259.24865575081,2254.59752032533,2149.45432348848,2284.84933205756,2204.49305931305
1,2.75,4.63167078419464,23.2373694779984,0.680184353995891,2.55262313010854,5.54737793623951,50.1616130154115,15.1120244724092,0.884567574996108,10.1568231851412,14.1679657550855,1.5484767691598,4.306,3.0325,2.263,1.1055,0.79,20.1228025,19.320225,20.22933,20.2298375,19.3353875,20.3529675,19.9822,103.172544,100.46,6.2173325,19.89275,19.419,20.70175,19.7935,19.002,2.5,0.0229999999999998,3.8,1.825,418.57,423.5,408.07,423.275,0.38425,0.11,0.25,0.0305,0.03,-0.03,0.915,0.45,31.536,0.16,16.1274,15.824,16.06165,15.987975,15.797025,14.8512,16.8465,17.166775,17.5218,15.706425,15.64925,16.070375,15.5465,15.341125,15.714675,15.4361,16.4124,17.0134,16.643025,16.043675,16.28095,16.3459,15.836075,15.753925,16.7649,16.9785,17.3692,15.9634,16.224725,15.8203,15.728775,15.514175,16.68175,17.0061,17.0896,16.07235,15.7868,16.01575,16.014,16.089875,17.0229,17.28465,17.62475,12.217375,11.5892,8.500225,3.65999999999998,25.7125268288806,21.3427338432058,21.2556933597307,21.3536045479237,21.1840797954132,20.5490386194431,20.4961361946482,479.523030977927,456.823401488895,453.774913724363,457.6754242309,452.28983733899,460.346720373123,456.132270877087,473.024954283339,499.726330265825,471.495497602632,502.96723098931,478.985958651749,2322.11060068347,2323.73901763681,2279.52589984911,2265.96396952765,2214.85756567586
1,3.25,4.57545181475054,20.9035211353042,0.57796179570338,4.30358087173379,6.06696963471444,61.9707497195151,11.1244178021366,0.986302808087521,11.609891031618,14.6919700469354,1.44529898051884,4.374,3.12625,2.2735,1.09275,0.819,19.86914,19.087925,19.91857,19.93162,19.522975,19.92594,19.59595,103.16500525,100.874,6.1238175,20.13925,19.3475,20.7165,19.708,19.034,2.4,0.0427500000000001,3.7,1.90375,418.27,424.78,407.495,424.54,0.374,0.11,0.25,0.03,0.03,-0.03,0.88,0.46,30.956,0.16,16.098025,15.826,16.034575,15.9857,15.787875,14.848025,16.84555,17.166775,17.522275,15.77745,15.650175,16.042,15.53235,15.33125,15.71025,15.436375,16.410925,17.01335,16.54635,16.01935,16.234425,16.325075,15.826625,15.750075,16.764,16.97725,17.3692,15.9209,16.1918,15.750225,15.7179,15.49005,16.6788,17.020275,17.0896,16.07025,15.799875,16.01825,16.023375,16.076,17.0224,17.2853,17.625425,10.2337,9.64775,6.7277,3.46425,26.3433818408558,22.3680777518482,22.333483187593,22.4483787522253,21.2170366653142,21.9061224572862,21.5487483345458,456.686198191961,456.585810247597,455.078741937133,458.888387310558,453.638796867658,463.256784504651,456.362617269615,480.760782534075,495.691007959522,492.879058096468,503.943184325552,531.668314222859,2179.14371778962,2237.16672699755,2430.76496877128,2447.75495408578,2179.39062187308
1,3.75,4.58476489027869,20.7553694129489,0.675017750780652,4.4949341998924,5.97872713471921,67.9419545408348,14.6332454435012,0.842515459356758,18.4909778128361,18.2215919599694,1.45066985071598,4.084,2.9595,2.0015,1.12275,0.72,20.12781,18.74405,20.18545,20.20592,19.4951875,19.90872,19.5476275,103.15817825,101.111,5.835735,20.34125,19.33775,20.62225,19.65125,18.932,2.4275,0.08,3.8275,1.9555,419.245,426.2025,407.655,426.415,0.37,0.11,0.24,0.03,0.03,-0.0397500000000001,0.87,0.46,30.852,0.16,16.08175,15.85635,16.00265,15.9834,15.777275,14.847025,16.845175,17.166425,17.5213,15.8412,15.690025,15.9647,15.522375,15.320375,15.7051,15.43565,16.41125,17.014025,16.48635,16.03675,16.18275,16.30745,15.816825,15.745225,16.7631,16.977425,17.368475,15.932375,16.151325,15.72465,15.70385,15.4827,16.678475,17.015225,17.089275,16.0875,15.824625,16.02075,16.0315,16.0615,17.0229,17.2853,17.62645,14.89115,13.9907,6.8194,3.40475,26.500730382582,22.6985540741796,22.7229530134085,22.7390737138529,21.4296481583662,22.0622646360521,21.6596741866606,450.235770254523,460.066714093242,454.53268347937,459.918156249579,456.995805379026,461.196191063698,460.465947915644,471.490533204393,497.018643908568,475.675627318623,498.795581430227,481.114071359522,2412.86120186482,2373.81340212374,2466.29541172424,2543.412271883,2528.36744407124
1,4.25,4.39303667557063,21.2215801617565,0.770089484275927,4.57273083669086,5.73051983416048,45.0261933082933,22.5168810574408,0.876585425392369,17.3032029853204,16.4612613944171,1.46383688470382,4.364,2.967,2.124,1.08675,0.761249999999999,20.3716,18.7633,20.42283,20.471895,19.563375,20.11334,19.6825125,103.15675825,101.356,5.25878,20.486,19.4905,20.47425,19.693,19.1,2.5,0.11375,3.8,1.93,419.9275,426.6275,408.575,427.775,0.366,0.11,0.25,0.03,0.03,-0.0497500000000001,0.85,0.45,30.6,0.16,16.06335,15.87725,15.936075,15.980125,15.76205,14.844025,16.84515,17.166425,17.52265,15.851075,15.702275,15.886375,15.5075,15.309775,15.7053,15.4355,16.4109,17.014025,16.451,16.0474,16.124825,16.283575,15.796875,15.7433,16.762925,16.978425,17.368475,15.955425,16.10125,15.697975,15.6898,15.485125,16.677825,17.0186,17.089275,16.093875,15.84225,16.024375,16.04075,16.046,17.0222,17.285,17.6271,11.8129,12.14225,8.21060000000001,3.9405,26.5123689063463,22.7868218650129,22.8854632326543,22.9192964876167,21.5309074903783,22.2896420565318,21.7662058632189,452.580106119116,459.424706552263,458.913132979361,460.319535161461,455.47016765039,461.136019391787,460.594544549827,469.426201338583,498.544191944382,494.960413423052,508.076193160128,508.215780851615,2141.87229115504,2401.46395839412,2453.8427549816,2554.31157196251,2211.04021153528
1,4.75,4.354154535452,20.1824264272936,0.832931749648167,3.32823926781467,4.63786700400255,50.8937025043747,31.2214500123859,0.852934215157168,34.6479654656917,14.5742128590341,1.45576244896757,4.222,3.01,2.14225,1.112,0.79475,19.51104,18.38075,19.59038,19.639445,17.79515,20.391815,19.4225,103.158449,99.276,5.71116,19.5745,18.71725,20.06025,19.0285,18.784,2.5,0.17925,3.8275,1.822,414.6475,417.8275,408.705,425.195,0.366,0.11,0.25,0.03,0.03,-0.04,0.84,0.4,30.414,0.16,16.19115,15.889075,15.86425,15.97585,15.746375,14.842025,16.84445,17.166075,17.52165,15.90525,15.924725,15.960175,15.633975,15.29755,15.71195,15.433925,16.411225,17.0137,16.41535,16.050975,16.064725,16.254175,15.773025,15.739425,16.7623,16.98025,17.368475,16.0623,16.051275,15.67175,15.677025,15.488825,16.676825,17.004775,17.089625,16.09075,15.8555,16.029,16.049625,16.0315,17.022175,17.2853,17.6274,14.6514,15.513025,9.73882500000001,4.95350000000001,26.4659026591495,21.6971321096722,21.7333517777445,21.7225818137736,19.5850103435659,21.9499160079574,21.3772400254537,453.834579349141,464.726481015354,459.079285638132,461.956406927295,456.838333968894,462.420483738134,458.552693173476,472.10100184723,494.290015062581,485.103847042319,500.581134320092,505.111046264539,2244.86620997423,2202.38987943893,2209.14716592552,2503.45393372893,2731.0503368086
