DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,TA,RH
1,0.25,0.8180884,84.63466,18.52826,20.624725,5.92709575,0.796719,10.78027,471.246,10.809914,2.51668725,2.00980425,1.3566,0.472984,-0.1325015275,-0.0693171134999999,10.156725,100
1,0.75,0.7776324,90.09186,59.695055,14.9841825,5.926908,0.8866636,9.994013,455.0076,9.83825799999999,2.50146,1.98115,1.214808,0.571754799999999,-0.12182104,-0.0264512584999999,9.13654999999999,100
1,1.25,0.7428754,84.979,151.876495,19.5918725,6.328208,0.8185108,10.9114125,453.9892,7.47087475,2.49464275,2.06907225,1.34966,0.897803424999999,-0.12124436,-0.0444102000000002,9.8713,100
1,1.75,0.6462936,84.4030599999999,85.4971399999999,16.975585,6.74220549999999,0.9618879,11.2794425,491.771025,10.941132,2.596325,1.82392775,1.42759375,1.1471065,-0.1648643,-0.0776843760000001,10.6337,100
1,2.25,0.642522,93.9178000000002,14.596375,9.3450645,6.39524575,0.8256626,11.30912,457.733175,13.232811,2.302936,1.820882,1.480766,0.980194899999999,-0.12485842,-0.0542445160000003,10.55635,100
1,2.75,0.77363495,62.8431925,35.55592,5.916773,6.44109299999999,0.80381735,11.042925,465.7646,12.67276,2.22117925,1.88237425,1.32176175,0.606369549999998,-0.050399866,0.0105540539999999,10.3874,100
1,3.25,0.688400725,84.600085,41.5316574999999,6.59142799999999,5.72540099999999,0.7952442,6.14678549999998,470.614875,7.94976775,2.00414825,1.7092435,1.262106,0.571650675,0.0230737779999997,0.0492851795999999,5.29379999999995,100
1,3.75,0.430569875,60.6320949999999,13.78641,15.0845575,5.531441,0.74988935,5.86404400000002,480.9396,8.1425885,2.17155225,2.0150545,1.23451725,0.576032799999998,-0.12415966,-0.0495740000000002,5.27669999999998,100
1,4.25,0.573044575,73.94881,14.5297625,20.08288,5.462677,0.776568525,6.42563600000001,462.6134,22.8644,2.0748545,2.1028545,1.36732025,0.508761775,-0.15455416,-0.063092494,5.23964999999998,100
1,4.75,0.863415,59.8675975,36.719195,48.6359500000001,5.98749575,0.8262876,5.37665600000002,461.4758,9.329058,2.3500455,1.80389,1.397046,1.314432,-0.20139002,-0.1633976,5.00269999999998,100
