DOY2,HR2,CO2,FC,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,G_2_1_1,TA_1_1_3,TA_1_1_2,TS_1_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1
8,9.25,385.3085,-16.7649371425,3.634,113.6983071,28.5214607275,201.6564352,408.2,463.825,494.5,99.161500445,1373,69.89,74.73,-0.2243429685,4.60044608,5.424352973,733,152.4,-0.066742341,27.23,24.3075,22.47,21.9,22.48,21.7,23.585,23.2775,22.9775,22.8,21.3,29.17,27.3656612575,0.38840856925,0.901906865828354,15.657469815,0.846719750332633,2.51342545475,0.410456275339877,3.982,29.5725,26.22993,20.4,23.165,21.97,21.59,21.535,21.235,20.91,20.445,19.895,19.065
8,9.75,381.7159506,-19.0845049275,5.54334,126.6429781,29.014647,227.6956891,411.675,468.375,543.8,99.175759995,1495.25,75.61,72.73,-0.102213996,4.1398595525,4.2769745055,799.6,163.4,-0.07398358375,27.86,24.9975,22.7,21.9,22.46,21.7,24.17,23.7,23.1,22.8,21.3,29.815,27.81035887,0.39728915975,0.931694256081839,18.1614424325,0.884797373580529,2.5242868395,0.416579427304526,5.985,30.225,26.69289,20.3825,23.81,22.17,21.62,21.535,21.235,20.88,20.445,19.895,19.065
8,10.25,379.064327725,-20.1184707625,7.6474225,139.944704025,29.57466737,249.4644014,414.25,472.9,589.1,99.16286284,1606,77.86,70.62,-0.0504914165,3.61761962475,4.1223751365,855,171.6,-0.07566648675,28.37,25.3325,22.9,21.9,22.4225,21.7,24.68,23.9,23.3,22.8,21.265,30.455,28.43170388,0.406973609,0.972321752816422,20.21602339,0.968223803157101,2.593260187,0.430799144613821,9.07,30.605,27.29066,20.4,24.605,22.49,21.68,21.535,21.205,20.865,20.445,19.905,19.065
8,10.75,376.4462947,-21.738095595,10.865,146.993997,29.52417822,272.3552782,416.525,476.9,620.8,99.14925,1670.5,81.8,68.19,-0.04187794925,2.9738850345,3.418391151,897,180.2,-0.08166675325,28.88,26.08,23.32,21.9,22.4,21.7,25.35,24.27,23.385,22.75,21.3,31.1875,28.94374694,0.41404653575,1.00594410828833,22.0718955,0.988523045760277,2.63552657775,0.428642301097715,11.015,31.1925,27.83833,20.3225,25.525,22.835,21.735,21.53,21.205,20.865,20.46,19.905,19.065
8,11.25,375.11462475,-23.0012087775,13.8525,150.580096975,29.93478288,283.772179,419.9,479.65,640.2,99.1390610575,1713,85.4,67.94,-0.01331826825,2.6047155055,2.6538347225,922,182.9,-0.0835,29.25,26.25,23.635,21.9,22.3975,21.7,25.81,24.47,23.5,22.7075,21.2925,31.67,29.423317135,0.424752659,1.04991294225067,23.4805315125,1.05485993224577,2.7164598795,0.447934581945891,13.12,31.78,27.94725,20.33,26.49,23.18,21.79,21.52,21.19,20.865,20.445,19.905,19.08
8,11.75,375.192287225,-23.3722292125,15.63954,154.558123,30.2936945,294.96846165,418.8,482.1,652.525,99.111,1743,86.125,66.9625,0.026221185,1.933770948,2.53386860825,936.5,186.525,-0.08383961275,29.48,26.36,23.9075,21.9225,22.425,21.7,26.3,24.87,23.6,22.6925,21.3,32.2525,29.8419874675,0.4152279515,1.0700712573211,24.58265823,1.04877370549699,2.656560777,0.446996186161861,15.355,32.21,28.2141075,20.355,26.85,23.72,21.895,21.52,21.175,20.85,20.43,19.905,19.08
8,12.25,373.182634,-22.1958075375,16.3,149.9427643,30.302597105,304.064327,419.675,484.375,645.725,99.0958911,1721,86.825,66.52,0.029860179,1.71194874,2.471682484,923,184.825,-0.082263988,29.82,26.59,24.1,22,22.4,21.7,26.86,25.02,23.7,22.6925,21.3,32.75,30.14341594,0.415541298,1.08470845898794,25.1299112275,1.05710372338763,2.731821251,0.440354384558619,17.8275,32.62,28.4537925,20.36,27.275,24,21.995,21.52,21.175,20.835,20.43,19.905,19.08
8,12.75,373.142,-23.61300968,16.88,147.48727075,29.957514795,313.9160319,420.2,484.3,628.875,99.08997992,1684.25,85.55,65.475,0.073817515,1.37,1.484372515,907,182.85,-0.092351935,29.9275,26.8125,24.405,22.1,22.415,21.7,27.84,25.35,23.975,22.6825,21.3,32.7375,30.3215,0.425628871,1.07519003206178,25.92466984,1.0908811525,2.693727534,0.45229278673844,19.47,32.8175,28.63545,20.33,27.365,24.215,22.155,21.53,21.175,20.835,20.43,19.895,19.08
8,13.25,372.0949608,-22.98834992,17.676535,141.03947645,30.1852288975,310.7053599,421.275,484.55,601.6,99.077,1611,81.6,64.78,0.056103236,1.6891847205,2.4119778715,872,180.5,-0.085799965,30.02,27.15,24.56,22.1,22.4,21.7,27.9925,25.59,24.24,22.7,21.2225,33.0675,30.5446382,0.426063439,1.08970904052412,26.8987653225,1.06600739209445,2.815174632,0.447385690428293,20.61,33.0975,28.702355,20.36,27.26,24.445,22.26,21.56,21.175,20.865,20.43,19.895,19.065
8,13.75,371.40274685,-20.17254434,18.73608,126.2643104,30.055329035,303.24,420.475,483.7,558.4,99.05611954,1521,77.505,64.54,0.03891064925,1.42613662475,1.8659253005,819.5,172,-0.0874910885,30.205,27.4375,24.65,22.2,22.4,21.7,28.035,25.85,24.4375,22.67,21.3075,32.78,30.66766942,0.42331915275,1.08419930571412,26.9012373125,1.06912294116233,2.84585882775,0.449158846946674,20.79,33.19,28.731385,20.3375,27.365,24.59,22.405,21.575,21.16,20.82,20.445,19.905,19.095
