DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,WS,USTAR,PA,G,TS_1_1_1
1,20.75,-1.84,-53.36,-11.18,-0.4005,-12.52,32.2225,-67.73,0,0,0,0.41975,0.04,95.81025,-29.4875,0.1675
1,21.25,-0.6125,-54.4625,-10.89,-0.3372,-12.475,33.9425,-66.2,0,0,0,0.59525,0.04,95.78375,-29.7325,0.1675
1,21.75,-0.525,-60.675,-6.51,-0.3864,-13.0075,33.18,-68.0875,0,0,0,0.65,0.0395,95.754,-31,0.1675
1,22.25,-0.715,-60.0625,-5.58,-0.342,-13.12,32.915,-69.405,0,0,0,0.6005,0.049,95.73425,-30.4,0.1675
1,22.75,-0.825,-63.6375,-4.65,-0.3003,-13.1875,33.305,-68.1975,0,0,0,0.45875,0.04,95.74325,-30.51,0.145
1,23.25,-1.17,-67.23,-17.4,-0.3504,-13,32.7275,-68.41,0,0,0,0.34175,0.048,95.74425,-31.0625,0.145
1,23.75,-1.025,-65.915,-7.875,-0.3027,-13.2875,33.3075,-69.74,0,0,0,0.41575,0.04,95.75525,-30.1875,0.145
2,0.25,-0.41,-54.2725,-6.7,-0.4404,-13.4625,47.3125,-62.955,0,0,0,0.49,0.05,95.70225,-30.5775,0.5
2,0.75,-1.855,-55.13,-4.9225,-0.408,-13.055,48.045,-64.455,0,0,0,0.5365,0.04,95.689,-30.55,0.5
2,1.25,-1.6275,-61.475,-3.2775,-0.3852,-13.255,48.425,-62.4,0,0,0,0.647,0.0395,95.68575,-31.6375,0.5
2,1.75,-5.0375,-57.86,-4.5,-0.384,-13.7425,46.875,-62.465,0,0,0,0.5035,0.04,95.679,-31.6125,0.5
2,2.25,-0.6,-53.495,-3.73,-0.4584,-14.0325,48.8225,-62.465,0,0,0,0.6315,0.04,95.6745,-28.955,0.5
2,2.75,-1.7925,-54.105,-3.83,-0.42,-14.6525,49.08,-61.785,0,0,0,0.5675,0.05,95.6445,-29.4425,0.5
2,3.25,-1.4175,-53.5675,-3.4125,-0.4212,-14.3875,49.5475,-63.3425,0,0,0,0.443,0.039,95.649,-31.41,0.5
2,3.75,-1.19,-55.5575,-7.32,-0.4914,-14.7875,49.045,-66.2075,0,0,0,0.528,0.03,95.62225,-32.085,0.5
2,4.25,-0.7,-60.625,-7.35,-0.648,-15.155,49.8275,-61.5725,0,0,0,0.6705,0.03,95.559,-31.9725,0.5
2,4.75,-0.835,-56.47,-6.4275,-0.399,-15.2325,50.2575,-61.41,0,0,0,0.4325,0.04,95.5635,-31.265,0.5
2,5.25,-0.555,-54.6,-3.745,-0.396,-15.4875,49.9275,-62.585,0,0,0,0.503,0.03,95.5435,-30.1,0.5
2,5.75,-4.9625,-59.5775,-8.82,-0.3756,-15.4425,48.905,-62.5075,0,0,0,0.303,0.04,95.57,-32.9325,0.5
2,6.25,-0.74,-61.0625,-7,-0.3714,-15.1875,49.735,-60.3425,0,0,0,0.555,0.03,95.54225,-29.9775,0.5
2,6.75,-0.6,-50.595,-4.16,-0.3969,-15.2975,50.185,-58.4775,0,0,0,0.4425,0.04,95.5345,-30.4325,0.5
2,7.25,-1.41,-50.8,-3.22,-0.4014,-15.82,50.44,-57.0525,0.2,0,0,0.2415,0.04,95.537,-30.0975,0.5
2,7.75,-4.6,-45.0875,-5.7525,-0.4374,-15.465,49.57,-40.7775,3.39,0.635,5.7525,0.18,0.04,95.537,-28.33,0.5
