DOY2,HR2,CO2,H2O,VPD,NETRAD,LW_IN,LW_OUT,SW_IN,SW_OUT,TA_1_1_1,RH,PPFD_IN,PPFD_OUT,LE,H,G_1_1_1,SH,TS_1_1_1,TS_1_2_1,USTAR,PA,WS
1,0.25,381.9365,3.13625,0.16,-0.3225,264.925,269.275,0,0.4775,-10.75,95.025,0,0,3.2,2.8575,-4.3,1.9,-3.08,-2.93,0.4125,94.1,2.585
1,0.75,382.0385,3.29625,0.16,-0.3375,264.5,269.825,0,0.475,-10.9,95.225,0,0,2.725,5.885,-4.25,0.8,-3.085,-2.9325,0.4325,94.1,2.5475
1,1.25,381.798,3.396,0.16,-0.4725,263.2,270.625,0,0.435,-10.9,95.1,0,0,2.95,3.8975,-4.3,0.675,-3.09,-2.93,0.4475,94.1,2.7075
1,1.75,382.313,3.318,0.16,-0.755,262.7,270.425,0,0.5525,-10.825,94.9,0,0,2.125,2.3025,-4.3,1.6,-3.095,-2.935,0.44,94.1,2.595
1,2.25,382.21125,3.151,0.16,-0.3,262.35,270.225,0,0.5575,-10.775,95.225,0,0,1.95,2.965,-4.25,1,-3.09,-2.9375,0.42,94.075,2.5825
1,2.75,382.8595,3.08675,0.16,-0.3525,263.025,269.725,0,0.4875,-10.825,95.225,0,0,1.425,1.83,-4.25,1.2,-3.085,-2.94,0.4435,94.1,2.6425
1,3.25,382.865,3.31675,0.16,-0.33,264.625,269.525,0,0.4925,-10.775,95.25,0,0,1.25,2.775,-4.25,0.675,-3.085,-2.9325,0.4725,94.1,2.7975
1,3.75,383.47125,2.983,0.16,-0.3375,264.55,269.825,0,0.5275,-10.85,95.525,0,0,1.5,3.1975,-4.225,1.175,-3.08,-2.935,0.4825,94.1,2.7775
1,4.25,386.7985,2.948,0.16,-0.315,260.875,270.325,0,0.54,-10.925,95.225,0,0,2.45,6.2075,-4.225,0.6,-3.075,-2.93,0.50425,94.1,2.8625
1,4.75,386.8115,2.94975,0.16,-0.165,261.30025,271.85,0,0.5475,-10.425,94.675,0,0,1.55,5.57,-4.3,0.975,-3.0675,-2.9225,0.46,94.1,2.8475
1,5.25,386.4115,2.993,0.16,0.0775,262.825,270.5,0,0.44,-10.675,94.375,0,0,2.4,5.15,-4.5,0.9,-3.06,-2.915,0.48475,94.1,2.925
1,5.75,385.9875,3.0225,0.16,0.125,262.2,268.55,0,0.425,-11.025,94.45,0,0,2.15,6.02,-4.5,1.9,-3.0525,-2.9075,0.4975,94.1,2.8475
1,6.25,383.6535,3.0945,0.16,-0.3525,262.1,266,0,0.4175,-11.8,94.3,0,0,2.8,3.975,-4.5,1.4,-3.0275,-2.9,0.50125,94.1,2.96
1,6.75,384.27125,3.1505,0.16,-0.2325,260.025,264.85,0,0.4625,-11.925,94.5,0,0,2.95,7.42,-4.5,1.8,-3.0125,-2.8925,0.49,94.1,2.8375
1,7.25,383.029,3.17175,0.16,-0.18,262.02575,263.825,0,0.4825,-11.95,94.2,0,0,3.925,6.25,-4.625,2.05,-3.0275,-2.8925,0.49,94.1,2.825
1,7.75,383.33025,3.24875,0.16,-0.22,261.02575,262.425,0,0.5475,-12.2,94.075,0,0,4.7,6.5775,-4.7,2.45,-3.0425,-2.8925,0.545,94.1,3.0525
1,8.25,383.3705,3.2675,0.16,-0.115,260.225,261.675,0,0.4125,-12.325,93.9,0,0,6.3,6.22,-4.7,1.95,-3.055,-2.89,0.58,94.075,2.9475
1,8.75,383.9405,3.086,0.16,-0.1275,259.75,261.52575,0.3175,0.6975,-12.425,94.1,0.11,0,5.45,5.8325,-4.8,2.2,-3.06,-2.9,0.555,94.075,2.8
1,9.25,385.22,3.24825,0.16,3.9825,261.275,263.725,7.7425,2.8425,-12.425,94.575,6.745,2.7475,6.7,7.7,-4.9,1.475,-3.095,-2.9425,0.53,94.075,2.7625
1,9.75,388.4845,3.022,0.16,18.68,261.425,266.725,35.4975,11.3275,-11.9,94.7,32.135,11.4775,10,10.42,-4.95,2.625,-3.1325,-2.9725,0.575,94.1,2.9
1,10.25,386.391,3.40725,0.17,39.93,261.37575,268,77.575,23.9,-11.075,94.55,77.082,26.495,10.3,19.295,-4.9,2.975,-3.1525,-2.9925,0.559,94.1,2.835
1,10.75,383.37525,3.495,0.18,64.89,260.95,268.375,109.75,30.36,-10.625,94.075,120.14,40.4575,13,29.165,-4.95,5.05,-3.1825,-3.02,0.50975,94.1,3.0025
1,11.25,383.551,3.5535,0.2,84.7425,261.775,268.675,149.8,38,-10.65,93.625,171.075,58.4425,14.3,45.5225,-4.95,5.85,-3.21,-3.045,0.57,94.2,3.16
1,11.75,383.445,3.529,0.23,104.3725,262.2,269.525,165.5,40.3775,-10.425,93.3,188.1525,62.91,15.97575,54.145,-4.775,6.7,-3.2275,-3.0625,0.57325,94.2,3.355
1,12.25,383.788,3.3935,0.24,99.33,263.825,270.2,181.975,41.755,-9.875,91.75,217.225,69.6975,17.6,64.905,-4.625,5.05,-3.2425,-3.08,0.604,94.2,3.21
1,12.75,382.348,3.4075,0.26,123.1125,264.15,272.775,202.5,47.81,-9.6,92.325,243.635,78.51,18.825,70.0025,-4.5,5.05,-3.255,-3.0925,0.563,94.2,3.075
1,13.25,382.258,3.42,0.27,135.2025,264.65,274.95,213.775,52.06,-9.025,91.5,231.6875,83.0625,19.8,78.22,-4.5,4.6,-3.2475,-3.0875,0.56,94.2,3.16
1,13.75,381.819,3.454,0.28,131.0125,266,274.775,222.8,49.5575,-8.925,91.6,233.065,84.32,18.95,75.4575,-4.425,4.25,-3.235,-3.0775,0.59925,94.2,3.1075
1,14.25,381.482,3.461,0.28,116.0625,267.35,275.9,197.55,45.7775,-8.7,91.15,216.6175,71.5075,17.85,65.415,-4.3,3.85,-3.2225,-3.0675,0.5775,94.2,3.1925
1,14.75,381.4645,3.4745,0.28,97.1625,268.5,275.95,168.35,42.1,-8.525,91.325,176.9975,64.8325,16.075,55.755,-4.05,3.2,-3.2175,-3.065,0.549,94.2,3.41
1,15.25,381.277,3.497,0.2775,84.155,269.85,275.875,136.025,37.0225,-8.7,91.875,142.0375,54.1925,14.625,39.985,-4.05,1.5,-3.215,-3.0625,0.5425,94.2,3.05
1,15.75,381,3.47675,0.26,64.6475,269.675,274.575,107.8,29.1925,-8.9,92.65,117.52,39.1475,11.6,26.7525,-4,1.3,-3.22,-3.075,0.5525,94.2,3.0325
1,16.25,380.992,3.4715,0.25,35.5225,268.9,274.7,62.4125,16.1975,-9.025,92.7,66.67,23.5325,8.65,16.83,-4,0.7,-3.2275,-3.085,0.529,94.2,2.9275
1,16.75,381.178,3.308,0.22,12.89,268.575,274.1,29.0575,7.35,-9.1,93.55,29.747,11.3625,7.8,6.85,-3.825,0.3,-3.2475,-3.11,0.49,94.2,2.69
1,17.25,380.863,3.394,0.21,1.5575,267.625,273.125,4.895,1.835,-9.45,93.875,7.135,3.1525,5.15,2.4,-3.8,-0.4,-3.265,-3.1275,0.485,94.2,2.6125
1,17.75,380.733,3.2275,0.19,-0.665,267.3,272.75,0,0.63,-9.65,94.45,0.44,0,4.5,1.08,-3.8,0.2,-3.28,-3.145,0.47,94.2,2.51
1,18.25,380.938,3.26475,0.18,-0.585,267.425,271.775,0,0.615,-9.75,95.175,0,0,4.3,0.2575,-3.8,0.3,-3.3025,-3.1625,0.4825,94.175,2.6825
1,18.75,380.793,3.124,0.18,-0.3125,267.75,272.3,0,0.65,-9.95,95.225,0,0,4,0.6975,-3.85,0.375,-3.3125,-3.185,0.45775,94.1,2.64
1,19.25,380.778,3.071,0.17,-0.2725,267.05,271.7,0,0.54,-9.825,95.4,0,0,3.5,2.15,-3.9,0,-3.31,-3.2,0.44,94.1,2.6475
1,19.75,381.095,3.11725,0.17,-0.1075,267.7,271.475,0,0.57,-9.975,95.75,0,0,3.85,3.555,-4,0.25,-3.295,-3.2125,0.4465,94.1,2.6475
1,20.25,381.259,3.2565,0.18,-0.025,266.2,271.6,0,0.4775,-9.925,95.4,0,0,4.7,3.79,-4,0.7,-3.28,-3.2075,0.4525,94.1,2.565
1,20.75,381.0595,3.20775,0.18,0.175,265.6,270.625,0,0.5,-10.175,95.375,0,0,3.575,4.55,-4,0.7,-3.265,-3.1925,0.46,94.1,2.765
1,21.25,381.315,3.07575,0.17,0.1625,266.175,270.075,0,0.4475,-10.45,94.775,0,0,3.75,4.01,-4,0.5,-3.2475,-3.1775,0.45525,94.1,2.8375
1,21.75,381.5645,3.024,0.17,0.1425,265.975,271.15,0,0.5075,-10.425,95.575,0,0,4.025,3.2125,-4.2,0.925,-3.2325,-3.1625,0.4525,94.1,2.6975
1,22.25,381.507,3.027,0.1675,0.11,266.475,270.975,0,0.5,-10.125,95.275,0,0,3.8,3.47,-4.175,0.85,-3.2225,-3.155,0.44075,94.1,2.605
1,22.75,381.619,3.0355,0.16,-0.0225,267.675,269.775,0,0.57,-10.25,95.35,0,0,2.95,3.73,-4.2,1,-3.2075,-3.1375,0.422,94.075,2.515
1,23.25,381.36575,3.0245,0.16,-0.1225,267.125,270.175,0,0.53,-10.375,95.4,0,0,3.3,3.98,-4.25,1.2,-3.19,-3.12,0.42,94.1,2.5775
1,23.75,381.4135,3.073,0.17,-0.3,266.325,269.375,0,0.4075,-10.6,95.275,0,0,3.475,2.5,-4.25,1,-3.1725,-3.1125,0.43,94.1,2.6125
2,0.25,379.958,4.9335,0.1975,-8.54,250.875,281.9,0,0.89,-7.4,93.725,0,0,2.9,-5.02,-2.2,0.25,-3.3725,-3.2675,0.486,94.175,2.8075
2,0.75,380.35425,5.1155,0.1975,-7.7225,249.95,281.15,0,0.9575,-7.725,93.825,0,0,2.325,-3.105,-2.25,0.6,-3.39,-3.3025,0.44,94.15,2.7125
2,1.25,380.3785,5.02225,0.2,-5.0575,257.976,280.625,0,0.8125,-7.75,94.9,0,0,2.25,-4.07,-2.25,0.7,-3.395,-3.3225,0.42,94.175,2.4875
