DOY2,HR2,TA_1_1_1,TA_1_2_1,RH_1_1_1,RH_1_2_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,T_CANOPY_1_1_1,PA_1_1_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,NETRAD_1_1_1,G_1_1_1,USTAR_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,PPFD_BC_IN_1_1_1,PPFD_OUT_1_1_1
1,0.25,-30.43625,-31.46575,73.7455,70.340875,-14.843375,-14.5665,-14.2715,-13.51,-12.30175,-31.45025,101.8725,1.02989650675,1.068275,0.8015,0.8007020725,1.070075,0,0.316453313,190.76568985,207.002768825,0,-9.99660495625,-7.733119658,0.1112442115,-21.2278875275,-3.0466246585,-0.018977787,-5.2208047945,-6.459019608,-7.59384259225,-6.577757353,-7.12342592575,0,-0.00296
1,0.75,-30.070625,-31.150875,74.177125,70.50425,-14.848625,-14.56275,-14.280625,-13.520125,-12.303125,-32.049,101.845,0.9690302065,1.04419619225,0.661135,0.73273630875,1.04666,0,0.27710843375,190.181270125,205.985106875,0,-10.25125451075,-7.803632479,0.102106519,-21.21242192,-4.1738892735,-0.36960296075,-5.254109589,-6.4606862745,-7.593009259,-6.5777573525,-7.11541666675,0,-0.002855
1,1.25,-29.99475,-31.019,73.389625,70.61175,-14.86375,-14.556625,-14.305375,-13.537375,-12.29825,-32.039,101.835,1.065315,1.1222125,0.7681775,0.825715,1.127055,0,0.295180723,190.116539,206.9061771,0,-9.787158679,-7.852991453,0.0942655065,-24.9284338975,-5.123995855,-0.32799304275,-5.2766267125,-6.460784314,-7.58499999975,-6.577113971,-7.1336574075,0,-0.002915
1,1.75,-30.081,-31.145375,73.014125,70.003125,-14.868,-14.570625,-14.31025,-13.548375,-12.31,-30.522,101.8275,1.022645,1.1144025,0.56229,0.74049445375,1.0799075,0,0.364081325,191.449640825,207.653377575,0,-10.53994057975,-7.873290598,0.098027014,-22.1775680425,-2.9896023435,-0.265394408,-5.273972603,-6.484509804,-7.58055555575,-6.572794118,-7.12388888875,0,-0.00274
1,2.25,-30.051125,-30.888625,73.39175,70.458,-14.8865,-14.577875,-14.30725,-13.5565,-12.30725,-30.774,101.8225,0.88263980125,1.0091375,0.64712780375,0.7130332625,0.9995525,0,0.25583584375,191.7230757,207.2993205,0,-10.86907534,-7.964102564,0.113440468,-19.7201973975,-6.71196525125,-0.455022219,-5.296489726,-6.48627451,-7.573564815,-6.567738971,-7.122175926,0,-0.003105
1,2.75,-30.03925,-30.749,73.63675,71.03275,-14.911875,-14.5675,-14.324875,-13.572875,-12.313875,-31.0625,101.90875,1.000705,0.920055,0.4959925,0.5905678175,0.938005,0,0.312123494,191.5773644,206.3942415,0,-10.42363261,-7.961752137,0.13168036,-21.557109645,-4.46367833625,-0.522357937,-5.284760274,-6.46627451,-7.552592593,-6.580422794,-7.13092592575,0,-0.0028
1,3.25,-30.163,-30.703875,73.474125,70.812125,-14.902,-14.5545,-14.331625,-13.601625,-12.314625,-31.1785,101.8475,0.97956,0.9964225,0.704495,0.66699455375,0.992045,0,0.4134036145,190.765009975,205.7770156,0,-11.00393952,-7.941025641,0.11121381275,-20.718855195,-7.2551452005,-0.452302162,-5.3147260275,-6.4882352945,-7.53393518475,-6.5982536765,-7.18194444425,0,-0.00252625
1,3.75,-30.375875,-30.933,73.596875,71.039,-14.910375,-14.52575,-14.325,-13.606125,-12.313875,-30.31525,101.9,0.957415,1.0103125,0.784025,0.72738,1.0975325,0,0.32097138575,191.69515425,205.9949189,0,-9.606553841,-7.99508547,0.1042280485,-20.240711195,-4.7152576745,-0.18061073,-5.3597174655,-6.4809313725,-7.5260648145,-6.585799632,-7.213287037,0,-0.002425
1,4.25,-30.3675,-31.032625,73.155375,70.761125,-14.909125,-14.518375,-14.330625,-13.61175,-12.313625,-30.430375,101.96,0.92119804225,0.9019775,0.7719429805,0.71833835,1.075765,0,0.2665662655,191.67047385,207.272457375,0,-9.92696372525,-8.004059829,0.12852042325,-24.01534046,-5.943231727,-0.2416411695,-5.32315924625,-6.48225490175,-7.5088425925,-6.6283547795,-7.2269907405,0,-0.0027075
1,4.75,-30.156125,-30.865125,73.266,70.134375,-14.93475,-14.52825,-14.341,-13.620125,-12.325125,-30.9165,101.915,0.987746359,0.94181125875,0.65240447,0.69968454625,1.0029475,0,0.173945783,191.553740675,206.22631805,0,-10.0128565635,-7.99957265,0.127678995,-21.89767002,-4.143425924,-0.181106725,-5.302183219,-6.4891666665,-7.494537037,-6.58455882325,-7.23583333325,0,-0.00271
1,5.25,-30.19575,-30.8515,73.567,70.432375,-14.948125,-14.511125,-14.346125,-13.644125,-12.30975,-30.21325,101.94,0.9704525,0.916325,0.619265,0.656073085,0.9892225,0,0.3471385545,189.670545175,206.6510263,0,-9.596678394,-7.984615385,0.12607429225,-25.39990397,-5.187699962,-0.139241912,-5.3019691785,-6.48274509825,-7.48467592625,-6.581295956,-7.233101852,0,-0.002885
1,5.75,-30.335125,-30.969375,72.865375,69.580375,-14.925875,-14.5175,-14.324875,-13.664,-12.307625,-30.520875,101.91125,1.0494571015,0.9983275,0.6638725,0.708165,1.02057,0,0.45896084325,189.34814685,207.1528753,0,-11.34432272,-7.975641026,0.1233725925,-23.9606856,-3.615595569,-0.1665044785,-5.28985445225,-6.48151960825,-7.4766203705,-6.580147059,-7.2357407405,0,-0.0028675
1,6.25,-30.17075,-30.873125,73.36,70.502625,-14.9295,-14.4925,-14.3285,-13.67125,-12.315125,-29.5575,101.91875,0.999975,1.03949,0.719025,0.7146875,1.0072025,0,0.3840361445,189.159886675,206.75059445,0,-11.643333345,-7.971153846,0.12272048175,-23.130418635,-5.4606459025,-0.2150076665,-5.30783390425,-6.41602941175,-7.48009259275,-6.5790900735,-7.23981481475,0,-0.002825
1,6.75,-30.258125,-30.59625,72.556375,70.1855,-14.93575,-14.499875,-14.324875,-13.701375,-12.311625,-29.449125,101.88,0.97087,1.0559675,0.6935244775,0.72455948875,1.1537925,0,0.315888554,187.945553,207.0005436,0,-8.530356443,-7.993162393,0.112892362,-24.08470904,-4.2032220625,-0.116959037,-5.30325342475,-6.400784314,-7.52712962925,-6.57444852975,-7.243101852,0,-0.00278375
1,7.25,-29.942125,-30.592375,73.0275,70.257875,-14.9515,-14.51875,-14.3235,-13.7045,-12.304875,-29.557,101.8475,1.068799297,1.03684155775,0.7373725,0.71047279375,1.1213425,0,0.2451054215,187.015065475,207.3062853,0,-8.842781021,-8.017735043,0.102177636,-25.1842682825,-4.4248078835,-0.05992578,-5.30342465775,-6.38303921575,-7.597361111,-6.5846047795,-7.257546296,0,-0.00272875
1,7.75,-30.098125,-30.537875,73.127125,69.88375,-14.9515,-14.53525,-14.316875,-13.693375,-12.315,-30.5335,101.78,1.00139,0.97707,0.6825975,0.80664622125,1.0908525,0,0.2575301205,188.5241856,206.8765526,0,-10.10604608,-8.026709402,0.108719676,-24.30582224,-4.443204267,-0.238150482,-5.3151969175,-6.33372549,-7.59745370375,-6.58322610325,-7.26569444425,0,-0.00279
1,8.25,-30.082875,-30.832875,72.75425,69.675125,-14.952125,-14.556375,-14.311625,-13.727875,-12.34775,-30.781875,101.73,1.042623973,1.02589,0.679255,0.73957131375,1.19165,0,0.27371987925,188.344789525,206.8041353,0,-9.630237047,-8.029059829,0.08324973675,-21.975797205,-4.1356459445,-0.112588869,-5.32808219175,-6.3303921565,-7.59995370375,-6.56888786775,-7.265416667,0,-0.0029175
1,8.75,-30.220875,-31.024375,72.752125,69.342,-14.95375,-14.560875,-14.29125,-13.751875,-12.345,-30.890875,101.72,1.05649,0.99894,0.69648,0.6617925,1.0797075,0,0.3151355425,189.01255865,206.046328275,0,-10.96686304,-8.041452991,0.067509675,-24.54788927,-3.568849816,-0.23853403625,-5.31875000025,-6.345343137,-7.60055555525,-6.5527113975,-7.281435185,0,-0.00308
1,9.25,-30.116,-31.049625,73.93575,69.91125,-14.938625,-14.567875,-14.30775,-13.76325,-12.3465,-30.57,101.7075,0.9399225,0.889245,0.7059925,0.758535,1.107005,0,0.3542921685,188.00541255,205.6988885,0,-8.14156907275,-8.04465812,0.093152909,-29.0324238875,-7.1592622855,-0.26984320625,-5.3065068495,-6.4180392155,-7.6024074075,-6.55822610325,-7.287175926,0,-0.0029425
