DOY2,HR2,T_BOLE_1_1_1,T_BOLE_2_1_1,G_1_2_1,G_2_2_1,G_3_2_1,G_4_2_1,NEE,G_1_1_1,USTAR,FC,LE,SLE,H,SH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_1_1,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1
1,5.75,-25.81625,-25.69425,-3.433375,-2.47285,-3.115825,-2.796775,0.0532369,-3.2160725,0.145132,0.0149007,-0.427534,-0.542669,-21.8067,-4.2814425,-46.939525,-0.347171,-0.2638465,176.382,217.90975,-0.009248735,-0.00061357375,0,-23.18525,-23.46925,-25.399,-25.51025,79.379,77.39145,75.843325,1.5476,-6.72415,-6.444725,-6.258225,-5.855275,-4.663,-1.848075,-5.869625,-5.75365,-5.3563,-5.329875,-4.194625,-1.848075
1,6.25,-25.9085,-25.82075,-3.440975,-2.477325,-3.099125,-2.806625,0.0296375,-3.1408175,0.156647,0.01369745,-0.75822825,-0.60054575,-20.718175,-2.955395,-47.1306,-0.28947325,-0.2988975,175.93325,218.921,-0.0117574,-0.0006544405,0,-23.33075,-23.70775,-24.70075,-25.147,79.4015,78.12345,76.302675,1.552375,-6.7208,-6.454275,-6.261925,-5.842325,-4.6595,-1.851525,-5.895425,-5.754925,-5.362925,-5.3237,-4.19095,-1.851525
1,6.75,-25.513,-25.80075,-3.455375,-2.48055,-3.114075,-2.82035,0.059328775,-3.1097175,0.200511,0.0395278,-0.2439515,-0.459216,-17.55175,-2.13924,-50.53225,-0.35453325,-0.29826925,175.55425,218.517,-0.011600525,-0.00077266525,0,-23.15275,-23.6145,-24.88775,-25.604,79.255,77.74385,76.267375,1.516825,-6.70365,-6.46475,-6.2766,-5.841375,-4.647925,-1.857425,-5.90155,-5.75765,-5.3677,-5.3129,-4.1969,-1.857425
1,7.25,-25.87875,-25.784,-3.486125,-2.486675,-3.130875,-2.8233,0.0313399,-3.105795,0.181427,-0.00831189,-0.538331,-0.33764125,-20.888075,-2.8226575,-48.153475,-0.36554925,-0.26382125,175.7165,219.481,-0.01127225,-0.0011322165,0,-22.91025,-23.653,-25.00975,-24.844,79.539,77.69705,76.349025,1.5813,-6.698775,-6.4657,-6.28635,-5.842025,-4.654825,-1.858025,-5.896375,-5.760225,-5.379325,-5.3075,-4.1937,-1.858025
1,7.75,-25.5415,-25.4985,-3.456425,-2.489575,-3.139225,-2.8196,0.0105989,-3.2336625,0.141705,0.00128268975,-0.66334375,-0.4083175,-14.3075,-2.6494875,-49.242575,-0.34786225,-0.2793135,174.72525,219.31925,-0.0125214,-0.00069899425,0,-22.8415,-23.53275,-24.774,-24.829,79.217325,77.453,75.7471,1.52365,-6.693275,-6.462375,-6.28535,-5.844175,-4.652575,-1.862125,-5.892325,-5.77175,-5.3917,-5.30535,-4.173275,-1.862125
1,8.25,-25.31875,-25.2725,-3.43205,-2.495025,-3.1459,-2.81265,0.03978585,-3.3096075,0.1422165,0.00692189,-0.32661,-0.50015,-20.8515,-2.00906,-48.565575,-0.2999755,-0.29634975,178.7795,218.6135,-0.00916174,-0.00065131225,0,-23.26075,-23.4535,-24.631,-24.09325,79.138975,77.02705,75.645975,1.51705,-6.6944,-6.4581,-6.28105,-5.848325,-4.6535,-1.85105,-5.889325,-5.785,-5.40815,-5.3136,-4.165275,-1.85105
1,8.75,-24.935,-25.32075,-3.438475,-2.5026,-3.153375,-2.8343,0.03120935,-3.39486,0.1504185,0.0215496,-0.340167,-0.4644775,-20.754025,-1.8193575,-43.277375,0.32366175,-0.13000025,176.37075,217.38775,0.39606825,0,0,-23.3985,-23.85625,-24.108,-24.518,79.47795,77.5345,75.889175,1.48365,-6.7109,-6.479525,-6.2789,-5.85745,-4.658675,-1.86205,-5.88535,-5.7798,-5.42735,-5.30525,-4.162925,-1.86205
1,9.25,-25.44275,-25.764,-3.413825,-2.50335,-3.1594,-2.848925,0.0405235,-3.5216925,0.15324,0.03503575,0.01489325,-0.113782,-20.677925,-0.37083325,-29.62135,3.32932,0.62018075,177.95975,218.05375,5.3640425,0.6976645,0.21589575,-23.42875,-23.96525,-24.853,-24.83425,79.44315,77.80055,76.228575,1.554375,-6.71545,-6.502275,-6.275975,-5.8672,-4.66715,-1.85965,-5.88345,-5.773275,-5.4261,-5.288175,-4.165425,-1.85965
1,9.75,-25.7915,-25.9225,-3.395,-2.503,-3.1763,-2.858625,0.014343575,-3.5708275,0.18763425,0.025766725,0.44503925,0.11620825,-9.066415,0.6339385,-16.0315,12.704775,2.798625,178.09775,218.74725,21.8151,3.5159675,1.42602,-23.2455,-23.75525,-24.7435,-24.8935,78.805,77.75145,76.727375,1.4355,-6.71035,-6.532525,-6.274875,-5.8772,-4.66465,-1.855575,-5.8808,-5.76795,-5.4331,-5.29155,-4.1704,-1.855575
1,10.25,-25.7715,-25.794,-3.422,-2.5006,-3.172375,-2.8594,0.00751123,-3.6617075,0.1923775,0.0141088,0.5582975,0.23255475,-3.3138,1.7325525,8.3312425,25.445725,5.33765,174.468,221.0745,46.18765,7.34552,1.8011875,-22.7965,-23.6015,-24.26,-24.2925,78.96675,79.0987,77.8051,1.3695,-6.7092,-6.52725,-6.2736,-5.887775,-4.667025,-1.8682,-5.8784,-5.763325,-5.444325,-5.32075,-4.168975,-1.8682
1,10.75,-24.98825,-24.9325,-3.430575,-2.497775,-3.1787,-2.8518,0.03901395,-3.6979425,0.22027875,0.07183145,0.5922165,0.32138825,3.53023,2.39498,20.424525,39.073125,9.0821725,171.86125,223.394,64.0135,10.8639,3.0021825,-22.011,-22.9925,-23.7685,-23.861,77.5397,79.8653,78.46195,1.351925,-6.72135,-6.53965,-6.27485,-5.897375,-4.672425,-1.86835,-5.872225,-5.758525,-5.455825,-5.367925,-4.175425,-1.86835
1,11.25,-24.0835,-24.12475,-3.465375,-2.519375,-3.1832,-2.842375,-0.0028121,-3.598685,0.2426175,0.03252455,1.25549,0.3023385,10.304015,2.57661,27.81355,50.7017,12.07445,166.1635,228.524,83.549875,14.400125,4.03446,-21.182,-21.9385,-23.50025,-22.87925,76.6824,79.70495,77.7908,1.44155,-6.742575,-6.54035,-6.273675,-5.9093,-4.6762,-1.866425,-5.86655,-5.75435,-5.4724,-5.3768,-4.192525,-1.866425
1,11.75,-23.7835,-23.694,-3.495425,-2.508725,-3.186375,-2.825,-0.0161645,-3.3378675,0.2606875,0.0391108,1.82237,0.3536465,16.4608,2.2185975,36.212,57.7794,14.404875,167.24525,233.05125,96.992725,16.692025,4.84593,-20.89325,-21.326,-22.6225,-21.463,75.0058,79.83525,77.490625,1.5459,-6.77295,-6.6225,-6.298425,-5.945575,-4.713725,-1.8897,-5.9732,-5.82885,-5.542625,-5.484775,-4.282825,-1.8897
1,12.25,-23.11525,-23.01975,-3.52375,-2.5218,-3.173825,-2.8129,0.0510943,-3.04649,0.268121,0.064581425,2.22994,0.410807,17.159725,2.702105,43.079625,66.2266,15.931275,178.15625,235.88075,110.532,19.64905,4.850865,-20.298,-20.79425,-21.158,-20.53075,74.4056,78.37795,76.8508,1.607025,-6.783575,-6.617775,-6.294325,-5.94565,-4.7211,-1.902325,-5.994025,-5.82575,-5.56615,-5.477325,-4.29965,-1.902325
1,12.75,-22.27825,-22.14475,-3.563825,-2.536175,-3.145975,-2.849075,-0.02279235,-2.89611,0.267734,0.006814985,2.523295,0.31333375,28.22775,2.43192,50.801875,76.5891,17.02575,179.06,237.96525,118.272,20.4597,5.326455,-19.8495,-20.49225,-20.201,-20.05175,73.9379,78.310175,75.77045,1.734225,-6.764325,-6.61065,-6.29925,-5.945225,-4.702475,-1.89825,-6.006825,-5.81245,-5.591625,-5.47765,-4.3014,-1.89825
1,13.25,-21.6295,-21.58,-3.6172,-2.55345,-3.141,-2.8594,0.00084565,-2.779575,0.25991925,0.035277475,2.32477,0.28894375,27.8963,2.103135,53.868,79.29805,18.071525,176.81525,240.2975,122.2945,21.14815,5.03099,-19.2205,-19.664,-19.3865,-19.47675,72.4765,77.884925,74.911275,1.8497,-6.7587,-6.603525,-6.305,-5.938775,-4.711125,-1.90495,-6.01715,-5.794425,-5.593,-5.484875,-4.3022,-1.90495
1,13.75,-20.8515,-21.097,-3.59145,-2.56215,-3.15425,-2.864775,0.0089381,-2.708355,0.27326125,0.02279215,2.0875675,0.174216,23.93415,0.988784,50.6477,75.103525,17.125825,176.6685,242.14725,122.895,20.1952,4.910085,-18.96325,-19.55025,-19.235,-19.23475,70.6822,77.577375,73.703825,1.958175,-6.74995,-6.592,-6.298575,-5.919275,-4.689675,-1.886575,-6.023175,-5.784225,-5.574525,-5.4783,-4.285875,-1.886575
1,14.25,-20.4235,-20.59125,-3.61055,-2.569025,-3.1638,-2.86365,0.025523875,-2.6493225,0.26224875,0.0235372,2.4903425,0.039840975,23.2641,0.5236055,43.4711,72.462,16.09025,172.3765,244.3485,113.80875,18.3887,4.84593,-18.65125,-19.09975,-18.98275,-18.78925,70.607675,77.32805,73.3623,2.071925,-6.73755,-6.575425,-6.29285,-5.911625,-4.678275,-1.87225,-6.028675,-5.780675,-5.554375,-5.450625,-4.269775,-1.87225
1,14.75,-20.12475,-20.2865,-3.627,-2.577925,-3.1695,-2.861275,0.027000275,-2.6135925,0.26756025,0.039271225,2.33701,-0.0596884,15.371825,-0.129199,31.35625,60.9523,13.077525,175.9925,245.0295,95.57485,15.18805,4.2099675,-18.32225,-18.626,-18.42525,-18.26025,69.903775,77.368925,73.25565,2.049475,-6.738175,-6.553925,-6.285675,-5.89705,-4.67065,-1.87295,-6.0345,-5.774675,-5.529725,-5.42905,-4.257775,-1.87295
1,15.25,-20.0965,-20.19275,-3.610975,-2.585975,-3.17255,-2.85835,0.0424617,-2.7158425,0.2671085,0.026801025,1.094115,-0.31161475,7.063405,-1.8281,14.7123,47.33695,10.82535,168.792,244.6345,82.6759,12.2264,3.1119825,-18.0195,-18.42725,-18.42475,-18.286,70.1918,77.282825,73.5337,1.9093,-6.732175,-6.530775,-6.279825,-5.89005,-4.671225,-1.86765,-6.036575,-5.776575,-5.505775,-5.4165,-4.233975,-1.86765
1,15.75,-20.00225,-20.11075,-3.5747,-2.5852,-3.1744,-2.8403,0.0186353,-2.7213675,0.24700175,-0.018330495,0.5678525,-0.460498,-0.37129675,-3.5179225,1.1677025,34.3648,7.22183,169.9315,243.0125,53.39905,8.837555,2.1305825,-18.1275,-18.42575,-18.339,-18.473,71.166025,77.5201,74.6834,1.9031,-6.7319,-6.521425,-6.27405,-5.87715,-4.6609,-1.860325,-6.039225,-5.7684,-5.485975,-5.397425,-4.207325,-1.860325
1,16.25,-20.10625,-20.169,-3.55765,-2.579,-3.176875,-2.819225,0.020241025,-2.7778725,0.229554,0.00494996,0.20879075,-0.70663525,-10.3173,-5.0449275,-35.652325,19.368725,4.0976075,161.555,241.426,31.275825,4.8535225,1.5966275,-18.6515,-18.909,-18.52025,-18.8725,72.116075,77.775475,75.4794,1.860175,-6.7285,-6.510175,-6.267875,-5.873675,-4.6451,-1.853675,-6.0434,-5.76205,-5.468575,-5.378275,-4.18495,-1.853675
1,16.75,-20.2025,-20.3215,-3.506175,-2.5696,-3.176125,-2.797975,0.0329839,-2.850585,0.1840255,0.0156858,-0.951127,-1.11088,-21.96985,-7.9245325,-63.190175,6.30404,1.3279625,165.75725,238.81225,10.210075,1.9383025,0.76556325,-19.2785,-19.3535,-18.9825,-19.31625,73.85725,78.269775,75.8076,1.765425,-6.7233,-6.5075,-6.260875,-5.87165,-4.63785,-1.8549,-6.049575,-5.75815,-5.44905,-5.369825,-4.170125,-1.8549
