DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
5,21.75,4.14,3.95425,7.66425,-7.833,0.4585,1.037,429.8165,420.525,13.833,-26.064,0,0,0.026,-1.405,2.112,383.458,395.397,17.795,87.35,3.036,101.8,14.48,14.1125,13.4725,12.7325,11.1925,9.4,14.405,14.3225,13.7825,12.5975,10.835,9.1,4.431,5.544,4.725,4.683,0.549175,0.912725
5,22.25,3.978,3.8355,7.4275,-6.211,0.454,1.10225,430.24,422.65,13.809,-24.182,0,0,0.026,-1.333,2.12425,383.64525,395.33525,17.5725,89,3.063,101.8,14.4,14.0825,13.45,12.745,11.185,9.4,14.28,14.1725,13.735,12.6225,10.825,9.1025,3.906,4.9665,4.263,4.284,0.55885,0.9199
5,22.75,4.2245,4.05875,7.698,-6.89825,0.4635,0.9965,430.8285,422.35,13.57175,-24.42475,0,0,0.017,-1.263,2.11525,381.25725,394.40575,17.3775,89.6,3.05225,101.8,14.3425,14.035,13.445,12.7575,11.1875,9.41,14.1825,14.035,13.69,12.6325,10.83,9.1125,3.339,4.158,3.801,3.675,0.575825,0.97275
5,23.25,3.8855,3.49075,6.4255,-6.8005,0.4645,1.058,430.54625,423.25,13.412,-21.154,0,0,0.017,-1.127,2.11975,380.9425,393.505,17.1575,89.75,3.13825,101.7,14.2425,14.005,13.4425,12.7725,11.205,9.4125,14.095,13.97,13.6325,12.6325,10.83,9.1125,3.0555,3.7485,3.402,3.339,0.5628,0.954675
5,23.75,4.0715,3.65875,6.35825,-8.7645,0.45225,0.9655,430.908,422.45,13.33375,-23.85775,0,0,0.017,-1.241,2.1055,381.57175,390.864,16.8625,91.3,3.065,101.7,14.1425,13.9225,13.4325,12.78,11.205,9.41,14,13.8825,13.5925,12.62,10.84,9.1225,2.7405,3.4125,3.1605,3.003,0.5481,0.927
6,0.25,5.35,4.3455,6.1965,-7.90225,0.428,1.697,432.92675,428.175,18.543,-25.51425,0,0,0.043,-1.284,1.94275,404.62025,414.6075,20.42,92.55,3.0365,101.5,17.3975,17.1425,16.64,16.04,14.4725,12.1425,17.5025,17.4275,17.0425,16.0625,14.31,12.1525,3.2865,4.284,3.36,3.444,0.53555,0.89345
6,0.75,6.4825,5.297,6.502,-7.68175,0.41,1.931,433.9855,431.975,18.76575,-23.357,0,0,0.034,-1.18,1.8375,404.573,413.49575,20.2,92.35,3.042,101.4,17.35,17.11,16.63,16.04,14.475,12.14,17.4375,17.3625,17.0225,16.0525,14.32,12.1625,3.108,4.1265,3.1185,3.234,0.528525,0.890975
6,1.25,6.67025,5.901,5.904,-7.985,0.425,1.749,433.8015,431.175,18.547,-24.325,0,0,0.034,-1.221,1.87625,403.09375,412.52375,19.9875,93.65,3.02275,101.5,17.2925,17.0525,16.605,16.0325,14.475,12.135,17.38,17.305,16.9825,16.0425,14.3175,12.1625,2.982,3.927,3.024,3.1185,0.543625,0.938375
6,1.75,7.435,6.1445,6.58,-7.7305,0.43275,1.919,434.883,432.6,18.5515,-24.4535,0,0,0.034,-1.206,1.919,402.66125,411.31625,19.91,93.425,3.06425,101.4,17.2375,16.995,16.59,16.02,14.48,12.1625,17.3,17.2475,16.9425,16.0325,14.32,12.17,2.898,3.696,2.8245,2.9505,0.5386,0.9005
6,2.25,6.5985,6.0215,5.806,-7.814,0.435,1.82775,436.09375,436,18.3205,-24.0485,0,0,0.034,-1.191,1.87875,401.3745,410.62475,19.715,94.05,3.00875,101.4,17.18,16.9525,16.56,16.01,14.4625,12.1525,17.22,17.175,16.9225,16.03,14.33,12.1625,2.7405,3.6225,2.814,2.9505,0.56145,0.931825
6,2.75,6.466,5.6575,5.23475,-6.8715,0.43975,1.99,439.9885,438.7,18.25375,-22.36,0,0,0.034,-1.198,1.72075,402.0785,409.949,19.48,94,3.066,101.425,17.1325,16.8925,16.5325,16.01,14.4725,12.155,17.1525,17.125,16.9425,16.0225,14.33,12.17,2.6775,3.612,2.646,2.835,0.5425,0.9028
6,3.25,6.373,5.72075,5.074,-6.94225,0.4205,1.77625,438.908,439.825,18.297,-21.5215,0,0,0.043,-1.1555,1.82775,400.81675,408.721,19.3825,94.6,3.01975,101.5,17.0925,16.845,16.505,16.0025,14.48,12.16,17.1125,17.09,16.8675,16.015,14.33,12.17,2.5305,3.5385,2.6145,2.814,0.5333,0.9083
6,3.75,6.8495,6.5755,4.762,-7.255,0.408,1.678,437.624,440.3,18.381,-20.20275,0,0,0.034,-1.1495,1.78825,402.01075,408.25625,19.37,95.4,2.99625,101.5,17.0425,16.825,16.475,16.01,14.48,12.1625,17.0525,17.01,16.84,16.0075,14.3375,12.17,2.478,3.36,2.583,2.688,0.5194,0.85575
6,4.25,6.1265,5.68325,4.194,-7.005,0.412,1.475,438.549,442.3,18.113,-17.03725,0,0,0.034,-0.82175,1.81,400.2125,407.49475,19.1525,95.7,2.993,101.5,16.96,16.81,16.455,15.98,14.49,12.165,17.0025,16.92,16.7725,16.0225,14.34,12.18,2.4465,3.108,2.436,2.457,0.51055,0.86075
6,4.75,6.83625,5.74425,5.1985,-7.6795,0.436,1.768,439.809,442.4,17.945,-16.76875,8.251,0.054,0.103,3.53575,3.025,401.05,406.647,19.08,96.1,2.9835,101.5,16.8875,16.7625,16.4325,15.9725,14.4925,12.18,16.95,16.885,16.7125,16,14.34,12.17,2.31,3.024,2.31,2.394,0.5448,0.871825
6,5.25,5.73675,4.7555,5.568,-6.916,0.4235,1.64475,439.61425,440.8,17.937,-5.982,54.062,3.52,2.171,40.825,12.159,400.239,407.248,19.07,96.3,2.97425,101.5,16.84,16.725,16.4125,15.9525,14.4925,12.18,16.9025,16.845,16.6825,15.99,14.3575,12.1725,2.226,3.024,2.31,2.394,0.5445,0.86005
6,5.75,3.33,3.048,11.226,-4.59625,0.437,0.74375,440.59025,436.8,18.481,28.656,150.32,10.138,6.0835,113.344,27.3225,400.9,407.621,19.1,95.6,2.94075,101.5,16.8175,16.665,16.4,15.95,14.51,12.18,16.86,16.77,16.655,15.98,14.35,12.17,2.268,3.066,2.352,2.436,0.549425,0.8883
6,6.25,0.066,1.2205,21.75525,0.431,0.463,0.0725,442.50175,427.7,18.7395,96.63575,286.733,17.578,9.0105,206.19225,43.3295,402.576,409.71,19.22,94.7,2.9975,101.5,16.795,16.6225,16.38,15.925,14.5125,12.1825,16.8075,16.715,16.6075,15.97,14.3675,12.1725,2.352,3.192,2.478,2.562,0.5923,0.9476
6,6.75,-2.35575,-0.36675,43.8095,15.0665,0.52825,-0.024,439.1175,421.5,19.15225,178.15175,455.171,24.153,13.3045,307.91925,59.0955,403.992,413.593,19.83,92.8,3.129,101.5,16.7925,16.62,16.335,15.9125,14.5125,12.1825,16.7675,16.6825,16.5525,15.96,14.36,12.1725,2.688,3.36,2.646,2.898,0.6742,1.0928
6,7.25,-4.212,-1.213,65.167,42.5855,0.588,0.17925,436.09575,415.1,19.27925,261.1755,615.327,29.995,20.014,407.4995,74.026,405.731,416.893,20.52,91.4,3.25675,101.5,16.7925,16.6,16.2975,15.9025,14.51,12.1925,16.8,16.6825,16.5075,15.945,14.3675,12.1725,3.108,3.906,3.234,3.57,0.708025,1.148825
6,7.75,-5.753,-3.2585,103.40725,73.601,0.63925,-0.069,431.18775,412.1,19.5935,342.1465,785.901,33.426,25.38,507.177,88.4715,409.334,421.185,21.11,88.7,3.398,101.6,16.82,16.5775,16.25,15.9,14.53,12.1925,16.89,16.73,16.4725,15.93,14.36,12.1725,3.654,4.662,3.738,4.158,0.75475,1.224375
6,8.25,-8.283,-5.616,125.96975,108.237,0.686,0.015,427.857,408,20.075,419.5435,945.274,37.821,25.6255,598.1365,99.9955,410.965,424.911,21.92,86.7,3.5535,101.6,16.85,16.56,16.22,15.88,14.52,12.1925,16.9725,16.7425,16.4575,15.925,14.36,12.1725,4.242,5.418,4.284,4.872,0.822525,1.29805
