DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_2_1_1,TS_2_1_1,TS_2_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,FC_1_1_1,G_2_3_1,G_2_2_1,PPFD_OUT_1_1_1,TAU_1_1_1
1,0.25,0.22969,-1.895742536,2.439732094,0.367978118,0.001885,-15.17394761,-0.28371,0.62401,-0.01034,-8.282856,0.6683105,1.13077,70.446832895,98.10766309,375.5568261,1.293675925,-49.572175,0.02829211,-1.3342585,1.300371,243.5969,295.4208,5.22952356,0.310527955,-8.416302,-7.066833,0.06939933,0.04656295
1,0.75,0.2345658355,-2.019300284,2.541274128,0.3431765415,0.00219,-16.09101131,-0.2948931295,0.630936103,-0.0042,-8.3814,0.676397,1.11671,69.88843882,98.10888599,375.55614445,1.33,-48.63251,0.03002992,-1.437426,1.2667,243.0872,294.5689,5.162731465,0.2917460695,-8.434578,-7.1070315,0.07025037,0.062035715
1,1.25,0.23349,-2.2035077645,2.586229041,0.359525698,0.00143,-14.61099522,-0.393217169,0.7361729575,-0.0042,-8.408345,0.6630649,1.102741,70.596876055,98.1122582,375.16597725,1.2842421,-47.657325,0.03044403,-1.55306,1.1776,243.33,293.8427,5.031115473,0.328507801,-8.433295,-7.17359,0.06640012,0.05255614
1,1.75,0.240406514,-2.327136573,2.6605684615,0.2998752555,-0.000759,-13.208764105,-0.323243008,0.984860381,-0.00034,-8.448853,0.6600691,1.121068,70.92517858,98.12844105,375.3181675,1.224505583,-48.002155,0.030092517,-1.4821,1.177062,243.6168,292.5027,5.0259763855,0.2634159835,-8.697952,-7.232643,0.05835206,0.04913765
1,2.25,0.2354720565,-2.66257,2.626697803,0.303,-0.0025,-14.464804265,-0.281776596,0.798858635,-1.4e-05,-8.581322,0.66215,1.121408,72.126166355,98.1385,375.2574194,1.166653805,-45.583077575,0.0266778,-1.420697,1.315433,241.19,292.4169,5.060483005,0.2660294165,-8.600255,-7.299857,0.07498259,0.05755446
1,2.75,0.234971199,-2.903308327,2.563594458,0.318048246,0.002185,-13.882715,-0.24171748,0.59274,-0.00538,-8.473772,0.66028505,1.120632,72.84091633,98.15075408,374.6908112,1.17,-45.515905,0.030992721,-1.518472641,1.27255,242.3357,292.429,5.0668523615,0.2597535295,-8.734159,-7.3220385,0.06971376,0.03765436
1,3.25,0.2321541045,-3.1537338805,2.562269232,0.3475474945,0.002245,-16.08507,-0.2445263615,0.75977,0.0006485,-8.437053,0.66683,1.130193,74.04185739,98.1647298,375.1842157,1.116816195,-44.23341,0.036522542,-1.4742615,1.2407,242.7643,292.1945,4.994275067,0.301414078,-8.760526,-7.4480135,0.0719568,0.035754145
1,3.75,0.242589381,-3.225652727,2.69124,0.347800857,0.00439,-15.48726,-0.247701689,0.80394,0.00376,-8.567455,0.6676379,1.130744,73.804,98.17657311,375.0144036,1.07678888,-43.79932864,0.031764324,-1.461426,1.189849,242.25645,291.5569,4.909908393,0.2831770785,-8.884491,-7.474747,0.05392874,0.043763575
1,4.25,0.237325884,-3.30861,2.563952369,0.343129342,0.00453,-14.965,-0.2041137,0.501246062,0.00198,-8.824215,0.6820852,1.115299,74.34605,98.1790478,374.8748251,1.02226217,-44.65975937,0.029320914,-1.3392945,1.1592,241.56075,290.68,4.935486287,0.259570655,-8.895693,-7.5387835,0.04642145,0.03804512
1,4.75,0.2469960995,-3.56216318,2.619609083,0.334170676,-0.000809,-15.022500645,-0.234841485,0.68041,0.003895,-8.841203,0.6817741,1.103694,75.13437838,98.150776845,375.8806997,1.0279,-43.912898685,0.02901144,-1.477582,1.198337,241.5941,290.5741,4.982188001,0.282534896,-8.940458,-7.524058,0.05035704,0.04278777
1,5.25,0.246101101,-3.73105,2.6931031565,0.3328583205,-0.002435,-15.002,-0.204027103,0.75575,-0.003415,-9.099722,0.6946675,1.098656,75.41387243,98.13,375.52208605,1.03,-41.82962,0.033564731,-1.2722675,1.1841,240.8755,289.95,4.895006205,0.300621487,-8.92904,-7.7033005,0.05389461,0.04979091
1,5.75,0.2378081405,-3.837558865,2.6832902815,0.361999267,0.000184,-15.66241511,-0.176298704,0.7565271495,-0.01075,-8.928719,0.6675916,1.103702,76.62621393,98.131106125,375.4129261,1.024761814,-41.929598465,0.03446683,-1.213374,1.106368,239.8032,290.4006,4.929905391,0.303712918,-8.925352,-7.7545295,0.04199843,0.045302745
1,6.25,0.242899091,-4.01582,2.660655139,0.4262078565,0.001735,-16.757185,-0.16167,1.100196855,0.000752,-8.8475,0.66565,1.104266,77.067340405,98.15976948,375.4125706,0.9398,-44.05411605,0.03377827,-1.3676465,1.082808,239.7526,289.7035,4.982156399,0.339909606,-8.938873,-7.7665115,0.03805815,0.045208075
1,6.75,0.2451354895,-3.9225019845,2.617612904,0.3457,0.00397,-15.44365201,-0.215402379,0.7333641555,-0.0026,-8.727532,0.6615618,1.094909,77.0474,98.181840065,375.8010125,0.91303539,-43.8611,0.05318679,-1.404357,1.136652,237.6623,288.5681,4.8438682075,0.281569798,-8.976892,-7.8328315,0.04170467,0.048223695
1,7.25,0.24898589,-4.0412217345,2.633377717,0.335458887,0.00318,-13.69192307,-0.17000008,1.0233,0.00238,-8.59513,0.6611764,1.108132,77.01102794,98.17999206,376.1268117,0.87943796,-42.64041,0.67616596,-0.69520105,1.425852,237.7336,288.31,4.887932586,0.2509111785,-9.0139,-7.9474185,0.16355,0.04713935
1,7.75,0.2555315665,-4.1382319535,2.7065720935,0.3653885365,0.009595,-11.320213575,0.0167,1.272506258,0.000338,-8.4092,0.64033,1.096272,76.444348985,98.18176962,376.4817693,0.89154869,-30.10181,21.21182,8.689575,6.056125,239.0424,289.9494,4.887526121,0.271917637,-9.0322,-7.89277,2.970799,0.05147491
1,8.25,0.273332651,-4.01662,2.814904275,0.365933599,0.0132,-3.263095519,0.4849070755,4.215231856,0.04915,-8.396454,0.6229252,1.059554,76.299425515,98.185526375,376.8209268,0.966,-2.166107006,106.0958,53.670895,23.50768,240.081,293.55,4.9512663405,0.224142057,-9.037323,-7.9461315,15.80198,0.04989566
1,8.75,0.3013419855,-3.769701739,3.0433962325,0.28737422,0.01145,10.90645637,0.843563676,8.031734468,0.059,-8.427833,0.57572,1.048817,74.9923224,98.2153447,377.1101118,1.01607,21.26197,243.1722,114.87765,47.10875,242.5272,298.9977,4.961726288,0.157702044,-9.025261,-7.9056085,33.667795,0.07392945
