DOY2,HR2,TA_1_3_1,RH_1_1_1,TA_1_3_2,TA_1_4_1,TA_1_5_1,TA_1_6_1,T_BOLE_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,G_1_1_1,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,T_BOLE_2_1_1,CO2_1_2_1,CO2_1_1_1,H2O,NETRAD_1_1_1,SW_IN_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_1_1,TA_1_2_1,WS,NETRAD_1_1_2,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT_1_1_1,NETRAD_1_1_3,SW_OUT_1_1_2,PPFD_IN,PPFD_OUT,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_3_3,PA
8,21.25,13.25,67.69,13.31,11.8375,12.08,10.605,11.4975,13.02,15.53,16.41,15.04,-4.524,-14.81,-12.09,-7.82025,-15.55,11.4975,376.925,384.775,12.08,-67.03,0,0.0398725,-1.463,-22.9025,1.183,-0.02701,-22.69,-0.97,-1.82375,4.71375,14.1925,13.8125,0.1836,-50.775,0,0,0,0.684825,-74.57,0,0,0.2279,15.11,15.22,14.65,13.36,11.94,13.255,99.3225
8,21.75,12.78,69.175,12.74,11.5025,11.5825,9.936,10.85,12.67,15.12,16.07,14.9075,-4.813,-14.88,-12.58,-8.3225,-16.26,10.85,384.375,386.35,11.9325,-65.01,0,0.040295,-1.3285,-24.9875,1.01725,-0.08566,-21.605,-0.9312,-1.42075,6.35425,13.885,13.385,0.184175,-51.765,0,0,0,0.74965,-74.145,0,0,0.2279,15.1,15.235,14.705,13.455,12.0175,12.7975,99.325
8,22.25,12.415,70.9525,12.255,11.13,11.0475,9.5605,10.29,12.4825,14.695,15.755,14.825,-4.93,-15.3,-12.14,-9.053,-16.9,10.29,382.45,387.95,11.6725,-65.06,0,0.038815,-1.38425,-24.065,0.7427,-0.1339,-21.36,-0.95925,-1.57125,4.22575,13.49,13.02,0.1774,-50.2,0,0,0,0.7762,-73.5325,0,0,0.21685,15.14,15.2675,14.8125,13.56,12.1525,12.215,99.325
8,22.75,11.955,73.6075,11.85,10.745,10.515,9.039,10.07375,11.99,14.39,15.53,14.675,-5.109,-15.48,-12.26,-9.04775,-17.46,10.07375,383.6,388.35,11.54,-63.8925,0,0.03764,-1.88825,-17.26,0.7227,-0.07771,-20.8,-0.910725,-1.4435,3.83325,13.1025,12.595,0.208975,-48.75,0,0,0,0.7794,-72.73,0,0,0.2019,15.19,15.3325,14.8775,13.6725,12.29,11.94,99.335
8,23.25,11.62,74.055,11.5325,10.51,10.2225,8.8255,9.572,11.63,14.14,15.1925,14.58,-5.401,-15.48,-12.63,-9.485,-18.05,9.572,388.125,386.4,11.41,-62.85,0,0.036585,-1.393,-18.0025,0.2121,-0.1282,-20.71,-0.82695,-1.05125,4.0275,12.89,12.24,0.1899,-48.915,0,0,0,0.764,-72.235,0,0,0.2045,15.135,15.265,14.9625,13.7925,12.41,11.6575,99.335
8,23.75,11.355,74.99,11.3475,10.055,9.702,8.24975,9.1825,11.15,13.8225,14.99,14.5025,-5.376,-15.77,-12.99,-9.5005,-18.28,9.1825,386.125,391.9,11.4725,-62.51,0,0.03952,-1.63975,-17.16,0.70855,-0.1481,-20.595,-0.77235,-1.276,2.22725,12.73,12,0.1874,-48.27,0,0,0,0.8059,-70.835,0,0,0.2006,15.055,15.1925,15.0325,13.8725,12.5125,11.395,99.335
9,0.25,8.87825,82.9925,8.934,8.148,7.344,6.368,5.93125,7.6125,10.3825,11.235,11.99,-6.8595,-18.105,-14.105,-13.1275,-21.26,5.93125,389.3,398.95,10.06,-53.9,0,0.038975,-1.421,-16.6,0.504975,-0.230425,-22.695,-0.656575,-0.6804,2.37325,9.966,9.7215,0.286125,-45.2275,0,0,0,0.4925,-66.72,0,0,0.179875,12.66,12.755,13.0525,12.91,12.5525,9.344,99.29
9,0.75,8.7555,83.36,8.684,7.73825,7.201,6.227,5.96425,7.464,10.2275,11.09,11.865,-7.14925,-18.145,-14.4375,-13.09,-21.7225,5.96425,394.4,401.375,9.94025,-53.695,0,0.03733,-1.3035,-15.575,0.7657,-0.34795,-22.49,-0.59945,-0.778325,2.78925,9.5745,9.5185,0.279225,-43.0375,0,0,0,0.46195,-65.805,0,0,0.19765,12.605,12.7275,13.0625,12.97,12.59,9.2155,99.29
9,1.25,8.52825,83.2725,8.497,7.5685,6.9895,6.032,5.706,7.2375,10.1025,10.9375,11.77,-7.2695,-18.095,-14.5525,-13.0575,-21.93,5.706,386.5,402.25,9.854,-55.1375,0,0.04072,-1.349,-14.05,0.6243,-0.41555,-22.3075,-0.4849,-0.849425,2.79128125,9.4165,9.2695,0.293825,-42.1625,0,0,0,0.475025,-65.605,0,0,0.179475,12.49,12.6725,13.0625,12.9875,12.62,8.9565,99.29
9,1.75,8.42075,83.885,8.348,7.19675,7.072,6.035,5.68075,7.1875,9.95,10.77,11.6925,-7.182,-18.0675,-14.605,-13.13,-21.96,5.662,394.25,403.575,9.795,-52.0275,0,0.04097,-0.9951,-14.665,0.7313,-0.24805,-21.89,-0.4893,-0.6566,2.7266890625,9.4245,9.0895,0.2799,-41.205,0,0,0,0.4784,-65.26,0,0,0.17655,12.4575,12.61,13.1,13.0125,12.65,8.69025,99.29
