DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SW_IN_1_1_1,LW_IN_1_1_1,SW_OUT_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,TS_1_3_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1
1,0.25,-0.0180823,-3.98705,18.5952,1.18015,4.0966225,0.291561,9.206335,433.36925,7.65878,0.966195,0.68084275,0.35229575,0.25420625,102,9.079,84.5842,-2.0363275,-2.42672,-3.315305,-2.845795,-0.608179,309.407,2.6267725,336.33825,-0.007483335,-0.01519645,11.506425,9.700835,10.48635,-21.3471
1,0.75,-0.0182561,-2.81884,17.391775,1.037625,3.820675,0.272471,8.9225,432.918,7.53264,0.8917095,0.6362385,0.350889,0.282868,102,8.826165,85.0175,-2.37499,-2.6237175,-3.347495,-3.571305,-0.747592,307.31275,2.7836,338.5295,-0.007716665,-0.0136664,11.5068,9.6442475,10.4833,-22.09855
1,1.25,-0.01424965,-1.414201,14.8545,0.7815735,3.68356,0.2786925,8.26044,433.32925,7.463795,0.863583,0.6354865,0.3343935,0.27719525,102,8.571915,85.32585,-3.193965,-3.091965,-3.88423,-4.1696175,-0.915026,301.30125,2.7418825,332.873,-0.0078053575,-0.0135,11.502575,9.5936675,10.4704,-21.1784
1,1.75,-0.01822395,-1.9678875,16.9643,0.951562,3.8382625,0.260518,7.93225,433.4375,7.37468,0.97115625,0.667136,0.33605375,0.26981125,102,8.084315,85.65915,-3.663785,-4.056975,-4.3023275,-4.2095325,-0.828419,300.04025,2.68607,333.267,-0.0073716825,-0.0133,11.49935,9.53525,10.451075,-27.30475
1,2.25,-0.0161975,-1.58794,14.484025,0.76172625,3.712805,0.2612195,7.511705,433.441,7.3716,0.897221,0.667436,0.3387185,0.270923,102,8.082335,87.07835,-3.815845,-4.772965,-4.474495,-4.33041,-1.2655,295.109,2.768115,331.69875,-0.0075333325,-0.013438125,11.495325,9.472915,10.4283,-29.832625
1,2.75,-0.017407825,-1.717545,15.20845,0.896285,4.2832025,0.278489,7.9040775,433.23725,7.1178225,0.910851,0.6745835,0.370355,0.25759675,102,8.1815,87.2042,-3.944515,-5.0137175,-4.6188225,-4.4670825,-1.1157,294.4335,2.8697,331.99625,-0.0075000025,-0.0140833,11.490225,9.374165,10.400775,-26.883275
1,3.25,-0.01521125,-1.80932,16.6666,0.92334525,4.2593475,0.298593,8.05034,433.006,7.052405,0.921033,0.676809,0.38270075,0.27490475,102,8.13015,87.57165,-4.2022075,-5.1781075,-5.467225,-4.7346025,-1.174065,297.92975,2.88097,331.14975,-0.00736667,-0.014774975,11.4854,9.357835,10.373075,-24.212325
1,3.75,-0.01389455,-1.9406,15.318275,0.85173275,3.99956,0.280519,7.4873425,432.37775,7.0059125,0.93200225,0.6745595,0.37932575,0.261565,102,7.56985,87.694175,-4.5165175,-5.055385,-5.507635,-5.02074,-1.35955,299.44525,2.760685,329.43475,-0.0070083325,-0.014692275,11.486475,9.365585,10.341525,-25.25755
1,4.25,-0.0174391,-1.2282775,14.690875,0.7736875,4.14027,0.29020025,7.545565,433.23125,6.7922425,0.98626,0.6701965,0.354631,0.2456645,102,7.2561,87.4533,-4.356045,-5.4809225,-5.6332175,-5.215285,-0.70505,303.775,2.76905,332.14975,-0.007083335,-0.013416675,11.493325,9.2791675,10.3239,-21.4068
1,4.75,-0.013179525,-0.87949725,13.25535,0.830547,4.257785,0.28488,7.36627,434.152,6.91109,0.95761,0.720126,0.373205,0.247497,102,7.185765,87.19,-4.5328775,-5.7782225,-5.6776225,-5.301315,-0.929067,306.077,2.7839975,331.28075,-0.007525,-0.0136,11.4987,9.19533,10.31545,-21.3106
