DOY2,HR2,USTAR,TA,WS,FC,H,LE,TS_1,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,CO2,FCH4,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1
7,7.75,0.5611976295,17.919747,6.74864775,1.7911658021,72.8958319167501,103.6983181625,11.6285,100,95.9182,7.582221414675,150.63875,663.34,347.55625,75.1348,79.4115,363.3655,394.7035,18.519654964,22.69635,21.969075,28.174425,13.567368,373.99679731,51.1337396,17.8275785,11.67428,9.4530949,4.6739254,3.5690014,17.583581,13.654871,7.0050242,4.11250295,2.9852327,15.421321,14.582661,6.0649354,3.6373354,2.6013437,13.305614,11.149334,8.3263375,5.2548381,3.8332654
7,8.25,0.6139661625,19.132351,6.67959875,0.793702632999998,93.8948997775,119.9090301875,12.1795,100,95.91035,9.04282926022499,193.05375,750.83,399.31,80.7603,84.9672,360.0975,405.328,18.8174055435,26.705425,28.89267925,28.877225,16.81135,371.91038072,51.74440275,19.6057465,12.057446,9.3313216,4.7473096,3.5769384,19.554765,14.88145,7.0147732,4.04043815,2.9358557,17.050126,16.595223,6.0193388,3.8095624,2.601571325,14.426654,11.41043,8.36374485,5.2342448,3.9616083
7,8.75,0.6484269983,19.68208375,7.2511505,0.274390208849999,110.93686718,142.21436856,12.823,100,95.9088,10.21114459825,229.57875,841.13625,450.420375,87.1033,94.23815,365.609,411.733,18.11134476425,28.152075,40.8123410000001,33.736725,19.520525,372.017956195,43.3514225,20.5145775,12.464944,9.2918779,4.8592934,3.6472494,22.147214,16.027763,7.0471867,4.11365965,2.9710173,18.488897,17.986154,5.9392642,4.070979,2.870881275,15.797663,11.813266,8.318108025,5.3803966,4.049353
7,9.25,0.65928748225,20.070816,7.35125,0.3164059489,124.993407565,157.2809859125,13.368,100,95.8981,11.44469782425,289.060375,935.7625,501.0780125,91.5476,101.14025,367.7,420.4165,18.2188040655,30.030675,43.5447722500001,37.187825,20.762575,371.336834225,42.9691025,20.28419825,12.806213,9.5475127,4.9044459,3.7383045,22.21393,17.006555,6.9617454,4.11039235,3.0621622,18.98396,18.835934,5.8228066,4.0707184,2.929354575,17.019367,13.172164,8.25822475,5.518026,4.1219016
7,9.75,0.6924057761,20.49197675,8.002876625,0.101774429949999,161.910095245,154.00042744,13.717,100,95.89255,12.170820475,305.0325,1020.7375,546.222625,95.8297,108.242,367.2605,426.943,18.373839578,31.428275,66.50292875,39.740225,23.7202,369.924687775,45.171666625,20.1440295,13.217326,9.6317128,4.9549426,3.7437863,22.601672,17.695952,6.8626751,4.1812937,3.0544514,20.623737,19.387093,5.8202456,3.9363146,2.7927859,18.609272,14.062601,8.229028725,5.5791057,4.2060716
7,10.25,0.6530073881,20.93688875,7.431243875,0.257169444549995,156.73421755,185.023239325,14.097625,100,95.89925,11.957571758,332.9425,1094.0375,592.30375,99.51325,115.261,367.334,432.2375,18.50895382775,33.0641999999999,81.3321149999999,44.4505999999999,25.2881,370.157365575,45.778880675,20.95235725,13.573372,9.5385155,4.8888053,3.7415431,23.622085,18.281545,6.8392135,4.1901605,3.1203605,21.204162,19.663693,5.7758152,3.807703,2.809775075,20.026494,15.694911,8.132816,5.5995115,4.2364166
7,10.75,0.655873963,21.61925,7.8262664,0.248141630999998,180.28295273,193.9623458,14.48985,100,95.8719,13.0707284495,365.22102,1167.4,636.008,102.92125,123.632,368.847,436.647,18.58838939825,38.1863999999999,94.513393,46.4313,27.263786,370.227496385,40.1267362,21.87862225,14.172914,9.4450359,4.8586734,3.7850201,25.924231,20.28177,6.8719029,4.20105955,3.2100591,22.661889,20.67698,5.6298254,3.8627544,2.828337475,21.540788,16.903407,8.06492585,5.6426891,4.212899
7,11.25,0.6374161339,22.1675355,7.837860725,-0.0765457170000065,182.972824745,202.5955086125,14.88815,100,95.86475,13.818657275,403.9955,1246.71,682.9864375,107.9615,133.48875,366.945,442.37375,18.849969394,44.7872,105.170265,50.1375,29.7237,374.719890205,44.12957875,22.63229475,14.808441,9.5072833,4.7695365,3.640494,27.535131,21.87399,7.0185217,4.1822464,3.1644038,23.682633,20.469981,5.6302104,3.6748828,2.7766872,22.23805,17.590218,7.99606795,5.3844801,4.0546044
7,11.75,0.7127480621,22.54901,8.430125625,-0.5734928928,186.18351577,216.739206155,15.26795,100,95.83585,13.89596883375,420.2069375,1298.25,703.9850625,105.88375,131.21,368.89875,441.955,18.59467757975,49.24755,102.46192,50.7589,30.654,370.266377945,40.79601315,22.653316,15.388245,9.6401334,4.6460117,3.6039901,28.726189,22.727219,7.2932764,4.15525905,3.1493017,24.699596,20.166946,5.6468574,3.577758875,2.7666725,23.031519,17.991014,7.9678397,5.3076747,4.0067152
7,12.25,0.691877845475,22.77399,8.63298255,-1.01292803505,204.27164248,224.7834653375,15.616,100,95.8372,14.355537233,443.78125,1343.857125,726.695375,105.1325,136.19375,372.55125,448.45375,19.1860682715,50.032375,85.17781525,58.41575,31.8388,369.91720584,44.648321925,23.01683175,15.42825,9.838379,4.721363,3.6365383,30.097309,24.860775,7.6472775,4.16885955,3.1932678,26.353373,20.486983,5.9422952,3.607404,2.7850757,24.661898,18.663989,8.1391659,5.2631951,4.0075907
