DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,0.09025,0.046,-0.055,-31.371,0.109,-0.05,399.088,1.777,-47.2,0,0,-9.0475,76.385,1.0295,98.5,-1.1735,-0.6225,-0.447,0.0565,1.412,3.051,-1.445,-0.367,-0.35875,0.196,1.345,3.27175,-5.175,-5.004,0.1694,0.34865
1,0.75,0.2685,0.2105,-0.0715,-30.79625,0.11025,-0.03125,400.06775,1.464,-48.72,0,0,-8.905,76.915,0.9625,98.5,-1.1695,-0.625,-0.471,-0.012,1.416,3.061,-1.462,-0.3695,-0.3635,0.19625,1.351,3.2955,-5.336,-5.058,0.1849,0.3674
1,1.25,0.207,0.2,0.01425,-30.988,0.142,-0.04225,400.10125,1.4585,-52.413,0,0,-8.9,77.03,0.9535,98.5,-1.19125,-0.6475,-0.445,0.02,1.41075,3.066,-1.456,-0.377,-0.274,0.178,1.361,3.26,-5.424,-5.17525,0.19725,0.4236
1,1.75,0.22825,0.17125,-0.034,-30.5635,0.12725,-0.0335,400.0885,1.473,-51.515,0,0,-8.93,77.65,0.9115,98.506,-1.1675,-0.703,-0.4835,0.01225,1.4285,3.0795,-1.438,-0.35925,-0.3225,0.18225,1.38025,3.25025,-5.431,-5.22125,0.1885,0.38
1,2.25,0.19,0.136,-0.0465,-30.796,0.112,-0.03475,400.15525,1.553,-50.715,0,0,-8.945,77.295,0.937,98.5105,-1.17425,-0.649,-0.4985,0.0305,1.424,3.0695,-1.4735,-0.37225,-0.26875,0.196,1.379,3.252,-5.54,-5.31125,0.17955,0.38005
1,2.75,0.19975,0.1415,-0.10525,-33.07775,0.1375,-0.0345,400.234,1.5675,-50.96,0,0,-8.95,77.23,0.9835,98.52425,-1.177,-0.662,-0.4825,0.0445,1.44125,3.0505,-1.46425,-0.37625,-0.33,0.172,1.3805,3.2525,-5.55,-5.38925,0.2134,0.4033
1,3.25,0.19475,0.1025,-0.1235,-32.407,0.133,-0.028,399.902,1.5645,-51.425,0,0,-9.235,77.13,1.0015,98.57625,-1.2485,-0.737,-0.47275,0.044,1.4535,3.0685,-1.50575,-0.3745,-0.3135,0.198,1.359,3.26475,-5.564,-5.42425,0.1971,0.3902
1,3.75,0.22125,0.193,-0.106,-30.9095,0.116,-0.035,400.21,1.519,-50.94,0,0,-9.34,77.15,1.004,98.54675,-1.2355,-0.723,-0.50225,0.08275,1.4575,3.0595,-1.46625,-0.37525,-0.362,0.1975,1.382,3.28075,-5.692,-5.58625,0.1999,0.420875
1,4.25,0.154,0.15,-0.1015,-32.997,0.12,-0.022,400.112,1.4925,-51.115,0,0,-9.374,76.625,1.0035,98.51125,-1.2355,-0.755,-0.50275,0.05375,1.451,3.0505,-1.53325,-0.372,-0.2365,0.19975,1.3565,3.26,-5.743,-5.628,0.182475,0.3664
1,4.75,0.215,0.16,-0.076,-30.163,0.1205,-0.026,400.148,1.501,-51.155,0,0,-9.51,77.1,0.9895,98.4945,-1.27,-0.735,-0.509,0.021,1.456,3.034,-1.515,-0.3945,-0.301,0.202,1.3435,3.25925,-5.715,-5.72525,0.1959,0.4208
1,5.25,0.2,0.1645,-0.231,-30.2285,0.127,-0.032,400.037,1.489,-49.651,0,0,-9.545,76.955,0.98,98.5,-1.3025,-0.674,-0.50825,0.011,1.4725,3.05,-1.4835,-0.38325,-0.366,0.1905,1.34575,3.27325,-5.787,-5.80725,0.1954,0.3815
1,5.75,0.26,0.227,-0.0765,-30.892,0.111,-0.03,400.454,1.46675,-52.083,0,0,-9.63,77.68,0.9625,98.499,-1.26325,-0.643,-0.509,0.0325,1.4675,3.06675,-1.5375,-0.38725,-0.4405,0.193,1.34475,3.2915,-5.753,-5.88075,0.1789,0.3954
1,6.25,0.239,0.227,-0.034,-29.35925,0.131,-0.051,400.388,1.4575,-49.5445,0,0,-9.66,77.165,1.0505,98.5,-1.245,-0.686,-0.527,0.0825,1.437,3.05625,-1.5555,-0.40325,-0.427,0.18425,1.345,3.272,-5.796,-5.97525,0.1934,0.3927
1,6.75,0.24475,0.22525,-0.10175,-29.398,0.12775,-0.03225,400.43325,1.444,-48.59,0,0,-9.825,78.005,1.01,98.4995,-1.25,-0.644,-0.5255,0.05175,1.44225,3.03775,-1.5505,-0.38225,-0.384,0.18975,1.35025,3.256,-5.923,-5.95025,0.195525,0.419325
1,7.25,0.226,0.197,-0.0215,-27.6055,0.12725,-0.028,400.5485,1.466,-50.53,0,0,-10.025,78.77,0.9875,98.5,-1.308,-0.711,-0.5285,0.057,1.4385,3.04625,-1.539,-0.38675,-0.4195,0.197,1.363,3.27275,-5.86,-6.01625,0.208525,0.401675
1,7.75,0.237,0.219,-0.016,-28.463,0.13075,-0.04,400.589,1.476,-48.255,0,0.305,-10.1015,77.9,0.9375,98.578,-1.314,-0.68,-0.52625,0.024,1.419,3.06,-1.56125,-0.4035,-0.4445,0.19225,1.34525,3.27675,-5.837,-6.07225,0.203575,0.37075
1,8.25,0.32825,0.292,-0.058,-24.824,0.126,-0.02575,400.6835,1.507,-33.36,17.67,4.9585,-9.875,77.9415,0.915,98.5945,-1.3175,-0.763,-0.52325,0.018,1.38625,3.0425,-1.5535,-0.4015,-0.4115,0.21725,1.344,3.2555,-5.654,-6.1245,0.186625,0.41185
1,8.75,0.3155,0.32425,0.562,-13.325,0.1555,-0.0425,400.59825,1.532,-10.215,54.30625,10.895,-9.8,76.875,1.027,98.5355,-1.3315,-0.725,-0.50225,0.0405,1.354,3.04175,-1.5635,-0.40825,-0.433,0.16,1.354,3.28175,-5.484,-5.801,0.223175,0.4315
1,9.25,0.3125,0.2995,1.45425,-2.575,0.189,-0.0715,400.2015,1.58625,1.096,93.2015,19.42,-9.245,74.64,1.1635,98.6,-1.361,-0.802,-0.49675,0.02725,1.378,3.0385,-1.53275,-0.38825,-0.429,0.15475,1.3665,3.26675,-5.417,-5.4715,0.2701,0.480875
1,9.75,0.3075,0.33875,2.9295,4.126,0.207,-0.066,400.15375,1.6035,7.335,141.016,26.555,-8.75,71.95,1.2935,98.6,-1.42,-0.839,-0.54125,0.01175,1.34875,3.047,-1.547,-0.40375,-0.384,0.21125,1.39375,3.25425,-5.066,-5.41975,0.29885,0.55765
1,10.25,0.2645,0.29,4.0955,9.4335,0.23325,-0.09075,400.058,1.6395,14.125,180.178,34.7575,-8.345,70.0725,1.433,98.641,-1.277,-0.877,-0.517,-0.017,1.376,3.06,-1.5595,-0.432,-0.36,0.188,1.361,3.2265,-4.91375,-5.1725,0.3367,0.6285
1,10.75,0.2665,0.2785,4.8505,14.871,0.263,-0.087,399.915,1.64125,23.765,226.523,41.6325,-7.782,68.5375,1.596,98.637,-1.32125,-0.8455,-0.5225,-0.001,1.3985,3.068,-1.5125,-0.396,-0.409,0.183,1.3515,3.204,-4.513,-4.948,0.37545,0.72685
1,11.25,0.215,0.22875,6.091,19.982,0.288,-0.0785,399.634,1.6665,27.6175,260.054,44.66,-7.26225,66.855,1.63975,98.608,-1.233,-0.8095,-0.509,0.005,1.3755,3.062,-1.4505,-0.3995,-0.414,0.16425,1.3725,3.235,-4.1735,-4.472,0.400525,0.780325
1,11.75,0.2395,0.239,5.676,22.93975,0.29575,-0.06125,399.372,1.6835,32.5925,269.368,48.365,-6.8415,66.3225,1.70275,98.607,-1.254,-0.818,-0.437,-0.079,1.3955,3.068,-1.5045,-0.404,-0.403,0.203,1.3455,3.224,-3.9185,-4.0645,0.4067,0.8161
1,12.25,0.228,0.23075,6.594,24.95975,0.3205,-0.054,399.238,1.656,35.81,288.6,51.4075,-6.315,65.39,1.752,98.569,-1.226,-0.8665,-0.451,-0.039,1.387,3.066,-1.504,-0.4,-0.4155,0.20675,1.3665,3.252,-3.6695,-3.8195,0.4288,0.846075
1,12.75,0.23975,0.213,6.508,23.8345,0.311,-0.05,398.94725,1.6435,35.075,274.6155,49.025,-6.275,64.735,1.77525,98.5385,-1.2385,-0.854,-0.4595,-0.0905,1.38,3.03825,-1.482,-0.37075,-0.3725,0.173,1.3465,3.1935,-3.2715,-3.5925,0.443225,0.856925
1,13.25,0.177,0.1655,6.41425,25.677,0.29875,-0.047,398.8655,1.657,35.841,256.993,45.382,-6.221,64.6825,1.866,98.5,-1.192,-0.8845,-0.481,-0.147,1.442,3.06,-1.414,-0.38,-0.36825,0.1895,1.3505,3.195,-3.229,-3.407,0.4309,0.8813
1,13.75,0.1605,0.161,6.395,23.93025,0.319,-0.042,398.72725,1.6395,29.925,228.45,39.1,-6.227,64.34,1.829,98.56125,-1.182,-0.8825,-0.4735,-0.165,1.38225,3.069,-1.417,-0.39,-0.41675,0.19875,1.3565,3.205,-3.072,-3.35325,0.44405,0.8383
1,14.25,0.20125,0.186,5.61125,18.85025,0.2935,-0.041,398.7545,1.6575,26.765,197.99,32.74,-6.332,64.77,1.774,98.5,-1.2165,-0.876,-0.4785,-0.091,1.36,3.0565,-1.404,-0.392,-0.339,0.13625,1.3415,3.2315,-3.0705,-3.2115,0.43005,0.82985
1,14.75,0.242,0.211,5.174,12.975,0.2895,-0.038,398.9555,1.6085,17.98,154.049,24.75,-6.275,64.68,1.749,98.5,-1.1595,-0.817,-0.463,-0.165,1.346,3.04225,-1.3715,-0.3975,-0.38375,0.2205,1.339,3.2135,-3.0625,-3.20975,0.42945,0.80195
1,15.25,0.2225,0.17575,4.228,7.277,0.2795,-0.0345,398.95075,1.589,10.405,138.8885,20.88,-6.39575,65.0525,1.66675,98.5,-1.18325,-0.84825,-0.4625,-0.1635,1.35375,3.0035,-1.40425,-0.39875,-0.3815,0.22,1.3775,3.2115,-3.01425,-3.209,0.408825,0.760875
1,15.75,0.26325,0.263,3.729,0.87,0.258,-0.026,398.8825,1.61725,1.425,95.72125,15.24,-6.41875,65.82,1.61275,98.5,-1.207,-0.8625,-0.4845,-0.129,1.333,3.028,-1.40475,-0.3825,-0.447,0.23275,1.36,3.2105,-3.07125,-3.23625,0.3934,0.7264
1,16.25,0.27975,0.286,2.786,-11.3595,0.244,-0.026,398.97675,1.604,-10.28,53.9985,9.945,-6.38,66.8525,1.47475,98.509,-1.1645,-0.84,-0.4385,-0.09125,1.35825,3.011,-1.41325,-0.38325,-0.39475,0.229,1.33575,3.20575,-3.151,-3.41075,0.36315,0.65225
1,16.75,0.275,0.24925,1.709,-22.75025,0.219,-0.03,399.0005,1.61625,-26.97,19.61375,2.671,-6.662,68.255,1.308,98.502,-1.20375,-0.77525,-0.45625,-0.1525,1.329,3.02625,-1.4115,-0.38725,-0.386,0.228,1.36825,3.22725,-3.3945,-3.6125,0.3104,0.57935
1,17.25,0.2625,0.235,0.75375,-28.2225,0.181,-0.019,399.0805,1.5945,-43.96,0,0,-7.10725,69.85,1.21625,98.5,-1.232,-0.75425,-0.40825,-0.12025,1.33375,3.0055,-1.39625,-0.37875,-0.37825,0.217,1.33725,3.2455,-3.76225,-3.78125,0.260325,0.496175
1,17.75,0.21125,0.224,0.36725,-29.609,0.152,-0.02,399.112,1.606,-47.915,0,0,-7.5475,70.9625,1.04475,98.552,-1.15675,-0.747,-0.47675,-0.11825,1.3535,2.959,-1.42675,-0.38275,-0.4235,0.22825,1.333,3.25025,-3.86175,-4.12875,0.212825,0.408425
1,18.25,0.267,0.24775,0.10175,-29.0185,0.136,-0.02,399.227,1.5485,-49.355,0,0,-8.0025,71.5025,0.93775,98.586,-1.202,-0.72825,-0.396,-0.078,1.35675,3.038,-1.41425,-0.37325,-0.32,0.243,1.326,3.2395,-4.076,-4.36625,0.1954,0.3694
1,18.75,0.237,0.2145,0.1205,-30.2675,0.141,-0.0275,399.1155,1.532,-47.9445,0,0,-8.18,72.5,0.93375,98.552,-1.184,-0.71575,-0.427,-0.07075,1.384,3.003,-1.40425,-0.4035,-0.35125,0.2155,1.327,3.229,-4.2305,-4.41925,0.19305,0.397
1,19.25,0.21,0.196,0.105,-29.171,0.13025,-0.029,399.2215,1.557,-46.795,0,0,-8.3625,73.715,0.8915,98.539,-1.18,-0.75375,-0.45875,-0.03075,1.364,3.004,-1.46075,-0.372,-0.3225,0.2595,1.314,3.231,-4.382,-4.501,0.1826,0.3696
1,19.75,0.2205,0.2025,0.03125,-28.396,0.11875,-0.0265,399.185,1.596,-47.23,0,0,-8.6,74.2,0.913,98.584,-1.17075,-0.76075,-0.49425,-0.03425,1.41625,2.981,-1.45825,-0.41175,-0.363,0.2235,1.32925,3.249,-4.5195,-4.6,0.18135,0.36675
1,20.25,0.2355,0.21475,0.04,-29.133,0.1165,-0.023,399.49425,1.592,-49.2555,0,0,-8.67,73.7375,0.91875,98.597,-1.17375,-0.649,-0.512,0.046,1.424,2.9985,-1.414,-0.3845,-0.34275,0.1765,1.3275,3.2285,-4.65525,-4.6635,0.161725,0.35525
