DOY2,HR2,SC,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,-0.0448480896393458,-1.10023868932509,0.100978882967796,-38.6768191958284,-3.57808174228848,0.379810987629762,423.655742783134,3.57800466896431,419.430523335117,423.695330559826,3.56494314965127,419.178648319355,423.975213122975,3.50874575174971,419.62940741121,424.411190163623,3.45018797583849,419.653315464622,2.31862708999456,-4.07690148726622,0.199847554915686,1.82,1.17,0.39,-4.7807,-5.423,-5.0891,-6.325775,-7.2826,85.6975025,55.785,0.7789,-7.215,-6.59,-6.7825,0.1,-3.51,0.975,0.03,213.075,281.15,214.85,278.225,-0.195,0.0175,-0.4275,-0.21,-0.06,-0.2375,0.0175,-0.31,-3.68425,-2.26975,-0.53525,0.17725,1.11025,4.0335,5.00725,6.311,8.21325,-3.3215,-1.83175,-0.57275,-0.5375,0.724,2.67525,3.699,5.156,8.306,-4.0195,-2.4315,-1.27375,-0.58975,0.19725,3.23275,4.60875,6.46275,8.8085,-3.387,-1.879,-0.75925,-0.1865,1.1355,3.09875,4.005,5.42725,7.83875,-5.338,-3.4375,-0.99,-0.279,0.299,2.829,3.9335,5.50825,8.21175,-5.57675,-5.741,-20.50775,-78.64
1,0.75,-0.0313506762717216,-1.45768714890103,0.108044576512545,-32.4988910146173,-3.31884765805936,0.417293245803386,423.678136097664,3.58701722528583,419.291583557377,423.724058490121,3.61887111943253,418.84976146732,424.057423485892,3.51714321079377,419.73638902197,424.342295804731,3.52303021605786,418.911422191693,2.37326337475907,-4.17261234091066,0.196555303313841,1.97,1.17,0.44,-4.6543,-5.793,-5.365925,-6.256,-7.636,85.6744725,57.85,0.6878,-7.3725,-6.815,-7.0525,0.1,-3.3975,1,0.005,212.675,278.625,216.3,277.175,-0.14,0.04,-0.455,-0.22,-0.05,-0.2375,0.025,-0.315,-3.8525,-2.355,-0.568,0.17675,1.10475,4.02875,5.00725,6.31,8.21225,-3.69075,-1.995,-0.578,-0.547,0.7225,2.6745,3.7,5.14525,8.30275,-4.2215,-2.65575,-1.27375,-0.61275,0.204,3.232,4.608,6.4625,8.80725,-3.39075,-1.96525,-0.811,-0.21425,1.1365,3.09825,4.005,5.426,7.83775,-5.39275,-3.435,-1.02175,-0.29675,0.301,2.833,3.93275,5.509,8.21,-5.619,-9.571,-21.229,-74.4625
1,1.25,-0.0462694479938804,-0.906549951520773,0.084638264378688,-35.6187025063283,-1.39376007501108,0.401131779315491,423.723583894193,3.5787150952086,418.27406621824,424.040913823869,3.57095655720615,418.692456370162,424.131915910846,3.51116753991769,419.039437435399,424.070115581105,3.6197730077331,418.849746351517,2.62015303225632,-4.17935921193589,0.214312719333998,2.075,1.25,0.425,-4.7801,-5.566,-5.367925,-6.4249,-7.2308,85.67337,57.45,0.900125,-6.8375,-6.695,-6.8725,0.1,-3.205,0.9,0.0275,214.875,279,217.15,277.2,-0.145,0.0275,-0.455,-0.21,-0.045,-0.2325,0.0225,-0.31,-4.077,-2.41775,-0.62625,0.1745,1.1,4.02775,5.00725,6.309,8.211,-3.9025,-2.17675,-0.58175,-0.55425,0.72575,2.67375,3.7,5.14425,8.30225,-4.38075,-2.85875,-1.31025,-0.606,0.21075,3.229,4.6085,6.462,8.80625,-3.70925,-2.01475,-0.799,-0.274,1.13575,3.0985,4.0055,5.425,7.8365,-5.67925,-3.61625,-1.08475,-0.31525,0.305,2.83325,3.93275,5.509,8.20875,-5.775,-9.331,-21.1775,-75.3
1,1.75,-0.108278093855747,-0.522071945766735,0.106566706617376,-35.0675641802273,-3.07535963617643,0.405320398101878,423.639561050127,3.48581268819024,419.083576961323,423.463328044742,3.49279415513562,419.27468014,423.426453990201,3.47143958445253,419.097296412892,423.75818782691,3.52804175017023,419.084772216606,2.82037849598942,-4.2584082416346,0.199688368990727,2.24,1.385,0.475,-4.944425,-5.755,-5.245425,-6.6454,-7.395875,85.67063,57.2975,0.8094,-7.0675,-6.855,-6.48,0.1,-3.4025,1,-0.03,214.175,279.3,214.775,278.6,-0.165,0.03,-0.4425,-0.13,-0.055,-0.2325,0.0225,-0.31,-4.27425,-2.49025,-0.6665,0.234,1.09375,4.0325,5.00725,6.308,8.20925,-3.955,-2.32325,-0.6275,-0.55125,0.72725,2.67275,3.7,5.14375,8.30275,-4.6085,-2.88,-1.33875,-0.59875,0.218,3.229,4.60825,6.46075,8.80525,-4.0045,-2.0905,-0.79075,-0.27825,1.13425,3.09875,4.00525,5.424,7.83475,-5.5775,-3.755,-1.1445,-0.33625,0.308,2.83325,3.932,5.50875,8.20775,-6.074,-9.5365,-26.4145,-79.0325
1,2.25,-0.0735107743085262,-0.964545103837207,0.102151845949707,-38.4297136218917,-4.21789446301586,0.423291640232218,423.227150720268,3.50231440191392,418.954815869596,423.474559401805,3.5458720153186,419.056363101124,423.016876273594,3.48523211668446,419.337284642546,423.538321676131,3.51556613065481,419.404395655063,2.92952993718218,-4.69141071136264,0.222256159016716,2.245,1.44,0.495,-5.2225,-5.778,-5.7661,-6.978,-7.812675,85.647645,58.1425,0.934125,-7.27,-6.97,-6.7125,0.1,-3.3775,0.9,0.04,210.375,278.275,214.25,277.375,-0.1525,0.01,-0.4525,-0.1225,-0.05,-0.2375,0.0225,-0.32,-4.4185,-2.52775,-0.70775,0.2195,1.09175,4.033,5.00775,6.3065,8.208,-4.11625,-2.467,-0.67025,-0.55125,0.72975,2.6725,3.7,5.14275,8.30175,-4.73075,-2.90925,-1.3585,-0.60775,0.22525,3.227,4.60775,6.4605,8.804,-3.66925,-2.0675,-0.8345,-0.2855,1.13175,3.09825,4.00575,5.423,7.83375,-5.69875,-3.77125,-1.20675,-0.3425,0.312,2.8325,3.932,5.508,8.20675,-6.06975,-10.518,-27.318,-77.005
1,2.75,0.0153329930679835,-1.30591091542798,0.111142458732612,-30.9274411664684,-2.15624390277703,0.39775724003516,423.181132947014,3.32909703405184,418.92592029959,423.652791307521,3.37145477728653,419.101613644909,423.488484339241,3.33568373530873,419.31338105,423.366659247674,3.37708956324047,419.309783904,2.79906539673116,-5.11124578994029,0.2164757374166,2.2,1.52,0.52,-5.4747,-6.05,-5.545575,-6.62235,-7.25125,85.646365,58.075,0.82275,-6.5975,-6.2225,-6.49,0.1,-3.43,0.9,-0.03,210.975,281.625,214.15,277.625,-0.1575,0.01,-0.43,-0.1325,-0.05,-0.23,0.0225,-0.3125,-4.51325,-2.61625,-0.74975,0.191,1.09525,4.0325,5.00775,6.3055,8.20675,-4.264,-2.59325,-0.7155,-0.55075,0.7315,2.6725,3.69925,5.1415,8.3015,-4.861,-3.10875,-1.418,-0.626,0.23175,3.225,4.608,6.45925,8.803,-3.7495,-2.1395,-0.88225,-0.298,1.1285,3.0975,4.0055,5.4225,7.83275,-5.96725,-3.87075,-1.2605,-0.351,0.315,2.83225,3.932,5.508,8.20575,-6.107,-8.981,-24.619,-79.49
1,3.25,-0.0197524487030008,-1.24970389636373,0.10191709069968,-31.1612333802993,-2.75016631463384,0.396687846371409,423.833384146663,3.31572495214153,419.042217420017,423.842756290099,3.32387306974281,419.09494320085,424.013230740406,3.27863007917154,419.119881024808,423.592917730299,3.34327085232611,419.241494633441,2.64675554077461,-5.15823005322825,0.207593193780082,2.135,1.415,0.515,-5.71865,-6.319,-6.204525,-7.0497,-7.3731,85.62914,56.7175,0.772775,-7.0025,-6.7175,-6.5875,0.1,-3.3,0.875,0.06,210.8,280.55,214.925,279.825,-0.155,0.0275,-0.385,-0.1325,-0.0425,-0.235,0.025,-0.32,-4.38675,-2.704,-0.79275,0.1035,1.09925,4.032,5.00775,6.3045,8.20575,-4.23,-2.68425,-0.76,-0.5495,0.73325,2.67325,3.69925,5.1405,8.30025,-4.8485,-3.262,-1.44675,-0.642,0.23975,3.2225,4.608,6.459,8.802,-3.90525,-2.1395,-0.93375,-0.30775,1.126,3.09675,4.00525,5.4215,7.83175,-5.7325,-3.92725,-1.276,-0.36375,0.319,2.8325,3.93175,5.50725,8.204,-6.18925,-9.828,-26.12375,-77.34
1,3.75,-0.0721656625628724,-0.475037679103909,0.103731593612976,-32.9373192721635,-3.50238518893978,0.392251173309745,424.018567825334,3.3496581561016,418.507405199137,424.037505901808,3.32755175116967,418.558794387757,424.522302325173,3.34456682353533,418.082768971793,424.238188298806,3.39446861665947,419.005479464823,2.68692566399805,-5.28687477564583,0.214095141065473,2.31,1.5425,0.525,-5.8333,-6.357,-6.211175,-6.8184,-7.38785,85.61329,57.205,0.77655,-6.995,-6.53,-6.6175,0,-3.18,0.8,0.055,210.675,280.675,215.975,279.95,-0.1925,0.0275,-0.4075,-0.1325,-0.07,-0.245,0.025,-0.3125,-4.18375,-2.78325,-0.816,0.0725,1.103,4.0315,5.007,6.30325,8.20475,-4.24775,-2.771,-0.819,-0.5485,0.73525,2.674,3.7,5.14025,8.29925,-5.04775,-3.41375,-1.46775,-0.6515,0.247,3.2195,4.60675,6.45875,8.801,-4.0475,-2.288,-0.984,-0.238,1.12475,3.096,4.00575,5.4205,7.82975,-5.36575,-4.05325,-1.2775,-0.37175,0.322,2.8325,3.9305,5.50725,8.20275,-6.89,-11.021,-28.5925,-79.38
1,4.25,-0.149481011953201,-0.423723079876198,0.104142051137139,-32.619949173663,-2.07767217388743,0.390447132987002,424.598013760111,3.44081827442445,419.243680989211,424.683217687868,3.37098413098505,419.230007032747,423.60957401289,3.4529723568911,418.494036625799,424.762878862556,3.50416873869272,418.643250984912,2.65641510012979,-5.8020583009461,0.205349812660409,2.15,1.48,0.515,-6.33125,-6.73475,-6.58115,-6.960275,-7.5701,85.593475,58.815,0.6941,-7.5675,-6.755,-6.925,0,-3.28,0.775,0.095,211,279.2,215.025,278.575,-0.16,0.025,-0.3775,-0.13,-0.065,-0.2325,0.0225,-0.3125,-4.22575,-2.8725,-0.84075,0.065,1.0955,4.031,5.00625,6.30225,8.2035,-4.24025,-2.8335,-0.88625,-0.549,0.737,2.6725,3.70025,5.145,8.299,-4.99725,-3.54975,-1.4825,-0.65475,0.2535,3.22125,4.6095,6.45825,8.80075,-4.30725,-2.47675,-1.03125,-0.296,1.12425,3.09525,4.0055,5.4195,7.82875,-5.401,-3.88675,-1.29675,-0.3905,0.326,2.83,3.92975,5.50675,8.20175,-7.3045,-12.405,-28.036,-78.485
1,4.75,-0.0122539986126429,-0.280133344811924,0.0986236149977631,-34.9073421925499,-1.87829151029657,0.398591886908703,423.629714612483,3.44858598286899,418.867385696209,423.586914341244,3.44940186928659,418.663967183487,424.096403201556,3.43297633179268,419.185554396911,423.836995812154,3.44258067914401,419.144844931815,2.66080231773916,-5.54845500560421,0.199111976084048,2.31,1.495,0.58,-6.18,-6.7735,-6.7519,-7.06735,-7.28195,85.5683575,59.49,0.6768,-7.5625,-6.4625,-6.7225,0.1,-3.185,0.8,0.0875,211.275,281.625,215.025,279.375,-0.175,0.02,-0.3775,-0.135,-0.055,-0.235,0.0075,-0.32,-4.19225,-2.942,-0.878,0.06825,1.097,4.0305,5.00625,6.30125,8.2025,-4.282,-2.817,-0.915,-0.55875,0.73875,2.67425,3.70025,5.168,8.29725,-5.09625,-3.41975,-1.50875,-0.668,0.26075,3.22075,4.6105,6.45725,8.79975,-3.98375,-2.63925,-1.065,-0.3195,1.12175,3.0945,4.0055,5.41825,7.82775,-5.52825,-4.07975,-1.34325,-0.404,0.329,2.83,3.92975,5.50675,8.20075,-8.111,-11.30875,-26.313,-78.11
