DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_2_1_1,TA_1_1_2,TS_1_5_1
1,6.25,383.5033491,0.366164999,-7.061,-4.528,-9.183211195,3.345328436,4.403206735,261.6,288.2,-15.41,99.1979418,0.008,0,85.7,0.01478705,-0.049583513,-0.0138683045,-0.681,0.51,-0.076348565,-6.443,-0.5,-0.051,0.849,1.819,3.15,-0.55,-0.5,0.583,1.817,6.5245,-5.146,-5.609434363,0.242739015,0.713997987392122,0.522247609,0.576391902267893,2.976075658,0.285461906390327,-5.8845,-4.096283,4
1,6.75,385.366386,0.35440005,-7.075,-4.692,-8.872966318,3.401457549,3.5291482805,263.3,287.7,-14.32,99.208785995,0.265,0.079,84.95,0.021871353,0.068197383,-0.019899712,-0.435,0.581,-0.093175514,-6.279,-0.5,-0.067,0.833,1.799,3.15,-0.5585,-0.5,0.6,1.8165,6.5,-5.048,-5.874851078,0.268652602,0.715810424713349,0.525850212,0.557197210992685,2.8896588845,0.309863717323198,-5.418,-4.193994,4.017
1,7.25,385.7606336,0.268223811,-7.093,-4.78,-4.666730582,3.3405086935,5.92717707,261.6,287,-14.26,99.19605918,12.045,2.561,84.8,0.0287592375,0.1636404115,0.003461921,5.669,3.657,-0.11477474,-6.4415,-0.5165,-0.083,0.817,1.8,3.15,-0.5415,-0.5,0.6,1.825,6.509,-4.9865,-5.849053757,0.305019154,0.771904653438493,0.572791629,0.595151006888168,3.063853798,0.341484536985205,-5.351,-4.533487,4.017
1,7.75,387.7434063,0.1225592695,-7.112,-4.795,-2.364742269,3.471215211,7.4258825985,263.3,290.1,-0.341,99.19357222,63.12,14.625,84.6,0.030232526,0.305318828,0.08177983,33.15,17.56,-0.132151062,-6.196,-0.5085,-0.1,0.817,1.801,3.15,-0.55,-0.5,0.6,1.817,6.508,-4.331,-5.75945834,0.318680509,0.790658440162375,0.5907101675,0.623061980062979,3.262934878,0.347981419044178,-5.248,-4.440012,4.017
1,8.25,387.85846225,-0.0527278805,-7.085,-4.811,2.551970097,3.742516602,8.432677402,264.5,294.5,16.65,99.20169724,151.35,34.995,83.15,0.052093368,0.785443187,0.2234217455,79.39,38.6,-0.128838121,-5.964,-0.5,-0.083,0.832,1.832,3.1415,-0.541,-0.5,0.6,1.825,6.5,-4.1655,-5.092897293,0.316791472,0.817837355468678,0.647602773,0.635250627705318,3.388180707,0.353241670814755,-4.93,-3.615743,4
1,8.75,389.2044512,-0.0418466095,-7.0495,-4.682,11.25920758,3.877162878,13.81476625,263.3,297.9,36.31,99.21967592,240.1,56.865,82.9,0.045544977,1.077411654,0.311062185,140.2,57.3,-0.141629562,-5.191,-0.4745,-0.099,0.8,1.798,3.15,-0.517,-0.5175,0.6,1.808,6.5,-3.3915,-4.470515421,0.330585489,0.854393778067233,0.782494879,0.692786454832945,3.669293979,0.373862680672998,-4.992,-3.183606,4
1,9.25,391.08586505,-0.309684351,-7.0215,-4.686,20.08510862,4.061188173,21.45969018,262.7,299.7,66.13,99.19,342.9,73.145,81.2,0.0289168085,1.1915413205,0.377937272,207.8,74.17,-0.151867548,-4.718,-0.4,-0.084,0.8,1.801,3.1335,-0.5075,-0.517,0.6,1.8085,6.5165,-2.7075,-3.7322993,0.34849537,0.896482333902905,0.882031548,0.73316990254647,3.850643375,0.389450751700392,-4.7565,-2.609869,4
1,9.75,389.256117,-0.413252207,-6.8739,-4.598,28.41123268,4.063843444,26.3639107,257.9,303.7,91.4,99.20375997,446.7,92.9,79.945,-0.00182396,1.11542327,0.334128562,262.3,86.6,-0.169324865,-4.408,-0.4165,-0.1,0.8,1.817,3.1415,-0.5,-0.516,0.5995,1.8085,6.5,-2.219,-3.340635105,0.364921313,0.934588353768653,0.988532294,0.775654202592882,4.082591436,0.384389638257849,-4.595,-1.897561,4
1,10.25,389.4418667,-0.5794882955,-6.894105,-4.583,34.5932815,4.175546684,28.791236755,263.3,305.8,114.1,99.189597065,519.25,103.8,77.535,-0.012256652,0.85274576,0.207106326,292,99.5,-0.1685210555,-3.988,-0.366,-0.1,0.8,1.8,3.15,-0.5,-0.517,0.6,1.8085,6.5,-1.769,-2.9893578445,0.367827227,0.937234155155215,1.0872389335,0.812276911206847,4.121403838,0.401159178270915,-4.265,-1.633971,4
1,10.75,388.7794105,-0.626780073,-7.00715,-4.321,46.125717,4.1037304185,31.64305824,259.7,308.75,129.8,99.195622685,617.5,116.2,76.77,-0.0129559925,0.751466928,0.1241384615,361.7,111.2,-0.1823381535,-3.668,-0.3415,-0.1,0.8,1.799,3.1415,-0.4915,-0.5085,0.6,1.8005,6.5005,-1.075,-2.6755272945,0.3822352265,0.967512122986781,1.1767414025,0.827705792497317,4.2249643045,0.406062991546514,-4.3485,-1.172178,4
