DOY2,HR2,LE,H,G,FC,CO2,H2O,T_SONIC,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,VPD_1_1_1,VPD_1_2_1,VPD_1_3_1,VPD_1_4_1,VPD_1_5_1,USTAR,WS,PA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,T_BOLE_1_2_1,T_BOLE_1_1_1,T_BOLE_2_2_1,T_BOLE_2_1_1
1,0.25,-23.53,-99.6293,-20.71575,-0.487886,379.987,0.8741945,-7.67222,-8.0543,-7.87655,-7.98565,-7.984,-8.28055,3.562625,3.5164,0.764825,3.0988,5.75,0.0021089,-0.0084654125,-0.0038285575,0.0025557,0.00308995,0.0682064,1.11211,73.34275,0,0.262785,176.72225,270.159,-142.4085,0.001,0.0094,-0.228875,0.102625,0.365875,0.694375,1.18375,2.255875,3.140625,-0.476375,-0.13725,0.0345,0.399625,0.937375,1.97525,3.13,0.10375,0.4455,0.6365,1.025125,1.630625,2.287125,3.453125,-0.901125,-1.480625,-0.91425,-1.2435
1,0.75,-21.71965,-97.9251,-20.9403,-0.81571225,379.8,0.8559165,-7.4966225,-7.949575,-7.9055,-7.995625,-8.125,-8.0184,3.83185,3.3748,0.765,2.915875,6.1034,0.00290742,-0.00771105,-0.00434172,0.0023878225,0.0041217,0.057989325,1.35747,73.4175,0,0.11829,176.876,270.0485,-142.6155,0.001,0.0094,-0.233125,0.096125,0.36625,0.683875,1.17825,2.254,3.140625,-0.488,-0.14,0.0295,0.396875,0.933625,1.97,3.132875,0.098375,0.4445,0.639,1.025375,1.628375,2.285375,3.45075,-0.919,-1.507,-0.9195,-1.238375
1,1.25,-26.9912,-111.738,-21.207425,-1.006623,379.39,0.81905,-7.9833,-7.572025,-7.470375,-7.8908,-8.1225,-8.1812,3.3287,3.4306,0.76475,3.25445,5.871,0.0039823975,-0.0062591675,-0.0059490375,0.00217997,0.003575475,0.0576743,1.3579625,73.43465,0,0.08045625,179.907,268.89375,-142.60525,0.001375,0.0094,-0.2396,0.0671,0.3644,0.67885,1.1734,2.25125,3.134,-0.49975,-0.1419,0.0274,0.3952,0.932,1.96985,3.12805,0.0955,0.4446,0.6341,1.02595,1.6305,2.2877,3.4465,-0.9295,-1.52815,-0.9488,-1.27235
1,1.75,-15.8175,-111.156,-20.484875,-1.326545,379.5175,0.887806,-7.354285,-7.579425,-7.74675,-7.64735,-8.011675,-8.129,3.2063,3.118875,0.766,2.591,5.4164,0.0054160625,-0.0046560375,-0.0026283125,0.0031306375,0.00272642,0.060988,1.17022,73.4427,0,0.1359375,182.60075,269.58025,-142.2865,0.001,0.0094,-0.24335,0.06785,0.36325,0.67935,1.16605,2.2474,3.13565,-0.51305,-0.1466,0.026,0.39475,0.9297,1.971,3.128,0.08865,0.43725,0.63855,1.0281,1.6325,2.2884,3.44265,-0.9479,-1.5264,-0.95595,-1.28355
1,2.25,-19.383875,-108.98,-19.86455,-0.74429,380.13,0.89471875,-7.3590875,-7.7421,-7.839125,-7.7371,-7.96265,-7.7919,3.46945,3.3187,0.765,2.452,5.94,0.0034832375,-0.0066127325,-0.002387705,0.00132152,0.00288715,0.06032975,1.36092,73.435,0,0.10095125,181.7295,269.7745,-142.45725,0.002,0.0094,-0.245475,0.069975,0.36355,0.685625,1.16355,2.2393,3.132275,-0.5239,-0.151175,0.026525,0.37855,0.92835,1.9676,3.1213,0.08295,0.430325,0.63695,1.025575,1.6323,2.28965,3.440775,-0.89795,-1.428375,-0.9132,-1.240775
1,2.75,-24.2056,-112.74625,-20.96155,-0.63928,379.688,0.876963,-7.370075,-7.8734,-7.934,-7.8857,-7.989475,-7.9859,3.5497,2.767725,0.7632,2.471,6.812725,0.00475199,-0.006863665,-0.0036,0.004186525,0.00160521,0.0560912,1.604575,73.559825,0,0.089625,180.575,268.3685,-143.357,0.001,0.0094,-0.2775,0.06815,0.356075,0.68245,1.156775,2.233,3.1311,-0.531725,-0.153875,0.0286,0.361625,0.92775,1.963775,3.120025,0.071825,0.43115,0.634775,1.026875,1.6336,2.288,3.44225,-0.92055,-1.439175,-0.92275,-1.247325
1,3.25,-17.9073,-133.58125,-20.8998,-0.90582,379.756,0.84444125,-7.2398225,-7.97445,-7.5914,-7.8377,-7.9795,-7.9215,3.3155,2.42545,0.76215,2.5253,6.15215,0.005807905,-0.008976575,-0.00417402,0.0026202175,0.0021314225,0.068272875,1.4588475,73.48065,0,0.06275,177.887,269.524,-141.881,0.002,0.0094,-0.312625,0.05795,0.3466,0.6709,1.153125,2.2333,3.129875,-0.539125,-0.164,0.0201,0.364025,0.9294,1.963125,3.116325,0.059125,0.4226,0.6366,1.028875,1.6359,2.291825,3.445375,-0.9455,-1.480625,-0.93045,-1.2463
1,3.75,-26.67605,-114.0415,-19.921025,-0.4897265,379.662,0.84160375,-7.366495,-8.030875,-7.98375,-7.64815,-8.000775,-7.9231,3.3,2.7351,0.7586,2.71885,5.214125,0.002659675,-0.0073212575,-0.00415235,0.00246612,0.0037783,0.055826925,1.378315,73.4186,0,0.08955,178.4655,267.777,-141.154,0.001,0.0094,-0.3337,0.05455,0.331375,0.6596,1.1516,2.23195,3.13235,-0.5932,-0.174,0.011975,0.3635,0.9327,1.960475,3.12045,0.054075,0.424125,0.6379,1.0188,1.63855,2.29295,3.44225,-0.961725,-1.476575,-0.946,-1.23835
1,4.25,-19.63885,-98.56485,-19.817025,-1.1192825,379.38425,0.9576905,-7.58218,-8.2015,-7.6645,-7.6453,-8.0018,-7.9244,3.44,2.5138,0.75845,2.243,5.3462,0.0030361375,-0.00710968,-0.0044754,0.001765325,0.0039084,0.057761,1.48419,73.498875,0,0.06765,177.06275,266.878,-141.05,0.00125,0.0094,-0.380175,0.05265,0.322425,0.654775,1.1566,2.231475,3.119275,-0.630225,-0.18005,0.003775,0.361725,0.933825,1.961125,3.11575,0.041025,0.418,0.64415,1.008125,1.6402,2.291025,3.441475,-0.9585,-1.476875,-0.9479,-1.229925
1,4.75,-21.661675,-105.25,-19.782125,-1.0691575,379.49725,1.022613,-7.363,-8.0305,-7.784375,-7.77125,-8.046,-7.9078,3.46965,2.48535,0.757525,2.279,5.595675,0.00311295,-0.005872295,-0.00284245,0.0041278025,0.00255199,0.05422425,1.65906,73.48685,0,0.09443,179.19525,266.5645,-142.21475,0.002,0.0094,-0.382275,0.0429,0.317475,0.6565,1.155725,2.22865,3.0856,-0.555025,-0.189,-0.006175,0.365325,0.937175,1.9576,3.112575,0.031875,0.42195,0.638625,0.999425,1.639075,2.293675,3.441825,-0.984825,-1.479775,-0.9554,-1.218875
1,5.25,-21.937675,-105.7825,-19.92035,-0.53749975,379.518,0.9419385,-6.814065,-7.7235,-7.7855,-7.7661,-8.021625,-7.8011,3.30875,2.633625,0.756225,2.3674,5.54625,0.003009625,-0.007347655,-0.001912185,0.004655395,0.005407735,0.0562316,1.6091175,73.4734,0,0.10544,178.317,266.475,-139.57025,0.001,0.0094,-0.3818,0.032325,0.3126,0.6624,1.158125,2.231825,3.0782,-0.560525,-0.189925,-0.005325,0.373275,0.9404,1.957125,3.108875,0.026025,0.421775,0.6444,1.0039,1.643025,2.294325,3.443,-0.992775,-1.4882,-0.96785,-1.213775
1,5.75,-34.89265,-96.54805,-19.811925,-0.756693,379.651,0.957768,-6.878215,-7.7175,-7.88375,-7.8471,-8.118525,-7.9475,3.2167,2.5889,0.757175,2.522,5.8333,0.00285523,-0.006637925,-0.004607775,0.012403125,0.002263935,0.059273125,1.98384,73.480125,0,0.07323,176.0295,265.397,-140.21875,0.002,0.0094,-0.40395,0.020925,0.3108,0.654025,1.1533,2.230475,3.0775,-0.56415,-0.197325,-0.002675,0.36485,0.938475,1.954125,3.11,-0.00154999999999999,0.421775,0.6417,1.003025,1.6439,2.294725,3.446775,-0.982275,-1.497375,-0.977875,-1.230175
1,6.25,-35.615,-127.68,-20.2878,-0.458298,379.4825,0.923925,-7.03135,-7.612675,-7.79125,-7.7564,-8.081125,-7.945375,3.20975,2.69405,0.7602,2.689,6.25435,0.0030670475,-0.0058129,-0.000762235,0.00277945,0.00303141,0.057371,1.52952,73.5268,0,0.11472,175.456,263.825,-140.75,0.001,0.0094,-0.42635,0.01005,0.306225,0.6595,1.158125,2.230125,3.076725,-0.57165,-0.2062,0.0018,0.36985,0.939525,1.95595,3.107875,-0.01745,0.41065,0.642125,1.00315,1.642775,2.29555,3.446425,-0.952375,-1.491325,-0.98535,-1.245575
1,6.75,-49.886625,-123.9875,-20.2646,-0.733785,379.196,1.0088,-7.1568175,-7.5945,-7.68425,-7.71355,-8.0203,-8.0245,3.107,3.04355,0.76215,3.2746,4.915,0.00348162,-0.005335135,-0.00388333,0.00254103,0.006862865,0.04798155,1.4066825,73.45325,0,0.08917125,175.31375,264.50875,-139.56625,0.001875,0.00375,-0.447975,1.38777878078145e-17,0.303825,0.65515,1.160725,2.229475,3.080675,-0.581575,-0.240725,-0.0018,0.366375,0.940475,1.95795,3.110575,-0.041975,0.4009,0.644775,1.007975,1.64165,2.295075,3.44725,-0.954075,-1.515675,-0.99935,-1.264175
1,7.25,-32.3874,-118.47825,-19.8103,-0.78567975,379.734,0.91919,-7.057735,-7.77675,-7.85875,-7.6236,-8.0625,-8.447875,3.0876,3.11475,0.7401,3.988125,5.19825,0.00805496,-0.006061205,-0.003101595,0.00264441,0.009140045,0.055981,1.4263675,73.5448,0,0.10059125,175.20375,264.36375,-138.60625,0.0925,0.0183,-0.4725,-0.015525,0.2966,0.6564,1.15795,2.2283,3.079025,-0.591425,-0.2596,-0.006925,0.368325,0.942475,1.9553,3.106925,-0.048275,0.372775,0.64255,1.006325,1.64165,2.29725,3.4493,-0.97325,-1.506525,-1.0117,-1.280125
1,7.75,-29.47095,-100.4767,-18.5238,-2.32759,380.1,0.953346,-7.20026,-7.4625,-7.648625,-7.51335,-7.767125,-8.0715,3.2055,2.92825,0.72875,3.779375,5.816825,0.011006255,-0.00550785,-0.001299075,0.02722185,0.00415421,0.0783564,1.24984,73.5618,2.264625,0.7812,172.91,266.44,-129.05625,4.816725,0.3129,-0.48675,-0.022925,0.2889,0.656525,1.159125,2.2283,3.080025,-0.600575,-0.274475,-0.008875,0.36675,0.941,1.96,3.107275,-0.10485,0.3725,0.647425,1.0122,1.64275,2.297775,3.452775,-0.960675,-1.46315,-1.022225,-1.2962
1,8.25,-26.9949,-96.5535,-18.0953,-1.6965375,380.552,0.901835,-7.21435,-7.4115,-7.316375,-7.06265,-7.5294,-7.741,3.3846,2.9836,0.7154,3.56865,5.5885,0.0214698325,-0.00691702,-0.0029955075,0.0025694375,0.003707325,0.08563625,1.01744,73.515425,10.444,2.4179,170.942,270.11,-76.4097,21.1885,2.3622,-0.506,-0.04835,0.2849,0.6534,1.155,2.2227,3.07235,-0.6161,-0.30915,-0.0189,0.35505,0.9303,1.95555,3.1022,-0.12375,0.366,0.6448,1.0082,1.6381,2.2934,3.45665,-0.9038,-1.451,-1.01795,-1.2603
1,8.75,-25.9978,-78.689775,-17.0054,-3.1464925,380.8725,0.91835,-7.79083,-7.344625,-7.222,-6.89855,-7.3521,-7.412625,3.5868,3.32525,0.69105,3.702,6.4694,0.0057847875,-0.004583705,-0.00040015,0.003641165,0.00368124,0.095474,0.9627745,73.5392,19.4625,4.430875,175.63375,275.5625,-8.2264625,41.31575,6.0496,-0.52895,-0.11435,0.278325,0.64535,1.158775,2.223125,3.05565,-0.629975,-0.329575,-0.0377,0.338925,0.8998,1.951125,3.09265,-0.1385,0.355325,0.638775,1.006375,1.624375,2.2866,3.4473,-0.889725,-1.378725,-0.9812,-1.169825
1,9.25,-35.6956,-45.35945,-16.3494,-5.02122,382.10625,1.01641475,-7.447755,-7.192975,-7.064125,-6.3519,-6.980625,-7.31795,4.77255,3.68785,0.67485,3.9042,6.81045,0.01062428,-0.00350341,-0.002859785,0.10876875,0.0037646125,0.10313325,0.5043625,73.505325,29.1592,6.19017,176.9855,278.169,19.44765,67.54875,9.99125,-0.493125,-0.112125,0.275375,0.628375,1.1585,2.22175,3.060125,-0.60425,-0.329625,-0.03875,0.337375,0.900875,1.953625,3.100375,-0.13675,0.362125,0.64825,1.01425,1.637625,2.29675,3.4755,-0.915875,-1.355625,-0.945375,-1.18375
1,9.75,-15.434875,-33.891325,-14.1995,-7.63498,381.2135,1.0875,-7.024875,-6.636875,-6.6518,-6.06675,-6.45385,-7.31595,5.411,4,0.667125,4.3511,7.551975,0.001641225,-0.005180795,-0.00259413,0.0109454375,0.00563985,0.13258875,0.4118075,73.543275,44.97945,9.370725,180.7545,279.727,17.8908,91.4725,11.13325,-0.438875,-0.105125,0.27675,0.6035,1.14775,2.212875,3.0175,-0.591375,-0.325375,-0.056125,0.298,0.89775,1.95475,3.0935,-0.135625,0.35525,0.645625,1.015875,1.62325,2.2665,3.476125,-0.846625,-1.067875,-0.84275,-1.00475
