DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN
1,10.25,-0.02378,112.39104,87.2427899999999,60.881125,4.399338,0.7065738,8.979776,569.6584,10.0668835,1.776032,1.624824,0.8539086,1.3985094,8.3545875,100.3233,195.484325,6.1418695,7.4505305,4.8759365,5.46394525,742.4888
1,10.75,-0.033275,115.26725,105.198,61.5537999999999,4.24301,0.63910425,10.2781475,578.4352,12.2439,1.7226275,1.5206575,0.827431,0.583006,8.923535,100.3665,202.4037,10.40769,8.76202899999999,4.922949,5.157676,869.4556
1,11.25,-0.048385,140.277225,93.9046899999999,8.30418975,4.35328225,0.7402844,10.953775,581.119825,12.569178,1.79461675,1.6896785,0.84806485,0.8994951,10.19366,100.3439,245.0186,12.1822925,9.1942305,5.05102925,5.064312,1011.790825
1,11.75,-0.03868,124.9135,137.4425625,4.12211225,5.340663,0.7293754,11.6647,533.371625,12.80885,2.081683,1.868515,0.924092299999999,0.5892405,10.84327,100.3013,281.77235,12.47331,9.740509,5.1412185,5.1095875,1054.7635
1,12.25,-0.0316700000000001,147.8615,109.835765,14.04239,5.044715,0.75653,12.27628,527.3833,13.100165,2.015734,1.723377,0.952186299999999,0.6738818,11.5327625,100.2705,283.26125,13.3013125,10.5340125,5.20559,5.1756225,1082.0075
1,12.75,-0.01922,149.4623,118.49592,26.111675,4.961326,0.757273099999999,12.66525,542.1732,13.55821,1.985204,1.737147,0.967955999999999,0.746662799999999,12.054305,100.2431,283.3938,14.450575,12.203855,5.297823,5.255183,1088.7205
1,13.25,-0.0162560000000001,150.0992,75.626485,32.936475,5.202254,0.6784104,13.63295,566.352,13.849753,1.931153,1.745079,0.963236199999999,0.6343453,12.87175,100.204,272.443875,20.861875,13.8118375,5.209255,5.156605,1065.5725
1,13.75,0.0105225000000001,150.543275,67.55393,16.53734275,4.83875875,0.723129425,14.3429275,525.131775,13.649428,1.94872725,1.70897575,0.936821625,0.898695925000001,13.61488,100.1594,255.6574,22.52246,16.25537,4.9377525,4.892201,1005.1045
1,14.25,0.386516099999998,145.7494,54.852945,23.914281,4.92796,0.8052987,14.75725,504.987025,13.2487205,2.158524,1.838158,1.015228,0.8142256,14.213525,100.10855,236.6554,24.283235,17.410085,4.7693935,4.856402,916.4355
1,14.75,0.0218135000000001,134.2899,50.5861375,24.93692,4.62992275,0.68987465,14.702465,505.0708,13.70355,1.8297485,1.539443,0.874030725,0.55573225,14.045565,100.0877,201.8223,24.52703,17.64888,4.836733,5.052622,826.8225
1,15.25,-0.01127575,117.786525,101.0694625,28.170025,4.39838975,0.722776025,14.6690875,494.76375,13.350575,1.77616175,1.40616625,0.846873775,0.4409614,13.796405,100.06459,145.3352,24.572895,17.27616,4.976924,5.205655,665.38965
1,15.75,-0.018145,72.564145,37.725325,12.2726275,4.569396,0.653082025,13.81717,498.87575,13.2270425,1.720143,1.5055575,0.85271485,0.702391125000001,12.87607,100.06793,94.1686149999999,23.40743,16.69674,5.1587505,5.2216585,526.0885
1,16.25,0.0242550000000001,181.3941475,38.404675,12.331075,4.97184325,0.787574625,13.194815,491.53875,12.7905075,1.865536,1.76715675,0.92448045,0.730147875,11.957105,100.06828,42.18427,20.78876,15.648825,5.256239,5.207564,354.09835
1,16.75,0.413721,14.11295,30.5578825,15.268064,4.269035,0.70759525,13.561325,500.771,12.6209025,1.9115325,1.408655,0.87527,0.682532,11.438575,100.0651,20.124805,18.69691,13.855685,5.2525,5.1313785,186.50335
1,17.25,1.55e-05,139.59478,24.4015525,38.335145,4.2010835,0.820003975,13.084255,556.42625,12.4487975,1.60956425,1.3369885,0.817756525,1.2293215,10.982905,100.0737,9.16955749999999,16.07241,11.7114155,5.1024625,4.986951,54.287835
1,17.75,0.00201147500000001,20.6469935,22.12188,31.7895175,4.5863185,0.75285795,13.002895,541.57125,12.278095,1.72687275,1.6046095,0.869731775,2.482838925,10.753032,100.093525,8.67803799999999,13.608455,9.5920625,4.911027,4.805825,6.260559
1,18.25,0.003834,3.63778499999999,70.3530125,35.280925,5.172212,0.7871527,13.25808,502.999425,12.5386125,1.912466,1.8165,0.970135399999999,2.25560399999999,11.169665,100.10183,8.27536749999999,13.225735,7.8692865,4.735105,4.6336425,0.29118735
1,18.75,0.00379562500000001,10.0250785,32.06,1.0368575,5.3608065,0.76129135,13.28177,509.689,10.81696,2.17898225,1.6753,0.96473985,0.8248305,11.60819,100.09261,7.76322749999999,13.298115,6.7780265,4.597015,4.4746485,0.29065525
1,19.25,0.00139825,2.84637925,26.12359,11.65336,4.692413,0.675677175,11.0730005,537.483,10.6457825,1.9208715,1.56968225,0.88678475,0.61288815,11.817375,100.09405,7.6357525,13.81592,6.5890365,4.43783,4.305362,0.29585685
1,19.75,0.000798775,0.515909074999999,43.6517,14.16362,4.3313635,0.736087725,10.80128,520.9596,9.99024,1.77434025,1.4699355,0.9017472,0.789080149999999,11.7812925,100.1047225,7.98649474999999,14.390575,7.07338325,4.27524,4.1381905,0.29436065
1,20.25,0.000575599999999998,0.554188199999999,40.60822,5.04856874999998,4.145412,0.6093894,10.43278,488.659925,8.9225535,1.626082,1.549048,0.8385708,0.4730358,11.17379325,100.1079575,8.72110749999999,14.95451,7.45086949999999,4.1310285,3.98571225,0.2877026
1,20.75,0.0022705,25.75283825,36.040855,6.73638349999997,4.81739825,0.754033225,12.4109775,526.108,11.624625,1.90334275,1.667329,0.93820975,1.25624525,11.16764725,100.1190475,8.76617124999999,15.047635,7.60935049999999,4.0494085,3.884655,0.298489075
1,21.25,0.0028815,3.6671315,18.2986,2.944374,4.62690725,0.634039325,10.4881925,544.6758,11.203,1.57954325,1.33262975,0.75130445,0.78888535,10.9690975,100.1318775,8.73685899999999,15.2171,8.01863425,4.002197,3.83152925,0.315038025
1,21.75,0.001085,0.51189235,22.70737,21.22607,4.34181825,0.650293725,10.6029775,511.078125,8.31888249999998,1.6562505,1.3338385,0.753092325,0.942865075,11.085646,100.133375,7.792806,15.5626975,8.8142205,3.99717225,3.77464325,0.317943475
1,22.25,0.000765949999999999,1.521040975,43.6523775,2.173456,4.55212425,0.697746025,10.690432,507.9,8.51749999999999,2.06581425,1.504998,0.873335175,0.914541675,11.44361675,100.124625,6.26701075,15.5213725,9.33874449999999,3.97275975,3.7416145,0.311656175
1,22.75,0.001600275,5.13357212499999,26.19724,17.08636875,4.4500225,0.65231765,10.92125675,514.55655,7.93266674999999,1.74603175,1.43536775,0.7788496,0.925224699999999,11.2888375,100.116325,8.97641025,13.71022,9.23186449999999,3.94106575,3.718348,0.303914525
1,23.25,0.002050845,0.174660125,32.7222275,36.6926819999999,4.65314225,0.675599925,11.01494475,507.4286,11.74665,1.6913225,1.4415325,0.85709725,0.733771775,11.0112125,100.11665,8.84323325,13.208165,9.13058799999999,3.909387,3.73023775,0.30065905
1,23.75,-0.00127372500000001,1.5558657,40.3028649999998,12.83689,4.568285,0.626173725,11.37184075,536.1787,11.599305,1.70915725,1.406599,0.800664525,0.761162349999999,11.21321,100.105775,7.5425595,12.1252775,8.81959249999999,3.88531125,3.84452575,0.314349575
2,0.25,0.00263375,4.31790624999999,32.63302,6.7645295,5.18295874999999,0.8701508,14.50413,529.8711,15.48854,2.09902775,1.9216,1.020060825,0.537463825,13.5851275,99.6495375,6.09314824999999,18.1725575,15.631975,8.597338,8.52851775,0.235029475
2,0.75,0.0020405,5.97454499999998,39.801535,4.8045825,5.1559125,0.8101455,14.63961,543.396,15.7487975,2.1785815,1.7676365,1.054045,0.5671844,13.6486775,99.637075,5.86394949999999,16.9155725,14.8701775,8.57326175,8.518233,0.223734675
