DOY2,HR2,USTAR,TA,WS,FC_1_1_1,H,LE,G,TS,RH,PA,CO2,VPD,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.12225,4.4,1.4625,-0.173,-25.3,-0.118,-39.1,6.46,37.375,90.4,372.286,2.745,-73.85,-2.13,1.8185,256.5,324,4.82
1,0.75,0.11625,4.159,1.55675,-0.184,-23.7,-0.205,-39.3,6.196,39.975,90.4,372.113,2.305,-72.6555,-2.209,1.70875,254.5,322.5,4.82
1,1.25,0.11325,3.515,1.5025,-0.191,-24.3,-0.107,-39.943,6.0175,40.3,90.4,372.481,2.3325,-72.45,-2.11,1.847,255,320.5,4.83
1,1.75,0.112,3.37,1.4075,-0.18,-22.05,-0.0075,-40.15,5.81,39.97,90.4,372.037,2.325,-71.35,-2.06,1.679,254,319,4.78
1,2.25,0.11525,3.35,1.4125,-0.175,-22.3185,-0.0285,-39.6185,5.52,39.821,90.4,371.7735,2.1725,-71.492,-2.021,1.815,250.5,318.5,4.74
1,2.75,0.113,3.135,1.445,-0.1675,-23.223,-0.1855,-39.7,5.22,39.56675,90.4,371.8235,2.175,-72.05,-2.0895,1.77,250.5,316.5,4.745
1,3.25,0.11175,2.647,1.4725,-0.184,-24.65,-0.01875,-40.15,4.968,40.316,90.4,372.05025,2.075,-71.6,-2.04,1.79,250,316,4.7425
1,3.75,0.11,2.77,1.475,-0.1775,-24,-0.1535,-40.5255,4.73,40.74375,90.3415,371.969,1.915,-70.7,-1.9775,1.789,251.7475,316,4.78
1,4.25,0.1165,2.955,1.409,-0.1735,-22.575,-0.381,-40.65,4.495,40.781,90.3855,371.991,1.925,-70.8,-2.08,1.6995,250,317,4.745
1,4.75,0.10125,2.92,1.334,-0.171,-21.275,-0.134,-41,4.34,41.383,90.3185,371.96075,2.06,-70.7,-2.085,1.771,249.5,314.8005,4.73
1,5.25,0.113,2.48,1.41925,-0.165,-21.1,-0.065,-41.1355,4.055,41.228,90.3,372.055,1.8,-71,-2.065,1.685,248,312.5,4.76
1,5.75,0.11225,2.35,1.46,-0.156,-21.125,-0.36975,-41.054,3.88,41.575,90.3195,371.9905,1.895,-70.098,-2,1.765,248.5,311.8565,4.745
1,6.25,0.11125,2.27,1.413,-0.157,-23.2,-0.174,-41.3295,3.719,41.2825,90.322,372,1.79,-70.05,-1.97,1.7625,248,312,4.77
1,6.75,0.10625,2.372,1.31,-0.168,-21.9,-0.278,-41.2495,3.615,41.73475,90.4,372,1.69,-69.65,-2.015,1.75,246.5,311.338,4.69
1,7.25,0.11325,1.9645,1.3725,-0.185,-20.6,-0.362,-41.25,3.426,42.851,90.4,372.214,1.56,-66.25,0.496,2.15,246.4005,311,4.65
1,7.75,0.10425,2.125,1.4,-0.2405,-17.55,0.075,-41.45,3.251,40.9465,90.4,372.3,1.45,-44.7105,27.35,8.0245,246.5,311.288,4.675
