DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,G,SG,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TA_1_2_1,RH_1_2_1,TA_1_3_1,RH_1_3_1,TA_1_4_1,TS_2_1_1
1,0.25,399.7787,0.28189605,1.02702715,0.01998265,-0.813585225,-54.19922025,-50.83068,-38.776763,-28.34404225,0.4380946875,0.03462027375,-0.1736620875,0.161138975,0.11732704125,0.02873406625,82.336846,-14.720456,31.22739,0.89548401,-13.7444075,0.02776580375,-2.6580341,-77.39606325,0,0.11891767425,195.52068,222.36075,-14.013855,30.425375,-16.646279,67.128537,-5.233213475,-2.8852836
1,0.75,388.0433825,0.3111951,1.00167717,0.026102548,-0.54948362,-62.683431,-66.7888975,-44.82900025,-34.681629,0.5627778,0.0346956725,-0.1977968175,0.1870469725,0.1307451475,0.0277239705,82.35055525,-15.258565,31.6496335,0.8512833725,-14.442698,0.05351965225,-2.76527845,-76.3689525,0,0.074242964,194.975645,223.25092,-14.8147625,27.688848,-17.3987875,67.822705,-5.724102075,-3.0626454
1,1.25,397.52554,0.36065576,0.98641901,0.018923656,-1.7984492,-51.06004975,-47.23937425,-39.54049175,-33.4416295,0.5173302725,0.0332537175,-0.118971295,0.1773061625,0.1386155575,0.03462333525,82.360661,-16.4078765,31.92883,0.841597725,-15.8792625,0.03608643125,-2.9245834,-75.60907625,0,0.2352205,193.923975,222.68516,-16.088632,28.08659,-18.308743,68.3406245,-6.063455825,-3.24265055
1,1.75,398.13254,0.28470278,0.8582405425,0.022718346,-1.6311092,-47.73847125,-46.866302,-49.1699665,-35.60335025,0.54948222,0.04203981975,-0.1256632675,0.1943631875,0.1518020075,0.026300981,82.333407,-16.5520335,31.157402,0.787965775,-15.69074875,0.052744571,-3.110249,-74.694086,0,0.0341903125,192.995875,221.45901,-15.782292,27.499124,-17.643012,66.43301375,-6.2899666,-3.3797596
1,2.25,387.43282,0.3654404,0.767028935,0.020320862,-2.5153352,-38.598442,-42.558452,-37.00672725,-31.883403,0.5605120125,0.0279993385,-0.08566084075,0.1662331425,0.115631066,0.03011235975,82.296583,-17.4086335,31.56433,0.96378006,-16.71864,0.05195736075,-3.29204475,-72.679177,0,0.22665901875,192.673195,221.47336,-16.79118,30.861078,-18.291387,67.0935325,-6.476983475,-3.556002
1,2.75,394.97026,0.23003012,0.7308851775,0.014881338,-2.248735,-39.644286,-50.817224,-40.05509825,-31.7882655,0.54779163,0.039325908,-0.0916039435,0.15076055,0.172853465,0.03170039325,82.28020275,-16.979696,30.570982,0.89662226,-15.7142525,0.04634356275,-3.4013085,-69.984114,0,0.45578736,195.2032375,222.89233,-15.843508,29.742804,-17.948562,64.524981,-6.04774865,-3.6821355
1,3.25,393.9239,0.2601648,0.6121245625,0.01856263,-2.7784924,-43.274842,-47.987854,-41.585452,-30.13596975,0.5729574925,0.03269874975,-0.11743849,0.2026005175,0.1558048475,0.035358024,82.26433,-17.09789475,24.802256,0.83444081,-16.2969,0.06049632875,-3.584293225,-71.0992945,0,0.0316036085,194.14904,220.58896,-16.477408,23.82983,-19.024075,67.376523,-6.47828635,-3.840673475
1,3.75,394.2290775,0.260830455,0.5019161,0.014921212,-0.7745794,-43.52370225,-42.72385775,-45.34776925,-31.049122,0.5384448025,0.03473172175,-0.14840938,0.129091225,0.16653599,0.02945153325,82.2418425,-18.29900775,24.697996,0.8918568275,-17.63049875,0.054887196,-3.731564675,-71.14884,0,0.154791175,192.839955,219.20394,-17.79959775,23.72384325,-19.322925,67.125464,-6.3111829,-4.0382221
1,4.25,394.494955,0.40523661,0.379088825,0.023058228,-2.0251595,-45.8486375,-46.05984,-45.98847525,-36.911634,0.55269855,0.03283570025,-0.1339298525,0.1748472525,0.14627389,0.02550635375,82.22794325,-18.3484215,23.718142,0.9122940025,-17.62010375,0.0275013635,-3.875047125,-70.91351,0,0.23622258,194.5849825,222.75466,-17.662132,21.333836,-18.83814125,67.187468,-6.535694575,-4.228245325
1,4.75,387.7848325,0.3350039075,0.62084553,0.023632772,-3.8298002,-45.02205825,-55.82062,-43.98413525,-29.74802775,0.5318903,0.02561144475,-0.207171455,0.1809184225,0.156691605,0.02258356925,82.21598275,-16.932905,25.500928,0.94494375,-15.37499125,0.046186859,-3.973066675,-73.8296555,0,0.1074919065,194.0810275,230.729375,-15.570462,24.425896,-16.65751875,65.7849205,-7.036167775,-4.3798669
1,5.25,396.870449411765,0.30186454,0.607447935,0.024234094,-4.52851214999999,-50.067728,-49.07296225,-44.3351895,-24.915308,0.6175895375,0.037667593,-0.1076736675,0.18675242,0.14860728,0.02983517675,82.206329,-17.7815525,20.651508,0.84052149,-16.695046,0.03602794,-4.12488525,-73.64332,0,0.162357865,193.2462175,225.58843,-16.730752,18.82042,-17.9574415,68.016262,-7.38867995,-4.545302375
1,5.75,395.53212,0.2853629,0.6360631625,0.019726374,-1.65886075,-39.46115,-44.478515,-47.745478,-31.882325,0.6447111525,0.04212038775,-0.094771736,0.1947838375,0.19545202,0.0311000465,82.20144275,-17.41846375,24.36245,0.78867845,-16.4069245,0.0533184135,-4.2321385,-73.21817325,0,0.01148183315,195.02057,225.015145,-16.53239475,22.631164,-17.7303195,62.924866,-7.50600895,-4.686059075
1,6.25,397.29301,0.31612996,0.44805702,0.018980004,-0.7070532275,-44.52411,-48.847052,-48.709295,-26.8984075,0.5280833975,0.02704526975,-0.13188514,0.19184998,0.1428484575,0.03369526525,82.204699,-17.892927,20.608456,0.8116667125,-16.8714515,0.07418285625,-4.358811325,-72.930492,0,0.04545113125,194.59674,224.296675,-16.9398695,18.542148,-18.248474,66.21489125,-7.57458135,-4.7817932
1,6.75,399.15488,0.3540373,0.311550375,0.0158572975,-1.0148303,-45.5498495,-56.15192,-50.273508,-31.055928,0.5527603475,0.0377908,-0.10844754,0.18426057,0.1576352,0.0346319135,82.1998795,-18.40949325,15.69845725,0.84429359,-17.30435475,0.0635291575,-4.530058,-73.27814975,0,0.0401511826,194.8302025,222.0769775,-17.37580225,14.310372,-18.4811045,65.4821135,-7.497571375,-4.9363368
1,7.25,399.41258,0.27781418,0.37470215,0.017468436,-1.759679995,-51.6374725,-70.59704175,-51.18902275,-34.1234915,0.5485781225,0.03393176625,-0.12356334,0.17722525,0.142746425,0.026664908,82.20205675,-17.865098,16.506731,0.96217172,-17.02023675,0.07549271275,-4.64624485,-73.0407565,0,0.09692682,193.7295975,230.5400875,-17.1603975,14.63395575,-19.1035125,64.573184,-7.047396425,-5.08659815
1,7.75,398.1945025,0.336804475,0.4513625175,0.0086056719,-2.463874,-44.3993225,-68.96537425,-57.28275075,-40.54244675,0.5622215125,0.0341003075,-0.1244966925,0.2046197975,0.13078538,0.027274698,82.22513675,-17.47204275,17.462064,0.8103587075,-15.929228,0.0635791855,-4.7809648,-59.82115125,0.9125014225,1.22787375,193.2455175,233.0452425,-16.295418,15.3063535,-18.68056675,66.40641475,0.9093700225,-5.233461
1,8.25,399.559525,0.369724625,0.478249905,0.02964155525,-1.2781415,-23.405685,-47.21327975,-49.92840075,-28.171534,0.498315345,0.04492646575,-0.1128231355,0.17980604,0.137112616,0.03768376575,82.27067375,-16.32895675,19.5998525,0.77075204,-15.14224275,0.08469058375,-4.9291531,-30.3715565,6.48749415,5.9928639,195.9374625,233.9472475,-15.45161475,18.8612375,-17.33111,60.567375,0.88919465,-5.4717075
